file	beg	end	text	speaker
Wisher-Yolanda_Complete-Recording_8-4-16	0.36	0.85	Cross	spk_0
Wisher-Yolanda_Complete-Recording_8-4-16	0.86	1.559	ludlow	spk_0
Wisher-Yolanda_Complete-Recording_8-4-16	1.799	2.279	past	spk_0
Wisher-Yolanda_Complete-Recording_8-4-16	2.289	2.349	the	spk_0
Wisher-Yolanda_Complete-Recording_8-4-16	2.359	2.869	mailbox	spk_0
Wisher-Yolanda_Complete-Recording_8-4-16	2.88	2.97	on	spk_0
Wisher-Yolanda_Complete-Recording_8-4-16	2.98	3.059	the	spk_0
Wisher-Yolanda_Complete-Recording_8-4-16	3.069	3.69	corner.	spk_0
Wisher-Yolanda_Complete-Recording_8-4-16	4.039	4.59	Risque	spk_0
Wisher-Yolanda_Complete-Recording_8-4-16	4.599	5.099	video,	spk_0
Wisher-Yolanda_Complete-Recording_8-4-16	5.11	5.5	Dino's	spk_0
Wisher-Yolanda_Complete-Recording_8-4-16	5.51	5.949	Pizza	spk_0
Wisher-Yolanda_Complete-Recording_8-4-16	5.96	6.13	and	spk_0
Wisher-Yolanda_Complete-Recording_8-4-16	6.139	6.19	the	spk_0
Wisher-Yolanda_Complete-Recording_8-4-16	6.199	6.67	emerald	spk_0
Wisher-Yolanda_Complete-Recording_8-4-16	6.679	7.469	laundromat.	spk_0
Wisher-Yolanda_Complete-Recording_8-4-16	8.289	8.439	The	spk_0
Wisher-Yolanda_Complete-Recording_8-4-16	8.449	8.67	fruit	spk_0
Wisher-Yolanda_Complete-Recording_8-4-16	8.68	9.029	trucks	spk_0
Wisher-Yolanda_Complete-Recording_8-4-16	9.039	9.39	tucked	spk_0
Wisher-Yolanda_Complete-Recording_8-4-16	9.399	9.6	into	spk_0
Wisher-Yolanda_Complete-Recording_8-4-16	9.609	10.199	44th	spk_0
Wisher-Yolanda_Complete-Recording_8-4-16	10.21	10.43	street	spk_0
Wisher-Yolanda_Complete-Recording_8-4-16	10.439	10.56	on	spk_0
Wisher-Yolanda_Complete-Recording_8-4-16	10.569	10.67	the	spk_0
Wisher-Yolanda_Complete-Recording_8-4-16	10.68	11.289	left	spk_0
Wisher-Yolanda_Complete-Recording_8-4-16	11.71	12.21	house,	spk_0
Wisher-Yolanda_Complete-Recording_8-4-16	12.22	12.5	eyes	spk_0
Wisher-Yolanda_Complete-Recording_8-4-16	12.51	12.71	shut	spk_0
Wisher-Yolanda_Complete-Recording_8-4-16	12.72	12.869	with	spk_0
Wisher-Yolanda_Complete-Recording_8-4-16	12.88	13.68	boards,	spk_0
Wisher-Yolanda_Complete-Recording_8-4-16	13.689	14.27	fringes	spk_0
Wisher-Yolanda_Complete-Recording_8-4-16	14.279	14.38	of	spk_0
Wisher-Yolanda_Complete-Recording_8-4-16	14.39	15.02	Children.	spk_0
Wisher-Yolanda_Complete-Recording_8-4-16	16.739	17.11	Once	spk_0
Wisher-Yolanda_Complete-Recording_8-4-16	17.12	17.239	we	spk_0
Wisher-Yolanda_Complete-Recording_8-4-16	17.25	17.399	went	spk_0
Wisher-Yolanda_Complete-Recording_8-4-16	17.409	17.639	into	spk_0
Wisher-Yolanda_Complete-Recording_8-4-16	17.649	17.659	a	spk_0
Wisher-Yolanda_Complete-Recording_8-4-16	17.67	18.079	store	spk_0
Wisher-Yolanda_Complete-Recording_8-4-16	18.09	18.36	sunk	spk_0
Wisher-Yolanda_Complete-Recording_8-4-16	18.37	18.559	into	spk_0
Wisher-Yolanda_Complete-Recording_8-4-16	18.569	18.68	the	spk_0
Wisher-Yolanda_Complete-Recording_8-4-16	18.69	19.27	street	spk_0
Wisher-Yolanda_Complete-Recording_8-4-16	19.42	19.84	owned	spk_0
Wisher-Yolanda_Complete-Recording_8-4-16	19.85	20.059	by	spk_0
Wisher-Yolanda_Complete-Recording_8-4-16	20.069	20.079	a	spk_0
Wisher-Yolanda_Complete-Recording_8-4-16	20.09	20.729	Cambodian	spk_0
Wisher-Yolanda_Complete-Recording_8-4-16	20.739	21.27	woman.	spk_0
Wisher-Yolanda_Complete-Recording_8-4-16	21.78	22.079	She	spk_0
Wisher-Yolanda_Complete-Recording_8-4-16	22.09	22.36	sold	spk_0
Wisher-Yolanda_Complete-Recording_8-4-16	22.37	23.19	everything	spk_0
Wisher-Yolanda_Complete-Recording_8-4-16	23.329	23.7	from	spk_0
Wisher-Yolanda_Complete-Recording_8-4-16	23.709	24.139	evening	spk_0
Wisher-Yolanda_Complete-Recording_8-4-16	24.149	24.719	gowns	spk_0
Wisher-Yolanda_Complete-Recording_8-4-16	24.729	24.989	to	spk_0
Wisher-Yolanda_Complete-Recording_8-4-16	25.0	25.44	soup	spk_0
Wisher-Yolanda_Complete-Recording_8-4-16	26.229	26.61	over	spk_0
Wisher-Yolanda_Complete-Recording_8-4-16	26.62	26.739	to	spk_0
Wisher-Yolanda_Complete-Recording_8-4-16	26.75	27.149	Walnut	spk_0
Wisher-Yolanda_Complete-Recording_8-4-16	27.159	27.26	and	spk_0
Wisher-Yolanda_Complete-Recording_8-4-16	27.27	28.12	45th	spk_0
Wisher-Yolanda_Complete-Recording_8-4-16	28.299	28.579	where	spk_0
Wisher-Yolanda_Complete-Recording_8-4-16	28.59	28.649	the	spk_0
Wisher-Yolanda_Complete-Recording_8-4-16	28.659	29.09	Muslim	spk_0
Wisher-Yolanda_Complete-Recording_8-4-16	29.1	29.389	cat	spk_0
Wisher-Yolanda_Complete-Recording_8-4-16	29.399	29.69	sells	spk_0
Wisher-Yolanda_Complete-Recording_8-4-16	29.7	29.86	this	spk_0
Wisher-Yolanda_Complete-Recording_8-4-16	29.87	30.319	chicken	spk_0
Wisher-Yolanda_Complete-Recording_8-4-16	30.329	30.61	wrapped	spk_0
Wisher-Yolanda_Complete-Recording_8-4-16	30.62	30.709	in	spk_0
Wisher-Yolanda_Complete-Recording_8-4-16	30.719	31.299	pita	spk_0
Wisher-Yolanda_Complete-Recording_8-4-16	31.53	31.969	draped	spk_0
Wisher-Yolanda_Complete-Recording_8-4-16	31.979	32.069	in	spk_0
Wisher-Yolanda_Complete-Recording_8-4-16	32.08	32.619	cucumber	spk_0
Wisher-Yolanda_Complete-Recording_8-4-16	32.63	33.29	sauce.	spk_0
Wisher-Yolanda_Complete-Recording_8-4-16	33.77	33.959	The	spk_0
Wisher-Yolanda_Complete-Recording_8-4-16	33.97	34.369	pregnant	spk_0
Wisher-Yolanda_Complete-Recording_8-4-16	34.38	34.61	woman	spk_0
Wisher-Yolanda_Complete-Recording_8-4-16	34.619	34.99	behind	spk_0
Wisher-Yolanda_Complete-Recording_8-4-16	35.0	35.049	the	spk_0
Wisher-Yolanda_Complete-Recording_8-4-16	35.06	35.68	counter	spk_0
Wisher-Yolanda_Complete-Recording_8-4-16	35.689	36.24	writes	spk_0
Wisher-Yolanda_Complete-Recording_8-4-16	36.25	36.409	our	spk_0
Wisher-Yolanda_Complete-Recording_8-4-16	36.419	36.77	order	spk_0
Wisher-Yolanda_Complete-Recording_8-4-16	36.779	36.979	out	spk_0
Wisher-Yolanda_Complete-Recording_8-4-16	36.99	37.139	in	spk_0
Wisher-Yolanda_Complete-Recording_8-4-16	37.15	37.97	Arabic.	spk_0
Wisher-Yolanda_Complete-Recording_8-4-16	38.43	38.65	We	spk_0
Wisher-Yolanda_Complete-Recording_8-4-16	38.659	39.0	grab	spk_0
Wisher-Yolanda_Complete-Recording_8-4-16	39.009	39.02	a	spk_0
Wisher-Yolanda_Complete-Recording_8-4-16	39.029	39.369	juice	spk_0
Wisher-Yolanda_Complete-Recording_8-4-16	39.38	39.54	from	spk_0
Wisher-Yolanda_Complete-Recording_8-4-16	39.549	39.65	the	spk_0
Wisher-Yolanda_Complete-Recording_8-4-16	39.659	40.409	freezer.	spk_0
Wisher-Yolanda_Complete-Recording_8-4-16	40.529	40.86	Some	spk_0
Wisher-Yolanda_Complete-Recording_8-4-16	40.869	41.529	chips	spk_0
Wisher-Yolanda_Complete-Recording_8-4-16	41.86	42.09	eye	spk_0
Wisher-Yolanda_Complete-Recording_8-4-16	42.099	42.34	the	spk_0
Wisher-Yolanda_Complete-Recording_8-4-16	42.349	42.669	bean	spk_0
Wisher-Yolanda_Complete-Recording_8-4-16	42.68	42.79	and	spk_0
Wisher-Yolanda_Complete-Recording_8-4-16	42.799	43.009	sweet	spk_0
Wisher-Yolanda_Complete-Recording_8-4-16	43.02	43.369	potato	spk_0
Wisher-Yolanda_Complete-Recording_8-4-16	43.38	44.13	pies	spk_0
Wisher-Yolanda_Complete-Recording_8-4-16	45.389	45.849	back	spk_0
Wisher-Yolanda_Complete-Recording_8-4-16	45.86	46.09	into	spk_0
Wisher-Yolanda_Complete-Recording_8-4-16	46.099	46.209	the	spk_0
Wisher-Yolanda_Complete-Recording_8-4-16	46.22	46.409	hot	spk_0
Wisher-Yolanda_Complete-Recording_8-4-16	46.419	46.729	breath	spk_0
Wisher-Yolanda_Complete-Recording_8-4-16	46.74	46.849	of	spk_0
Wisher-Yolanda_Complete-Recording_8-4-16	46.86	47.18	West	spk_0
Wisher-Yolanda_Complete-Recording_8-4-16	47.189	47.729	Philly	spk_0
Wisher-Yolanda_Complete-Recording_8-4-16	47.939	48.439	Sun	spk_0
Wisher-Yolanda_Complete-Recording_8-4-16	48.45	48.61	is	spk_0
