file	beg	end	text	speaker	section
Fuchs-Greg_Complete-Recording_Segue-DH_NYC_4-22-00	0.269	3.517	The low rumble of an oncoming train, traffic overhead	Subject	
Fuchs-Greg_Complete-Recording_Segue-DH_NYC_4-22-00	4.026	5.298	Three people sniffling	Subject	
Fuchs-Greg_Complete-Recording_Segue-DH_NYC_4-22-00	5.641	18.286	Who is the male half of People's Couple of the Year? twins'= a- twins' arms are folded, eat hamburger, sneeze, first avenue, rust colored walls don't hold the closing doors ladies and gentlemen	Subject	
Fuchs-Greg_Complete-Recording_Segue-DH_NYC_4-22-00	19.088	48.745	One dollar per wind up kids' toy, one dollar, one dollar. Old sweatshirt, cashmere sweater, yellow smoke stain in the white beard, ~UFO yo yo, Fresh Prince, air conditioned car nightmare please close the windows, closed eyes sleeping beauty, beauty battles grotesque. The only goal is to change the world, not obtaining beauty, truth but materially changing the raw data for new information. This is the information that an entire car of people are alive, going somewhere	Subject	
Fuchs-Greg_Complete-Recording_Segue-DH_NYC_4-22-00	49.142	52.587	Third Avenue, defenders of the free world, smile,	Subject	
Fuchs-Greg_Complete-Recording_Segue-DH_NYC_4-22-00	53.139	54.069	smile,	Subject	
Fuchs-Greg_Complete-Recording_Segue-DH_NYC_4-22-00	54.738	55.596	smile	Subject	
Fuchs-Greg_Complete-Recording_Segue-DH_NYC_4-22-00	56.208	81.922	Free internet access, the means to literacy are what we must obtain, maintain. Want to be in the know? Union Square Street, precocious child, complaining mom. Saks Fifth Avenue, shaking onto one another. Come on, people. Shine on you brother. I want something to drink or eat. It's not for drugs, it's for snacks. The crowds don't stop coming. The weekenders don't even know if they're going East or West.	Subject	
Fuchs-Greg_Complete-Recording_Segue-DH_NYC_4-22-00	82.358	92.918	Leopard skin jacket casts a flirtatious smile. Families' groceries on the subway bagged in plastic, stacked on the floor, snakeskin shoes. ~F train, Fourteenth Street	Subject	
Fuchs-Greg_Complete-Recording_Segue-DH_NYC_4-22-00	93.568	112.942	Black gum spots speckle cracked concrete. Lord have mercy on me, sings the folk rock singer as the world burns. There's no seats on a Saturday. I just want to go home, drink juice. The cool breeze pushe-+ pushes through the tunnel, next train readying. West Fourth. Happy Birthday, says a balloon.	Subject	
Fuchs-Greg_Complete-Recording_Segue-DH_NYC_4-22-00	113.556	120.645	Broadway Lafayette. Two women talk, earning money The bottom line is everything, is always between the line	Subject	
Fuchs-Greg_Complete-Recording_Segue-DH_NYC_4-22-00	121.423	132.205	But what about when your whole world falls apart, someone asked nonchalantly, How are you? Do you answer, My world is crumbling. I'm lonely. The future of death sleeps next to me	Subject	
Fuchs-Greg_Complete-Recording_Segue-DH_NYC_4-22-00	134.238	137.67	The bottom line is not everything. It's just some thing	Subject	
