file	beg	end	text	speaker
Ashbery-John_Complete-Recording_Honoring-Illuminations-Translation_NYU_5-12-11	0.28	0.4	But	
Ashbery-John_Complete-Recording_Honoring-Illuminations-Translation_NYU_5-12-11	0.4	0.52	with	
Ashbery-John_Complete-Recording_Honoring-Illuminations-Translation_NYU_5-12-11	0.52	0.76	such	
Ashbery-John_Complete-Recording_Honoring-Illuminations-Translation_NYU_5-12-11	0.76	1.48	precision	
Ashbery-John_Complete-Recording_Honoring-Illuminations-Translation_NYU_5-12-11	1.48	1.64	that	
Ashbery-John_Complete-Recording_Honoring-Illuminations-Translation_NYU_5-12-11	1.64	1.84	it's	
Ashbery-John_Complete-Recording_Honoring-Illuminations-Translation_NYU_5-12-11	1.84	2.04	very	
Ashbery-John_Complete-Recording_Honoring-Illuminations-Translation_NYU_5-12-11	2.04	2.56	exciting.	
Ashbery-John_Complete-Recording_Honoring-Illuminations-Translation_NYU_5-12-11	3.28	3.36	For	
Ashbery-John_Complete-Recording_Honoring-Illuminations-Translation_NYU_5-12-11	3.36	3.68	instance,	
Ashbery-John_Complete-Recording_Honoring-Illuminations-Translation_NYU_5-12-11	3.68	4.0	he'll	
Ashbery-John_Complete-Recording_Honoring-Illuminations-Translation_NYU_5-12-11	4.8	5.2	he'll	
Ashbery-John_Complete-Recording_Honoring-Illuminations-Translation_NYU_5-12-11	5.2	5.96	describe	
Ashbery-John_Complete-Recording_Honoring-Illuminations-Translation_NYU_5-12-11	5.96	6.28	the	
Ashbery-John_Complete-Recording_Honoring-Illuminations-Translation_NYU_5-12-11	6.76	7.44	reflection	
Ashbery-John_Complete-Recording_Honoring-Illuminations-Translation_NYU_5-12-11	7.44	7.56	of	
Ashbery-John_Complete-Recording_Honoring-Illuminations-Translation_NYU_5-12-11	7.56	7.64	a	
Ashbery-John_Complete-Recording_Honoring-Illuminations-Translation_NYU_5-12-11	7.64	8.16	pin	
Ashbery-John_Complete-Recording_Honoring-Illuminations-Translation_NYU_5-12-11	8.16	8.32	on	
Ashbery-John_Complete-Recording_Honoring-Illuminations-Translation_NYU_5-12-11	8.32	8.52	an	
Ashbery-John_Complete-Recording_Honoring-Illuminations-Translation_NYU_5-12-11	8.52	9.12	apple,	
Ashbery-John_Complete-Recording_Honoring-Illuminations-Translation_NYU_5-12-11	10.08	10.2	the	
