file	beg	end	text	speaker
Ashbery-John_Complete-Recording_Honoring-Illuminations-Translation_NYU_5-12-11	0.22	0.4	but	0
Ashbery-John_Complete-Recording_Honoring-Illuminations-Translation_NYU_5-12-11	0.4	0.6	with	0
Ashbery-John_Complete-Recording_Honoring-Illuminations-Translation_NYU_5-12-11	0.6	0.88	such	0
Ashbery-John_Complete-Recording_Honoring-Illuminations-Translation_NYU_5-12-11	0.88	1.5	precision	0
Ashbery-John_Complete-Recording_Honoring-Illuminations-Translation_NYU_5-12-11	1.5	1.66	that	0
Ashbery-John_Complete-Recording_Honoring-Illuminations-Translation_NYU_5-12-11	1.66	1.88	it's	0
Ashbery-John_Complete-Recording_Honoring-Illuminations-Translation_NYU_5-12-11	1.88	2.12	very	0
Ashbery-John_Complete-Recording_Honoring-Illuminations-Translation_NYU_5-12-11	2.12	2.62	exciting	0
Ashbery-John_Complete-Recording_Honoring-Illuminations-Translation_NYU_5-12-11	2.62	3.28	his	0
Ashbery-John_Complete-Recording_Honoring-Illuminations-Translation_NYU_5-12-11	3.28	3.42	for	1
Ashbery-John_Complete-Recording_Honoring-Illuminations-Translation_NYU_5-12-11	3.42	3.7	instance	1
Ashbery-John_Complete-Recording_Honoring-Illuminations-Translation_NYU_5-12-11	3.7	4.84	he'll	1
Ashbery-John_Complete-Recording_Honoring-Illuminations-Translation_NYU_5-12-11	4.84	5.48	he'll	1
Ashbery-John_Complete-Recording_Honoring-Illuminations-Translation_NYU_5-12-11	5.48	6.08	describes	1
Ashbery-John_Complete-Recording_Honoring-Illuminations-Translation_NYU_5-12-11	6.08	6.86	a	1
Ashbery-John_Complete-Recording_Honoring-Illuminations-Translation_NYU_5-12-11	6.86	7.46	reflection	0
Ashbery-John_Complete-Recording_Honoring-Illuminations-Translation_NYU_5-12-11	7.46	7.62	of	0
Ashbery-John_Complete-Recording_Honoring-Illuminations-Translation_NYU_5-12-11	7.62	7.82	a	0
Ashbery-John_Complete-Recording_Honoring-Illuminations-Translation_NYU_5-12-11	7.82	8.18	pin	0
Ashbery-John_Complete-Recording_Honoring-Illuminations-Translation_NYU_5-12-11	8.18	8.36	on	0
Ashbery-John_Complete-Recording_Honoring-Illuminations-Translation_NYU_5-12-11	8.36	8.62	an	0
Ashbery-John_Complete-Recording_Honoring-Illuminations-Translation_NYU_5-12-11	8.62	10.14	apple	0
Ashbery-John_Complete-Recording_Honoring-Illuminations-Translation_NYU_5-12-11	10.14	10.32	the	0
Ashbery-John_Complete-Recording_Honoring-Illuminations-Translation_NYU_5-12-11	10.32	10.72	shadow	0
Ashbery-John_Complete-Recording_Honoring-Illuminations-Translation_NYU_5-12-11	10.72	10.84	of	0
Ashbery-John_Complete-Recording_Honoring-Illuminations-Translation_NYU_5-12-11	10.84	11.0	a	0
Ashbery-John_Complete-Recording_Honoring-Illuminations-Translation_NYU_5-12-11	11.0	11.28	pin	0
Ashbery-John_Complete-Recording_Honoring-Illuminations-Translation_NYU_5-12-11	11.28	11.44	on	0
Ashbery-John_Complete-Recording_Honoring-Illuminations-Translation_NYU_5-12-11	11.44	11.66	an	0
Ashbery-John_Complete-Recording_Honoring-Illuminations-Translation_NYU_5-12-11	11.66	14.52	apple	0
Ashbery-John_Complete-Recording_Honoring-Illuminations-Translation_NYU_5-12-11	14.52	16.1	that's	1
Ashbery-John_Complete-Recording_Honoring-Illuminations-Translation_NYU_5-12-11	16.1	16.26	that	1
Ashbery-John_Complete-Recording_Honoring-Illuminations-Translation_NYU_5-12-11	16.26	16.46	got	1
Ashbery-John_Complete-Recording_Honoring-Illuminations-Translation_NYU_5-12-11	16.46	16.58	me	1
Ashbery-John_Complete-Recording_Honoring-Illuminations-Translation_NYU_5-12-11	16.58	17.96	interested	1
Ashbery-John_Complete-Recording_Honoring-Illuminations-Translation_NYU_5-12-11	17.96	19.42	and	1
Ashbery-John_Complete-Recording_Honoring-Illuminations-Translation_NYU_5-12-11	19.42	21.42	but	1
Ashbery-John_Complete-Recording_Honoring-Illuminations-Translation_NYU_5-12-11	21.42	22.4	yeah	1
Ashbery-John_Complete-Recording_Honoring-Illuminations-Translation_NYU_5-12-11	22.4	24.02	then	1
