file	beg	end	text
Sze-Arthur_Complete-Recording_UPenn_12-5-06	0.0	1.02	Whitecaps
Sze-Arthur_Complete-Recording_UPenn_12-5-06	1.02	1.36	on
Sze-Arthur_Complete-Recording_UPenn_12-5-06	1.36	1.74	teal
Sze-Arthur_Complete-Recording_UPenn_12-5-06	1.74	2.18	water,
Sze-Arthur_Complete-Recording_UPenn_12-5-06	2.48	2.72	a
Sze-Arthur_Complete-Recording_UPenn_12-5-06	2.72	2.9	few
Sze-Arthur_Complete-Recording_UPenn_12-5-06	2.9	3.48	freighters
Sze-Arthur_Complete-Recording_UPenn_12-5-06	3.48	4.14	zigzag
Sze-Arthur_Complete-Recording_UPenn_12-5-06	4.14	4.56	down
Sze-Arthur_Complete-Recording_UPenn_12-5-06	4.56	4.8	from
Sze-Arthur_Complete-Recording_UPenn_12-5-06	4.8	4.96	the
Sze-Arthur_Complete-Recording_UPenn_12-5-06	4.96	5.3	black
Sze-Arthur_Complete-Recording_UPenn_12-5-06	5.3	5.82	sea.
Sze-Arthur_Complete-Recording_UPenn_12-5-06	6.44	7.2	Sunlight
Sze-Arthur_Complete-Recording_UPenn_12-5-06	7.2	7.84	flares
Sze-Arthur_Complete-Recording_UPenn_12-5-06	7.84	8.12	at
Sze-Arthur_Complete-Recording_UPenn_12-5-06	8.12	8.26	the
Sze-Arthur_Complete-Recording_UPenn_12-5-06	8.26	8.66	edges
Sze-Arthur_Complete-Recording_UPenn_12-5-06	8.66	9.0	of
Sze-Arthur_Complete-Recording_UPenn_12-5-06	9.0	9.6	leaves.
Sze-Arthur_Complete-Recording_UPenn_12-5-06	9.9	10.3	Heat
Sze-Arthur_Complete-Recording_UPenn_12-5-06	10.3	10.82	ripples
Sze-Arthur_Complete-Recording_UPenn_12-5-06	10.82	11.16	up
Sze-Arthur_Complete-Recording_UPenn_12-5-06	11.16	11.4	from
Sze-Arthur_Complete-Recording_UPenn_12-5-06	11.4	11.56	the
Sze-Arthur_Complete-Recording_UPenn_12-5-06	11.56	11.84	noon
Sze-Arthur_Complete-Recording_UPenn_12-5-06	11.84	12.44	street
Sze-Arthur_Complete-Recording_UPenn_12-5-06	12.44	13.22	and
Sze-Arthur_Complete-Recording_UPenn_12-5-06	13.22	13.44	from
Sze-Arthur_Complete-Recording_UPenn_12-5-06	13.44	13.92	rusted
Sze-Arthur_Complete-Recording_UPenn_12-5-06	13.92	14.28	car
Sze-Arthur_Complete-Recording_UPenn_12-5-06	14.28	14.76	tops.
Sze-Arthur_Complete-Recording_UPenn_12-5-06	15.14	15.68	The
Sze-Arthur_Complete-Recording_UPenn_12-5-06	15.68	16.06	salt
Sze-Arthur_Complete-Recording_UPenn_12-5-06	16.06	16.26	in
Sze-Arthur_Complete-Recording_UPenn_12-5-06	16.26	16.38	the
Sze-Arthur_Complete-Recording_UPenn_12-5-06	16.38	16.76	air
Sze-Arthur_Complete-Recording_UPenn_12-5-06	16.76	17.44	stings
Sze-Arthur_Complete-Recording_UPenn_12-5-06	17.44	17.72	my
Sze-Arthur_Complete-Recording_UPenn_12-5-06	17.72	18.32	eyes.
Sze-Arthur_Complete-Recording_UPenn_12-5-06	18.48	18.8	I
Sze-Arthur_Complete-Recording_UPenn_12-5-06	18.8	19.14	lift
Sze-Arthur_Complete-Recording_UPenn_12-5-06	19.14	19.32	a
Sze-Arthur_Complete-Recording_UPenn_12-5-06	19.32	19.76	latch,
Sze-Arthur_Complete-Recording_UPenn_12-5-06	20.04	20.48	step
Sze-Arthur_Complete-Recording_UPenn_12-5-06	20.48	21.0	into
Sze-Arthur_Complete-Recording_UPenn_12-5-06	21.0	21.2	a
Sze-Arthur_Complete-Recording_UPenn_12-5-06	21.2	21.74	patio,
Sze-Arthur_Complete-Recording_UPenn_12-5-06	22.32	22.64	bird
Sze-Arthur_Complete-Recording_UPenn_12-5-06	22.64	22.88	of
