file	beg	end	text	speaker
Antin-David_Complete_Seminar_University-Buffalo_3-27-03	0.23	0.39	you	1
Antin-David_Complete_Seminar_University-Buffalo_3-27-03	0.39	0.55	know	1
Antin-David_Complete_Seminar_University-Buffalo_3-27-03	0.55	1.03	gallons	1
Antin-David_Complete_Seminar_University-Buffalo_3-27-03	1.03	1.15	and	1
Antin-David_Complete_Seminar_University-Buffalo_3-27-03	1.15	1.59	gallons	1
Antin-David_Complete_Seminar_University-Buffalo_3-27-03	1.59	1.67	of	1
Antin-David_Complete_Seminar_University-Buffalo_3-27-03	1.67	2.35	gasoline	1
Antin-David_Complete_Seminar_University-Buffalo_3-27-03	2.35	2.47	and	1
Antin-David_Complete_Seminar_University-Buffalo_3-27-03	2.47	2.79	huge	1
Antin-David_Complete_Seminar_University-Buffalo_3-27-03	2.79	3.23	tankers	1
Antin-David_Complete_Seminar_University-Buffalo_3-27-03	3.23	3.39	that	1
Antin-David_Complete_Seminar_University-Buffalo_3-27-03	3.39	3.51	are	1
Antin-David_Complete_Seminar_University-Buffalo_3-27-03	3.51	4.03	explosive	1
Antin-David_Complete_Seminar_University-Buffalo_3-27-03	4.03	4.23	that	1
Antin-David_Complete_Seminar_University-Buffalo_3-27-03	4.23	4.43	are	1
Antin-David_Complete_Seminar_University-Buffalo_3-27-03	4.43	4.87	flying	1
Antin-David_Complete_Seminar_University-Buffalo_3-27-03	4.87	5.79	explosives	1
Antin-David_Complete_Seminar_University-Buffalo_3-27-03	6.63	6.67	i	1
Antin-David_Complete_Seminar_University-Buffalo_3-27-03	6.71	6.87	mean	1
Antin-David_Complete_Seminar_University-Buffalo_3-27-03	6.87	6.91	i	1
Antin-David_Complete_Seminar_University-Buffalo_3-27-03	6.91	7.11	don't	1
Antin-David_Complete_Seminar_University-Buffalo_3-27-03	7.11	7.51	know	1
Antin-David_Complete_Seminar_University-Buffalo_3-27-03	7.51	7.55	i	1
Antin-David_Complete_Seminar_University-Buffalo_3-27-03	7.55	7.71	mean	1
Antin-David_Complete_Seminar_University-Buffalo_3-27-03	7.75	7.79	i	1
Antin-David_Complete_Seminar_University-Buffalo_3-27-03	7.91	7.95	i	1
Antin-David_Complete_Seminar_University-Buffalo_3-27-03	7.95	7.99	i	1
Antin-David_Complete_Seminar_University-Buffalo_3-27-03	7.99	8.43	you	1
Antin-David_Complete_Seminar_University-Buffalo_3-27-03	8.43	8.59	know	1
Antin-David_Complete_Seminar_University-Buffalo_3-27-03	8.83	8.95	but	1
Antin-David_Complete_Seminar_University-Buffalo_3-27-03	8.95	9.11	they	1
Antin-David_Complete_Seminar_University-Buffalo_3-27-03	9.11	9.31	don't	1
Antin-David_Complete_Seminar_University-Buffalo_3-27-03	9.31	9.47	talk	1
Antin-David_Complete_Seminar_University-Buffalo_3-27-03	9.47	9.71	about	1
Antin-David_Complete_Seminar_University-Buffalo_3-27-03	9.71	9.95	that	1
Antin-David_Complete_Seminar_University-Buffalo_3-27-03	9.95	10.47	that	1
Antin-David_Complete_Seminar_University-Buffalo_3-27-03	10.47	10.59	you	1
Antin-David_Complete_Seminar_University-Buffalo_3-27-03	10.59	10.83	know	1
Antin-David_Complete_Seminar_University-Buffalo_3-27-03	10.83	11.19	that	1
Antin-David_Complete_Seminar_University-Buffalo_3-27-03	11.19	11.31	you	1
Antin-David_Complete_Seminar_University-Buffalo_3-27-03	11.55	11.75	know	1
Antin-David_Complete_Seminar_University-Buffalo_3-27-03	11.75	11.95	they	1
Antin-David_Complete_Seminar_University-Buffalo_3-27-03	11.95	12.15	say	1
Antin-David_Complete_Seminar_University-Buffalo_3-27-03	12.15	12.39	that	1
Antin-David_Complete_Seminar_University-Buffalo_3-27-03	12.83	12.99	the	1
Antin-David_Complete_Seminar_University-Buffalo_3-27-03	12.99	13.23	food	1
Antin-David_Complete_Seminar_University-Buffalo_3-27-03	13.23	13.55	nearly	1
Antin-David_Complete_Seminar_University-Buffalo_3-27-03	13.55	13.83	didn't	1
Antin-David_Complete_Seminar_University-Buffalo_3-27-03	13.83	14.07	reach	1
Antin-David_Complete_Seminar_University-Buffalo_3-27-03	14.07	14.31	the	1
Antin-David_Complete_Seminar_University-Buffalo_3-27-03	14.47	15.31	troops	1
Antin-David_Complete_Seminar_University-Buffalo_3-27-03	15.31	15.47	let	1
Antin-David_Complete_Seminar_University-Buffalo_3-27-03	15.47	15.71	alone	1
Antin-David_Complete_Seminar_University-Buffalo_3-27-03	15.71	15.99	the	1
Antin-David_Complete_Seminar_University-Buffalo_3-27-03	15.99	16.59	humanitarian	1
Antin-David_Complete_Seminar_University-Buffalo_3-27-03	16.59	16.71	aid	1
Antin-David_Complete_Seminar_University-Buffalo_3-27-03	16.71	16.83	the	1
Antin-David_Complete_Seminar_University-Buffalo_3-27-03	16.83	17.03	food	1
Antin-David_Complete_Seminar_University-Buffalo_3-27-03	17.03	17.31	nearly	1
Antin-David_Complete_Seminar_University-Buffalo_3-27-03	17.31	17.55	didn't	1
Antin-David_Complete_Seminar_University-Buffalo_3-27-03	17.55	17.75	reach	1
Antin-David_Complete_Seminar_University-Buffalo_3-27-03	17.75	17.91	them	1
Antin-David_Complete_Seminar_University-Buffalo_3-27-03	17.91	18.03	for	1
Antin-David_Complete_Seminar_University-Buffalo_3-27-03	18.03	18.15	the	1
Antin-David_Complete_Seminar_University-Buffalo_3-27-03	18.15	18.35	next	1
Antin-David_Complete_Seminar_University-Buffalo_3-27-03	18.35	18.51	two	1
Antin-David_Complete_Seminar_University-Buffalo_3-27-03	18.51	19.15	days	1
Antin-David_Complete_Seminar_University-Buffalo_3-27-03	19.79	19.99	so	1
Antin-David_Complete_Seminar_University-Buffalo_3-27-03	19.99	20.15	what	1
