file	beg	end	text
Howe-Susan_04_Complete-Reading_SUNY-Buffalo_11-6-94	0.0	0.35	Cries
Howe-Susan_04_Complete-Reading_SUNY-Buffalo_11-6-94	0.35	0.49	of
Howe-Susan_04_Complete-Reading_SUNY-Buffalo_11-6-94	0.49	0.77	love
Howe-Susan_04_Complete-Reading_SUNY-Buffalo_11-6-94	0.77	0.98	and
Howe-Susan_04_Complete-Reading_SUNY-Buffalo_11-6-94	0.98	1.33	alarm
Howe-Susan_04_Complete-Reading_SUNY-Buffalo_11-6-94	1.33	1.47	on
Howe-Susan_04_Complete-Reading_SUNY-Buffalo_11-6-94	1.47	1.68	the
Howe-Susan_04_Complete-Reading_SUNY-Buffalo_11-6-94	1.68	2.45	soundtrack
Howe-Susan_04_Complete-Reading_SUNY-Buffalo_11-6-94	2.45	3.04	fade
Howe-Susan_04_Complete-Reading_SUNY-Buffalo_11-6-94	3.04	3.38	into
Howe-Susan_04_Complete-Reading_SUNY-Buffalo_11-6-94	3.38	3.55	an
Howe-Susan_04_Complete-Reading_SUNY-Buffalo_11-6-94	3.55	3.8	air
Howe-Susan_04_Complete-Reading_SUNY-Buffalo_11-6-94	3.8	4.13	raid
Howe-Susan_04_Complete-Reading_SUNY-Buffalo_11-6-94	4.13	4.88	siren,
Howe-Susan_04_Complete-Reading_SUNY-Buffalo_11-6-94	4.88	5.18	factory
Howe-Susan_04_Complete-Reading_SUNY-Buffalo_11-6-94	5.18	5.68	whistle,
Howe-Susan_04_Complete-Reading_SUNY-Buffalo_11-6-94	5.68	6.12	or
Howe-Susan_04_Complete-Reading_SUNY-Buffalo_11-6-94	6.12	6.21	is
Howe-Susan_04_Complete-Reading_SUNY-Buffalo_11-6-94	6.21	6.3	it
Howe-Susan_04_Complete-Reading_SUNY-Buffalo_11-6-94	6.3	6.44	the
Howe-Susan_04_Complete-Reading_SUNY-Buffalo_11-6-94	6.44	6.78	whistle
Howe-Susan_04_Complete-Reading_SUNY-Buffalo_11-6-94	6.78	6.87	of
