file	beg	end	text	speaker
Bellamy-Dodie_Complete-Reading_A-Voice-Box_Canessa-Park_1-17-09	0.23	0.55	two	1
Bellamy-Dodie_Complete-Reading_A-Voice-Box_Canessa-Park_1-17-09	0.55	0.99	sets	1
Bellamy-Dodie_Complete-Reading_A-Voice-Box_Canessa-Park_1-17-09	0.99	1.31	double	1
Bellamy-Dodie_Complete-Reading_A-Voice-Box_Canessa-Park_1-17-09	1.31	1.75	deckard	1
Bellamy-Dodie_Complete-Reading_A-Voice-Box_Canessa-Park_1-17-09	1.75	1.91	on	1
Bellamy-Dodie_Complete-Reading_A-Voice-Box_Canessa-Park_1-17-09	1.91	2.19	each	1
Bellamy-Dodie_Complete-Reading_A-Voice-Box_Canessa-Park_1-17-09	2.19	2.87	window	1
Bellamy-Dodie_Complete-Reading_A-Voice-Box_Canessa-Park_1-17-09	3.27	3.75	white	1
Bellamy-Dodie_Complete-Reading_A-Voice-Box_Canessa-Park_1-17-09	3.75	3.99	with	1
Bellamy-Dodie_Complete-Reading_A-Voice-Box_Canessa-Park_1-17-09	3.99	4.03	a	1
Bellamy-Dodie_Complete-Reading_A-Voice-Box_Canessa-Park_1-17-09	4.03	4.39	four	1
Bellamy-Dodie_Complete-Reading_A-Voice-Box_Canessa-Park_1-17-09	4.39	4.63	inch	1
Bellamy-Dodie_Complete-Reading_A-Voice-Box_Canessa-Park_1-17-09	4.63	5.07	band	1
Bellamy-Dodie_Complete-Reading_A-Voice-Box_Canessa-Park_1-17-09	5.07	5.23	of	1
Bellamy-Dodie_Complete-Reading_A-Voice-Box_Canessa-Park_1-17-09	5.23	5.59	pink	1
Bellamy-Dodie_Complete-Reading_A-Voice-Box_Canessa-Park_1-17-09	5.59	5.75	and	1
Bellamy-Dodie_Complete-Reading_A-Voice-Box_Canessa-Park_1-17-09	5.75	6.07	white	1
Bellamy-Dodie_Complete-Reading_A-Voice-Box_Canessa-Park_1-17-09	6.07	7.03	stripes	1
Bellamy-Dodie_Complete-Reading_A-Voice-Box_Canessa-Park_1-17-09	7.03	7.55	hideous	1
Bellamy-Dodie_Complete-Reading_A-Voice-Box_Canessa-Park_1-17-09	7.55	7.95	half	1
Bellamy-Dodie_Complete-Reading_A-Voice-Box_Canessa-Park_1-17-09	7.95	8.27	inch	1
Bellamy-Dodie_Complete-Reading_A-Voice-Box_Canessa-Park_1-17-09	8.27	9.03	wide	1
Bellamy-Dodie_Complete-Reading_A-Voice-Box_Canessa-Park_1-17-09	9.07	9.67	vertical	1
Bellamy-Dodie_Complete-Reading_A-Voice-Box_Canessa-Park_1-17-09	9.67	9.99	pink	1
Bellamy-Dodie_Complete-Reading_A-Voice-Box_Canessa-Park_1-17-09	9.99	10.11	and	1
Bellamy-Dodie_Complete-Reading_A-Voice-Box_Canessa-Park_1-17-09	10.11	10.39	white	1
Bellamy-Dodie_Complete-Reading_A-Voice-Box_Canessa-Park_1-17-09	10.39	11.19	stripes	1
Bellamy-Dodie_Complete-Reading_A-Voice-Box_Canessa-Park_1-17-09	11.39	11.71	that	1
Bellamy-Dodie_Complete-Reading_A-Voice-Box_Canessa-Park_1-17-09	11.71	12.15	cycle	1
Bellamy-Dodie_Complete-Reading_A-Voice-Box_Canessa-Park_1-17-09	12.15	12.43	through	1
Bellamy-Dodie_Complete-Reading_A-Voice-Box_Canessa-Park_1-17-09	12.43	12.51	my	1
Bellamy-Dodie_Complete-Reading_A-Voice-Box_Canessa-Park_1-17-09	12.51	13.15	memories	1
Bellamy-Dodie_Complete-Reading_A-Voice-Box_Canessa-Park_1-17-09	13.15	13.51	over	1
Bellamy-Dodie_Complete-Reading_A-Voice-Box_Canessa-Park_1-17-09	13.51	13.67	and	1
Bellamy-Dodie_Complete-Reading_A-Voice-Box_Canessa-Park_1-17-09	13.67	14.35	over	1
Bellamy-Dodie_Complete-Reading_A-Voice-Box_Canessa-Park_1-17-09	14.47	14.71	the	1
Bellamy-Dodie_Complete-Reading_A-Voice-Box_Canessa-Park_1-17-09	14.71	15.19	jabbing	1
Bellamy-Dodie_Complete-Reading_A-Voice-Box_Canessa-Park_1-17-09	15.19	15.55	eek	1
Bellamy-Dodie_Complete-Reading_A-Voice-Box_Canessa-Park_1-17-09	15.55	15.87	eek	1
Bellamy-Dodie_Complete-Reading_A-Voice-Box_Canessa-Park_1-17-09	15.87	16.31	eek	1
Bellamy-Dodie_Complete-Reading_A-Voice-Box_Canessa-Park_1-17-09	16.39	16.51	of	1
Bellamy-Dodie_Complete-Reading_A-Voice-Box_Canessa-Park_1-17-09	16.51	16.63	the	1
Bellamy-Dodie_Complete-Reading_A-Voice-Box_Canessa-Park_1-17-09	16.63	17.39	soundtrack	1
Bellamy-Dodie_Complete-Reading_A-Voice-Box_Canessa-Park_1-17-09	17.39	17.63	to	1
Bellamy-Dodie_Complete-Reading_A-Voice-Box_Canessa-Park_1-17-09	17.63	17.67	a	1
Bellamy-Dodie_Complete-Reading_A-Voice-Box_Canessa-Park_1-17-09	17.67	18.19	migraine	1
Bellamy-Dodie_Complete-Reading_A-Voice-Box_Canessa-Park_1-17-09	18.19	19.03	commercial	1
Bellamy-Dodie_Complete-Reading_A-Voice-Box_Canessa-Park_1-17-09	19.47	19.67	or	1
