file	beg	end	text
Gladman-Renee_Complete-Reading_Drawing-Room_Tuscon_AZ_02-21-09	0.23	0.61	feels
Gladman-Renee_Complete-Reading_Drawing-Room_Tuscon_AZ_02-21-09	0.61	1.63	good.
Gladman-Renee_Complete-Reading_Drawing-Room_Tuscon_AZ_02-21-09	1.63	1.74	That
Gladman-Renee_Complete-Reading_Drawing-Room_Tuscon_AZ_02-21-09	1.74	2.1	joy
Gladman-Renee_Complete-Reading_Drawing-Room_Tuscon_AZ_02-21-09	2.1	2.63	lasts
Gladman-Renee_Complete-Reading_Drawing-Room_Tuscon_AZ_02-21-09	2.63	2.89	as
Gladman-Renee_Complete-Reading_Drawing-Room_Tuscon_AZ_02-21-09	2.89	3.34	long
Gladman-Renee_Complete-Reading_Drawing-Room_Tuscon_AZ_02-21-09	3.34	3.54	as
Gladman-Renee_Complete-Reading_Drawing-Room_Tuscon_AZ_02-21-09	3.54	3.66	your
Gladman-Renee_Complete-Reading_Drawing-Room_Tuscon_AZ_02-21-09	3.66	4.0	walk
Gladman-Renee_Complete-Reading_Drawing-Room_Tuscon_AZ_02-21-09	4.0	4.47	through
Gladman-Renee_Complete-Reading_Drawing-Room_Tuscon_AZ_02-21-09	4.47	4.67	the
Gladman-Renee_Complete-Reading_Drawing-Room_Tuscon_AZ_02-21-09	4.67	5.14	city
Gladman-Renee_Complete-Reading_Drawing-Room_Tuscon_AZ_02-21-09	5.14	5.17	and
Gladman-Renee_Complete-Reading_Drawing-Room_Tuscon_AZ_02-21-09	5.17	5.74	dissolves
Gladman-Renee_Complete-Reading_Drawing-Room_Tuscon_AZ_02-21-09	5.74	6.01	when
Gladman-Renee_Complete-Reading_Drawing-Room_Tuscon_AZ_02-21-09	6.01	6.21	you
Gladman-Renee_Complete-Reading_Drawing-Room_Tuscon_AZ_02-21-09	6.21	6.61	return
Gladman-Renee_Complete-Reading_Drawing-Room_Tuscon_AZ_02-21-09	6.61	6.88	home
Gladman-Renee_Complete-Reading_Drawing-Room_Tuscon_AZ_02-21-09	6.88	7.04	to
Gladman-Renee_Complete-Reading_Drawing-Room_Tuscon_AZ_02-21-09	7.04	7.28	your
Gladman-Renee_Complete-Reading_Drawing-Room_Tuscon_AZ_02-21-09	7.28	7.6	work
Gladman-Renee_Complete-Reading_Drawing-Room_Tuscon_AZ_02-21-09	7.6	7.98	to
Gladman-Renee_Complete-Reading_Drawing-Room_Tuscon_AZ_02-21-09	7.98	8.08	how
Gladman-Renee_Complete-Reading_Drawing-Room_Tuscon_AZ_02-21-09	8.08	8.57	far
Gladman-Renee_Complete-Reading_Drawing-Room_Tuscon_AZ_02-21-09	8.57	8.85	there
Gladman-Renee_Complete-Reading_Drawing-Room_Tuscon_AZ_02-21-09	8.85	9.04	is
Gladman-Renee_Complete-Reading_Drawing-Room_Tuscon_AZ_02-21-09	9.04	9.42	left
Gladman-Renee_Complete-Reading_Drawing-Room_Tuscon_AZ_02-21-09	9.42	9.61	to
Gladman-Renee_Complete-Reading_Drawing-Room_Tuscon_AZ_02-21-09	9.61	9.8	go
Gladman-Renee_Complete-Reading_Drawing-Room_Tuscon_AZ_02-21-09	9.8	10.18	with
Gladman-Renee_Complete-Reading_Drawing-Room_Tuscon_AZ_02-21-09	10.18	10.42	it.
Gladman-Renee_Complete-Reading_Drawing-Room_Tuscon_AZ_02-21-09	10.42	11.39	In
Gladman-Renee_Complete-Reading_Drawing-Room_Tuscon_AZ_02-21-09	11.39	12.85	the
Gladman-Renee_Complete-Reading_Drawing-Room_Tuscon_AZ_02-21-09	12.85	15.13	fall
Gladman-Renee_Complete-Reading_Drawing-Room_Tuscon_AZ_02-21-09	15.13	15.78	of
Gladman-Renee_Complete-Reading_Drawing-Room_Tuscon_AZ_02-21-09	15.78	16.9	1997,
Gladman-Renee_Complete-Reading_Drawing-Room_Tuscon_AZ_02-21-09	16.9	16.98	I
Gladman-Renee_Complete-Reading_Drawing-Room_Tuscon_AZ_02-21-09	16.98	17.38	moved
Gladman-Renee_Complete-Reading_Drawing-Room_Tuscon_AZ_02-21-09	17.38	17.7	into
Gladman-Renee_Complete-Reading_Drawing-Room_Tuscon_AZ_02-21-09	17.7	17.78	a
Gladman-Renee_Complete-Reading_Drawing-Room_Tuscon_AZ_02-21-09	17.78	18.89	two-bedroom
Gladman-Renee_Complete-Reading_Drawing-Room_Tuscon_AZ_02-21-09	18.89	19.0	flat
Gladman-Renee_Complete-Reading_Drawing-Room_Tuscon_AZ_02-21-09	19.0	19.54	just
Gladman-Renee_Complete-Reading_Drawing-Room_Tuscon_AZ_02-21-09	19.54	19.82	up
Gladman-Renee_Complete-Reading_Drawing-Room_Tuscon_AZ_02-21-09	19.82	19.99	the
Gladman-Renee_Complete-Reading_Drawing-Room_Tuscon_AZ_02-21-09	19.99	20.34	street
Gladman-Renee_Complete-Reading_Drawing-Room_Tuscon_AZ_02-21-09	20.34	20.67	from
Gladman-Renee_Complete-Reading_Drawing-Room_Tuscon_AZ_02-21-09	20.67	20.69	my
Gladman-Renee_Complete-Reading_Drawing-Room_Tuscon_AZ_02-21-09	20.69	21.13	previous
Gladman-Renee_Complete-Reading_Drawing-Room_Tuscon_AZ_02-21-09	21.13	21.74	residence,
Gladman-Renee_Complete-Reading_Drawing-Room_Tuscon_AZ_02-21-09	21.74	22.32	though
Gladman-Renee_Complete-Reading_Drawing-Room_Tuscon_AZ_02-21-09	22.32	22.32	here
Gladman-Renee_Complete-Reading_Drawing-Room_Tuscon_AZ_02-21-09	22.32	22.89	everything
Gladman-Renee_Complete-Reading_Drawing-Room_Tuscon_AZ_02-21-09	22.89	23.06	was
Gladman-Renee_Complete-Reading_Drawing-Room_Tuscon_AZ_02-21-09	23.06	23.8	different.
Gladman-Renee_Complete-Reading_Drawing-Room_Tuscon_AZ_02-21-09	23.8	23.89	Now
Gladman-Renee_Complete-Reading_Drawing-Room_Tuscon_AZ_02-21-09	23.89	24.1	I
Gladman-Renee_Complete-Reading_Drawing-Room_Tuscon_AZ_02-21-09	24.1	24.56	had
Gladman-Renee_Complete-Reading_Drawing-Room_Tuscon_AZ_02-21-09	24.56	24.57	one
Gladman-Renee_Complete-Reading_Drawing-Room_Tuscon_AZ_02-21-09	24.57	25.23	roommate
Gladman-Renee_Complete-Reading_Drawing-Room_Tuscon_AZ_02-21-09	25.23	25.72	instead
Gladman-Renee_Complete-Reading_Drawing-Room_Tuscon_AZ_02-21-09	25.72	25.87	of
Gladman-Renee_Complete-Reading_Drawing-Room_Tuscon_AZ_02-21-09	25.87	26.4	three,
Gladman-Renee_Complete-Reading_Drawing-Room_Tuscon_AZ_02-21-09	26.4	26.78	which
