file	beg	end	text	speaker
Hawkins-Bobbie-Louise_01_Complete-Reading_Alfred-University_10-14-75	0.0	0.48	He	
Hawkins-Bobbie-Louise_01_Complete-Reading_Alfred-University_10-14-75	0.48	0.72	had	
Hawkins-Bobbie-Louise_01_Complete-Reading_Alfred-University_10-14-75	0.72	0.8	a	
Hawkins-Bobbie-Louise_01_Complete-Reading_Alfred-University_10-14-75	0.8	1.4	lousy	
Hawkins-Bobbie-Louise_01_Complete-Reading_Alfred-University_10-14-75	1.4	1.96	temper	
Hawkins-Bobbie-Louise_01_Complete-Reading_Alfred-University_10-14-75	2.12	2.44	and	
Hawkins-Bobbie-Louise_01_Complete-Reading_Alfred-University_10-14-75	2.44	2.56	I	
Hawkins-Bobbie-Louise_01_Complete-Reading_Alfred-University_10-14-75	2.56	3.12	never	
Hawkins-Bobbie-Louise_01_Complete-Reading_Alfred-University_10-14-75	3.48	3.64	I	
Hawkins-Bobbie-Louise_01_Complete-Reading_Alfred-University_10-14-75	3.64	3.92	guess	
Hawkins-Bobbie-Louise_01_Complete-Reading_Alfred-University_10-14-75	3.92	4.04	I	
Hawkins-Bobbie-Louise_01_Complete-Reading_Alfred-University_10-14-75	4.04	4.4	never	
Hawkins-Bobbie-Louise_01_Complete-Reading_Alfred-University_10-14-75	4.4	4.68	will	
Hawkins-Bobbie-Louise_01_Complete-Reading_Alfred-University_10-14-75	4.68	4.96	get	
Hawkins-Bobbie-Louise_01_Complete-Reading_Alfred-University_10-14-75	4.96	5.16	rid	
Hawkins-Bobbie-Louise_01_Complete-Reading_Alfred-University_10-14-75	5.16	5.24	of	
Hawkins-Bobbie-Louise_01_Complete-Reading_Alfred-University_10-14-75	5.24	5.56	that	
Hawkins-Bobbie-Louise_01_Complete-Reading_Alfred-University_10-14-75	5.56	6.04	secret	
Hawkins-Bobbie-Louise_01_Complete-Reading_Alfred-University_10-14-75	6.04	7.04	self-protection	
Hawkins-Bobbie-Louise_01_Complete-Reading_Alfred-University_10-14-75	7.04	7.2	I	
Hawkins-Bobbie-Louise_01_Complete-Reading_Alfred-University_10-14-75	7.2	7.52	learned	
Hawkins-Bobbie-Louise_01_Complete-Reading_Alfred-University_10-14-75	7.52	7.88	then.	
Hawkins-Bobbie-Louise_01_Complete-Reading_Alfred-University_10-14-75	8.8	8.92	They	
Hawkins-Bobbie-Louise_01_Complete-Reading_Alfred-University_10-14-75	8.92	9.24	both	
Hawkins-Bobbie-Louise_01_Complete-Reading_Alfred-University_10-14-75	9.24	9.4	were	
Hawkins-Bobbie-Louise_01_Complete-Reading_Alfred-University_10-14-75	9.4	10.04	fighters	
Hawkins-Bobbie-Louise_01_Complete-Reading_Alfred-University_10-14-75	10.28	10.44	my	
Hawkins-Bobbie-Louise_01_Complete-Reading_Alfred-University_10-14-75	10.44	10.76	mother	
Hawkins-Bobbie-Louise_01_Complete-Reading_Alfred-University_10-14-75	10.76	10.92	and	
Hawkins-Bobbie-Louise_01_Complete-Reading_Alfred-University_10-14-75	10.92	11.44	father.	
Hawkins-Bobbie-Louise_01_Complete-Reading_Alfred-University_10-14-75	12.0	12.12	I	
Hawkins-Bobbie-Louise_01_Complete-Reading_Alfred-University_10-14-75	12.12	12.52	remember	
Hawkins-Bobbie-Louise_01_Complete-Reading_Alfred-University_10-14-75	12.52	12.76	him	
Hawkins-Bobbie-Louise_01_Complete-Reading_Alfred-University_10-14-75	12.76	13.08	pulling	
Hawkins-Bobbie-Louise_01_Complete-Reading_Alfred-University_10-14-75	13.08	13.24	the	
Hawkins-Bobbie-Louise_01_Complete-Reading_Alfred-University_10-14-75	13.24	14.04	tablecloth	
Hawkins-Bobbie-Louise_01_Complete-Reading_Alfred-University_10-14-75	14.04	14.2	off	
Hawkins-Bobbie-Louise_01_Complete-Reading_Alfred-University_10-14-75	14.2	14.32	the	
Hawkins-Bobbie-Louise_01_Complete-Reading_Alfred-University_10-14-75	14.32	14.72	table	
Hawkins-Bobbie-Louise_01_Complete-Reading_Alfred-University_10-14-75	14.72	14.84	when	
Hawkins-Bobbie-Louise_01_Complete-Reading_Alfred-University_10-14-75	14.84	15.04	his	
Hawkins-Bobbie-Louise_01_Complete-Reading_Alfred-University_10-14-75	15.04	15.52	breakfast	
Hawkins-Bobbie-Louise_01_Complete-Reading_Alfred-University_10-14-75	15.52	15.8	didn't	
Hawkins-Bobbie-Louise_01_Complete-Reading_Alfred-University_10-14-75	15.8	16.04	suit	
Hawkins-Bobbie-Louise_01_Complete-Reading_Alfred-University_10-14-75	16.04	16.32	him.	
Hawkins-Bobbie-Louise_01_Complete-Reading_Alfred-University_10-14-75	16.36	16.56	What	
Hawkins-Bobbie-Louise_01_Complete-Reading_Alfred-University_10-14-75	16.56	16.6	a	
Hawkins-Bobbie-Louise_01_Complete-Reading_Alfred-University_10-14-75	16.6	17.16	mess.	
Hawkins-Bobbie-Louise_01_Complete-Reading_Alfred-University_10-14-75	17.88	18.0	And	
Hawkins-Bobbie-Louise_01_Complete-Reading_Alfred-University_10-14-75	18.0	18.12	the	
Hawkins-Bobbie-Louise_01_Complete-Reading_Alfred-University_10-14-75	18.12	18.48	time	
Hawkins-Bobbie-Louise_01_Complete-Reading_Alfred-University_10-14-75	18.48	18.64	she	
Hawkins-Bobbie-Louise_01_Complete-Reading_Alfred-University_10-14-75	18.64	18.84	threw	
Hawkins-Bobbie-Louise_01_Complete-Reading_Alfred-University_10-14-75	18.84	18.92	a	
Hawkins-Bobbie-Louise_01_Complete-Reading_Alfred-University_10-14-75	18.92	19.28	meat	
Hawkins-Bobbie-Louise_01_Complete-Reading_Alfred-University_10-14-75	19.28	19.76	cleaver	
Hawkins-Bobbie-Louise_01_Complete-Reading_Alfred-University_10-14-75	19.76	20.08	after	
Hawkins-Bobbie-Louise_01_Complete-Reading_Alfred-University_10-14-75	20.08	20.2	him	
Hawkins-Bobbie-Louise_01_Complete-Reading_Alfred-University_10-14-75	20.2	20.32	and	
Hawkins-Bobbie-Louise_01_Complete-Reading_Alfred-University_10-14-75	20.32	20.44	it	
Hawkins-Bobbie-Louise_01_Complete-Reading_Alfred-University_10-14-75	20.44	20.76	stuck	
Hawkins-Bobbie-Louise_01_Complete-Reading_Alfred-University_10-14-75	20.76	20.88	in	
Hawkins-Bobbie-Louise_01_Complete-Reading_Alfred-University_10-14-75	20.88	21.0	the	
Hawkins-Bobbie-Louise_01_Complete-Reading_Alfred-University_10-14-75	21.0	21.32	door	
Hawkins-Bobbie-Louise_01_Complete-Reading_Alfred-University_10-14-75	21.32	21.72	jam	
Hawkins-Bobbie-Louise_01_Complete-Reading_Alfred-University_10-14-75	21.72	22.04	inches	
Hawkins-Bobbie-Louise_01_Complete-Reading_Alfred-University_10-14-75	22.04	22.2	from	
Hawkins-Bobbie-Louise_01_Complete-Reading_Alfred-University_10-14-75	22.2	22.36	his	
Hawkins-Bobbie-Louise_01_Complete-Reading_Alfred-University_10-14-75	22.36	22.76	head.	
Hawkins-Bobbie-Louise_01_Complete-Reading_Alfred-University_10-14-75	23.44	23.6	He	
Hawkins-Bobbie-Louise_01_Complete-Reading_Alfred-University_10-14-75	23.6	24.32	stopped	
Hawkins-Bobbie-Louise_01_Complete-Reading_Alfred-University_10-14-75	25.04	25.2	and	
Hawkins-Bobbie-Louise_01_Complete-Reading_Alfred-University_10-14-75	25.2	25.36	she	
Hawkins-Bobbie-Louise_01_Complete-Reading_Alfred-University_10-14-75	25.36	25.64	says	
Hawkins-Bobbie-Louise_01_Complete-Reading_Alfred-University_10-14-75	25.64	25.76	he	
Hawkins-Bobbie-Louise_01_Complete-Reading_Alfred-University_10-14-75	25.76	26.2	turned	
Hawkins-Bobbie-Louise_01_Complete-Reading_Alfred-University_10-14-75	26.2	26.72	pale	
Hawkins-Bobbie-Louise_01_Complete-Reading_Alfred-University_10-14-75	27.36	27.44	but	
Hawkins-Bobbie-Louise_01_Complete-Reading_Alfred-University_10-14-75	27.44	27.56	he	
Hawkins-Bobbie-Louise_01_Complete-Reading_Alfred-University_10-14-75	27.56	28.2	left.	
Hawkins-Bobbie-Louise_01_Complete-Reading_Alfred-University_10-14-75	28.84	29.12	Time	
Hawkins-Bobbie-Louise_01_Complete-Reading_Alfred-University_10-14-75	29.12	29.28	and	
Hawkins-Bobbie-Louise_01_Complete-Reading_Alfred-University_10-14-75	29.28	29.6	again	
Hawkins-Bobbie-Louise_01_Complete-Reading_Alfred-University_10-14-75	29.6	29.72	he	
Hawkins-Bobbie-Louise_01_Complete-Reading_Alfred-University_10-14-75	29.72	29.96	left.	
Hawkins-Bobbie-Louise_01_Complete-Reading_Alfred-University_10-14-75	30.72	30.88	And	
Hawkins-Bobbie-Louise_01_Complete-Reading_Alfred-University_10-14-75	30.88	31.0	when	
Hawkins-Bobbie-Louise_01_Complete-Reading_Alfred-University_10-14-75	31.0	31.12	he	
Hawkins-Bobbie-Louise_01_Complete-Reading_Alfred-University_10-14-75	31.12	31.44	came	
Hawkins-Bobbie-Louise_01_Complete-Reading_Alfred-University_10-14-75	31.44	32.08	back,	
Hawkins-Bobbie-Louise_01_Complete-Reading_Alfred-University_10-14-75	32.12	32.32	it's	
Hawkins-Bobbie-Louise_01_Complete-Reading_Alfred-University_10-14-75	32.32	32.64	called	
Hawkins-Bobbie-Louise_01_Complete-Reading_Alfred-University_10-14-75	32.64	32.96	coming	
Hawkins-Bobbie-Louise_01_Complete-Reading_Alfred-University_10-14-75	32.96	33.28	back	
Hawkins-Bobbie-Louise_01_Complete-Reading_Alfred-University_10-14-75	33.28	33.76	home.	
Hawkins-Bobbie-Louise_01_Complete-Reading_Alfred-University_10-14-75	34.36	34.68	After	
Hawkins-Bobbie-Louise_01_Complete-Reading_Alfred-University_10-14-75	34.68	34.76	a	
Hawkins-Bobbie-Louise_01_Complete-Reading_Alfred-University_10-14-75	34.76	35.08	few	
Hawkins-Bobbie-Louise_01_Complete-Reading_Alfred-University_10-14-75	35.08	35.56	months	
Hawkins-Bobbie-Louise_01_Complete-Reading_Alfred-University_10-14-75	35.56	35.68	or	
Hawkins-Bobbie-Louise_01_Complete-Reading_Alfred-University_10-14-75	35.68	36.04	whatever	
Hawkins-Bobbie-Louise_01_Complete-Reading_Alfred-University_10-14-75	36.04	36.52	time,	
Hawkins-Bobbie-Louise_01_Complete-Reading_Alfred-University_10-14-75	36.96	37.08	they	
Hawkins-Bobbie-Louise_01_Complete-Reading_Alfred-University_10-14-75	37.08	37.28	get	
Hawkins-Bobbie-Louise_01_Complete-Reading_Alfred-University_10-14-75	37.28	37.72	along	
Hawkins-Bobbie-Louise_01_Complete-Reading_Alfred-University_10-14-75	37.72	38.0	until	
Hawkins-Bobbie-Louise_01_Complete-Reading_Alfred-University_10-14-75	38.0	38.16	they	
Hawkins-Bobbie-Louise_01_Complete-Reading_Alfred-University_10-14-75	38.16	38.68	didn't.	
Hawkins-Bobbie-Louise_01_Complete-Reading_Alfred-University_10-14-75	39.64	39.76	We	
Hawkins-Bobbie-Louise_01_Complete-Reading_Alfred-University_10-14-75	39.76	40.08	moved	
Hawkins-Bobbie-Louise_01_Complete-Reading_Alfred-University_10-14-75	40.08	40.32	all	
Hawkins-Bobbie-Louise_01_Complete-Reading_Alfred-University_10-14-75	40.32	40.56	over	
Hawkins-Bobbie-Louise_01_Complete-Reading_Alfred-University_10-14-75	40.56	41.32	Texas.	
Hawkins-Bobbie-Louise_01_Complete-Reading_Alfred-University_10-14-75	41.8	42.08	Never	
Hawkins-Bobbie-Louise_01_Complete-Reading_Alfred-University_10-14-75	42.08	42.32	more	
Hawkins-Bobbie-Louise_01_Complete-Reading_Alfred-University_10-14-75	42.32	42.52	than	
Hawkins-Bobbie-Louise_01_Complete-Reading_Alfred-University_10-14-75	42.52	42.84	six	
Hawkins-Bobbie-Louise_01_Complete-Reading_Alfred-University_10-14-75	42.84	43.2	months	
Hawkins-Bobbie-Louise_01_Complete-Reading_Alfred-University_10-14-75	43.2	43.32	in	
Hawkins-Bobbie-Louise_01_Complete-Reading_Alfred-University_10-14-75	43.32	43.36	a	
Hawkins-Bobbie-Louise_01_Complete-Reading_Alfred-University_10-14-75	43.36	43.88	place,	
Hawkins-Bobbie-Louise_01_Complete-Reading_Alfred-University_10-14-75	43.88	44.28	usually	
Hawkins-Bobbie-Louise_01_Complete-Reading_Alfred-University_10-14-75	44.28	44.4	it	
Hawkins-Bobbie-Louise_01_Complete-Reading_Alfred-University_10-14-75	44.4	44.56	was	
Hawkins-Bobbie-Louise_01_Complete-Reading_Alfred-University_10-14-75	44.56	44.96	closer	
Hawkins-Bobbie-Louise_01_Complete-Reading_Alfred-University_10-14-75	44.96	45.04	to	
Hawkins-Bobbie-Louise_01_Complete-Reading_Alfred-University_10-14-75	45.04	45.32	three	
Hawkins-Bobbie-Louise_01_Complete-Reading_Alfred-University_10-14-75	45.32	45.4	or	
Hawkins-Bobbie-Louise_01_Complete-Reading_Alfred-University_10-14-75	45.4	45.88	four,	
Hawkins-Bobbie-Louise_01_Complete-Reading_Alfred-University_10-14-75	46.28	46.44	and	
Hawkins-Bobbie-Louise_01_Complete-Reading_Alfred-University_10-14-75	46.44	46.56	they	
Hawkins-Bobbie-Louise_01_Complete-Reading_Alfred-University_10-14-75	46.56	47.04	fought	
