file	beg	end	text
Sze-Arthur_Complete-Recording_UPenn_12-5-06	0.38	1.0	Whitecaps
Sze-Arthur_Complete-Recording_UPenn_12-5-06	1.0	1.22	on
Sze-Arthur_Complete-Recording_UPenn_12-5-06	1.22	1.66	teal
Sze-Arthur_Complete-Recording_UPenn_12-5-06	1.66	2.46	water,
Sze-Arthur_Complete-Recording_UPenn_12-5-06	2.46	2.61	a
Sze-Arthur_Complete-Recording_UPenn_12-5-06	2.61	2.75	few
Sze-Arthur_Complete-Recording_UPenn_12-5-06	2.75	3.55	freighters
Sze-Arthur_Complete-Recording_UPenn_12-5-06	3.55	4.14	zigzag
Sze-Arthur_Complete-Recording_UPenn_12-5-06	4.14	4.6	down
Sze-Arthur_Complete-Recording_UPenn_12-5-06	4.6	4.93	from
Sze-Arthur_Complete-Recording_UPenn_12-5-06	4.93	5.17	the
Sze-Arthur_Complete-Recording_UPenn_12-5-06	5.17	5.58	black
Sze-Arthur_Complete-Recording_UPenn_12-5-06	5.58	5.84	sea.
Sze-Arthur_Complete-Recording_UPenn_12-5-06	5.84	6.7	Sunlight
Sze-Arthur_Complete-Recording_UPenn_12-5-06	6.7	7.44	flares
Sze-Arthur_Complete-Recording_UPenn_12-5-06	7.44	7.55	at
Sze-Arthur_Complete-Recording_UPenn_12-5-06	7.55	7.87	the
Sze-Arthur_Complete-Recording_UPenn_12-5-06	7.87	8.41	edges
Sze-Arthur_Complete-Recording_UPenn_12-5-06	8.41	8.62	of
Sze-Arthur_Complete-Recording_UPenn_12-5-06	8.62	9.64	leaves.
Sze-Arthur_Complete-Recording_UPenn_12-5-06	9.64	10.09	Heat
Sze-Arthur_Complete-Recording_UPenn_12-5-06	10.09	10.69	ripples
Sze-Arthur_Complete-Recording_UPenn_12-5-06	10.69	10.92	up
Sze-Arthur_Complete-Recording_UPenn_12-5-06	10.92	11.3	from
Sze-Arthur_Complete-Recording_UPenn_12-5-06	11.3	11.55	the
Sze-Arthur_Complete-Recording_UPenn_12-5-06	11.55	11.94	noon
Sze-Arthur_Complete-Recording_UPenn_12-5-06	11.94	12.62	street
Sze-Arthur_Complete-Recording_UPenn_12-5-06	12.62	12.8	and
Sze-Arthur_Complete-Recording_UPenn_12-5-06	12.8	13.18	from
Sze-Arthur_Complete-Recording_UPenn_12-5-06	13.18	13.82	rusted
Sze-Arthur_Complete-Recording_UPenn_12-5-06	13.82	14.06	car
Sze-Arthur_Complete-Recording_UPenn_12-5-06	14.06	14.8	tops.
Sze-Arthur_Complete-Recording_UPenn_12-5-06	14.8	15.51	The
Sze-Arthur_Complete-Recording_UPenn_12-5-06	15.51	15.62	salt
Sze-Arthur_Complete-Recording_UPenn_12-5-06	15.62	15.85	in
Sze-Arthur_Complete-Recording_UPenn_12-5-06	15.85	16.2	the
Sze-Arthur_Complete-Recording_UPenn_12-5-06	16.2	16.55	air
Sze-Arthur_Complete-Recording_UPenn_12-5-06	16.55	17.25	stings
Sze-Arthur_Complete-Recording_UPenn_12-5-06	17.25	17.52	my
Sze-Arthur_Complete-Recording_UPenn_12-5-06	17.52	18.34	eyes.
Sze-Arthur_Complete-Recording_UPenn_12-5-06	18.34	18.7	I
Sze-Arthur_Complete-Recording_UPenn_12-5-06	18.7	18.91	lift
Sze-Arthur_Complete-Recording_UPenn_12-5-06	18.91	19.02	a
Sze-Arthur_Complete-Recording_UPenn_12-5-06	19.02	19.81	latch,
Sze-Arthur_Complete-Recording_UPenn_12-5-06	19.81	20.29	step
Sze-Arthur_Complete-Recording_UPenn_12-5-06	20.29	20.82	into
Sze-Arthur_Complete-Recording_UPenn_12-5-06	20.82	20.84	a
Sze-Arthur_Complete-Recording_UPenn_12-5-06	20.84	21.63	patio,
Sze-Arthur_Complete-Recording_UPenn_12-5-06	21.63	22.28	bird
Sze-Arthur_Complete-Recording_UPenn_12-5-06	22.28	22.4	of
Sze-Arthur_Complete-Recording_UPenn_12-5-06	22.4	23.23	paradise
Sze-Arthur_Complete-Recording_UPenn_12-5-06	23.23	23.46	in
Sze-Arthur_Complete-Recording_UPenn_12-5-06	23.46	24.44	bloom.
Sze-Arthur_Complete-Recording_UPenn_12-5-06	24.92	25.65	But
Sze-Arthur_Complete-Recording_UPenn_12-5-06	25.65	26.33	approaching
Sze-Arthur_Complete-Recording_UPenn_12-5-06	26.33	26.63	the
Sze-Arthur_Complete-Recording_UPenn_12-5-06	26.63	27.43	window,
Sze-Arthur_Complete-Recording_UPenn_12-5-06	27.43	27.53	I
Sze-Arthur_Complete-Recording_UPenn_12-5-06	27.53	27.98	find
Sze-Arthur_Complete-Recording_UPenn_12-5-06	27.98	28.52	peeled
Sze-Arthur_Complete-Recording_UPenn_12-5-06	28.52	29.49	paint,
Sze-Arthur_Complete-Recording_UPenn_12-5-06	29.49	30.28	cobwebs.
Sze-Arthur_Complete-Recording_UPenn_12-5-06	30.28	30.79	It's
Sze-Arthur_Complete-Recording_UPenn_12-5-06	30.79	31.22	dingy
Sze-Arthur_Complete-Recording_UPenn_12-5-06	31.22	32.18	inside.
Sze-Arthur_Complete-Recording_UPenn_12-5-06	32.18	32.59	I
Sze-Arthur_Complete-Recording_UPenn_12-5-06	32.59	33.2	turn,
Sze-Arthur_Complete-Recording_UPenn_12-5-06	33.2	33.97	wade
Sze-Arthur_Complete-Recording_UPenn_12-5-06	33.97	34.37	into
Sze-Arthur_Complete-Recording_UPenn_12-5-06	34.37	35.6	sleep.
Sze-Arthur_Complete-Recording_UPenn_12-5-06	35.6	35.81	Do
Sze-Arthur_Complete-Recording_UPenn_12-5-06	35.81	36.02	as
Sze-Arthur_Complete-Recording_UPenn_12-5-06	36.02	36.65	you're
Sze-Arthur_Complete-Recording_UPenn_12-5-06	36.65	37.28	told,
Sze-Arthur_Complete-Recording_UPenn_12-5-06	37.28	38.1	scum
Sze-Arthur_Complete-Recording_UPenn_12-5-06	38.1	38.54	sucker,
Sze-Arthur_Complete-Recording_UPenn_12-5-06	38.54	39.17	you're
Sze-Arthur_Complete-Recording_UPenn_12-5-06	39.17	39.49	the
Sze-Arthur_Complete-Recording_UPenn_12-5-06	39.49	40.12	reason
Sze-Arthur_Complete-Recording_UPenn_12-5-06	40.12	40.65	there
Sze-Arthur_Complete-Recording_UPenn_12-5-06	40.65	40.97	are
Sze-Arthur_Complete-Recording_UPenn_12-5-06	40.97	41.82	hydrogen
Sze-Arthur_Complete-Recording_UPenn_12-5-06	41.82	42.42	bombs,
Sze-Arthur_Complete-Recording_UPenn_12-5-06	42.42	42.9	yelled
Sze-Arthur_Complete-Recording_UPenn_12-5-06	42.9	43.03	at
Sze-Arthur_Complete-Recording_UPenn_12-5-06	43.03	43.25	the
Sze-Arthur_Complete-Recording_UPenn_12-5-06	43.25	43.72	postal
Sze-Arthur_Complete-Recording_UPenn_12-5-06	43.72	44.18	worker
Sze-Arthur_Complete-Recording_UPenn_12-5-06	44.18	44.82	behind
Sze-Arthur_Complete-Recording_UPenn_12-5-06	44.82	44.87	the
Sze-Arthur_Complete-Recording_UPenn_12-5-06	44.87	45.66	counter.
Sze-Arthur_Complete-Recording_UPenn_12-5-06	45.66	46.0	It
Sze-Arthur_Complete-Recording_UPenn_12-5-06	46.0	47.63	leopards
Sze-Arthur_Complete-Recording_UPenn_12-5-06	47.63	48.19	the
Sze-Arthur_Complete-Recording_UPenn_12-5-06	48.19	49.52	body.
Sze-Arthur_Complete-Recording_UPenn_12-5-06	50.34	50.87	Cringes
Sze-Arthur_Complete-Recording_UPenn_12-5-06	50.87	51.02	at
Sze-Arthur_Complete-Recording_UPenn_12-5-06	51.02	51.71	strangled
Sze-Arthur_Complete-Recording_UPenn_12-5-06	51.71	52.42	anteaters
Sze-Arthur_Complete-Recording_UPenn_12-5-06	52.42	52.64	and
Sze-Arthur_Complete-Recording_UPenn_12-5-06	52.64	53.3	raccoons
Sze-Arthur_Complete-Recording_UPenn_12-5-06	53.3	53.79	hanging
Sze-Arthur_Complete-Recording_UPenn_12-5-06	53.79	53.94	in
Sze-Arthur_Complete-Recording_UPenn_12-5-06	53.94	54.16	the
Sze-Arthur_Complete-Recording_UPenn_12-5-06	54.16	54.96	market.
Sze-Arthur_Complete-Recording_UPenn_12-5-06	54.96	55.24	It
Sze-Arthur_Complete-Recording_UPenn_12-5-06	55.24	56.41	leopards
Sze-Arthur_Complete-Recording_UPenn_12-5-06	56.41	56.84	the
Sze-Arthur_Complete-Recording_UPenn_12-5-06	56.84	57.88	body.
Sze-Arthur_Complete-Recording_UPenn_12-5-06	57.88	58.5	Wakes
Sze-Arthur_Complete-Recording_UPenn_12-5-06	58.5	58.98	to
Sze-Arthur_Complete-Recording_UPenn_12-5-06	58.98	59.86	pulverized
Sze-Arthur_Complete-Recording_UPenn_12-5-06	59.86	60.8	starfish
Sze-Arthur_Complete-Recording_UPenn_12-5-06	60.8	61.12	in
Sze-Arthur_Complete-Recording_UPenn_12-5-06	61.12	61.38	his
Sze-Arthur_Complete-Recording_UPenn_12-5-06	61.38	62.38	shoes.
Sze-Arthur_Complete-Recording_UPenn_12-5-06	62.38	62.61	It
Sze-Arthur_Complete-Recording_UPenn_12-5-06	62.61	63.68	leopards
Sze-Arthur_Complete-Recording_UPenn_12-5-06	63.68	63.98	the
Sze-Arthur_Complete-Recording_UPenn_12-5-06	63.98	64.8	body.
Sze-Arthur_Complete-Recording_UPenn_12-5-06	64.8	65.94	Disinterred
Sze-Arthur_Complete-Recording_UPenn_12-5-06	65.94	66.09	a
Sze-Arthur_Complete-Recording_UPenn_12-5-06	66.09	66.35	man
Sze-Arthur_Complete-Recording_UPenn_12-5-06	66.35	66.66	and
Sze-Arthur_Complete-Recording_UPenn_12-5-06	66.66	67.18	woman
Sze-Arthur_Complete-Recording_UPenn_12-5-06	67.18	67.81	sealed
Sze-Arthur_Complete-Recording_UPenn_12-5-06	67.81	68.12	for
Sze-Arthur_Complete-Recording_UPenn_12-5-06	68.12	69.59	1,855
Sze-Arthur_Complete-Recording_UPenn_12-5-06	69.59	70.18	years
Sze-Arthur_Complete-Recording_UPenn_12-5-06	70.18	70.49	under
Sze-Arthur_Complete-Recording_UPenn_12-5-06	70.49	70.74	jade
Sze-Arthur_Complete-Recording_UPenn_12-5-06	70.74	71.12	plaque
Sze-Arthur_Complete-Recording_UPenn_12-5-06	71.12	71.63	stitched
Sze-Arthur_Complete-Recording_UPenn_12-5-06	71.63	71.87	with
Sze-Arthur_Complete-Recording_UPenn_12-5-06	71.87	72.12	gold
Sze-Arthur_Complete-Recording_UPenn_12-5-06	72.12	72.72	thread.
Sze-Arthur_Complete-Recording_UPenn_12-5-06	72.72	73.01	It
Sze-Arthur_Complete-Recording_UPenn_12-5-06	73.01	74.2	leopards
Sze-Arthur_Complete-Recording_UPenn_12-5-06	74.2	74.58	the
Sze-Arthur_Complete-Recording_UPenn_12-5-06	74.58	75.62	body.
Sze-Arthur_Complete-Recording_UPenn_12-5-06	76.95	77.28	Winced
Sze-Arthur_Complete-Recording_UPenn_12-5-06	77.28	77.43	at
Sze-Arthur_Complete-Recording_UPenn_12-5-06	77.43	78.01	hundreds
Sze-Arthur_Complete-Recording_UPenn_12-5-06	78.01	78.14	of
Sze-Arthur_Complete-Recording_UPenn_12-5-06	78.14	78.69	cicadas
