file	beg	end	text	speaker
Duncan-Robert_Complete-Recording_On-Dickinson_New-College_6-30-81	0.14	0.689	Conclusions	spk_0
Duncan-Robert_Complete-Recording_On-Dickinson_New-College_6-30-81	0.699	1.45	presented	spk_0
Duncan-Robert_Complete-Recording_On-Dickinson_New-College_6-30-81	1.549	1.85	seem	spk_0
Duncan-Robert_Complete-Recording_On-Dickinson_New-College_6-30-81	1.86	2.67	preposterous.	spk_0
Duncan-Robert_Complete-Recording_On-Dickinson_New-College_6-30-81	2.68	2.859	So,	spk_0
Duncan-Robert_Complete-Recording_On-Dickinson_New-College_6-30-81	3.269	3.589	so	spk_0
Duncan-Robert_Complete-Recording_On-Dickinson_New-College_6-30-81	3.599	3.66	I,	spk_0
Duncan-Robert_Complete-Recording_On-Dickinson_New-College_6-30-81	3.809	4.21	what	spk_0
Duncan-Robert_Complete-Recording_On-Dickinson_New-College_6-30-81	4.269	4.289	I'm	spk_0
Duncan-Robert_Complete-Recording_On-Dickinson_New-College_6-30-81	4.3	4.389	thinking	spk_0
Duncan-Robert_Complete-Recording_On-Dickinson_New-College_6-30-81	4.559	4.739	of	spk_0
Duncan-Robert_Complete-Recording_On-Dickinson_New-College_6-30-81	4.75	4.889	is	spk_0
Duncan-Robert_Complete-Recording_On-Dickinson_New-College_6-30-81	4.9	5.26	under	spk_0
Duncan-Robert_Complete-Recording_On-Dickinson_New-College_6-30-81	5.44	6.23	beneath	spk_0
Duncan-Robert_Complete-Recording_On-Dickinson_New-College_6-30-81	6.239	6.55	this.	spk_0
Duncan-Robert_Complete-Recording_On-Dickinson_New-College_6-30-81	6.559	6.719	There	spk_0
Duncan-Robert_Complete-Recording_On-Dickinson_New-College_6-30-81	6.73	7.13	seems	spk_0
Duncan-Robert_Complete-Recording_On-Dickinson_New-College_6-30-81	7.139	7.23	to	spk_0
Duncan-Robert_Complete-Recording_On-Dickinson_New-College_6-30-81	7.239	7.409	be	spk_0
Duncan-Robert_Complete-Recording_On-Dickinson_New-College_6-30-81	7.42	7.829	such	spk_0
Duncan-Robert_Complete-Recording_On-Dickinson_New-College_6-30-81	7.84	7.849	a	spk_0
Duncan-Robert_Complete-Recording_On-Dickinson_New-College_6-30-81	7.86	8.289	period	spk_0
Duncan-Robert_Complete-Recording_On-Dickinson_New-College_6-30-81	8.3	8.47	of	spk_0
Duncan-Robert_Complete-Recording_On-Dickinson_New-College_6-30-81	8.479	9.13	Emily's	spk_0
Duncan-Robert_Complete-Recording_On-Dickinson_New-College_6-30-81	9.14	9.17	in	spk_0
Duncan-Robert_Complete-Recording_On-Dickinson_New-College_6-30-81	9.51	9.989	which	spk_0
Duncan-Robert_Complete-Recording_On-Dickinson_New-College_6-30-81	10.0	10.1	he	spk_0
Duncan-Robert_Complete-Recording_On-Dickinson_New-College_6-30-81	10.109	10.609	emerges	spk_0
