file	beg	end	text
Bloch-Julia_03_Complete-Reading_Emergency-Series_KWH-UPenn_3-27-12	1.1799999999999986	1.78	Kay
Bloch-Julia_03_Complete-Reading_Emergency-Series_KWH-UPenn_3-27-12	1.78	2.32	came
Bloch-Julia_03_Complete-Reading_Emergency-Series_KWH-UPenn_3-27-12	2.32	2.46	to
Bloch-Julia_03_Complete-Reading_Emergency-Series_KWH-UPenn_3-27-12	2.46	2.6	my
Bloch-Julia_03_Complete-Reading_Emergency-Series_KWH-UPenn_3-27-12	2.6	2.86	door
Bloch-Julia_03_Complete-Reading_Emergency-Series_KWH-UPenn_3-27-12	2.86	3.18	in
Bloch-Julia_03_Complete-Reading_Emergency-Series_KWH-UPenn_3-27-12	3.18	3.26	a
Bloch-Julia_03_Complete-Reading_Emergency-Series_KWH-UPenn_3-27-12	3.26	3.5	pink
Bloch-Julia_03_Complete-Reading_Emergency-Series_KWH-UPenn_3-27-12	3.5	3.9	skirt
Bloch-Julia_03_Complete-Reading_Emergency-Series_KWH-UPenn_3-27-12	3.9	4.28	and
Bloch-Julia_03_Complete-Reading_Emergency-Series_KWH-UPenn_3-27-12	4.28	4.36	a
Bloch-Julia_03_Complete-Reading_Emergency-Series_KWH-UPenn_3-27-12	4.36	4.54	pink
Bloch-Julia_03_Complete-Reading_Emergency-Series_KWH-UPenn_3-27-12	4.54	5.0	jacket
Bloch-Julia_03_Complete-Reading_Emergency-Series_KWH-UPenn_3-27-12	5.0	5.72	both
Bloch-Julia_03_Complete-Reading_Emergency-Series_KWH-UPenn_3-27-12	5.72	6.0	the
Bloch-Julia_03_Complete-Reading_Emergency-Series_KWH-UPenn_3-27-12	6.0	6.28	color
Bloch-Julia_03_Complete-Reading_Emergency-Series_KWH-UPenn_3-27-12	6.28	6.54	of
Bloch-Julia_03_Complete-Reading_Emergency-Series_KWH-UPenn_3-27-12	6.54	6.92	dust.
Bloch-Julia_03_Complete-Reading_Emergency-Series_KWH-UPenn_3-27-12	7.44	8.04	She
Bloch-Julia_03_Complete-Reading_Emergency-Series_KWH-UPenn_3-27-12	8.04	8.3	opened
Bloch-Julia_03_Complete-Reading_Emergency-Series_KWH-UPenn_3-27-12	8.3	8.42	her
Bloch-Julia_03_Complete-Reading_Emergency-Series_KWH-UPenn_3-27-12	8.42	8.72	mouth
Bloch-Julia_03_Complete-Reading_Emergency-Series_KWH-UPenn_3-27-12	8.72	8.98	and
