file	beg	end	text	speaker	section
Kinsella-John_02_Complete-Reading_SUNY-Buffalo_11-6-96	0.824	1.946	((Faustus)) Glamor.	Subject	
Kinsella-John_02_Complete-Reading_SUNY-Buffalo_11-6-96	2.784	5.13	From the gaming table to the early opener	Subject	
Kinsella-John_02_Complete-Reading_SUNY-Buffalo_11-6-96	5.52	13.462	a risk of needles stick not obvious for the first mescal, first sex traps the skirt the dance floor, and I its center	Subject	
Kinsella-John_02_Complete-Reading_SUNY-Buffalo_11-6-96	13.863	32.827	A lavender squirrel opaque with dry ice, a paradox of people cloistered in the wild, the state of nature realigning, the recognition in a drama of substances, the solitary actor holding the cup high, projecting his voice at the light ((excelling,)) calling for more  	Subject	
Kinsella-John_02_Complete-Reading_SUNY-Buffalo_11-6-96	33.104	34.512	the recognition inadequate	Subject	
Kinsella-John_02_Complete-Reading_SUNY-Buffalo_11-6-96	34.866	36.458	a ploy, a foil	Subject	
Kinsella-John_02_Complete-Reading_SUNY-Buffalo_11-6-96	43.288	46.093	(({lipsmack})) This is um a poem called Echidna	Subject	
Kinsella-John_02_Complete-Reading_SUNY-Buffalo_11-6-96	46.53	53.565	Echidna is um a porcupine like animal found in Australia. It's a marsupial um monotreme	Subject	
Kinsella-John_02_Complete-Reading_SUNY-Buffalo_11-6-96	54.02	57.289	um It produces eggs	Subject	
Kinsella-John_02_Complete-Reading_SUNY-Buffalo_11-6-96	57.732	58.667	um	Subject	
Kinsella-John_02_Complete-Reading_SUNY-Buffalo_11-6-96	59.261	67.144	and suckles its young in a pouch so it's a strange combination of creatures. It has a duck # uh I mean it has a= ((uh)) a kind of pointed	Subject	
Kinsella-John_02_Complete-Reading_SUNY-Buffalo_11-6-96	67.555	77.509	um nose. It's= uh it's quite bony and strange. It's cross # the closest animal to ((it is in fact)) platypus which has a duck like bill and is also a monotreme	Subject	
Kinsella-John_02_Complete-Reading_SUNY-Buffalo_11-6-96	77.888	82.291	uh and this poem's for Jacques Derrida for reasons which will be obvious	Subject	
Kinsella-John_02_Complete-Reading_SUNY-Buffalo_11-6-96	83.945	107.473	Rhythmically burrowing up on the top road in the grated remainders, the swampy contours that look good for digging that you'd like to get amongst and smell. Those substratas more than dirt and roots, rhizomic agendas of the feeble eyed, uttering up refrains from where compactness and density are demarcation and territory	Subject	
Kinsella-John_02_Complete-Reading_SUNY-Buffalo_11-6-96	107.854	115.155	where decaying mallee root or corpse of storm felled wandoo ((tan)) the leathery bag of muscled fluid	Subject	
Kinsella-John_02_Complete-Reading_SUNY-Buffalo_11-6-96	115.561	123.719	The flow of ants as white as Moby Dick, as determined against the pulpy hole of trees as against the gritted surface	Subject	
Kinsella-John_02_Complete-Reading_SUNY-Buffalo_11-6-96	124.401	130.072	Down here where the highway is sensed in the movement of sand particles, the ((Ericsson))	Subject	
Kinsella-John_02_Complete-Reading_SUNY-Buffalo_11-6-96	130.435	132.118	is ((tree chair))	Subject	
Kinsella-John_02_Complete-Reading_SUNY-Buffalo_11-6-96	133.046	134.673	determinedly sits	Subject	
Kinsella-John_02_Complete-Reading_SUNY-Buffalo_11-6-96	135.154	136.685	In English, hedgehog	Subject	
Kinsella-John_02_Complete-Reading_SUNY-Buffalo_11-6-96	137.275	138.265	excavates	Subject	
Kinsella-John_02_Complete-Reading_SUNY-Buffalo_11-6-96	138.812	150.232	At risk, this bristling heart litters the road with ((dedication,)) symbols of the national psyche left to bloat in the sun's, glistening, blistering prosody	Subject	
Kinsella-John_02_Complete-Reading_SUNY-Buffalo_11-6-96	150.665	155.204	In separation that mimes mechanics on the surface by heart	Subject	
Kinsella-John_02_Complete-Reading_SUNY-Buffalo_11-6-96	155.61	161.011	that with foo- # without footnotes is still recognized as the source of undermovings	Subject	
Kinsella-John_02_Complete-Reading_SUNY-Buffalo_11-6-96	161.704	170.32	I consider as memory cracking an echidna with a farmer in ((Jam Tree)) country locating the spirit of place	Subject	
