file	beg	end	text	speaker
Moxley-Jennifer_Complete-Recording_Segue-Ear-Inn_NYC_4-27-96	0.04	0.52	She	
Moxley-Jennifer_Complete-Recording_Segue-Ear-Inn_NYC_4-27-96	0.52	0.88	answered	
Moxley-Jennifer_Complete-Recording_Segue-Ear-Inn_NYC_4-27-96	0.88	1.0	as	
Moxley-Jennifer_Complete-Recording_Segue-Ear-Inn_NYC_4-27-96	1.0	1.12	though	
Moxley-Jennifer_Complete-Recording_Segue-Ear-Inn_NYC_4-27-96	1.12	1.28	she	
Moxley-Jennifer_Complete-Recording_Segue-Ear-Inn_NYC_4-27-96	1.28	1.4	was	
Moxley-Jennifer_Complete-Recording_Segue-Ear-Inn_NYC_4-27-96	1.4	1.88	saying,	
Moxley-Jennifer_Complete-Recording_Segue-Ear-Inn_NYC_4-27-96	2.8	2.92	"Is	
Moxley-Jennifer_Complete-Recording_Segue-Ear-Inn_NYC_4-27-96	2.92	3.2	something	
Moxley-Jennifer_Complete-Recording_Segue-Ear-Inn_NYC_4-27-96	3.2	3.28	the	
Moxley-Jennifer_Complete-Recording_Segue-Ear-Inn_NYC_4-27-96	3.28	3.64	matter?"	
Moxley-Jennifer_Complete-Recording_Segue-Ear-Inn_NYC_4-27-96	5.0	5.16	Of	
Moxley-Jennifer_Complete-Recording_Segue-Ear-Inn_NYC_4-27-96	5.16	5.68	course,	
Moxley-Jennifer_Complete-Recording_Segue-Ear-Inn_NYC_4-27-96	5.88	5.96	see	
Moxley-Jennifer_Complete-Recording_Segue-Ear-Inn_NYC_4-27-96	5.96	6.08	the	
Moxley-Jennifer_Complete-Recording_Segue-Ear-Inn_NYC_4-27-96	6.08	6.4	last	
Moxley-Jennifer_Complete-Recording_Segue-Ear-Inn_NYC_4-27-96	6.4	6.6	minute	
Moxley-Jennifer_Complete-Recording_Segue-Ear-Inn_NYC_4-27-96	6.6	7.08	revisions	
Moxley-Jennifer_Complete-Recording_Segue-Ear-Inn_NYC_4-27-96	7.08	7.32	here.	
Moxley-Jennifer_Complete-Recording_Segue-Ear-Inn_NYC_4-27-96	8.0	8.12	Of	
Moxley-Jennifer_Complete-Recording_Segue-Ear-Inn_NYC_4-27-96	8.12	8.44	course,	
Moxley-Jennifer_Complete-Recording_Segue-Ear-Inn_NYC_4-27-96	8.44	8.52	to	
Moxley-Jennifer_Complete-Recording_Segue-Ear-Inn_NYC_4-27-96	8.52	8.68	the	
Moxley-Jennifer_Complete-Recording_Segue-Ear-Inn_NYC_4-27-96	8.68	8.92	age	
Moxley-Jennifer_Complete-Recording_Segue-Ear-Inn_NYC_4-27-96	8.92	9.04	of	
Moxley-Jennifer_Complete-Recording_Segue-Ear-Inn_NYC_4-27-96	9.04	9.72	imaginative	
Moxley-Jennifer_Complete-Recording_Segue-Ear-Inn_NYC_4-27-96	9.72	10.16	memory	
Moxley-Jennifer_Complete-Recording_Segue-Ear-Inn_NYC_4-27-96	10.28	10.68	memory,	
Moxley-Jennifer_Complete-Recording_Segue-Ear-Inn_NYC_4-27-96	10.68	10.8	I	
Moxley-Jennifer_Complete-Recording_Segue-Ear-Inn_NYC_4-27-96	10.8	10.96	may	
Moxley-Jennifer_Complete-Recording_Segue-Ear-Inn_NYC_4-27-96	10.96	11.08	be	
Moxley-Jennifer_Complete-Recording_Segue-Ear-Inn_NYC_4-27-96	11.08	11.44	creating	
Moxley-Jennifer_Complete-Recording_Segue-Ear-Inn_NYC_4-27-96	11.44	11.52	a	
Moxley-Jennifer_Complete-Recording_Segue-Ear-Inn_NYC_4-27-96	11.52	11.84	clearer	
Moxley-Jennifer_Complete-Recording_Segue-Ear-Inn_NYC_4-27-96	11.84	12.16	picture	
Moxley-Jennifer_Complete-Recording_Segue-Ear-Inn_NYC_4-27-96	12.16	12.28	of	
Moxley-Jennifer_Complete-Recording_Segue-Ear-Inn_NYC_4-27-96	12.28	12.64	Helena	
Moxley-Jennifer_Complete-Recording_Segue-Ear-Inn_NYC_4-27-96	12.64	12.76	than	
Moxley-Jennifer_Complete-Recording_Segue-Ear-Inn_NYC_4-27-96	12.76	12.8	I	
Moxley-Jennifer_Complete-Recording_Segue-Ear-Inn_NYC_4-27-96	12.8	13.24	actually	
Moxley-Jennifer_Complete-Recording_Segue-Ear-Inn_NYC_4-27-96	13.24	13.68	saw,	
Moxley-Jennifer_Complete-Recording_Segue-Ear-Inn_NYC_4-27-96	14.08	14.2	or	
Moxley-Jennifer_Complete-Recording_Segue-Ear-Inn_NYC_4-27-96	14.2	14.52	perhaps	
Moxley-Jennifer_Complete-Recording_Segue-Ear-Inn_NYC_4-27-96	14.52	14.68	even	
Moxley-Jennifer_Complete-Recording_Segue-Ear-Inn_NYC_4-27-96	14.68	15.32	overstating	
Moxley-Jennifer_Complete-Recording_Segue-Ear-Inn_NYC_4-27-96	15.32	15.48	my	
Moxley-Jennifer_Complete-Recording_Segue-Ear-Inn_NYC_4-27-96	15.48	15.76	first	
Moxley-Jennifer_Complete-Recording_Segue-Ear-Inn_NYC_4-27-96	15.76	16.2	impression	
Moxley-Jennifer_Complete-Recording_Segue-Ear-Inn_NYC_4-27-96	16.2	16.32	of	
Moxley-Jennifer_Complete-Recording_Segue-Ear-Inn_NYC_4-27-96	16.32	16.6	her.	
Moxley-Jennifer_Complete-Recording_Segue-Ear-Inn_NYC_4-27-96	17.04	17.36	But	
Moxley-Jennifer_Complete-Recording_Segue-Ear-Inn_NYC_4-27-96	17.36	17.6	it	
Moxley-Jennifer_Complete-Recording_Segue-Ear-Inn_NYC_4-27-96	17.6	18.04	remains	
Moxley-Jennifer_Complete-Recording_Segue-Ear-Inn_NYC_4-27-96	18.04	18.2	that	
Moxley-Jennifer_Complete-Recording_Segue-Ear-Inn_NYC_4-27-96	18.2	18.32	over	
Moxley-Jennifer_Complete-Recording_Segue-Ear-Inn_NYC_4-27-96	18.32	18.44	the	
Moxley-Jennifer_Complete-Recording_Segue-Ear-Inn_NYC_4-27-96	18.44	18.72	course	
Moxley-Jennifer_Complete-Recording_Segue-Ear-Inn_NYC_4-27-96	18.72	18.84	of	
Moxley-Jennifer_Complete-Recording_Segue-Ear-Inn_NYC_4-27-96	18.84	18.96	my	
Moxley-Jennifer_Complete-Recording_Segue-Ear-Inn_NYC_4-27-96	18.96	19.48	life,	
Moxley-Jennifer_Complete-Recording_Segue-Ear-Inn_NYC_4-27-96	19.76	19.92	I've	
Moxley-Jennifer_Complete-Recording_Segue-Ear-Inn_NYC_4-27-96	19.92	20.36	encountered	
Moxley-Jennifer_Complete-Recording_Segue-Ear-Inn_NYC_4-27-96	20.36	20.68	certain	
Moxley-Jennifer_Complete-Recording_Segue-Ear-Inn_NYC_4-27-96	20.68	21.12	faces	
Moxley-Jennifer_Complete-Recording_Segue-Ear-Inn_NYC_4-27-96	21.12	21.6	that,	
Moxley-Jennifer_Complete-Recording_Segue-Ear-Inn_NYC_4-27-96	21.64	22.04	unlike	
Moxley-Jennifer_Complete-Recording_Segue-Ear-Inn_NYC_4-27-96	22.04	22.2	the	
Moxley-Jennifer_Complete-Recording_Segue-Ear-Inn_NYC_4-27-96	22.2	22.4	other	
Moxley-Jennifer_Complete-Recording_Segue-Ear-Inn_NYC_4-27-96	22.4	22.8	millions	
Moxley-Jennifer_Complete-Recording_Segue-Ear-Inn_NYC_4-27-96	22.8	22.96	that	
Moxley-Jennifer_Complete-Recording_Segue-Ear-Inn_NYC_4-27-96	22.96	23.28	passed	
Moxley-Jennifer_Complete-Recording_Segue-Ear-Inn_NYC_4-27-96	23.28	23.68	by,	
Moxley-Jennifer_Complete-Recording_Segue-Ear-Inn_NYC_4-27-96	24.08	24.28	form	
