file	beg	end	text	speaker	section
Benson-Steve-and-Robinson-Kit_Complete-Reading_Bloughshares_Palo-Alto_02-18-79	0.182	4.29	The green canoe like bee- beef tasted salty for days after	Subject	
Benson-Steve-and-Robinson-Kit_Complete-Reading_Bloughshares_Palo-Alto_02-18-79	4.83	11.391	strong hat waves, waves motorcycles have anti ravaged, the western basins of the great Continental chain	Subject	
Benson-Steve-and-Robinson-Kit_Complete-Reading_Bloughshares_Palo-Alto_02-18-79	11.749	20.764	into pitch darkness, the stairs twisted and ((taut)) back all one hundred lights. Red filters bobbing above what I suppose light fog to be	Subject	
Benson-Steve-and-Robinson-Kit_Complete-Reading_Bloughshares_Palo-Alto_02-18-79	26.972	27.828	((And code))	Unknown1	
Benson-Steve-and-Robinson-Kit_Complete-Reading_Bloughshares_Palo-Alto_02-18-79	28.769	29.443	um	Unknown1	
Benson-Steve-and-Robinson-Kit_Complete-Reading_Bloughshares_Palo-Alto_02-18-79	29.979	36.19	You don't have any punctuation, but of course it was there when you read, ((the)) punctuation was very emphatic	Subject	
Benson-Steve-and-Robinson-Kit_Complete-Reading_Bloughshares_Palo-Alto_02-18-79	33.999	34.552	((Uh-huh.))	Subject	
Benson-Steve-and-Robinson-Kit_Complete-Reading_Bloughshares_Palo-Alto_02-18-79	36.184	36.663	Huh.	Subject	
Benson-Steve-and-Robinson-Kit_Complete-Reading_Bloughshares_Palo-Alto_02-18-79	36.627	37.859	And I= I just wondered	Unknown1	
Benson-Steve-and-Robinson-Kit_Complete-Reading_Bloughshares_Palo-Alto_02-18-79	38.708	41.324	whether ((wh- wh- wh-)) # you know	Unknown1	
Benson-Steve-and-Robinson-Kit_Complete-Reading_Bloughshares_Palo-Alto_02-18-79	41.251	41.991	Why that is.	Subject	
Benson-Steve-and-Robinson-Kit_Complete-Reading_Bloughshares_Palo-Alto_02-18-79	41.961	42.495	Yeah.	Unknown1	
Benson-Steve-and-Robinson-Kit_Complete-Reading_Bloughshares_Palo-Alto_02-18-79	42.996	52.511	Well, the thing is, I think I'm sort of # ((well)) when I read it I feel like I have to improvise it uh almost like I have to make it up. And I might read it another time and the punctuation might be completely different	Subject	
Benson-Steve-and-Robinson-Kit_Complete-Reading_Bloughshares_Palo-Alto_02-18-79	51.735	52.257	Yeah.	Unknown1	
Benson-Steve-and-Robinson-Kit_Complete-Reading_Bloughshares_Palo-Alto_02-18-79	52.876	55.918	Because most of those lines are linking both forward and back	Subject	
Benson-Steve-and-Robinson-Kit_Complete-Reading_Bloughshares_Palo-Alto_02-18-79	56.372	65.518	and so you have to decide when you're reading it to close it at a certain point and then to reopen it. But I think all those things are= are fairly # are variable, or a lot of them are. ((Yeah.))	Subject	
Benson-Steve-and-Robinson-Kit_Complete-Reading_Bloughshares_Palo-Alto_02-18-79	60.315	61.316	You think ((that could))	Unknown1	
Benson-Steve-and-Robinson-Kit_Complete-Reading_Bloughshares_Palo-Alto_02-18-79	61.82	63.1	imply that another ((type #))	Unknown1	
Benson-Steve-and-Robinson-Kit_Complete-Reading_Bloughshares_Palo-Alto_02-18-79	63.695	65.103	((Yeah,)) I see.	Unknown1	
Benson-Steve-and-Robinson-Kit_Complete-Reading_Bloughshares_Palo-Alto_02-18-79	65.497	65.995	Yeah.	Unknown1	
Benson-Steve-and-Robinson-Kit_Complete-Reading_Bloughshares_Palo-Alto_02-18-79	67.126	68.109	{cough}	Subject	
Benson-Steve-and-Robinson-Kit_Complete-Reading_Bloughshares_Palo-Alto_02-18-79	67.994	68.91	((That's fascinating.))	Unknown2	
Benson-Steve-and-Robinson-Kit_Complete-Reading_Bloughshares_Palo-Alto_02-18-79	76.97	79.646	So I can be interrupted at any moment and uh	Unknown2	
Benson-Steve-and-Robinson-Kit_Complete-Reading_Bloughshares_Palo-Alto_02-18-79	80.18	82.692	the= the books, you can browse at them ((now.))	Unknown2	
Benson-Steve-and-Robinson-Kit_Complete-Reading_Bloughshares_Palo-Alto_02-18-79	83.159	85.993	There's a couple ((poem I like here. {laugh}))	Unknown2	
Benson-Steve-and-Robinson-Kit_Complete-Reading_Bloughshares_Palo-Alto_02-18-79	88.474	91.538	And s- so for me this book is	Unknown2	
Benson-Steve-and-Robinson-Kit_Complete-Reading_Bloughshares_Palo-Alto_02-18-79	91.957	96.338	uh a lot of the writing that I've been doing in the last couple years	Unknown2	
Benson-Steve-and-Robinson-Kit_Complete-Reading_Bloughshares_Palo-Alto_02-18-79	96.847	98.465	It's a little bit before then	Unknown2	
