file	beg	end	text	speaker	section
Mirakove-Carol_Complete-Reading_New-reading-Series_a-Voice-Box_10-18-09	1.053	14.582	With one hand on your back and another in a tunnel, passing through invokes caverns and conscious faults, ((inadequately)) humble, taken to free fall and firmly abandoned and then forcefully captured ((present)) precisely to view history	Subject	
Mirakove-Carol_Complete-Reading_New-reading-Series_a-Voice-Box_10-18-09	15.275	24.962	The bondage of karma, the dripping branches breaking out of the carriage and looking up, tensegrity, tangled we might be sin, we live without	Subject	
Mirakove-Carol_Complete-Reading_New-reading-Series_a-Voice-Box_10-18-09	25.825	29.23	shooting in a big bad baby bird sky	Subject	
Mirakove-Carol_Complete-Reading_New-reading-Series_a-Voice-Box_10-18-09	34.039	43.797	It has gotten hard to say dynamite anything, we eat too fast for arguments, geometry, evidence equals brute force, craft images amplified, I agree	Subject	
Mirakove-Carol_Complete-Reading_New-reading-Series_a-Voice-Box_10-18-09	45.457	48.774	Two wrongs don't make a right. It takes a multitude	Subject	
Mirakove-Carol_Complete-Reading_New-reading-Series_a-Voice-Box_10-18-09	50.44	54.12	Gypsy, ((am I seeing)) the subtle light, ((can tent,)) bang bang	Subject	
Mirakove-Carol_Complete-Reading_New-reading-Series_a-Voice-Box_10-18-09	62.08	65.473	whenever I read, each sentence erases the one	Subject	
Mirakove-Carol_Complete-Reading_New-reading-Series_a-Voice-Box_10-18-09	65.778	66.65	before it	Subject	
Mirakove-Carol_Complete-Reading_New-reading-Series_a-Voice-Box_10-18-09	68.756	70.736	Juicy Fruit gum has a blog.	Subject	
Mirakove-Carol_Complete-Reading_New-reading-Series_a-Voice-Box_10-18-09	74.207	76.174	It's actually true {laugh}	Subject	
Mirakove-Carol_Complete-Reading_New-reading-Series_a-Voice-Box_10-18-09	78.186	82.61	((Unaware)) you are not catching the light is still from where you were	Subject	
Mirakove-Carol_Complete-Reading_New-reading-Series_a-Voice-Box_10-18-09	87.852	91.695	I saw houses of water in which things got new names to mark it	Subject	
Mirakove-Carol_Complete-Reading_New-reading-Series_a-Voice-Box_10-18-09	92.237	100.817	The bed on the door, the ceiling hanging from the linen. There are no known examples of underwear in memory, arches wrecking the curve in their own appeal	Subject	
Mirakove-Carol_Complete-Reading_New-reading-Series_a-Voice-Box_10-18-09	102.275	110.171	It would be the end of air if not for grounding the axiom in soil in soil oxygen, proportion consumer, upper limit, shallow waiting	Subject	
Mirakove-Carol_Complete-Reading_New-reading-Series_a-Voice-Box_10-18-09	111.569	121.45	Falling like a NASDAQ rocket, wishful thinking in fair use, flood mops and soot rags, honored and onward, honored and onward, honored and onward	Subject	
Mirakove-Carol_Complete-Reading_New-reading-Series_a-Voice-Box_10-18-09	121.898	124.543	hydro pirates title and persistent.	Subject	
Mirakove-Carol_Complete-Reading_New-reading-Series_a-Voice-Box_10-18-09	127.947	130.264	Whenever I read each sentence,	Subject	
Mirakove-Carol_Complete-Reading_New-reading-Series_a-Voice-Box_10-18-09	130.856	131.909	take it back	Subject	
Mirakove-Carol_Complete-Reading_New-reading-Series_a-Voice-Box_10-18-09	135.198	136.742	War is at planet	Subject	
Mirakove-Carol_Complete-Reading_New-reading-Series_a-Voice-Box_10-18-09	138.14	140.695	How will it feel if the rocks disappear	Subject	
Mirakove-Carol_Complete-Reading_New-reading-Series_a-Voice-Box_10-18-09	141.713	144.171	if all that is left is dirt	Subject	
Mirakove-Carol_Complete-Reading_New-reading-Series_a-Voice-Box_10-18-09	146.412	147.908	I walk	Subject	
Mirakove-Carol_Complete-Reading_New-reading-Series_a-Voice-Box_10-18-09	148.685	154.523	home like a ghost. I am Puss in Boots and meat on bones. I sleep	Subject	
Mirakove-Carol_Complete-Reading_New-reading-Series_a-Voice-Box_10-18-09	155.007	158.171	I forget what I know, what I think will come after	Subject	
