file	beg	end	text
Scalapino-Leslie_Complete-Reading_Buffalo_3-6-91	0.0	0.32	The
Scalapino-Leslie_Complete-Reading_Buffalo_3-6-91	0.32	0.64	desert
Scalapino-Leslie_Complete-Reading_Buffalo_3-6-91	0.64	1.1	brush
Scalapino-Leslie_Complete-Reading_Buffalo_3-6-91	1.1	1.3	is
Scalapino-Leslie_Complete-Reading_Buffalo_3-6-91	1.3	1.64	burning.
Scalapino-Leslie_Complete-Reading_Buffalo_3-6-91	1.8	1.88	The
Scalapino-Leslie_Complete-Reading_Buffalo_3-6-91	1.88	2.36	cocoon
Scalapino-Leslie_Complete-Reading_Buffalo_3-6-91	2.36	2.6	of
Scalapino-Leslie_Complete-Reading_Buffalo_3-6-91	2.6	3.0	hammock
Scalapino-Leslie_Complete-Reading_Buffalo_3-6-91	3.0	3.2	or
Scalapino-Leslie_Complete-Reading_Buffalo_3-6-91	3.2	3.58	sack,
Scalapino-Leslie_Complete-Reading_Buffalo_3-6-91	3.86	4.1	which
Scalapino-Leslie_Complete-Reading_Buffalo_3-6-91	4.1	4.24	is
Scalapino-Leslie_Complete-Reading_Buffalo_3-6-91	4.24	4.36	the
Scalapino-Leslie_Complete-Reading_Buffalo_3-6-91	4.36	4.66	Henned
Scalapino-Leslie_Complete-Reading_Buffalo_3-6-91	4.66	4.84	Man,
Scalapino-Leslie_Complete-Reading_Buffalo_3-6-91	4.94	5.06	is
Scalapino-Leslie_Complete-Reading_Buffalo_3-6-91	5.06	5.34	carried
Scalapino-Leslie_Complete-Reading_Buffalo_3-6-91	5.34	5.54	by
Scalapino-Leslie_Complete-Reading_Buffalo_3-6-91	5.54	5.64	the
Scalapino-Leslie_Complete-Reading_Buffalo_3-6-91	5.64	5.96	boys.
Scalapino-Leslie_Complete-Reading_Buffalo_3-6-91	6.26	6.66	They're
Scalapino-Leslie_Complete-Reading_Buffalo_3-6-91	6.66	7.02	carrying
Scalapino-Leslie_Complete-Reading_Buffalo_3-6-91	7.02	7.18	the
Scalapino-Leslie_Complete-Reading_Buffalo_3-6-91	7.18	7.5	wrapped
Scalapino-Leslie_Complete-Reading_Buffalo_3-6-91	7.5	8.08	cocoon
Scalapino-Leslie_Complete-Reading_Buffalo_3-6-91	8.08	8.3	on
Scalapino-Leslie_Complete-Reading_Buffalo_3-6-91	8.3	8.78	poles.
Scalapino-Leslie_Complete-Reading_Buffalo_3-6-91	9.0	9.24	The
Scalapino-Leslie_Complete-Reading_Buffalo_3-6-91	9.24	9.48	earth
Scalapino-Leslie_Complete-Reading_Buffalo_3-6-91	9.48	9.88	before
Scalapino-Leslie_Complete-Reading_Buffalo_3-6-91	9.88	10.16	them
Scalapino-Leslie_Complete-Reading_Buffalo_3-6-91	10.16	10.34	is
Scalapino-Leslie_Complete-Reading_Buffalo_3-6-91	10.34	10.76	cracked.
Scalapino-Leslie_Complete-Reading_Buffalo_3-6-91	10.94	11.5	But
Scalapino-Leslie_Complete-Reading_Buffalo_3-6-91	11.5	11.86	above
Scalapino-Leslie_Complete-Reading_Buffalo_3-6-91	11.86	12.22	it,
Scalapino-Leslie_Complete-Reading_Buffalo_3-6-91	12.32	12.56	it
Scalapino-Leslie_Complete-Reading_Buffalo_3-6-91	12.56	12.8	is
Scalapino-Leslie_Complete-Reading_Buffalo_3-6-91	12.8	13.3	lined,
Scalapino-Leslie_Complete-Reading_Buffalo_3-6-91	13.52	13.74	covered
Scalapino-Leslie_Complete-Reading_Buffalo_3-6-91	13.74	13.96	by
Scalapino-Leslie_Complete-Reading_Buffalo_3-6-91	13.96	14.1	the
Scalapino-Leslie_Complete-Reading_Buffalo_3-6-91	14.1	14.36	heavy
Scalapino-Leslie_Complete-Reading_Buffalo_3-6-91	14.36	14.76	sky.
Scalapino-Leslie_Complete-Reading_Buffalo_3-6-91	14.76	15.14	They
