file	beg	end	text
Wisher-Yolanda_Complete-Recording_8-4-16	0.0	0.82	Cross
Wisher-Yolanda_Complete-Recording_8-4-16	0.82	1.32	Ludlow,
Wisher-Yolanda_Complete-Recording_8-4-16	1.68	2.22	past
Wisher-Yolanda_Complete-Recording_8-4-16	2.22	2.38	the
Wisher-Yolanda_Complete-Recording_8-4-16	2.38	2.66	mailbox
Wisher-Yolanda_Complete-Recording_8-4-16	2.66	2.96	on
Wisher-Yolanda_Complete-Recording_8-4-16	2.96	3.06	the
Wisher-Yolanda_Complete-Recording_8-4-16	3.06	3.4	corner,
Wisher-Yolanda_Complete-Recording_8-4-16	4.22	4.48	risque
Wisher-Yolanda_Complete-Recording_8-4-16	4.48	5.0	video,
Wisher-Yolanda_Complete-Recording_8-4-16	5.18	5.52	Dino's
Wisher-Yolanda_Complete-Recording_8-4-16	5.52	5.88	pizza,
Wisher-Yolanda_Complete-Recording_8-4-16	6.08	6.14	and
Wisher-Yolanda_Complete-Recording_8-4-16	6.14	6.24	the
Wisher-Yolanda_Complete-Recording_8-4-16	6.24	6.62	emerald
Wisher-Yolanda_Complete-Recording_8-4-16	6.62	7.4	laundromat.
Wisher-Yolanda_Complete-Recording_8-4-16	7.84	8.46	The
Wisher-Yolanda_Complete-Recording_8-4-16	8.46	8.68	fruit
Wisher-Yolanda_Complete-Recording_8-4-16	8.68	9.02	trucks
Wisher-Yolanda_Complete-Recording_8-4-16	9.02	9.28	tucked
Wisher-Yolanda_Complete-Recording_8-4-16	9.28	9.58	into
Wisher-Yolanda_Complete-Recording_8-4-16	9.58	10.2	44th
Wisher-Yolanda_Complete-Recording_8-4-16	10.2	10.36	Street
Wisher-Yolanda_Complete-Recording_8-4-16	10.36	10.56	on
Wisher-Yolanda_Complete-Recording_8-4-16	10.56	10.66	the
Wisher-Yolanda_Complete-Recording_8-4-16	10.66	10.98	left,
Wisher-Yolanda_Complete-Recording_8-4-16	11.66	12.16	house
Wisher-Yolanda_Complete-Recording_8-4-16	12.16	12.44	eyes
Wisher-Yolanda_Complete-Recording_8-4-16	12.44	12.7	shut
Wisher-Yolanda_Complete-Recording_8-4-16	12.7	12.86	with
Wisher-Yolanda_Complete-Recording_8-4-16	12.86	13.36	boards,
Wisher-Yolanda_Complete-Recording_8-4-16	13.9	14.26	fringes
Wisher-Yolanda_Complete-Recording_8-4-16	14.26	14.38	of
Wisher-Yolanda_Complete-Recording_8-4-16	14.38	14.8	children.
Wisher-Yolanda_Complete-Recording_8-4-16	16.44	17.1	Once
Wisher-Yolanda_Complete-Recording_8-4-16	17.1	17.24	we
Wisher-Yolanda_Complete-Recording_8-4-16	17.24	17.38	went
Wisher-Yolanda_Complete-Recording_8-4-16	17.38	17.56	into
Wisher-Yolanda_Complete-Recording_8-4-16	17.56	17.72	a
Wisher-Yolanda_Complete-Recording_8-4-16	17.72	18.0	store
Wisher-Yolanda_Complete-Recording_8-4-16	18.0	18.32	sunk
Wisher-Yolanda_Complete-Recording_8-4-16	18.32	18.5	into
Wisher-Yolanda_Complete-Recording_8-4-16	18.5	18.7	the
Wisher-Yolanda_Complete-Recording_8-4-16	18.7	19.04	street,
Wisher-Yolanda_Complete-Recording_8-4-16	19.28	19.8	owned
Wisher-Yolanda_Complete-Recording_8-4-16	19.8	20.0	by
Wisher-Yolanda_Complete-Recording_8-4-16	20.0	20.12	a
Wisher-Yolanda_Complete-Recording_8-4-16	20.12	20.72	Cambodian
Wisher-Yolanda_Complete-Recording_8-4-16	20.72	21.02	woman.
Wisher-Yolanda_Complete-Recording_8-4-16	21.42	22.0	She
Wisher-Yolanda_Complete-Recording_8-4-16	22.0	22.3	sold
Wisher-Yolanda_Complete-Recording_8-4-16	22.3	22.9	everything
Wisher-Yolanda_Complete-Recording_8-4-16	22.9	23.66	from
Wisher-Yolanda_Complete-Recording_8-4-16	23.66	24.06	evening
Wisher-Yolanda_Complete-Recording_8-4-16	24.06	24.7	gowns
Wisher-Yolanda_Complete-Recording_8-4-16	24.7	24.9	to
Wisher-Yolanda_Complete-Recording_8-4-16	24.9	25.28	soup.
Wisher-Yolanda_Complete-Recording_8-4-16	25.92	26.58	Over
Wisher-Yolanda_Complete-Recording_8-4-16	26.58	26.72	to
Wisher-Yolanda_Complete-Recording_8-4-16	26.72	27.1	Walnut
Wisher-Yolanda_Complete-Recording_8-4-16	27.1	27.28	and
Wisher-Yolanda_Complete-Recording_8-4-16	27.28	27.98	45th,
Wisher-Yolanda_Complete-Recording_8-4-16	27.98	28.58	where
Wisher-Yolanda_Complete-Recording_8-4-16	28.58	28.7	the
Wisher-Yolanda_Complete-Recording_8-4-16	28.7	29.0	Muslim
Wisher-Yolanda_Complete-Recording_8-4-16	29.0	29.36	cat
Wisher-Yolanda_Complete-Recording_8-4-16	29.36	29.66	sells
Wisher-Yolanda_Complete-Recording_8-4-16	29.66	29.88	this
Wisher-Yolanda_Complete-Recording_8-4-16	29.88	30.22	chicken
Wisher-Yolanda_Complete-Recording_8-4-16	30.22	30.52	wrapped
Wisher-Yolanda_Complete-Recording_8-4-16	30.52	30.74	in
Wisher-Yolanda_Complete-Recording_8-4-16	30.74	31.06	pita,
Wisher-Yolanda_Complete-Recording_8-4-16	31.48	31.96	draped
Wisher-Yolanda_Complete-Recording_8-4-16	31.96	32.1	in
Wisher-Yolanda_Complete-Recording_8-4-16	32.1	32.5	cucumber
Wisher-Yolanda_Complete-Recording_8-4-16	32.5	33.0	sauce.
