file	beg	end	text	speaker
Levy-Andrew_Complete-Recording_Segue-Ear-Inn_NYC_3-9-96	0.2	0.44	Stay	
Levy-Andrew_Complete-Recording_Segue-Ear-Inn_NYC_3-9-96	0.44	0.72	away	
Levy-Andrew_Complete-Recording_Segue-Ear-Inn_NYC_3-9-96	0.72	1.0	from	
Levy-Andrew_Complete-Recording_Segue-Ear-Inn_NYC_3-9-96	1.0	1.24	it.	
Levy-Andrew_Complete-Recording_Segue-Ear-Inn_NYC_3-9-96	1.84	2.04	Its	
Levy-Andrew_Complete-Recording_Segue-Ear-Inn_NYC_3-9-96	2.04	2.28	name	
Levy-Andrew_Complete-Recording_Segue-Ear-Inn_NYC_3-9-96	2.28	2.56	moves	
Levy-Andrew_Complete-Recording_Segue-Ear-Inn_NYC_3-9-96	2.56	2.84	on	
Levy-Andrew_Complete-Recording_Segue-Ear-Inn_NYC_3-9-96	2.84	4.04	untranslatable,	
Levy-Andrew_Complete-Recording_Segue-Ear-Inn_NYC_3-9-96	4.24	4.88	sensuous	
Levy-Andrew_Complete-Recording_Segue-Ear-Inn_NYC_3-9-96	4.88	5.4	charm	
Levy-Andrew_Complete-Recording_Segue-Ear-Inn_NYC_3-9-96	5.4	5.48	to	
Levy-Andrew_Complete-Recording_Segue-Ear-Inn_NYC_3-9-96	5.48	5.64	be	
Levy-Andrew_Complete-Recording_Segue-Ear-Inn_NYC_3-9-96	5.64	5.96	neither	
Levy-Andrew_Complete-Recording_Segue-Ear-Inn_NYC_3-9-96	5.96	6.4	poor	
Levy-Andrew_Complete-Recording_Segue-Ear-Inn_NYC_3-9-96	6.44	6.68	nor	
Levy-Andrew_Complete-Recording_Segue-Ear-Inn_NYC_3-9-96	6.68	7.2	rich.	
Levy-Andrew_Complete-Recording_Segue-Ear-Inn_NYC_3-9-96	7.56	7.68	The	
Levy-Andrew_Complete-Recording_Segue-Ear-Inn_NYC_3-9-96	7.68	8.2	outline	
Levy-Andrew_Complete-Recording_Segue-Ear-Inn_NYC_3-9-96	8.2	8.32	of	
Levy-Andrew_Complete-Recording_Segue-Ear-Inn_NYC_3-9-96	8.32	8.4	the	
Levy-Andrew_Complete-Recording_Segue-Ear-Inn_NYC_3-9-96	8.4	8.8	lifted	
Levy-Andrew_Complete-Recording_Segue-Ear-Inn_NYC_3-9-96	8.8	9.32	finger,	
Levy-Andrew_Complete-Recording_Segue-Ear-Inn_NYC_3-9-96	9.68	9.84	his	
Levy-Andrew_Complete-Recording_Segue-Ear-Inn_NYC_3-9-96	9.84	10.12	most	
Levy-Andrew_Complete-Recording_Segue-Ear-Inn_NYC_3-9-96	10.12	10.48	recent	
Levy-Andrew_Complete-Recording_Segue-Ear-Inn_NYC_3-9-96	10.48	11.0	critics	
Levy-Andrew_Complete-Recording_Segue-Ear-Inn_NYC_3-9-96	11.16	11.32	are	
Levy-Andrew_Complete-Recording_Segue-Ear-Inn_NYC_3-9-96	11.32	11.84	tender.	
Levy-Andrew_Complete-Recording_Segue-Ear-Inn_NYC_3-9-96	12.56	12.8	No	
Levy-Andrew_Complete-Recording_Segue-Ear-Inn_NYC_3-9-96	12.8	13.2	one	
Levy-Andrew_Complete-Recording_Segue-Ear-Inn_NYC_3-9-96	13.36	13.52	will	
Levy-Andrew_Complete-Recording_Segue-Ear-Inn_NYC_3-9-96	13.52	14.0	purchase	
Levy-Andrew_Complete-Recording_Segue-Ear-Inn_NYC_3-9-96	14.0	14.24	it.	
Levy-Andrew_Complete-Recording_Segue-Ear-Inn_NYC_3-9-96	18.36	18.44	A	
Levy-Andrew_Complete-Recording_Segue-Ear-Inn_NYC_3-9-96	18.44	18.76	pure	
Levy-Andrew_Complete-Recording_Segue-Ear-Inn_NYC_3-9-96	18.76	19.24	land.	
Levy-Andrew_Complete-Recording_Segue-Ear-Inn_NYC_3-9-96	21.08	21.24	When	
Levy-Andrew_Complete-Recording_Segue-Ear-Inn_NYC_3-9-96	21.24	21.32	the	
Levy-Andrew_Complete-Recording_Segue-Ear-Inn_NYC_3-9-96	21.32	21.72	stars	
Levy-Andrew_Complete-Recording_Segue-Ear-Inn_NYC_3-9-96	21.72	22.0	begin	
Levy-Andrew_Complete-Recording_Segue-Ear-Inn_NYC_3-9-96	22.0	22.16	to	
Levy-Andrew_Complete-Recording_Segue-Ear-Inn_NYC_3-9-96	22.16	22.72	fall,	
Levy-Andrew_Complete-Recording_Segue-Ear-Inn_NYC_3-9-96	23.6	23.88	doubts	
Levy-Andrew_Complete-Recording_Segue-Ear-Inn_NYC_3-9-96	23.88	24.0	and	
Levy-Andrew_Complete-Recording_Segue-Ear-Inn_NYC_3-9-96	24.0	24.72	confidences	
Levy-Andrew_Complete-Recording_Segue-Ear-Inn_NYC_3-9-96	24.72	25.04	spill	
Levy-Andrew_Complete-Recording_Segue-Ear-Inn_NYC_3-9-96	25.04	25.36	out.	
Levy-Andrew_Complete-Recording_Segue-Ear-Inn_NYC_3-9-96	25.96	26.12	Who	
Levy-Andrew_Complete-Recording_Segue-Ear-Inn_NYC_3-9-96	26.12	26.24	will	
Levy-Andrew_Complete-Recording_Segue-Ear-Inn_NYC_3-9-96	26.24	26.44	hear	
Levy-Andrew_Complete-Recording_Segue-Ear-Inn_NYC_3-9-96	26.44	26.56	the	
Levy-Andrew_Complete-Recording_Segue-Ear-Inn_NYC_3-9-96	26.56	27.0	shout	
Levy-Andrew_Complete-Recording_Segue-Ear-Inn_NYC_3-9-96	27.0	27.16	of	
Levy-Andrew_Complete-Recording_Segue-Ear-Inn_NYC_3-9-96	27.16	27.76	victory?	
Levy-Andrew_Complete-Recording_Segue-Ear-Inn_NYC_3-9-96	28.68	28.96	Pattern	
Levy-Andrew_Complete-Recording_Segue-Ear-Inn_NYC_3-9-96	28.96	29.6	design.	
Levy-Andrew_Complete-Recording_Segue-Ear-Inn_NYC_3-9-96	30.04	30.16	A	
Levy-Andrew_Complete-Recording_Segue-Ear-Inn_NYC_3-9-96	30.16	30.56	private	
Levy-Andrew_Complete-Recording_Segue-Ear-Inn_NYC_3-9-96	30.56	31.0	person	
Levy-Andrew_Complete-Recording_Segue-Ear-Inn_NYC_3-9-96	31.0	31.4	inside	
Levy-Andrew_Complete-Recording_Segue-Ear-Inn_NYC_3-9-96	31.4	31.84	lateral	
Levy-Andrew_Complete-Recording_Segue-Ear-Inn_NYC_3-9-96	31.84	32.56	speech,	
Levy-Andrew_Complete-Recording_Segue-Ear-Inn_NYC_3-9-96	32.68	33.2	immediate	
Levy-Andrew_Complete-Recording_Segue-Ear-Inn_NYC_3-9-96	33.2	33.88	left,	
Levy-Andrew_Complete-Recording_Segue-Ear-Inn_NYC_3-9-96	33.96	34.24	take	
Levy-Andrew_Complete-Recording_Segue-Ear-Inn_NYC_3-9-96	34.24	34.4	me	
Levy-Andrew_Complete-Recording_Segue-Ear-Inn_NYC_3-9-96	34.4	34.68	with	
Levy-Andrew_Complete-Recording_Segue-Ear-Inn_NYC_3-9-96	34.68	35.12	you.	
Levy-Andrew_Complete-Recording_Segue-Ear-Inn_NYC_3-9-96	35.24	35.52	Who	
Levy-Andrew_Complete-Recording_Segue-Ear-Inn_NYC_3-9-96	35.52	35.76	are	
Levy-Andrew_Complete-Recording_Segue-Ear-Inn_NYC_3-9-96	35.76	36.12	you?	
Levy-Andrew_Complete-Recording_Segue-Ear-Inn_NYC_3-9-96	36.64	37.44	Etymology	
Levy-Andrew_Complete-Recording_Segue-Ear-Inn_NYC_3-9-96	37.44	37.76	knowing	
Levy-Andrew_Complete-Recording_Segue-Ear-Inn_NYC_3-9-96	37.76	37.96	neither	
Levy-Andrew_Complete-Recording_Segue-Ear-Inn_NYC_3-9-96	37.96	38.36	place	
Levy-Andrew_Complete-Recording_Segue-Ear-Inn_NYC_3-9-96	38.36	38.56	nor	
Levy-Andrew_Complete-Recording_Segue-Ear-Inn_NYC_3-9-96	38.56	38.92	form	
Levy-Andrew_Complete-Recording_Segue-Ear-Inn_NYC_3-9-96	38.92	39.16	over	
Levy-Andrew_Complete-Recording_Segue-Ear-Inn_NYC_3-9-96	39.16	39.52	someone	
Levy-Andrew_Complete-Recording_Segue-Ear-Inn_NYC_3-9-96	39.52	40.16	else's	
Levy-Andrew_Complete-Recording_Segue-Ear-Inn_NYC_3-9-96	40.16	41.04	tenderness	
Levy-Andrew_Complete-Recording_Segue-Ear-Inn_NYC_3-9-96	41.04	42.0	impatiently	
Levy-Andrew_Complete-Recording_Segue-Ear-Inn_NYC_3-9-96	42.0	42.2	now	
Levy-Andrew_Complete-Recording_Segue-Ear-Inn_NYC_3-9-96	42.2	42.6	stand	
Levy-Andrew_Complete-Recording_Segue-Ear-Inn_NYC_3-9-96	42.6	42.76	in	
Levy-Andrew_Complete-Recording_Segue-Ear-Inn_NYC_3-9-96	42.76	43.48	peril.	
Levy-Andrew_Complete-Recording_Segue-Ear-Inn_NYC_3-9-96	43.6	44.44	Ideas,	
Levy-Andrew_Complete-Recording_Segue-Ear-Inn_NYC_3-9-96	44.56	45.36	lessons,	
Levy-Andrew_Complete-Recording_Segue-Ear-Inn_NYC_3-9-96	45.64	45.92	thinks	
Levy-Andrew_Complete-Recording_Segue-Ear-Inn_NYC_3-9-96	45.92	46.48	about	
Levy-Andrew_Complete-Recording_Segue-Ear-Inn_NYC_3-9-96	46.6	46.72	an	
Levy-Andrew_Complete-Recording_Segue-Ear-Inn_NYC_3-9-96	46.72	47.36	unteachable	
Levy-Andrew_Complete-Recording_Segue-Ear-Inn_NYC_3-9-96	47.36	47.6	gift	
Levy-Andrew_Complete-Recording_Segue-Ear-Inn_NYC_3-9-96	47.6	47.72	of	
