file	beg	end	text
Davies-Alan_01_Complete-Reading_2-13-88	0.0	0.32	why
Davies-Alan_01_Complete-Reading_2-13-88	0.32	0.5	we
Davies-Alan_01_Complete-Reading_2-13-88	0.5	0.74	say
Davies-Alan_01_Complete-Reading_2-13-88	0.74	0.9	of
Davies-Alan_01_Complete-Reading_2-13-88	0.9	0.98	an
Davies-Alan_01_Complete-Reading_2-13-88	0.98	1.5	experience
Davies-Alan_01_Complete-Reading_2-13-88	1.5	1.78	or
Davies-Alan_01_Complete-Reading_2-13-88	1.78	1.92	of
Davies-Alan_01_Complete-Reading_2-13-88	1.92	2.02	a
Davies-Alan_01_Complete-Reading_2-13-88	2.02	2.4	practice
Davies-Alan_01_Complete-Reading_2-13-88	2.4	2.62	that
Davies-Alan_01_Complete-Reading_2-13-88	2.62	2.74	it
Davies-Alan_01_Complete-Reading_2-13-88	2.74	2.9	is
Davies-Alan_01_Complete-Reading_2-13-88	2.9	3.3	deep
Davies-Alan_01_Complete-Reading_2-13-88	3.3	3.64	or
Davies-Alan_01_Complete-Reading_2-13-88	3.64	4.18	sinister.
Davies-Alan_01_Complete-Reading_2-13-88	5.08	5.48	On
Davies-Alan_01_Complete-Reading_2-13-88	5.48	5.62	the
Davies-Alan_01_Complete-Reading_2-13-88	5.62	5.98	surface,
Davies-Alan_01_Complete-Reading_2-13-88	6.0	6.2	he
Davies-Alan_01_Complete-Reading_2-13-88	6.2	6.34	is
Davies-Alan_01_Complete-Reading_2-13-88	6.34	6.56	dealing
Davies-Alan_01_Complete-Reading_2-13-88	6.56	6.74	with
Davies-Alan_01_Complete-Reading_2-13-88	6.74	6.9	the
Davies-Alan_01_Complete-Reading_2-13-88	6.9	7.16	nature
Davies-Alan_01_Complete-Reading_2-13-88	7.16	7.34	of
Davies-Alan_01_Complete-Reading_2-13-88	7.34	7.46	the
Davies-Alan_01_Complete-Reading_2-13-88	7.46	7.84	mystical
Davies-Alan_01_Complete-Reading_2-13-88	7.84	8.02	or
Davies-Alan_01_Complete-Reading_2-13-88	8.02	8.12	the
Davies-Alan_01_Complete-Reading_2-13-88	8.12	8.56	religious.
Davies-Alan_01_Complete-Reading_2-13-88	9.26	9.66	But
Davies-Alan_01_Complete-Reading_2-13-88	9.66	9.96	beneath
Davies-Alan_01_Complete-Reading_2-13-88	9.96	10.32	that,
Davies-Alan_01_Complete-Reading_2-13-88	10.4	10.52	and
Davies-Alan_01_Complete-Reading_2-13-88	10.52	10.82	almost
Davies-Alan_01_Complete-Reading_2-13-88	10.82	11.24	certainly
Davies-Alan_01_Complete-Reading_2-13-88	11.24	12.08	unintentionally,
Davies-Alan_01_Complete-Reading_2-13-88	12.46	12.66	the
Davies-Alan_01_Complete-Reading_2-13-88	12.66	12.9	broader
Davies-Alan_01_Complete-Reading_2-13-88	12.9	13.34	question
Davies-Alan_01_Complete-Reading_2-13-88	13.34	13.56	being
Davies-Alan_01_Complete-Reading_2-13-88	13.56	13.96	asked
Davies-Alan_01_Complete-Reading_2-13-88	13.96	14.32	is,
Davies-Alan_01_Complete-Reading_2-13-88	14.48	15.0	why
Davies-Alan_01_Complete-Reading_2-13-88	15.0	15.16	do
Davies-Alan_01_Complete-Reading_2-13-88	15.16	15.36	we
Davies-Alan_01_Complete-Reading_2-13-88	15.36	16.12	adjectivize
Davies-Alan_01_Complete-Reading_2-13-88	16.12	16.26	it
Davies-Alan_01_Complete-Reading_2-13-88	16.26	16.46	all?
Davies-Alan_01_Complete-Reading_2-13-88	16.66	17.06	How
Davies-Alan_01_Complete-Reading_2-13-88	17.06	17.18	do
Davies-Alan_01_Complete-Reading_2-13-88	17.18	17.3	we
Davies-Alan_01_Complete-Reading_2-13-88	17.3	17.5	come
Davies-Alan_01_Complete-Reading_2-13-88	17.5	17.66	to
Davies-Alan_01_Complete-Reading_2-13-88	17.66	17.88	say
Davies-Alan_01_Complete-Reading_2-13-88	17.88	18.16	that
Davies-Alan_01_Complete-Reading_2-13-88	18.16	18.28	of
Davies-Alan_01_Complete-Reading_2-13-88	18.28	18.48	that?
Davies-Alan_01_Complete-Reading_2-13-88	19.26	19.66	It
Davies-Alan_01_Complete-Reading_2-13-88	19.66	19.78	is
Davies-Alan_01_Complete-Reading_2-13-88	19.78	19.9	in
Davies-Alan_01_Complete-Reading_2-13-88	19.9	19.98	the
Davies-Alan_01_Complete-Reading_2-13-88	19.98	20.38	context
Davies-Alan_01_Complete-Reading_2-13-88	20.38	20.62	of
Davies-Alan_01_Complete-Reading_2-13-88	20.62	20.8	this
Davies-Alan_01_Complete-Reading_2-13-88	20.8	20.98	that
Davies-Alan_01_Complete-Reading_2-13-88	20.98	21.08	he
Davies-Alan_01_Complete-Reading_2-13-88	21.08	21.54	asks,
Davies-Alan_01_Complete-Reading_2-13-88	21.84	22.04	quote,
Davies-Alan_01_Complete-Reading_2-13-88	22.58	22.98	But
Davies-Alan_01_Complete-Reading_2-13-88	22.98	23.16	could
Davies-Alan_01_Complete-Reading_2-13-88	23.16	23.28	I
Davies-Alan_01_Complete-Reading_2-13-88	23.28	23.46	not
Davies-Alan_01_Complete-Reading_2-13-88	23.46	23.68	just
Davies-Alan_01_Complete-Reading_2-13-88	23.68	23.86	as
Davies-Alan_01_Complete-Reading_2-13-88	23.86	24.02	well
Davies-Alan_01_Complete-Reading_2-13-88	24.02	24.44	ask,
Davies-Alan_01_Complete-Reading_2-13-88	24.6	24.92	when
Davies-Alan_01_Complete-Reading_2-13-88	24.92	25.04	I
Davies-Alan_01_Complete-Reading_2-13-88	25.04	25.24	see
Davies-Alan_01_Complete-Reading_2-13-88	25.24	25.58	someone
Davies-Alan_01_Complete-Reading_2-13-88	25.58	26.0	killed,
Davies-Alan_01_Complete-Reading_2-13-88	26.28	26.62	is
Davies-Alan_01_Complete-Reading_2-13-88	26.62	26.72	it
Davies-Alan_01_Complete-Reading_2-13-88	26.72	27.04	simply
Davies-Alan_01_Complete-Reading_2-13-88	27.04	27.24	what
Davies-Alan_01_Complete-Reading_2-13-88	27.24	27.38	I
Davies-Alan_01_Complete-Reading_2-13-88	27.38	27.58	see
Davies-Alan_01_Complete-Reading_2-13-88	27.58	27.74	that
Davies-Alan_01_Complete-Reading_2-13-88	27.74	27.98	makes
Davies-Alan_01_Complete-Reading_2-13-88	27.98	28.12	an
