file	beg	end	text
Yau-John_02_Complete-Reading_SUNY-Buffalo_2-4-98	0.0	0.46	Wanted
Yau-John_02_Complete-Reading_SUNY-Buffalo_2-4-98	0.46	0.56	to
Yau-John_02_Complete-Reading_SUNY-Buffalo_2-4-98	0.56	0.82	grab
Yau-John_02_Complete-Reading_SUNY-Buffalo_2-4-98	0.82	1.06	my
Yau-John_02_Complete-Reading_SUNY-Buffalo_2-4-98	1.06	1.48	face
Yau-John_02_Complete-Reading_SUNY-Buffalo_2-4-98	1.48	1.66	with
Yau-John_02_Complete-Reading_SUNY-Buffalo_2-4-98	1.66	1.82	the
Yau-John_02_Complete-Reading_SUNY-Buffalo_2-4-98	1.82	2.2	pliers
Yau-John_02_Complete-Reading_SUNY-Buffalo_2-4-98	2.2	2.52	of
Yau-John_02_Complete-Reading_SUNY-Buffalo_2-4-98	2.52	2.8	dirty
Yau-John_02_Complete-Reading_SUNY-Buffalo_2-4-98	2.8	3.22	of
Yau-John_02_Complete-Reading_SUNY-Buffalo_2-4-98	3.22	3.52	dirt
Yau-John_02_Complete-Reading_SUNY-Buffalo_2-4-98	3.52	4.1	trickling
Yau-John_02_Complete-Reading_SUNY-Buffalo_2-4-98	4.1	4.3	from
Yau-John_02_Complete-Reading_SUNY-Buffalo_2-4-98	4.3	4.5	their
Yau-John_02_Complete-Reading_SUNY-Buffalo_2-4-98	4.5	4.86	lips.
Yau-John_02_Complete-Reading_SUNY-Buffalo_2-4-98	5.56	6.08	I
Yau-John_02_Complete-Reading_SUNY-Buffalo_2-4-98	6.08	6.24	want
Yau-John_02_Complete-Reading_SUNY-Buffalo_2-4-98	6.24	6.34	to
Yau-John_02_Complete-Reading_SUNY-Buffalo_2-4-98	6.34	6.46	be
Yau-John_02_Complete-Reading_SUNY-Buffalo_2-4-98	6.46	6.76	another
Yau-John_02_Complete-Reading_SUNY-Buffalo_2-4-98	6.76	7.24	stumble
Yau-John_02_Complete-Reading_SUNY-Buffalo_2-4-98	7.24	7.48	of
Yau-John_02_Complete-Reading_SUNY-Buffalo_2-4-98	7.48	7.96	flesh
Yau-John_02_Complete-Reading_SUNY-Buffalo_2-4-98	8.46	9.0	Glimpsed
Yau-John_02_Complete-Reading_SUNY-Buffalo_2-4-98	9.0	9.12	from
Yau-John_02_Complete-Reading_SUNY-Buffalo_2-4-98	9.12	9.26	a
Yau-John_02_Complete-Reading_SUNY-Buffalo_2-4-98	9.26	9.64	crack
Yau-John_02_Complete-Reading_SUNY-Buffalo_2-4-98	9.64	9.86	in
Yau-John_02_Complete-Reading_SUNY-Buffalo_2-4-98	9.86	9.98	the
Yau-John_02_Complete-Reading_SUNY-Buffalo_2-4-98	9.98	10.66	arcade's
Yau-John_02_Complete-Reading_SUNY-Buffalo_2-4-98	10.66	11.12	nougat
Yau-John_02_Complete-Reading_SUNY-Buffalo_2-4-98	11.12	11.64	facade.
Yau-John_02_Complete-Reading_SUNY-Buffalo_2-4-98	12.2	12.36	Can
Yau-John_02_Complete-Reading_SUNY-Buffalo_2-4-98	12.36	12.52	you
Yau-John_02_Complete-Reading_SUNY-Buffalo_2-4-98	12.52	12.78	see
Yau-John_02_Complete-Reading_SUNY-Buffalo_2-4-98	12.78	12.94	me
Yau-John_02_Complete-Reading_SUNY-Buffalo_2-4-98	12.94	13.18	without
Yau-John_02_Complete-Reading_SUNY-Buffalo_2-4-98	13.18	13.74	remembering
Yau-John_02_Complete-Reading_SUNY-Buffalo_2-4-98	13.74	13.98	my
Yau-John_02_Complete-Reading_SUNY-Buffalo_2-4-98	13.98	14.4	trimmed
Yau-John_02_Complete-Reading_SUNY-Buffalo_2-4-98	14.4	14.94	voice?
Yau-John_02_Complete-Reading_SUNY-Buffalo_2-4-98	15.2	15.72	Boiling
Yau-John_02_Complete-Reading_SUNY-Buffalo_2-4-98	15.72	15.88	in
Yau-John_02_Complete-Reading_SUNY-Buffalo_2-4-98	15.88	16.0	the
Yau-John_02_Complete-Reading_SUNY-Buffalo_2-4-98	16.0	16.54	cauldrons
Yau-John_02_Complete-Reading_SUNY-Buffalo_2-4-98	16.54	16.78	of
Yau-John_02_Complete-Reading_SUNY-Buffalo_2-4-98	16.78	17.14	rural
Yau-John_02_Complete-Reading_SUNY-Buffalo_2-4-98	17.14	17.64	drive
Yau-John_02_Complete-Reading_SUNY-Buffalo_2-4-98	17.64	17.88	-ins
Yau-John_02_Complete-Reading_SUNY-Buffalo_2-4-98	17.88	18.6	old
Yau-John_02_Complete-Reading_SUNY-Buffalo_2-4-98	18.6	19.1	cars
Yau-John_02_Complete-Reading_SUNY-Buffalo_2-4-98	19.1	19.68	quivering
Yau-John_02_Complete-Reading_SUNY-Buffalo_2-4-98	19.68	19.88	to
Yau-John_02_Complete-Reading_SUNY-Buffalo_2-4-98	19.88	20.06	a
Yau-John_02_Complete-Reading_SUNY-Buffalo_2-4-98	20.06	20.34	fresh
Yau-John_02_Complete-Reading_SUNY-Buffalo_2-4-98	20.34	20.66	line
Yau-John_02_Complete-Reading_SUNY-Buffalo_2-4-98	20.66	20.82	of
Yau-John_02_Complete-Reading_SUNY-Buffalo_2-4-98	20.82	21.58	mattresses
Yau-John_02_Complete-Reading_SUNY-Buffalo_2-4-98	21.58	22.28	Ticking
Yau-John_02_Complete-Reading_SUNY-Buffalo_2-4-98	22.28	22.48	in
Yau-John_02_Complete-Reading_SUNY-Buffalo_2-4-98	22.48	22.6	the
Yau-John_02_Complete-Reading_SUNY-Buffalo_2-4-98	22.6	23.3	calcified
Yau-John_02_Complete-Reading_SUNY-Buffalo_2-4-98	23.3	23.8	vortex
Yau-John_02_Complete-Reading_SUNY-Buffalo_2-4-98	23.8	24.14	of
Yau-John_02_Complete-Reading_SUNY-Buffalo_2-4-98	24.14	24.72	gingham's
Yau-John_02_Complete-Reading_SUNY-Buffalo_2-4-98	24.72	25.14	faded
Yau-John_02_Complete-Reading_SUNY-Buffalo_2-4-98	25.14	25.54	dark
Yau-John_02_Complete-Reading_SUNY-Buffalo_2-4-98	25.54	26.56	Scuffed
Yau-John_02_Complete-Reading_SUNY-Buffalo_2-4-98	26.56	28.26	kneecap
Yau-John_02_Complete-Reading_SUNY-Buffalo_2-4-98	28.26	28.68	hand
Yau-John_02_Complete-Reading_SUNY-Buffalo_2-4-98	28.68	28.96	clamp
Yau-John_02_Complete-Reading_SUNY-Buffalo_2-4-98	28.96	29.78	refusals.
Yau-John_02_Complete-Reading_SUNY-Buffalo_2-4-98	29.96	30.68	Derelict
