file	beg	end	text
Lauterbach-Ann_Complete-Reading_Segue-Series_BPC_21-4-99	0.0	0.32	is
Lauterbach-Ann_Complete-Reading_Segue-Series_BPC_21-4-99	0.32	0.94	embossed
Lauterbach-Ann_Complete-Reading_Segue-Series_BPC_21-4-99	0.94	1.08	on
Lauterbach-Ann_Complete-Reading_Segue-Series_BPC_21-4-99	1.08	1.2	the
Lauterbach-Ann_Complete-Reading_Segue-Series_BPC_21-4-99	1.2	1.7	stationary,
Lauterbach-Ann_Complete-Reading_Segue-Series_BPC_21-4-99	1.98	2.04	and
Lauterbach-Ann_Complete-Reading_Segue-Series_BPC_21-4-99	2.04	2.22	the
Lauterbach-Ann_Complete-Reading_Segue-Series_BPC_21-4-99	2.22	2.66	sign
Lauterbach-Ann_Complete-Reading_Segue-Series_BPC_21-4-99	2.66	2.92	is
Lauterbach-Ann_Complete-Reading_Segue-Series_BPC_21-4-99	2.92	3.46	dry.
Lauterbach-Ann_Complete-Reading_Segue-Series_BPC_21-4-99	4.04	4.34	Turn,
Lauterbach-Ann_Complete-Reading_Segue-Series_BPC_21-4-99	4.58	5.14	swift
Lauterbach-Ann_Complete-Reading_Segue-Series_BPC_21-4-99	5.14	5.74	bearer,
Lauterbach-Ann_Complete-Reading_Segue-Series_BPC_21-4-99	5.92	6.3	brief
Lauterbach-Ann_Complete-Reading_Segue-Series_BPC_21-4-99	6.3	6.9	volition,
Lauterbach-Ann_Complete-Reading_Segue-Series_BPC_21-4-99	7.12	7.3	wing
Lauterbach-Ann_Complete-Reading_Segue-Series_BPC_21-4-99	7.3	7.98	-featured
Lauterbach-Ann_Complete-Reading_Segue-Series_BPC_21-4-99	7.98	8.16	at
Lauterbach-Ann_Complete-Reading_Segue-Series_BPC_21-4-99	8.16	8.3	the
Lauterbach-Ann_Complete-Reading_Segue-Series_BPC_21-4-99	8.3	8.76	far,
Lauterbach-Ann_Complete-Reading_Segue-Series_BPC_21-4-99	8.9	9.26	the
Lauterbach-Ann_Complete-Reading_Segue-Series_BPC_21-4-99	9.26	9.92	furthest
Lauterbach-Ann_Complete-Reading_Segue-Series_BPC_21-4-99	9.92	10.52	shore.
Lauterbach-Ann_Complete-Reading_Segue-Series_BPC_21-4-99	20.080000000000002	20.76	Untitled.
Lauterbach-Ann_Complete-Reading_Segue-Series_BPC_21-4-99	22.44	23.12	The
Lauterbach-Ann_Complete-Reading_Segue-Series_BPC_21-4-99	23.12	23.44	dream
Lauterbach-Ann_Complete-Reading_Segue-Series_BPC_21-4-99	23.44	24.04	ascends
Lauterbach-Ann_Complete-Reading_Segue-Series_BPC_21-4-99	24.04	24.3	its
Lauterbach-Ann_Complete-Reading_Segue-Series_BPC_21-4-99	24.3	25.24	microcosm,
Lauterbach-Ann_Complete-Reading_Segue-Series_BPC_21-4-99	25.34	25.8	making
Lauterbach-Ann_Complete-Reading_Segue-Series_BPC_21-4-99	25.8	26.24	not
Lauterbach-Ann_Complete-Reading_Segue-Series_BPC_21-4-99	26.24	26.74	sense,
Lauterbach-Ann_Complete-Reading_Segue-Series_BPC_21-4-99	26.74	27.32	and
Lauterbach-Ann_Complete-Reading_Segue-Series_BPC_21-4-99	27.32	27.44	the
