file	beg	end	text	speaker
Berkson-Bill_Complete-Reading_Poetry-Project_St-Marks-NY_5-17-78	0.119	0.33	And	spk_0
Berkson-Bill_Complete-Reading_Poetry-Project_St-Marks-NY_5-17-78	0.34	0.56	your	spk_0
Berkson-Bill_Complete-Reading_Poetry-Project_St-Marks-NY_5-17-78	0.569	0.86	eyes	spk_0
Berkson-Bill_Complete-Reading_Poetry-Project_St-Marks-NY_5-17-78	0.87	0.99	are	spk_0
Berkson-Bill_Complete-Reading_Poetry-Project_St-Marks-NY_5-17-78	1.0	1.72	particularly	spk_0
Berkson-Bill_Complete-Reading_Poetry-Project_St-Marks-NY_5-17-78	1.73	2.45	blue	spk_0
Berkson-Bill_Complete-Reading_Poetry-Project_St-Marks-NY_5-17-78	2.789	3.009	and	spk_0
Berkson-Bill_Complete-Reading_Poetry-Project_St-Marks-NY_5-17-78	3.019	3.19	your	spk_0
Berkson-Bill_Complete-Reading_Poetry-Project_St-Marks-NY_5-17-78	3.2	3.829	feelings	spk_0
Berkson-Bill_Complete-Reading_Poetry-Project_St-Marks-NY_5-17-78	3.839	4.05	may	spk_0
Berkson-Bill_Complete-Reading_Poetry-Project_St-Marks-NY_5-17-78	4.059	4.23	be	spk_0
Berkson-Bill_Complete-Reading_Poetry-Project_St-Marks-NY_5-17-78	4.239	4.949	fading	spk_0
Berkson-Bill_Complete-Reading_Poetry-Project_St-Marks-NY_5-17-78	5.059	5.289	and	spk_0
Berkson-Bill_Complete-Reading_Poetry-Project_St-Marks-NY_5-17-78	5.3	5.61	grow	spk_0
Berkson-Bill_Complete-Reading_Poetry-Project_St-Marks-NY_5-17-78	5.619	6.3	blank	spk_0
Berkson-Bill_Complete-Reading_Poetry-Project_St-Marks-NY_5-17-78	7.039	7.219	but	spk_0
Berkson-Bill_Complete-Reading_Poetry-Project_St-Marks-NY_5-17-78	7.23	7.469	the	spk_0
Berkson-Bill_Complete-Reading_Poetry-Project_St-Marks-NY_5-17-78	7.48	7.739	soap	spk_0
Berkson-Bill_Complete-Reading_Poetry-Project_St-Marks-NY_5-17-78	7.75	7.9	is	spk_0
Berkson-Bill_Complete-Reading_Poetry-Project_St-Marks-NY_5-17-78	7.909	8.409	happy.	spk_0
Berkson-Bill_Complete-Reading_Poetry-Project_St-Marks-NY_5-17-78	8.42	8.619	It's	spk_0
Berkson-Bill_Complete-Reading_Poetry-Project_St-Marks-NY_5-17-78	8.63	9.1	you.	spk_0
Berkson-Bill_Complete-Reading_Poetry-Project_St-Marks-NY_5-17-78	12.149	12.18	Yes.	spk_1
Berkson-Bill_Complete-Reading_Poetry-Project_St-Marks-NY_5-17-78	22.319	22.67	Us	spk_0
Berkson-Bill_Complete-Reading_Poetry-Project_St-Marks-NY_5-17-78	22.68	23.04	looking	spk_0
Berkson-Bill_Complete-Reading_Poetry-Project_St-Marks-NY_5-17-78	23.049	23.209	up	spk_0
Berkson-Bill_Complete-Reading_Poetry-Project_St-Marks-NY_5-17-78	23.219	23.37	to	spk_0
Berkson-Bill_Complete-Reading_Poetry-Project_St-Marks-NY_5-17-78	23.379	23.59	Saint	spk_0
Berkson-Bill_Complete-Reading_Poetry-Project_St-Marks-NY_5-17-78	23.6	24.1	Bridget.	spk_0
Berkson-Bill_Complete-Reading_Poetry-Project_St-Marks-NY_5-17-78	26.78	27.18	Let's	spk_0
Berkson-Bill_Complete-Reading_Poetry-Project_St-Marks-NY_5-17-78	27.19	27.319	see.	spk_0
Berkson-Bill_Complete-Reading_Poetry-Project_St-Marks-NY_5-17-78	27.329	27.559	Now,	spk_0
Berkson-Bill_Complete-Reading_Poetry-Project_St-Marks-NY_5-17-78	27.569	27.819	where	spk_0
Berkson-Bill_Complete-Reading_Poetry-Project_St-Marks-NY_5-17-78	27.829	28.04	are	spk_0
Berkson-Bill_Complete-Reading_Poetry-Project_St-Marks-NY_5-17-78	28.049	28.319	we?	spk_0
Berkson-Bill_Complete-Reading_Poetry-Project_St-Marks-NY_5-17-78	28.329	28.52	It	spk_0
Berkson-Bill_Complete-Reading_Poetry-Project_St-Marks-NY_5-17-78	28.53	28.68	is	spk_0
Berkson-Bill_Complete-Reading_Poetry-Project_St-Marks-NY_5-17-78	28.69	29.12	dust	spk_0
Berkson-Bill_Complete-Reading_Poetry-Project_St-Marks-NY_5-17-78	29.129	29.159	in	spk_0
Berkson-Bill_Complete-Reading_Poetry-Project_St-Marks-NY_5-17-78	29.17	29.399	New	spk_0
Berkson-Bill_Complete-Reading_Poetry-Project_St-Marks-NY_5-17-78	29.409	29.68	York	spk_0
Berkson-Bill_Complete-Reading_Poetry-Project_St-Marks-NY_5-17-78	29.69	30.04	about	spk_0
Berkson-Bill_Complete-Reading_Poetry-Project_St-Marks-NY_5-17-78	30.049	30.149	to	spk_0
Berkson-Bill_Complete-Reading_Poetry-Project_St-Marks-NY_5-17-78	30.159	30.319	be	spk_0
Berkson-Bill_Complete-Reading_Poetry-Project_St-Marks-NY_5-17-78	30.329	30.86	Christmas.	spk_0
Berkson-Bill_Complete-Reading_Poetry-Project_St-Marks-NY_5-17-78	30.87	31.049	And	spk_0
Berkson-Bill_Complete-Reading_Poetry-Project_St-Marks-NY_5-17-78	31.059	31.37	next	spk_0
Berkson-Bill_Complete-Reading_Poetry-Project_St-Marks-NY_5-17-78	31.379	32.49	1961	spk_0
Berkson-Bill_Complete-Reading_Poetry-Project_St-Marks-NY_5-17-78	32.5	32.669	we	spk_0
Berkson-Bill_Complete-Reading_Poetry-Project_St-Marks-NY_5-17-78	32.68	32.81	are	spk_0
Berkson-Bill_Complete-Reading_Poetry-Project_St-Marks-NY_5-17-78	32.819	33.009	not	spk_0
Berkson-Bill_Complete-Reading_Poetry-Project_St-Marks-NY_5-17-78	33.02	33.669	detectives,	spk_0
Berkson-Bill_Complete-Reading_Poetry-Project_St-Marks-NY_5-17-78	33.68	33.919	are	spk_0
Berkson-Bill_Complete-Reading_Poetry-Project_St-Marks-NY_5-17-78	33.93	34.09	we?	spk_0
Berkson-Bill_Complete-Reading_Poetry-Project_St-Marks-NY_5-17-78	34.099	34.2	So	spk_0
Berkson-Bill_Complete-Reading_Poetry-Project_St-Marks-NY_5-17-78	34.209	34.34	we	spk_0
Berkson-Bill_Complete-Reading_Poetry-Project_St-Marks-NY_5-17-78	34.349	34.56	don't	spk_0
Berkson-Bill_Complete-Reading_Poetry-Project_St-Marks-NY_5-17-78	34.569	34.799	care	spk_0
Berkson-Bill_Complete-Reading_Poetry-Project_St-Marks-NY_5-17-78	34.81	35.08	what	spk_0
Berkson-Bill_Complete-Reading_Poetry-Project_St-Marks-NY_5-17-78	35.09	35.279	time	spk_0
Berkson-Bill_Complete-Reading_Poetry-Project_St-Marks-NY_5-17-78	35.29	35.349	it	spk_0
Berkson-Bill_Complete-Reading_Poetry-Project_St-Marks-NY_5-17-78	35.36	35.68	is.	spk_0
Berkson-Bill_Complete-Reading_Poetry-Project_St-Marks-NY_5-17-78	36.689	37.069	Where	spk_0
Berkson-Bill_Complete-Reading_Poetry-Project_St-Marks-NY_5-17-78	37.08	37.229	will	spk_0
Berkson-Bill_Complete-Reading_Poetry-Project_St-Marks-NY_5-17-78	37.24	37.36	we	spk_0
Berkson-Bill_Complete-Reading_Poetry-Project_St-Marks-NY_5-17-78	37.369	37.549	all	spk_0
Berkson-Bill_Complete-Reading_Poetry-Project_St-Marks-NY_5-17-78	37.56	37.72	be	spk_0
Berkson-Bill_Complete-Reading_Poetry-Project_St-Marks-NY_5-17-78	37.729	37.95	on	spk_0
Berkson-Bill_Complete-Reading_Poetry-Project_St-Marks-NY_5-17-78	37.959	38.06	New	spk_0
Berkson-Bill_Complete-Reading_Poetry-Project_St-Marks-NY_5-17-78	38.069	38.319	Year's	spk_0
Berkson-Bill_Complete-Reading_Poetry-Project_St-Marks-NY_5-17-78	38.33	38.669	Day?	spk_0
Berkson-Bill_Complete-Reading_Poetry-Project_St-Marks-NY_5-17-78	38.68	38.889	Saint	spk_0
Berkson-Bill_Complete-Reading_Poetry-Project_St-Marks-NY_5-17-78	38.9	39.229	Bridget	spk_0
Berkson-Bill_Complete-Reading_Poetry-Project_St-Marks-NY_5-17-78	39.24	39.61	knows	spk_0
Berkson-Bill_Complete-Reading_Poetry-Project_St-Marks-NY_5-17-78	39.619	39.75	but	spk_0
Berkson-Bill_Complete-Reading_Poetry-Project_St-Marks-NY_5-17-78	39.759	39.889	she	spk_0
Berkson-Bill_Complete-Reading_Poetry-Project_St-Marks-NY_5-17-78	39.9	40.169	hasn't	spk_0
Berkson-Bill_Complete-Reading_Poetry-Project_St-Marks-NY_5-17-78	40.18	40.389	sent	spk_0
Berkson-Bill_Complete-Reading_Poetry-Project_St-Marks-NY_5-17-78	40.4	40.56	out	spk_0
Berkson-Bill_Complete-Reading_Poetry-Project_St-Marks-NY_5-17-78	40.569	41.29	invitations	spk_0
Berkson-Bill_Complete-Reading_Poetry-Project_St-Marks-NY_5-17-78	41.299	41.599	yet	spk_0
Berkson-Bill_Complete-Reading_Poetry-Project_St-Marks-NY_5-17-78	41.61	41.79	and	spk_0
Berkson-Bill_Complete-Reading_Poetry-Project_St-Marks-NY_5-17-78	41.799	42.069	yet	spk_0
Berkson-Bill_Complete-Reading_Poetry-Project_St-Marks-NY_5-17-78	42.08	42.27	and	spk_0
Berkson-Bill_Complete-Reading_Poetry-Project_St-Marks-NY_5-17-78	42.279	42.52	yet	spk_0
Berkson-Bill_Complete-Reading_Poetry-Project_St-Marks-NY_5-17-78	42.529	42.68	and	spk_0
Berkson-Bill_Complete-Reading_Poetry-Project_St-Marks-NY_5-17-78	42.689	42.88	yet	spk_0
Berkson-Bill_Complete-Reading_Poetry-Project_St-Marks-NY_5-17-78	42.889	43.119	as	spk_0
Berkson-Bill_Complete-Reading_Poetry-Project_St-Marks-NY_5-17-78	43.13	43.229	the	spk_0
Berkson-Bill_Complete-Reading_Poetry-Project_St-Marks-NY_5-17-78	43.24	43.83	Japanese	spk_0
Berkson-Bill_Complete-Reading_Poetry-Project_St-Marks-NY_5-17-78	43.84	43.979	are	spk_0
Berkson-Bill_Complete-Reading_Poetry-Project_St-Marks-NY_5-17-78	43.99	44.4	always	spk_0
Berkson-Bill_Complete-Reading_Poetry-Project_St-Marks-NY_5-17-78	44.409	44.75	those	spk_0
Berkson-Bill_Complete-Reading_Poetry-Project_St-Marks-NY_5-17-78	44.759	45.419	heathens	spk_0
Berkson-Bill_Complete-Reading_Poetry-Project_St-Marks-NY_5-17-78	45.43	46.13	saying	spk_0
Berkson-Bill_Complete-Reading_Poetry-Project_St-Marks-NY_5-17-78	46.34	46.59	and	spk_0
Berkson-Bill_Complete-Reading_Poetry-Project_St-Marks-NY_5-17-78	46.599	46.77	yet	spk_0
Berkson-Bill_Complete-Reading_Poetry-Project_St-Marks-NY_5-17-78	46.779	47.02	we	spk_0
