file	beg	end	text
Bromige-David_Complete-Recording_New-Poems_Unknown-Reel	0.0	0.32	When
Bromige-David_Complete-Recording_New-Poems_Unknown-Reel	0.32	0.44	the
Bromige-David_Complete-Recording_New-Poems_Unknown-Reel	0.44	0.72	bunk
Bromige-David_Complete-Recording_New-Poems_Unknown-Reel	0.72	1.04	shook
Bromige-David_Complete-Recording_New-Poems_Unknown-Reel	1.04	1.28	so
Bromige-David_Complete-Recording_New-Poems_Unknown-Reel	1.28	1.62	hard,
Bromige-David_Complete-Recording_New-Poems_Unknown-Reel	1.8	1.96	stuff
Bromige-David_Complete-Recording_New-Poems_Unknown-Reel	1.96	2.32	fell
Bromige-David_Complete-Recording_New-Poems_Unknown-Reel	2.32	2.5	from
Bromige-David_Complete-Recording_New-Poems_Unknown-Reel	2.5	2.64	the
Bromige-David_Complete-Recording_New-Poems_Unknown-Reel	2.64	2.98	ceiling.
Bromige-David_Complete-Recording_New-Poems_Unknown-Reel	3.36	3.88	He
Bromige-David_Complete-Recording_New-Poems_Unknown-Reel	3.88	4.16	saw
Bromige-David_Complete-Recording_New-Poems_Unknown-Reel	4.16	4.42	whose
Bromige-David_Complete-Recording_New-Poems_Unknown-Reel	4.42	4.64	hand
Bromige-David_Complete-Recording_New-Poems_Unknown-Reel	4.64	4.8	it
Bromige-David_Complete-Recording_New-Poems_Unknown-Reel	4.8	5.1	was.
Bromige-David_Complete-Recording_New-Poems_Unknown-Reel	5.880000000000001	6.4	But
Bromige-David_Complete-Recording_New-Poems_Unknown-Reel	6.4	6.5	the
Bromige-David_Complete-Recording_New-Poems_Unknown-Reel	6.5	6.7	woman
Bromige-David_Complete-Recording_New-Poems_Unknown-Reel	6.7	6.86	had
Bromige-David_Complete-Recording_New-Poems_Unknown-Reel	6.86	7.1	pulled
Bromige-David_Complete-Recording_New-Poems_Unknown-Reel	7.1	7.22	him
Bromige-David_Complete-Recording_New-Poems_Unknown-Reel	7.22	7.4	so
Bromige-David_Complete-Recording_New-Poems_Unknown-Reel	7.4	7.82	strongly
Bromige-David_Complete-Recording_New-Poems_Unknown-Reel	7.82	8.04	into
Bromige-David_Complete-Recording_New-Poems_Unknown-Reel	8.04	8.24	her
Bromige-David_Complete-Recording_New-Poems_Unknown-Reel	8.24	8.5	front
Bromige-David_Complete-Recording_New-Poems_Unknown-Reel	8.5	8.66	that
Bromige-David_Complete-Recording_New-Poems_Unknown-Reel	8.66	8.78	a
Bromige-David_Complete-Recording_New-Poems_Unknown-Reel	8.78	8.98	button
Bromige-David_Complete-Recording_New-Poems_Unknown-Reel	8.98	9.14	of
Bromige-David_Complete-Recording_New-Poems_Unknown-Reel	9.14	9.26	her
Bromige-David_Complete-Recording_New-Poems_Unknown-Reel	9.26	9.6	dress
Bromige-David_Complete-Recording_New-Poems_Unknown-Reel	9.6	10.02	had
Bromige-David_Complete-Recording_New-Poems_Unknown-Reel	10.02	10.24	dug
Bromige-David_Complete-Recording_New-Poems_Unknown-Reel	10.24	10.4	into
Bromige-David_Complete-Recording_New-Poems_Unknown-Reel	10.4	10.66	his
Bromige-David_Complete-Recording_New-Poems_Unknown-Reel	10.66	10.98	cheek,
Bromige-David_Complete-Recording_New-Poems_Unknown-Reel	11.22	11.56	above
Bromige-David_Complete-Recording_New-Poems_Unknown-Reel	11.56	11.74	the
Bromige-David_Complete-Recording_New-Poems_Unknown-Reel	11.74	12.06	bone,
