file	beg	end	text
Levy-Andrew_Complete-Recording_Segue-Ear-Inn_NYC_3-9-96	0.33	0.34	stay
Levy-Andrew_Complete-Recording_Segue-Ear-Inn_NYC_3-9-96	0.34	0.68	away
Levy-Andrew_Complete-Recording_Segue-Ear-Inn_NYC_3-9-96	0.68	1.02	from
Levy-Andrew_Complete-Recording_Segue-Ear-Inn_NYC_3-9-96	1.02	1.9	it.
Levy-Andrew_Complete-Recording_Segue-Ear-Inn_NYC_3-9-96	1.9	2.07	Its
Levy-Andrew_Complete-Recording_Segue-Ear-Inn_NYC_3-9-96	2.07	2.3	name
Levy-Andrew_Complete-Recording_Segue-Ear-Inn_NYC_3-9-96	2.3	2.57	moves
Levy-Andrew_Complete-Recording_Segue-Ear-Inn_NYC_3-9-96	2.57	2.82	on
Levy-Andrew_Complete-Recording_Segue-Ear-Inn_NYC_3-9-96	2.82	4.29	untranslatable,
Levy-Andrew_Complete-Recording_Segue-Ear-Inn_NYC_3-9-96	4.29	5.05	sensuous
Levy-Andrew_Complete-Recording_Segue-Ear-Inn_NYC_3-9-96	5.05	5.32	charm
Levy-Andrew_Complete-Recording_Segue-Ear-Inn_NYC_3-9-96	5.32	5.49	to
Levy-Andrew_Complete-Recording_Segue-Ear-Inn_NYC_3-9-96	5.49	5.66	be
Levy-Andrew_Complete-Recording_Segue-Ear-Inn_NYC_3-9-96	5.66	6.24	neither
Levy-Andrew_Complete-Recording_Segue-Ear-Inn_NYC_3-9-96	6.24	6.57	poor
Levy-Andrew_Complete-Recording_Segue-Ear-Inn_NYC_3-9-96	6.57	6.82	nor
Levy-Andrew_Complete-Recording_Segue-Ear-Inn_NYC_3-9-96	6.82	7.53	rich,
Levy-Andrew_Complete-Recording_Segue-Ear-Inn_NYC_3-9-96	7.53	7.6	the
Levy-Andrew_Complete-Recording_Segue-Ear-Inn_NYC_3-9-96	7.6	8.14	outline
Levy-Andrew_Complete-Recording_Segue-Ear-Inn_NYC_3-9-96	8.14	8.34	of
Levy-Andrew_Complete-Recording_Segue-Ear-Inn_NYC_3-9-96	8.34	8.48	the
Levy-Andrew_Complete-Recording_Segue-Ear-Inn_NYC_3-9-96	8.48	8.89	lifted
Levy-Andrew_Complete-Recording_Segue-Ear-Inn_NYC_3-9-96	8.89	9.68	finger.
Levy-Andrew_Complete-Recording_Segue-Ear-Inn_NYC_3-9-96	9.68	9.72	His
Levy-Andrew_Complete-Recording_Segue-Ear-Inn_NYC_3-9-96	9.72	9.95	most
Levy-Andrew_Complete-Recording_Segue-Ear-Inn_NYC_3-9-96	9.95	10.36	recent
Levy-Andrew_Complete-Recording_Segue-Ear-Inn_NYC_3-9-96	10.36	11.17	critics
Levy-Andrew_Complete-Recording_Segue-Ear-Inn_NYC_3-9-96	11.17	11.32	are
Levy-Andrew_Complete-Recording_Segue-Ear-Inn_NYC_3-9-96	11.32	12.14	tender.
