file	beg	end	text	speaker
Halpern-Rob_Complete-BPC-Segue_3-3-07	0.16	0.28	A	
Halpern-Rob_Complete-BPC-Segue_3-3-07	0.28	0.88	bloodless	
Halpern-Rob_Complete-BPC-Segue_3-3-07	0.88	1.32	thing,	
Halpern-Rob_Complete-BPC-Segue_3-3-07	1.32	1.64	my	
Halpern-Rob_Complete-BPC-Segue_3-3-07	1.64	2.32	dildo	
Halpern-Rob_Complete-BPC-Segue_3-3-07	2.32	3.28	stalks	
Halpern-Rob_Complete-BPC-Segue_3-3-07	3.6	3.72	the	
Halpern-Rob_Complete-BPC-Segue_3-3-07	3.72	4.28	new	
Halpern-Rob_Complete-BPC-Segue_3-3-07	4.48	5.08	foe	
Halpern-Rob_Complete-BPC-Segue_3-3-07	5.12	5.8	nation.	
Halpern-Rob_Complete-BPC-Segue_3-3-07	10.6	11.48	Elections	
Halpern-Rob_Complete-BPC-Segue_3-3-07	11.48	12.16	coming,	
Halpern-Rob_Complete-BPC-Segue_3-3-07	12.72	13.36	democracy	
Halpern-Rob_Complete-BPC-Segue_3-3-07	13.36	13.72	won't	
Halpern-Rob_Complete-BPC-Segue_3-3-07	13.72	14.08	occur	
Halpern-Rob_Complete-BPC-Segue_3-3-07	14.08	14.68	before	
Halpern-Rob_Complete-BPC-Segue_3-3-07	14.68	15.08	the	
Halpern-Rob_Complete-BPC-Segue_3-3-07	15.12	15.8	curfew	
Halpern-Rob_Complete-BPC-Segue_3-3-07	15.8	16.68	blackens,	
Halpern-Rob_Complete-BPC-Segue_3-3-07	16.84	17.2	whose	
Halpern-Rob_Complete-BPC-Segue_3-3-07	17.2	17.88	diminishing	
Halpern-Rob_Complete-BPC-Segue_3-3-07	17.88	18.52	force,	
Halpern-Rob_Complete-BPC-Segue_3-3-07	18.52	19.12	elemental	
Halpern-Rob_Complete-BPC-Segue_3-3-07	19.12	19.96	skins,	
Halpern-Rob_Complete-BPC-Segue_3-3-07	20.04	20.6	organs	
Halpern-Rob_Complete-BPC-Segue_3-3-07	20.6	21.16	craving	
Halpern-Rob_Complete-BPC-Segue_3-3-07	21.16	21.4	your	
Halpern-Rob_Complete-BPC-Segue_3-3-07	21.4	22.32	forsworn	
Halpern-Rob_Complete-BPC-Segue_3-3-07	22.56	23.2	illegal	
Halpern-Rob_Complete-BPC-Segue_3-3-07	23.2	23.6	touch.	
Halpern-Rob_Complete-BPC-Segue_3-3-07	23.6	24.08	They've	
Halpern-Rob_Complete-BPC-Segue_3-3-07	24.08	24.56	traced	
Halpern-Rob_Complete-BPC-Segue_3-3-07	24.56	25.12	powder	
Halpern-Rob_Complete-BPC-Segue_3-3-07	25.12	25.32	in	
Halpern-Rob_Complete-BPC-Segue_3-3-07	25.32	25.48	our	
