file	beg	end	text
Auster-Paul_Complete-Reading_UB_4-26-95	0.0	0.48	Do
Auster-Paul_Complete-Reading_UB_4-26-95	0.48	0.58	you
Auster-Paul_Complete-Reading_UB_4-26-95	0.58	0.66	know
Auster-Paul_Complete-Reading_UB_4-26-95	0.66	0.8	where
Auster-Paul_Complete-Reading_UB_4-26-95	0.8	0.88	I
Auster-Paul_Complete-Reading_UB_4-26-95	0.88	1.02	could
Auster-Paul_Complete-Reading_UB_4-26-95	1.02	1.26	find
Auster-Paul_Complete-Reading_UB_4-26-95	1.26	1.58	another
Auster-Paul_Complete-Reading_UB_4-26-95	1.58	2.04	copy,
Auster-Paul_Complete-Reading_UB_4-26-95	2.22	2.3	R
Auster-Paul_Complete-Reading_UB_4-26-95	2.3	2.62	asked.
Auster-Paul_Complete-Reading_UB_4-26-95	2.68	2.76	I
Auster-Paul_Complete-Reading_UB_4-26-95	2.76	2.98	can't
Auster-Paul_Complete-Reading_UB_4-26-95	2.98	3.2	tell
Auster-Paul_Complete-Reading_UB_4-26-95	3.2	3.34	you
Auster-Paul_Complete-Reading_UB_4-26-95	3.34	3.52	how
Auster-Paul_Complete-Reading_UB_4-26-95	3.52	3.74	much
Auster-Paul_Complete-Reading_UB_4-26-95	3.74	3.88	it
Auster-Paul_Complete-Reading_UB_4-26-95	3.88	3.98	would
Auster-Paul_Complete-Reading_UB_4-26-95	3.98	4.16	mean
Auster-Paul_Complete-Reading_UB_4-26-95	4.16	4.36	to
Auster-Paul_Complete-Reading_UB_4-26-95	4.36	4.56	me.
Auster-Paul_Complete-Reading_UB_4-26-95	5.42	5.86	This
Auster-Paul_Complete-Reading_UB_4-26-95	5.86	6.02	one
Auster-Paul_Complete-Reading_UB_4-26-95	6.02	6.16	is
Auster-Paul_Complete-Reading_UB_4-26-95	6.16	6.34	for
Auster-Paul_Complete-Reading_UB_4-26-95	6.34	6.58	you,
Auster-Paul_Complete-Reading_UB_4-26-95	6.72	6.88	the
Auster-Paul_Complete-Reading_UB_4-26-95	6.88	7.1	woman
Auster-Paul_Complete-Reading_UB_4-26-95	7.1	7.6	answered.
Auster-Paul_Complete-Reading_UB_4-26-95	8.14	8.58	But
Auster-Paul_Complete-Reading_UB_4-26-95	8.58	8.74	it's
Auster-Paul_Complete-Reading_UB_4-26-95	8.74	9.0	yours,
Auster-Paul_Complete-Reading_UB_4-26-95	9.02	9.32	R
Auster-Paul_Complete-Reading_UB_4-26-95	9.32	9.62	said.
Auster-Paul_Complete-Reading_UB_4-26-95	10.280000000000001	10.72	It
Auster-Paul_Complete-Reading_UB_4-26-95	10.72	11.02	was
Auster-Paul_Complete-Reading_UB_4-26-95	11.02	11.28	mine,
Auster-Paul_Complete-Reading_UB_4-26-95	11.34	11.42	the
Auster-Paul_Complete-Reading_UB_4-26-95	11.42	11.64	woman
Auster-Paul_Complete-Reading_UB_4-26-95	11.64	12.0	said,
Auster-Paul_Complete-Reading_UB_4-26-95	12.12	12.26	but
Auster-Paul_Complete-Reading_UB_4-26-95	12.26	12.4	now
Auster-Paul_Complete-Reading_UB_4-26-95	12.4	12.54	I'm
Auster-Paul_Complete-Reading_UB_4-26-95	12.54	12.88	finished
Auster-Paul_Complete-Reading_UB_4-26-95	12.88	13.1	with
Auster-Paul_Complete-Reading_UB_4-26-95	13.1	13.28	it.
Auster-Paul_Complete-Reading_UB_4-26-95	13.46	13.78	I
Auster-Paul_Complete-Reading_UB_4-26-95	13.78	14.02	came
Auster-Paul_Complete-Reading_UB_4-26-95	14.02	14.26	here
Auster-Paul_Complete-Reading_UB_4-26-95	14.26	14.64	today
Auster-Paul_Complete-Reading_UB_4-26-95	14.64	15.22	to
Auster-Paul_Complete-Reading_UB_4-26-95	15.22	15.4	give
Auster-Paul_Complete-Reading_UB_4-26-95	15.4	15.52	it
Auster-Paul_Complete-Reading_UB_4-26-95	15.52	15.68	to
Auster-Paul_Complete-Reading_UB_4-26-95	15.68	15.96	you.
Auster-Paul_Complete-Reading_UB_4-26-95	18.46	18.9	Seven.
Auster-Paul_Complete-Reading_UB_4-26-95	19.9	20.34	Twelve
Auster-Paul_Complete-Reading_UB_4-26-95	20.34	20.7	years
Auster-Paul_Complete-Reading_UB_4-26-95	20.7	21.04	ago,
Auster-Paul_Complete-Reading_UB_4-26-95	21.22	21.4	my
Auster-Paul_Complete-Reading_UB_4-26-95	21.4	21.82	wife's
Auster-Paul_Complete-Reading_UB_4-26-95	21.82	22.12	sister
Auster-Paul_Complete-Reading_UB_4-26-95	22.12	22.34	went
Auster-Paul_Complete-Reading_UB_4-26-95	22.34	22.5	off
Auster-Paul_Complete-Reading_UB_4-26-95	22.5	22.64	to
Auster-Paul_Complete-Reading_UB_4-26-95	22.64	22.84	live
Auster-Paul_Complete-Reading_UB_4-26-95	22.84	22.98	in
Auster-Paul_Complete-Reading_UB_4-26-95	22.98	23.44	Taiwan.
Auster-Paul_Complete-Reading_UB_4-26-95	24.26	24.7	Her
Auster-Paul_Complete-Reading_UB_4-26-95	24.7	25.02	intention
Auster-Paul_Complete-Reading_UB_4-26-95	25.02	25.34	was
