file	beg	end	text	speaker	section
Halpern-Rob_Complete-BPC-Segue_3-3-07	0.125	5.824	A bloodless thing, my dildo stalks the new faux nation	Subject	
Halpern-Rob_Complete-BPC-Segue_3-3-07	10.574	12.188	Election's coming,	Subject	
Halpern-Rob_Complete-BPC-Segue_3-3-07	12.694	57.985	Democracy won't occur before the curfew blackens, whose diminishing force, elemental skins, organs craving your forsworn, illegal touch. They've traced powder in our stools and therein lies the nation's intelligence. A gap in stills more fortified, lands remain to be cracked, opened, pillaged, traversing starved, ignoble nature, remind me now which headscarves to avoid, what mongrel forms to put to sleep, exchanging sex for chattels at the county seat, waving facts and titles, these airs go passing for our deeds, exterminate the promise of their thing	Subject	
Halpern-Rob_Complete-BPC-Segue_3-3-07	64.836	67.37	But it all gets even creepier, still	Subject	
Halpern-Rob_Complete-BPC-Segue_3-3-07	68.124	90.634	pumping my disturbance with phonation, days go by, open vowels, not generating much future sound, losses for all this will have happened, any commonplace strung out on being still produced, disfigured, gently now my ratcheted dejecta, his leg becomes my fluted stump, my lip his anal spur	Subject	
Halpern-Rob_Complete-BPC-Segue_3-3-07	91.042	97.519	missing tongues insert the word whose shock force ((grips)) resistant salvage, ours	Subject	
Halpern-Rob_Complete-BPC-Segue_3-3-07	98.356	106.977	being squandered in advance, we molt in network fiber having traced the place of future action what can't be named	Subject	
Halpern-Rob_Complete-BPC-Segue_3-3-07	107.339	112.41	in a field of roots, so come inside my fjord of mannered lights	Subject	
Halpern-Rob_Complete-BPC-Segue_3-3-07	112.748	117.747	Now, watch the eyes peel back, so pasted to the blazing	Subject	
Halpern-Rob_Complete-BPC-Segue_3-3-07	126.034	130.365	Tailbones poking through our faulty huts	Subject	
Halpern-Rob_Complete-BPC-Segue_3-3-07	130.912	132.961	Even if you don't like housework	Subject	
Halpern-Rob_Complete-BPC-Segue_3-3-07	133.48	150.009	you may still, he says, court tendencies to overdo things sometimes like sucking cock in corporate coffee booths, bunkers, unprotected city parks, remains, no civic foundation. Yeah, I like that	Subject	
Halpern-Rob_Complete-BPC-Segue_3-3-07	150.425	160.892	Recombining activities to beat the system. With money saving coupons we could organize and shop for two or more, if we could only share some of this wealth	Subject	
Halpern-Rob_Complete-BPC-Segue_3-3-07	161.515	165.394	He seemed sincere, and I wasn't thinking anymore about the war	Subject	
Halpern-Rob_Complete-BPC-Segue_3-3-07	165.847	170.507	or the local hunters who'd love to take us bone fishing anytime	Subject	
Halpern-Rob_Complete-BPC-Segue_3-3-07	171.031	172.97	Can really help you unwind	Subject	
Halpern-Rob_Complete-BPC-Segue_3-3-07	202.789	207.182	um So the only thing I- I'll mention before I get underway reading this	Subject	
Halpern-Rob_Complete-BPC-Segue_3-3-07	208.84	217.71	narrative section called Our Conciliation Under Duress is that the word Galaxy appears midway through and um I'm referring to the car	Subject	
Halpern-Rob_Complete-BPC-Segue_3-3-07	226.257	231.105	Where once a history, now these collective fantasies of feeling obtain	Subject	
Halpern-Rob_Complete-BPC-Segue_3-3-07	231.563	240.05	Maybe that's all it ever really was, he says, A residual film of imputed consciousness linking skinny necks of land	Subject	
Halpern-Rob_Complete-BPC-Segue_3-3-07	240.765	244.228	personal reflection, this mutilating gruel	Subject	
Halpern-Rob_Complete-BPC-Segue_3-3-07	244.772	254.505	craven still with his limb in my mouth, siphoning trace nourishment from what particles remain to be negated, this endless operation	Subject	
Halpern-Rob_Complete-BPC-Segue_3-3-07	255.595	266.614	Digging deeper still, for concrete elements our loss has been preoccupied. Look how I'm becoming catacomb ((and)) worm, he says triumphantly	Subject	
Halpern-Rob_Complete-BPC-Segue_3-3-07	267.149	272.461	These recurrent conceits, achievements conditioned by the apparatus itself	Subject	
Halpern-Rob_Complete-BPC-Segue_3-3-07	272.914	277.672	secreting a second film or residue, then becoming nature	Subject	
Halpern-Rob_Complete-BPC-Segue_3-3-07	278.327	288.551	That's us inside some corrugated flag, waving pictures of the building stones, one hundred little heaps, the girder scrap as if there were nothing,	Subject	
Halpern-Rob_Complete-BPC-Segue_3-3-07	288.908	295.129	nothing true still lurking here. Bits of cellophane, the macadam+ and tin	Subject	
Halpern-Rob_Complete-BPC-Segue_3-3-07	295.476	305.085	What clings to our skin as we cling to this. It's as if each temporal element were replete with its own affirmative moment	Subject	
