file	beg	end	text
Oppen-George_Complete-Recording_SUNY-Buffalo_02-17-67	0.0	0.21	in
Oppen-George_Complete-Recording_SUNY-Buffalo_02-17-67	0.21	0.52	her
Oppen-George_Complete-Recording_SUNY-Buffalo_02-17-67	0.52	1.57	incredible
Oppen-George_Complete-Recording_SUNY-Buffalo_02-17-67	1.57	2.18	need,
Oppen-George_Complete-Recording_SUNY-Buffalo_02-17-67	2.18	2.64	which
Oppen-George_Complete-Recording_SUNY-Buffalo_02-17-67	2.64	2.82	is
Oppen-George_Complete-Recording_SUNY-Buffalo_02-17-67	2.82	3.39	ours,
Oppen-George_Complete-Recording_SUNY-Buffalo_02-17-67	3.39	3.63	which
Oppen-George_Complete-Recording_SUNY-Buffalo_02-17-67	3.63	3.72	is
Oppen-George_Complete-Recording_SUNY-Buffalo_02-17-67	3.72	4.3	ourselves.
Oppen-George_Complete-Recording_SUNY-Buffalo_02-17-67	4.3	4.7	This
Oppen-George_Complete-Recording_SUNY-Buffalo_02-17-67	4.7	4.9	is
Oppen-George_Complete-Recording_SUNY-Buffalo_02-17-67	4.9	5.2	our
Oppen-George_Complete-Recording_SUNY-Buffalo_02-17-67	5.2	6.41	jubilation,
Oppen-George_Complete-Recording_SUNY-Buffalo_02-17-67	6.41	7.35	exalted
Oppen-George_Complete-Recording_SUNY-Buffalo_02-17-67	7.35	7.75	and
Oppen-George_Complete-Recording_SUNY-Buffalo_02-17-67	7.75	8.01	as
Oppen-George_Complete-Recording_SUNY-Buffalo_02-17-67	8.01	8.44	old
Oppen-George_Complete-Recording_SUNY-Buffalo_02-17-67	8.44	8.6	as
Oppen-George_Complete-Recording_SUNY-Buffalo_02-17-67	8.6	8.92	that
Oppen-George_Complete-Recording_SUNY-Buffalo_02-17-67	8.92	9.88	truthfulness
Oppen-George_Complete-Recording_SUNY-Buffalo_02-17-67	9.88	10.24	which
Oppen-George_Complete-Recording_SUNY-Buffalo_02-17-67	10.24	10.89	illumines
Oppen-George_Complete-Recording_SUNY-Buffalo_02-17-67	10.89	11.58	speech.
Oppen-George_Complete-Recording_SUNY-Buffalo_02-17-67	11.58	12.05	Like
Oppen-George_Complete-Recording_SUNY-Buffalo_02-17-67	12.05	12.4	the
Oppen-George_Complete-Recording_SUNY-Buffalo_02-17-67	12.4	12.87	wind
Oppen-George_Complete-Recording_SUNY-Buffalo_02-17-67	12.87	13.1	in
Oppen-George_Complete-Recording_SUNY-Buffalo_02-17-67	13.1	13.45	the
Oppen-George_Complete-Recording_SUNY-Buffalo_02-17-67	13.45	14.04	trees
Oppen-George_Complete-Recording_SUNY-Buffalo_02-17-67	14.04	14.39	and
Oppen-George_Complete-Recording_SUNY-Buffalo_02-17-67	14.39	14.74	the
Oppen-George_Complete-Recording_SUNY-Buffalo_02-17-67	14.74	15.33	bells
Oppen-George_Complete-Recording_SUNY-Buffalo_02-17-67	15.33	15.56	of
Oppen-George_Complete-Recording_SUNY-Buffalo_02-17-67	15.56	15.91	the
Oppen-George_Complete-Recording_SUNY-Buffalo_02-17-67	15.91	17.42	procession,
Oppen-George_Complete-Recording_SUNY-Buffalo_02-17-67	17.42	17.72	how
Oppen-George_Complete-Recording_SUNY-Buffalo_02-17-67	17.72	18.12	like
Oppen-George_Complete-Recording_SUNY-Buffalo_02-17-67	18.12	18.42	the
Oppen-George_Complete-Recording_SUNY-Buffalo_02-17-67	18.42	18.93	areas
Oppen-George_Complete-Recording_SUNY-Buffalo_02-17-67	18.93	19.13	of
Oppen-George_Complete-Recording_SUNY-Buffalo_02-17-67	19.13	19.43	the
Oppen-George_Complete-Recording_SUNY-Buffalo_02-17-67	19.43	20.17	earth,
Oppen-George_Complete-Recording_SUNY-Buffalo_02-17-67	20.17	20.91	children
Oppen-George_Complete-Recording_SUNY-Buffalo_02-17-67	20.91	21.09	in
Oppen-George_Complete-Recording_SUNY-Buffalo_02-17-67	21.09	21.36	the
Oppen-George_Complete-Recording_SUNY-Buffalo_02-17-67	21.36	22.02	grass,
Oppen-George_Complete-Recording_SUNY-Buffalo_02-17-67	22.02	22.14	in
Oppen-George_Complete-Recording_SUNY-Buffalo_02-17-67	22.14	22.32	the
Oppen-George_Complete-Recording_SUNY-Buffalo_02-17-67	22.32	22.55	wind
Oppen-George_Complete-Recording_SUNY-Buffalo_02-17-67	22.55	22.73	and
Oppen-George_Complete-Recording_SUNY-Buffalo_02-17-67	22.73	22.91	the
Oppen-George_Complete-Recording_SUNY-Buffalo_02-17-67	22.91	23.26	voices
Oppen-George_Complete-Recording_SUNY-Buffalo_02-17-67	23.26	23.38	of
Oppen-George_Complete-Recording_SUNY-Buffalo_02-17-67	23.38	23.56	men
Oppen-George_Complete-Recording_SUNY-Buffalo_02-17-67	23.56	23.74	and
Oppen-George_Complete-Recording_SUNY-Buffalo_02-17-67	23.74	24.18	women,
Oppen-George_Complete-Recording_SUNY-Buffalo_02-17-67	24.18	24.33	to
Oppen-George_Complete-Recording_SUNY-Buffalo_02-17-67	24.33	24.48	be
Oppen-George_Complete-Recording_SUNY-Buffalo_02-17-67	24.48	25.01	carried
Oppen-George_Complete-Recording_SUNY-Buffalo_02-17-67	25.01	25.38	about
Oppen-George_Complete-Recording_SUNY-Buffalo_02-17-67	25.38	25.6	the
Oppen-George_Complete-Recording_SUNY-Buffalo_02-17-67	25.6	25.82	sun
Oppen-George_Complete-Recording_SUNY-Buffalo_02-17-67	25.82	26.38	forever,
Oppen-George_Complete-Recording_SUNY-Buffalo_02-17-67	26.38	26.79	among
Oppen-George_Complete-Recording_SUNY-Buffalo_02-17-67	26.79	27.03	the
Oppen-George_Complete-Recording_SUNY-Buffalo_02-17-67	27.03	27.77	beautiful
Oppen-George_Complete-Recording_SUNY-Buffalo_02-17-67	27.77	28.67	particulars
Oppen-George_Complete-Recording_SUNY-Buffalo_02-17-67	28.67	28.83	of
Oppen-George_Complete-Recording_SUNY-Buffalo_02-17-67	28.83	29.07	the
Oppen-George_Complete-Recording_SUNY-Buffalo_02-17-67	29.07	29.7	breezes,
Oppen-George_Complete-Recording_SUNY-Buffalo_02-17-67	30.0	30.2	the
Oppen-George_Complete-Recording_SUNY-Buffalo_02-17-67	30.2	30.61	papers
Oppen-George_Complete-Recording_SUNY-Buffalo_02-17-67	30.61	30.95	blown
Oppen-George_Complete-Recording_SUNY-Buffalo_02-17-67	30.95	31.29	about
Oppen-George_Complete-Recording_SUNY-Buffalo_02-17-67	31.29	31.49	the
Oppen-George_Complete-Recording_SUNY-Buffalo_02-17-67	31.49	32.36	sidewalks.
Oppen-George_Complete-Recording_SUNY-Buffalo_02-17-67	32.36	32.44	A
Oppen-George_Complete-Recording_SUNY-Buffalo_02-17-67	32.44	32.93	female
Oppen-George_Complete-Recording_SUNY-Buffalo_02-17-67	32.93	33.25	will
Oppen-George_Complete-Recording_SUNY-Buffalo_02-17-67	33.25	33.41	to
Oppen-George_Complete-Recording_SUNY-Buffalo_02-17-67	33.41	33.73	hide
Oppen-George_Complete-Recording_SUNY-Buffalo_02-17-67	33.73	33.97	the
Oppen-George_Complete-Recording_SUNY-Buffalo_02-17-67	33.97	34.29	most
Oppen-George_Complete-Recording_SUNY-Buffalo_02-17-67	34.29	34.86	evident
Oppen-George_Complete-Recording_SUNY-Buffalo_02-17-67	34.86	35.1	God
Oppen-George_Complete-Recording_SUNY-Buffalo_02-17-67	35.1	35.51	under
Oppen-George_Complete-Recording_SUNY-Buffalo_02-17-67	35.51	35.75	her
Oppen-George_Complete-Recording_SUNY-Buffalo_02-17-67	35.75	36.38	cover,
Oppen-George_Complete-Recording_SUNY-Buffalo_02-17-67	36.38	36.92	surely
Oppen-George_Complete-Recording_SUNY-Buffalo_02-17-67	36.92	37.96	infiniteness
Oppen-George_Complete-Recording_SUNY-Buffalo_02-17-67	37.96	38.13	is
Oppen-George_Complete-Recording_SUNY-Buffalo_02-17-67	38.13	38.5	the
Oppen-George_Complete-Recording_SUNY-Buffalo_02-17-67	38.5	38.74	most
Oppen-George_Complete-Recording_SUNY-Buffalo_02-17-67	38.74	39.36	evident
Oppen-George_Complete-Recording_SUNY-Buffalo_02-17-67	39.36	39.8	thing
Oppen-George_Complete-Recording_SUNY-Buffalo_02-17-67	39.8	39.97	in
Oppen-George_Complete-Recording_SUNY-Buffalo_02-17-67	39.97	40.23	the
Oppen-George_Complete-Recording_SUNY-Buffalo_02-17-67	40.23	41.0	world.
Oppen-George_Complete-Recording_SUNY-Buffalo_02-17-67	41.0	41.2	Is
Oppen-George_Complete-Recording_SUNY-Buffalo_02-17-67	41.2	41.4	it
Oppen-George_Complete-Recording_SUNY-Buffalo_02-17-67	41.4	41.71	the
Oppen-George_Complete-Recording_SUNY-Buffalo_02-17-67	41.71	42.41	courage
Oppen-George_Complete-Recording_SUNY-Buffalo_02-17-67	42.41	42.61	of
Oppen-George_Complete-Recording_SUNY-Buffalo_02-17-67	42.61	43.12	women
Oppen-George_Complete-Recording_SUNY-Buffalo_02-17-67	43.12	43.35	to
Oppen-George_Complete-Recording_SUNY-Buffalo_02-17-67	43.35	43.99	assume
Oppen-George_Complete-Recording_SUNY-Buffalo_02-17-67	43.99	44.51	every
Oppen-George_Complete-Recording_SUNY-Buffalo_02-17-67	44.51	45.15	burden
Oppen-George_Complete-Recording_SUNY-Buffalo_02-17-67	45.15	45.27	of
Oppen-George_Complete-Recording_SUNY-Buffalo_02-17-67	45.27	45.77	blindness
Oppen-George_Complete-Recording_SUNY-Buffalo_02-17-67	45.77	46.46	themselves,
Oppen-George_Complete-Recording_SUNY-Buffalo_02-17-67	46.46	47.24	intruders
Oppen-George_Complete-Recording_SUNY-Buffalo_02-17-67	47.24	47.93	carrying
Oppen-George_Complete-Recording_SUNY-Buffalo_02-17-67	47.93	48.45	life,
Oppen-George_Complete-Recording_SUNY-Buffalo_02-17-67	48.45	48.71	the
Oppen-George_Complete-Recording_SUNY-Buffalo_02-17-67	48.71	49.13	young
Oppen-George_Complete-Recording_SUNY-Buffalo_02-17-67	49.13	49.57	women
Oppen-George_Complete-Recording_SUNY-Buffalo_02-17-67	49.57	50.26	carrying
Oppen-George_Complete-Recording_SUNY-Buffalo_02-17-67	50.26	50.68	life,
Oppen-George_Complete-Recording_SUNY-Buffalo_02-17-67	50.68	51.12	unaided
Oppen-George_Complete-Recording_SUNY-Buffalo_02-17-67	51.12	51.24	in
Oppen-George_Complete-Recording_SUNY-Buffalo_02-17-67	51.24	51.56	their
Oppen-George_Complete-Recording_SUNY-Buffalo_02-17-67	51.56	51.93	arms,
Oppen-George_Complete-Recording_SUNY-Buffalo_02-17-67	51.93	52.05	in
Oppen-George_Complete-Recording_SUNY-Buffalo_02-17-67	52.05	52.24	the
Oppen-George_Complete-Recording_SUNY-Buffalo_02-17-67	52.24	52.88	streets,
Oppen-George_Complete-Recording_SUNY-Buffalo_02-17-67	52.88	53.44	weakened
Oppen-George_Complete-Recording_SUNY-Buffalo_02-17-67	53.44	53.58	by
Oppen-George_Complete-Recording_SUNY-Buffalo_02-17-67	53.58	53.79	too
Oppen-George_Complete-Recording_SUNY-Buffalo_02-17-67	53.79	54.07	much
Oppen-George_Complete-Recording_SUNY-Buffalo_02-17-67	54.07	54.36	need
Oppen-George_Complete-Recording_SUNY-Buffalo_02-17-67	54.36	54.58	or
Oppen-George_Complete-Recording_SUNY-Buffalo_02-17-67	54.58	54.91	too
Oppen-George_Complete-Recording_SUNY-Buffalo_02-17-67	54.91	55.58	little,
Oppen-George_Complete-Recording_SUNY-Buffalo_02-17-67	55.58	55.8	and
Oppen-George_Complete-Recording_SUNY-Buffalo_02-17-67	55.8	56.09	life
Oppen-George_Complete-Recording_SUNY-Buffalo_02-17-67	56.09	56.6	seeming
Oppen-George_Complete-Recording_SUNY-Buffalo_02-17-67	56.6	56.74	to
Oppen-George_Complete-Recording_SUNY-Buffalo_02-17-67	56.74	57.18	depend
Oppen-George_Complete-Recording_SUNY-Buffalo_02-17-67	57.18	57.32	on
Oppen-George_Complete-Recording_SUNY-Buffalo_02-17-67	57.32	57.82	women,
Oppen-George_Complete-Recording_SUNY-Buffalo_02-17-67	57.82	58.4	burdened
Oppen-George_Complete-Recording_SUNY-Buffalo_02-17-67	58.4	58.62	and
Oppen-George_Complete-Recording_SUNY-Buffalo_02-17-67	58.62	59.5	desperate,
Oppen-George_Complete-Recording_SUNY-Buffalo_02-17-67	60.0	60.22	as
Oppen-George_Complete-Recording_SUNY-Buffalo_02-17-67	60.22	60.66	they
Oppen-George_Complete-Recording_SUNY-Buffalo_02-17-67	60.66	61.0	are,
Oppen-George_Complete-Recording_SUNY-Buffalo_02-17-67	61.0	61.57	or
Oppen-George_Complete-Recording_SUNY-Buffalo_02-17-67	61.57	62.14	to
Oppen-George_Complete-Recording_SUNY-Buffalo_02-17-67	62.14	63.28	find
Oppen-George_Complete-Recording_SUNY-Buffalo_02-17-67	63.28	63.7	man
Oppen-George_Complete-Recording_SUNY-Buffalo_02-17-67	63.7	64.53	beyond
Oppen-George_Complete-Recording_SUNY-Buffalo_02-17-67	64.53	65.38	rescue
Oppen-George_Complete-Recording_SUNY-Buffalo_02-17-67	65.38	65.55	of
Oppen-George_Complete-Recording_SUNY-Buffalo_02-17-67	65.55	65.81	the
Oppen-George_Complete-Recording_SUNY-Buffalo_02-17-67	65.81	67.04	impoverished,
Oppen-George_Complete-Recording_SUNY-Buffalo_02-17-67	67.04	67.64	solved,
Oppen-George_Complete-Recording_SUNY-Buffalo_02-17-67	67.64	68.01	whole
Oppen-George_Complete-Recording_SUNY-Buffalo_02-17-67	68.01	68.46	cities,
Oppen-George_Complete-Recording_SUNY-Buffalo_02-17-67	68.46	69.15	before
Oppen-George_Complete-Recording_SUNY-Buffalo_02-17-67	69.15	69.38	we
Oppen-George_Complete-Recording_SUNY-Buffalo_02-17-67	69.38	69.73	can
Oppen-George_Complete-Recording_SUNY-Buffalo_02-17-67	69.73	70.19	face
Oppen-George_Complete-Recording_SUNY-Buffalo_02-17-67	70.19	70.77	again
Oppen-George_Complete-Recording_SUNY-Buffalo_02-17-67	70.77	71.58	forests
Oppen-George_Complete-Recording_SUNY-Buffalo_02-17-67	71.58	71.93	and
Oppen-George_Complete-Recording_SUNY-Buffalo_02-17-67	71.93	73.24	prairies?
Oppen-George_Complete-Recording_SUNY-Buffalo_02-17-67	73.24	73.66	Though
Oppen-George_Complete-Recording_SUNY-Buffalo_02-17-67	73.66	73.87	the
