file	beg	end	text
Berkson-Bill_Complete-Reading_UPenn_4-3-2013	0.0	0.53	A
Berkson-Bill_Complete-Reading_UPenn_4-3-2013	0.53	0.95	youthful
Berkson-Bill_Complete-Reading_UPenn_4-3-2013	0.95	1.44	beauty
Berkson-Bill_Complete-Reading_UPenn_4-3-2013	1.44	1.63	in
Berkson-Bill_Complete-Reading_UPenn_4-3-2013	1.63	1.8	a
Berkson-Bill_Complete-Reading_UPenn_4-3-2013	1.8	2.39	ruffled
Berkson-Bill_Complete-Reading_UPenn_4-3-2013	2.39	3.07	blouse,
Berkson-Bill_Complete-Reading_UPenn_4-3-2013	3.07	3.48	writes
Berkson-Bill_Complete-Reading_UPenn_4-3-2013	3.48	3.83	Sarah
Berkson-Bill_Complete-Reading_UPenn_4-3-2013	3.83	4.48	McPhee.
Berkson-Bill_Complete-Reading_UPenn_4-3-2013	4.48	5.5	Costanza
Berkson-Bill_Complete-Reading_UPenn_4-3-2013	5.5	5.75	was
Berkson-Bill_Complete-Reading_UPenn_4-3-2013	5.75	6.4	about
Berkson-Bill_Complete-Reading_UPenn_4-3-2013	6.4	7.03	24
Berkson-Bill_Complete-Reading_UPenn_4-3-2013	7.03	7.26	in
Berkson-Bill_Complete-Reading_UPenn_4-3-2013	7.26	7.76	Rome
Berkson-Bill_Complete-Reading_UPenn_4-3-2013	7.76	8.28	with
Berkson-Bill_Complete-Reading_UPenn_4-3-2013	8.28	8.34	her
Berkson-Bill_Complete-Reading_UPenn_4-3-2013	8.34	9.0	talented
Berkson-Bill_Complete-Reading_UPenn_4-3-2013	9.0	9.61	husband
Berkson-Bill_Complete-Reading_UPenn_4-3-2013	9.61	10.07	Matteo
Berkson-Bill_Complete-Reading_UPenn_4-3-2013	10.07	10.4	from
Berkson-Bill_Complete-Reading_UPenn_4-3-2013	10.4	10.84	Lucca
Berkson-Bill_Complete-Reading_UPenn_4-3-2013	10.84	11.02	so
Berkson-Bill_Complete-Reading_UPenn_4-3-2013	11.02	11.52	he
Berkson-Bill_Complete-Reading_UPenn_4-3-2013	11.52	11.65	could
Berkson-Bill_Complete-Reading_UPenn_4-3-2013	11.65	12.01	work
Berkson-Bill_Complete-Reading_UPenn_4-3-2013	12.01	12.38	with
Berkson-Bill_Complete-Reading_UPenn_4-3-2013	12.38	12.73	Gian
Berkson-Bill_Complete-Reading_UPenn_4-3-2013	12.73	13.38	Lorenzo
Berkson-Bill_Complete-Reading_UPenn_4-3-2013	13.38	13.78	in
Berkson-Bill_Complete-Reading_UPenn_4-3-2013	13.78	14.07	St.
Berkson-Bill_Complete-Reading_UPenn_4-3-2013	14.07	14.84	Peter's
Berkson-Bill_Complete-Reading_UPenn_4-3-2013	14.84	14.91	on
Berkson-Bill_Complete-Reading_UPenn_4-3-2013	14.91	15.56	Matilda's
Berkson-Bill_Complete-Reading_UPenn_4-3-2013	15.56	16.0	tomb.
Berkson-Bill_Complete-Reading_UPenn_4-3-2013	16.0	16.12	A
Berkson-Bill_Complete-Reading_UPenn_4-3-2013	16.12	16.84	fierce
Berkson-Bill_Complete-Reading_UPenn_4-3-2013	16.84	17.49	and
Berkson-Bill_Complete-Reading_UPenn_4-3-2013	17.49	18.16	sensual
Berkson-Bill_Complete-Reading_UPenn_4-3-2013	18.16	18.8	woman
Berkson-Bill_Complete-Reading_UPenn_4-3-2013	18.8	19.05	in
Berkson-Bill_Complete-Reading_UPenn_4-3-2013	19.05	19.43	the
Berkson-Bill_Complete-Reading_UPenn_4-3-2013	19.43	20.02	grip
Berkson-Bill_Complete-Reading_UPenn_4-3-2013	20.02	20.16	of
Berkson-Bill_Complete-Reading_UPenn_4-3-2013	20.16	20.76	passion,
Berkson-Bill_Complete-Reading_UPenn_4-3-2013	20.76	21.7	Wittkauer's
Berkson-Bill_Complete-Reading_UPenn_4-3-2013	21.7	22.05	idea
Berkson-Bill_Complete-Reading_UPenn_4-3-2013	22.05	22.22	of
Berkson-Bill_Complete-Reading_UPenn_4-3-2013	22.22	22.57	what
Berkson-Bill_Complete-Reading_UPenn_4-3-2013	22.57	22.74	it
Berkson-Bill_Complete-Reading_UPenn_4-3-2013	22.74	23.22	meant
Berkson-Bill_Complete-Reading_UPenn_4-3-2013	23.22	23.57	seems
Berkson-Bill_Complete-Reading_UPenn_4-3-2013	23.57	23.85	more
Berkson-Bill_Complete-Reading_UPenn_4-3-2013	23.85	24.13	than
Berkson-Bill_Complete-Reading_UPenn_4-3-2013	24.13	24.2	a
Berkson-Bill_Complete-Reading_UPenn_4-3-2013	24.2	24.64	little
Berkson-Bill_Complete-Reading_UPenn_4-3-2013	24.64	25.04	overly
Berkson-Bill_Complete-Reading_UPenn_4-3-2013	25.04	25.92	presumptuous
Berkson-Bill_Complete-Reading_UPenn_4-3-2013	25.92	26.46	looking
Berkson-Bill_Complete-Reading_UPenn_4-3-2013	26.46	26.69	now
Berkson-Bill_Complete-Reading_UPenn_4-3-2013	26.69	26.84	at
Berkson-Bill_Complete-Reading_UPenn_4-3-2013	26.84	27.15	the
Berkson-Bill_Complete-Reading_UPenn_4-3-2013	27.15	27.86	photograph,
Berkson-Bill_Complete-Reading_UPenn_4-3-2013	28.54	29.12	striking
Berkson-Bill_Complete-Reading_UPenn_4-3-2013	29.12	29.64	instead
Berkson-Bill_Complete-Reading_UPenn_4-3-2013	29.64	30.08	as
Berkson-Bill_Complete-Reading_UPenn_4-3-2013	30.08	30.09	if
Berkson-Bill_Complete-Reading_UPenn_4-3-2013	30.09	31.42	astonishment,
Berkson-Bill_Complete-Reading_UPenn_4-3-2013	31.42	32.98	unselfconsciously
Berkson-Bill_Complete-Reading_UPenn_4-3-2013	32.98	33.71	glancing
Berkson-Bill_Complete-Reading_UPenn_4-3-2013	33.71	33.94	at,
Berkson-Bill_Complete-Reading_UPenn_4-3-2013	33.94	34.91	redoubling
Berkson-Bill_Complete-Reading_UPenn_4-3-2013	34.91	35.66	itself
Berkson-Bill_Complete-Reading_UPenn_4-3-2013	35.66	35.69	is
Berkson-Bill_Complete-Reading_UPenn_4-3-2013	35.69	36.07	what
Berkson-Bill_Complete-Reading_UPenn_4-3-2013	36.07	36.4	one
Berkson-Bill_Complete-Reading_UPenn_4-3-2013	36.4	36.8	sees
Berkson-Bill_Complete-Reading_UPenn_4-3-2013	36.8	37.15	or
Berkson-Bill_Complete-Reading_UPenn_4-3-2013	37.15	37.29	else
Berkson-Bill_Complete-Reading_UPenn_4-3-2013	37.29	37.87	Bernini
Berkson-Bill_Complete-Reading_UPenn_4-3-2013	37.87	38.12	had
Berkson-Bill_Complete-Reading_UPenn_4-3-2013	38.12	38.45	just
Berkson-Bill_Complete-Reading_UPenn_4-3-2013	38.45	38.82	said,
Berkson-Bill_Complete-Reading_UPenn_4-3-2013	38.82	39.15	look
Berkson-Bill_Complete-Reading_UPenn_4-3-2013	39.15	39.38	over
Berkson-Bill_Complete-Reading_UPenn_4-3-2013	39.38	39.72	there
Berkson-Bill_Complete-Reading_UPenn_4-3-2013	39.72	39.86	or
Berkson-Bill_Complete-Reading_UPenn_4-3-2013	39.86	40.43	quick,
Berkson-Bill_Complete-Reading_UPenn_4-3-2013	40.43	40.65	look
Berkson-Bill_Complete-Reading_UPenn_4-3-2013	40.65	40.79	at
Berkson-Bill_Complete-Reading_UPenn_4-3-2013	40.79	40.93	me
Berkson-Bill_Complete-Reading_UPenn_4-3-2013	40.93	41.14	and
Berkson-Bill_Complete-Reading_UPenn_4-3-2013	41.14	41.43	hold
Berkson-Bill_Complete-Reading_UPenn_4-3-2013	41.43	41.82	it.
Berkson-Bill_Complete-Reading_UPenn_4-3-2013	41.82	43.29	Un
Berkson-Bill_Complete-Reading_UPenn_4-3-2013	43.29	43.34	poco
Berkson-Bill_Complete-Reading_UPenn_4-3-2013	43.34	44.88	busto,
Berkson-Bill_Complete-Reading_UPenn_4-3-2013	44.88	45.61	clothed
Berkson-Bill_Complete-Reading_UPenn_4-3-2013	45.61	45.82	in
Berkson-Bill_Complete-Reading_UPenn_4-3-2013	45.82	45.94	a
Berkson-Bill_Complete-Reading_UPenn_4-3-2013	45.94	46.72	chemise
Berkson-Bill_Complete-Reading_UPenn_4-3-2013	46.72	47.2	with
Berkson-Bill_Complete-Reading_UPenn_4-3-2013	47.2	47.47	ribbon
Berkson-Bill_Complete-Reading_UPenn_4-3-2013	47.47	47.77	open
Berkson-Bill_Complete-Reading_UPenn_4-3-2013	47.77	47.91	at
Berkson-Bill_Complete-Reading_UPenn_4-3-2013	47.91	48.2	the
Berkson-Bill_Complete-Reading_UPenn_4-3-2013	48.2	48.7	front,
Berkson-Bill_Complete-Reading_UPenn_4-3-2013	48.7	49.3	her
Berkson-Bill_Complete-Reading_UPenn_4-3-2013	49.3	49.56	large
Berkson-Bill_Complete-Reading_UPenn_4-3-2013	49.56	49.99	eyes
Berkson-Bill_Complete-Reading_UPenn_4-3-2013	49.99	50.76	focused
Berkson-Bill_Complete-Reading_UPenn_4-3-2013	50.76	50.97	on
Berkson-Bill_Complete-Reading_UPenn_4-3-2013	50.97	51.14	a
Berkson-Bill_Complete-Reading_UPenn_4-3-2013	51.14	51.82	distant
Berkson-Bill_Complete-Reading_UPenn_4-3-2013	51.82	52.4	point,
Berkson-Bill_Complete-Reading_UPenn_4-3-2013	52.4	53.03	parted
Berkson-Bill_Complete-Reading_UPenn_4-3-2013	53.03	53.5	face
Berkson-Bill_Complete-Reading_UPenn_4-3-2013	53.5	53.66	in
Berkson-Bill_Complete-Reading_UPenn_4-3-2013	53.66	53.76	a
Berkson-Bill_Complete-Reading_UPenn_4-3-2013	53.76	54.5	tousled
Berkson-Bill_Complete-Reading_UPenn_4-3-2013	54.5	55.3	crown,
Berkson-Bill_Complete-Reading_UPenn_4-3-2013	55.3	56.0	coiled
Berkson-Bill_Complete-Reading_UPenn_4-3-2013	56.0	56.59	braid
Berkson-Bill_Complete-Reading_UPenn_4-3-2013	56.59	56.82	at
Berkson-Bill_Complete-Reading_UPenn_4-3-2013	56.82	57.29	the
Berkson-Bill_Complete-Reading_UPenn_4-3-2013	57.29	57.9	back,
Berkson-Bill_Complete-Reading_UPenn_4-3-2013	58.08	58.96	stern
Berkson-Bill_Complete-Reading_UPenn_4-3-2013	58.96	59.76	by
Berkson-Bill_Complete-Reading_UPenn_4-3-2013	59.76	60.74	nature,
Berkson-Bill_Complete-Reading_UPenn_4-3-2013	60.74	61.38	steady
Berkson-Bill_Complete-Reading_UPenn_4-3-2013	61.38	61.48	in
Berkson-Bill_Complete-Reading_UPenn_4-3-2013	61.48	61.76	his
Berkson-Bill_Complete-Reading_UPenn_4-3-2013	61.76	62.34	work,
Berkson-Bill_Complete-Reading_UPenn_4-3-2013	62.34	63.23	passionate
Berkson-Bill_Complete-Reading_UPenn_4-3-2013	63.23	63.54	in
Berkson-Bill_Complete-Reading_UPenn_4-3-2013	63.54	63.66	his
Berkson-Bill_Complete-Reading_UPenn_4-3-2013	63.66	64.4	wrath.
Berkson-Bill_Complete-Reading_UPenn_4-3-2013	64.4	65.6	Gian
Berkson-Bill_Complete-Reading_UPenn_4-3-2013	65.6	66.34	Lorenzo
Berkson-Bill_Complete-Reading_UPenn_4-3-2013	66.34	66.61	kept
Berkson-Bill_Complete-Reading_UPenn_4-3-2013	66.61	66.85	the
Berkson-Bill_Complete-Reading_UPenn_4-3-2013	66.85	67.15	image
Berkson-Bill_Complete-Reading_UPenn_4-3-2013	67.15	67.35	for
Berkson-Bill_Complete-Reading_UPenn_4-3-2013	67.35	67.86	himself.
Berkson-Bill_Complete-Reading_UPenn_4-3-2013	67.86	68.43	A
Berkson-Bill_Complete-Reading_UPenn_4-3-2013	68.43	68.44	year
Berkson-Bill_Complete-Reading_UPenn_4-3-2013	68.44	68.66	or
Berkson-Bill_Complete-Reading_UPenn_4-3-2013	68.66	69.38	more,
Berkson-Bill_Complete-Reading_UPenn_4-3-2013	69.38	69.91	after
Berkson-Bill_Complete-Reading_UPenn_4-3-2013	69.91	70.65	pausing
Berkson-Bill_Complete-Reading_UPenn_4-3-2013	70.65	70.86	at
Berkson-Bill_Complete-Reading_UPenn_4-3-2013	70.86	71.3	dawn,
Berkson-Bill_Complete-Reading_UPenn_4-3-2013	71.3	71.73	on
Berkson-Bill_Complete-Reading_UPenn_4-3-2013	71.73	71.77	his
Berkson-Bill_Complete-Reading_UPenn_4-3-2013	71.77	71.99	way
Berkson-Bill_Complete-Reading_UPenn_4-3-2013	71.99	72.25	out
Berkson-Bill_Complete-Reading_UPenn_4-3-2013	72.25	72.42	of
Berkson-Bill_Complete-Reading_UPenn_4-3-2013	72.42	72.96	town,
Berkson-Bill_Complete-Reading_UPenn_4-3-2013	72.96	73.23	he
Berkson-Bill_Complete-Reading_UPenn_4-3-2013	73.23	73.64	saw
Berkson-Bill_Complete-Reading_UPenn_4-3-2013	73.64	74.76	Costanza
