file	beg	end	text	speaker
Smith-Rod_01_Complete-Recording_University-at-Buffalo_2-25-98	0.63	0.75	and	1
Smith-Rod_01_Complete-Recording_University-at-Buffalo_2-25-98	0.75	1.03	she	1
Smith-Rod_01_Complete-Recording_University-at-Buffalo_2-25-98	1.47	1.67	did	2
Smith-Rod_01_Complete-Recording_University-at-Buffalo_2-25-98	1.67	1.71	a	2
Smith-Rod_01_Complete-Recording_University-at-Buffalo_2-25-98	1.71	2.03	series	2
Smith-Rod_01_Complete-Recording_University-at-Buffalo_2-25-98	2.03	2.11	of	2
Smith-Rod_01_Complete-Recording_University-at-Buffalo_2-25-98	2.11	2.35	poems	2
Smith-Rod_01_Complete-Recording_University-at-Buffalo_2-25-98	2.35	2.51	that	2
Smith-Rod_01_Complete-Recording_University-at-Buffalo_2-25-98	2.51	2.63	are	2
Smith-Rod_01_Complete-Recording_University-at-Buffalo_2-25-98	2.63	2.75	all	2
Smith-Rod_01_Complete-Recording_University-at-Buffalo_2-25-98	2.75	2.83	in	2
Smith-Rod_01_Complete-Recording_University-at-Buffalo_2-25-98	2.83	3.47	boxes	2
Smith-Rod_01_Complete-Recording_University-at-Buffalo_2-25-98	3.87	4.11	that	2
Smith-Rod_01_Complete-Recording_University-at-Buffalo_2-25-98	4.15	4.31	are	1
Smith-Rod_01_Complete-Recording_University-at-Buffalo_2-25-98	4.31	4.55	called	1
Smith-Rod_01_Complete-Recording_University-at-Buffalo_2-25-98	4.55	5.19	placards	1
Smith-Rod_01_Complete-Recording_University-at-Buffalo_2-25-98	7.59	8.11	the	1
Smith-Rod_01_Complete-Recording_University-at-Buffalo_2-25-98	8.11	8.51	cluck	1
Smith-Rod_01_Complete-Recording_University-at-Buffalo_2-25-98	8.51	8.87	nucks	1
Smith-Rod_01_Complete-Recording_University-at-Buffalo_2-25-98	8.87	9.55	prattle	1
Smith-Rod_01_Complete-Recording_University-at-Buffalo_2-25-98	10.03	10.23	is	1
Smith-Rod_01_Complete-Recording_University-at-Buffalo_2-25-98	10.23	10.35	it	1
Smith-Rod_01_Complete-Recording_University-at-Buffalo_2-25-98	10.35	10.39	a	1
Smith-Rod_01_Complete-Recording_University-at-Buffalo_2-25-98	10.39	10.95	turban	1
Smith-Rod_01_Complete-Recording_University-at-Buffalo_2-25-98	11.07	11.11	i	1
Smith-Rod_01_Complete-Recording_University-at-Buffalo_2-25-98	11.11	11.71	entire	1
Smith-Rod_01_Complete-Recording_University-at-Buffalo_2-25-98	11.71	12.11	toward	1
Smith-Rod_01_Complete-Recording_University-at-Buffalo_2-25-98	12.11	12.23	an	1
Smith-Rod_01_Complete-Recording_University-at-Buffalo_2-25-98	12.23	13.03	amplacard	1
Smith-Rod_01_Complete-Recording_University-at-Buffalo_2-25-98	13.03	13.07	i	1
Smith-Rod_01_Complete-Recording_University-at-Buffalo_2-25-98	13.07	13.27	am	1
Smith-Rod_01_Complete-Recording_University-at-Buffalo_2-25-98	13.27	13.59	not	1
Smith-Rod_01_Complete-Recording_University-at-Buffalo_2-25-98	13.59	14.03	placard	1
Smith-Rod_01_Complete-Recording_University-at-Buffalo_2-25-98	14.03	14.27	show	1
Smith-Rod_01_Complete-Recording_University-at-Buffalo_2-25-98	14.27	14.47	me	1
Smith-Rod_01_Complete-Recording_University-at-Buffalo_2-25-98	14.47	14.83	coming	1
