file	beg	end	text
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	0.51	0.74	keeping
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	0.74	0.95	in
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	0.95	1.27	the
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	1.27	1.98	sheep
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	1.98	2.04	or
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	2.04	2.54	keeping
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	2.54	2.78	the
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	2.78	3.37	sheep
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	3.37	3.42	out
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	3.42	3.58	of
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	3.58	3.82	the
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	3.82	4.26	field
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	4.26	4.59	that
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	4.59	4.82	was
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	4.82	5.06	not
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	5.06	5.72	the
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	5.72	6.03	appointed
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	6.03	6.86	pasture.
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	6.86	7.28	The
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	7.28	9.31	deliberate
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	9.31	9.78	spacing
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	9.78	10.32	of
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	10.32	10.61	the
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	10.61	11.24	fence
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	11.24	12.1	post
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	12.1	12.16	was
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	12.16	12.36	as
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	12.36	12.86	plain
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	12.86	13.02	as
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	13.02	13.26	the
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	13.26	14.05	apparently
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	14.05	15.24	undeliberate
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	15.24	15.5	spacing
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	15.5	15.88	of
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	15.88	16.12	the
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	16.12	16.66	clumped
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	16.66	16.98	wild
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	16.98	17.48	iris,
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	17.48	17.74	the
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	17.74	18.15	iris
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	18.15	18.25	in
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	18.25	18.51	the
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	18.51	18.95	field
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	18.95	19.3	that
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	19.3	19.56	the
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	19.56	20.1	fence
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	20.1	20.35	kept
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	20.35	20.67	the
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	20.67	21.12	sheep
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	21.12	21.76	from.
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	21.76	22.08	But
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	22.08	22.54	this
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	22.54	23.23	was
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	23.23	23.32	when
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	23.32	23.71	the
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	23.71	24.24	fence
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	24.24	24.57	was
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	24.57	24.87	new
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	24.87	25.19	and
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	25.19	25.69	is
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	25.69	25.75	not
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	25.75	26.2	what
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	26.2	26.57	the
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	26.57	27.15	fence
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	27.15	27.62	is,
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	28.46	28.89	bulged
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	28.89	29.7	where
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	29.7	29.76	the
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	29.76	30.22	sheep
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	30.22	30.61	have
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	30.61	31.26	leaned,
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	31.26	31.77	not
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	31.77	31.85	one
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	31.85	31.98	of
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	31.98	32.25	the
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	32.25	32.7	posts
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	32.7	33.64	straight,
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	33.64	34.21	broken
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	34.21	34.29	in
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	34.29	34.94	places,
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	34.94	35.19	the
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	35.19	35.77	regular
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	35.77	36.43	spaces
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	36.43	36.51	and
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	36.51	37.72	abstraction.
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	37.72	38.25	The
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	38.25	40.09	rectangles
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	40.09	40.64	are
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	40.64	42.12	untrue,
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	42.12	42.97	and
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	42.97	43.16	through
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	43.16	43.47	the
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	43.47	43.99	holes
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	43.99	44.58	the
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	44.58	44.87	sheep
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	44.87	45.24	have
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	45.24	46.04	passed
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	46.04	46.26	from
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	46.26	46.53	one
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	46.53	46.98	field
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	46.98	47.34	into
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	47.34	47.61	the
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	47.61	48.24	next
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	48.24	48.64	field,
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	48.64	49.39	cropping
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	49.39	49.67	the
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	49.67	50.05	wild
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	50.05	50.43	iris
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	50.43	51.09	and
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	51.09	51.56	lessening
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	51.56	51.84	the
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	51.84	52.71	apparent
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	52.71	53.65	distinction
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	53.65	54.32	between
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	54.32	54.78	field
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	54.78	55.28	and
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	55.28	55.92	field.
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	56.88	57.23	It
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	57.23	58.37	is
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	58.37	59.16	dangerous
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	59.16	59.79	to
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	59.79	60.4	say,
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	60.4	60.83	with
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	60.83	61.1	the
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	61.1	61.59	words
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	61.59	62.3	rusting
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	62.3	62.5	as
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	62.5	62.8	the
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	62.8	63.1	old
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	63.1	63.5	wire
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	63.5	64.38	fence,
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	64.38	64.48	red
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	64.48	64.92	where
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	64.92	65.18	the
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	65.18	66.16	galvanizing
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	66.16	66.44	has
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	66.44	66.72	worn
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	66.72	67.12	off,
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	67.12	67.91	whether
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	67.91	68.37	the
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	68.37	68.8	fence
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	68.8	69.12	has
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	69.12	70.07	suffered
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	70.07	70.14	a
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	70.14	70.59	kind
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	70.59	70.81	of
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	70.81	71.64	death,
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	71.64	72.26	or
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	72.26	72.51	whether
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	72.51	72.8	the
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	72.8	73.35	fence
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	73.35	74.08	stands,
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	74.08	75.03	askew
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	75.03	75.44	and
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	75.44	76.84	broken,
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	76.84	77.07	as
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	77.07	77.58	a
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	77.58	77.64	sign
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	77.64	77.96	of
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	77.96	79.03	separation
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	79.03	79.33	or
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	79.33	79.6	the
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	79.6	80.18	death
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	80.18	81.18	of
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	81.18	81.96	separation.
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	82.31	83.17	The
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	83.17	83.38	fence
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	83.38	84.69	inseparable
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	84.69	85.19	from
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	85.19	85.69	that
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	85.69	86.31	place
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	86.31	87.21	between
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	87.21	87.83	field
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	87.83	88.21	and
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	88.21	89.26	field.
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	93.66	94.42	The
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	94.42	94.44	Night
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	94.44	94.74	Sea
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	94.74	95.72	Under
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	95.72	96.37	the
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	96.37	97.19	rain
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	97.19	97.96	the
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	97.96	98.86	trees
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	98.86	99.45	like
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	99.45	100.04	crow
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	100.04	100.89	feet
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	100.89	101.52	scratch,
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	101.52	101.92	tangling
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	101.92	102.17	the
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	102.17	102.97	spittled
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	102.97	103.34	sky.
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	103.34	104.78	These
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	104.78	104.97	are
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	104.97	105.2	the
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	105.2	105.82	elements
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	105.82	106.13	that
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	106.13	106.44	give
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	106.44	106.59	my
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	106.59	106.98	heart
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	106.98	107.31	ease
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	107.31	107.69	and
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	107.69	107.9	make
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	107.9	108.23	its
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	108.23	108.63	watch
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	108.63	108.81	run
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	108.81	109.39	regular
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	109.39	109.55	as
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	109.55	109.79	the
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	109.79	110.33	rain,
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	110.33	110.86	solemn
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	110.86	111.03	as
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	111.03	111.29	the
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	111.29	111.82	crow,
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	111.82	112.47	its
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	112.47	112.48	claw
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	112.48	112.86	grip
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	112.86	113.24	into
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	113.24	113.57	the
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	113.57	113.8	wet
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	113.8	114.69	returning
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	114.69	115.36	wind.
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	115.94	116.2	The
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	116.2	116.67	blear
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	116.67	117.33	watering
