file	beg	end	text	speaker
Ginsberg-Allen_Complete-Reading_WCW-Lecture_3-17-88	0.36	0.54	to	0
Ginsberg-Allen_Complete-Reading_WCW-Lecture_3-17-88	0.54	1.14	receive	0
Ginsberg-Allen_Complete-Reading_WCW-Lecture_3-17-88	1.14	2.62	like	0
Ginsberg-Allen_Complete-Reading_WCW-Lecture_3-17-88	2.76	3.3	softness	0
Ginsberg-Allen_Complete-Reading_WCW-Lecture_3-17-88	3.3	3.44	of	0
Ginsberg-Allen_Complete-Reading_WCW-Lecture_3-17-88	3.44	4.92	delicacy	1
Ginsberg-Allen_Complete-Reading_WCW-Lecture_3-17-88	4.92	5.34	and	1
Ginsberg-Allen_Complete-Reading_WCW-Lecture_3-17-88	5.34	5.92	um	1
Ginsberg-Allen_Complete-Reading_WCW-Lecture_3-17-88	7.02	7.42	quite	1
Ginsberg-Allen_Complete-Reading_WCW-Lecture_3-17-88	7.42	7.82	quite	1
Ginsberg-Allen_Complete-Reading_WCW-Lecture_3-17-88	7.82	8.52	questioning	1
Ginsberg-Allen_Complete-Reading_WCW-Lecture_3-17-88	8.52	8.98	query	1
Ginsberg-Allen_Complete-Reading_WCW-Lecture_3-17-88	8.98	9.44	listeners	1
Ginsberg-Allen_Complete-Reading_WCW-Lecture_3-17-88	9.44	9.74	about	1
Ginsberg-Allen_Complete-Reading_WCW-Lecture_3-17-88	9.74	10.56	him	1
Ginsberg-Allen_Complete-Reading_WCW-Lecture_3-17-88	10.56	10.76	that	1
Ginsberg-Allen_Complete-Reading_WCW-Lecture_3-17-88	10.76	10.92	was	1
Ginsberg-Allen_Complete-Reading_WCW-Lecture_3-17-88	10.92	11.18	over	1
Ginsberg-Allen_Complete-Reading_WCW-Lecture_3-17-88	11.18	11.3	in	1
Ginsberg-Allen_Complete-Reading_WCW-Lecture_3-17-88	11.3	11.46	that	1
Ginsberg-Allen_Complete-Reading_WCW-Lecture_3-17-88	11.46	11.7	little	1
Ginsberg-Allen_Complete-Reading_WCW-Lecture_3-17-88	11.7	11.88	high	1
Ginsberg-Allen_Complete-Reading_WCW-Lecture_3-17-88	11.94	12.4	woodling	1
Ginsberg-Allen_Complete-Reading_WCW-Lecture_3-17-88	12.4	12.66	voice	1
Ginsberg-Allen_Complete-Reading_WCW-Lecture_3-17-88	12.66	12.96	six	1
Ginsberg-Allen_Complete-Reading_WCW-Lecture_3-17-88	12.96	13.12	if	1
Ginsberg-Allen_Complete-Reading_WCW-Lecture_3-17-88	13.12	13.42	you	1
Ginsberg-Allen_Complete-Reading_WCW-Lecture_3-17-88	13.42	14.2	have	1
Ginsberg-Allen_Complete-Reading_WCW-Lecture_3-17-88	14.2	14.36	no	1
Ginsberg-Allen_Complete-Reading_WCW-Lecture_3-17-88	14.36	14.62	older	1
Ginsberg-Allen_Complete-Reading_WCW-Lecture_3-17-88	14.62	14.92	folks	1
Ginsberg-Allen_Complete-Reading_WCW-Lecture_3-17-88	14.92	15.68	at	1
Ginsberg-Allen_Complete-Reading_WCW-Lecture_3-17-88	15.68	15.88	old	1
Ginsberg-Allen_Complete-Reading_WCW-Lecture_3-17-88	15.88	16.16	school	1
Ginsberg-Allen_Complete-Reading_WCW-Lecture_3-17-88	16.16	16.6	teacher	1
Ginsberg-Allen_Complete-Reading_WCW-Lecture_3-17-88	16.6	17.08	ladies	1
Ginsberg-Allen_Complete-Reading_WCW-Lecture_3-17-88	17.08	17.28	roll	1
Ginsberg-Allen_Complete-Reading_WCW-Lecture_3-17-88	17.28	17.52	school	1
Ginsberg-Allen_Complete-Reading_WCW-Lecture_3-17-88	17.52	18.36	determine	1
Ginsberg-Allen_Complete-Reading_WCW-Lecture_3-17-88	19.7	19.8	i	1
Ginsberg-Allen_Complete-Reading_WCW-Lecture_3-17-88	19.8	19.98	don't	1
Ginsberg-Allen_Complete-Reading_WCW-Lecture_3-17-88	19.98	20.38	know	1
Ginsberg-Allen_Complete-Reading_WCW-Lecture_3-17-88	20.38	20.98	why	1
Ginsberg-Allen_Complete-Reading_WCW-Lecture_3-17-88	20.98	21.52	describe	1
Ginsberg-Allen_Complete-Reading_WCW-Lecture_3-17-88	21.52	23.28	something	1
Ginsberg-Allen_Complete-Reading_WCW-Lecture_3-17-88	23.28	24.44	where	1
Ginsberg-Allen_Complete-Reading_WCW-Lecture_3-17-88	24.44	24.62	he	1
Ginsberg-Allen_Complete-Reading_WCW-Lecture_3-17-88	24.62	25.34	is	1
Ginsberg-Allen_Complete-Reading_WCW-Lecture_3-17-88	25.34	25.56	he's	1
Ginsberg-Allen_Complete-Reading_WCW-Lecture_3-17-88	25.56	25.78	twenty	1
Ginsberg-Allen_Complete-Reading_WCW-Lecture_3-17-88	25.78	27.36	eight	1
Ginsberg-Allen_Complete-Reading_WCW-Lecture_3-17-88	28.2	28.7	one	1
Ginsberg-Allen_Complete-Reading_WCW-Lecture_3-17-88	28.7	29.08	period	1
Ginsberg-Allen_Complete-Reading_WCW-Lecture_3-17-88	29.14	29.68	continued	1
Ginsberg-Allen_Complete-Reading_WCW-Lecture_3-17-88	29.68	29.8	the	1
Ginsberg-Allen_Complete-Reading_WCW-Lecture_3-17-88	29.8	30.06	great	1
Ginsberg-Allen_Complete-Reading_WCW-Lecture_3-17-88	30.06	30.76	was	1
Ginsberg-Allen_Complete-Reading_WCW-Lecture_3-17-88	30.76	31.2	decided	1
Ginsberg-Allen_Complete-Reading_WCW-Lecture_3-17-88	31.2	31.38	on	1
Ginsberg-Allen_Complete-Reading_WCW-Lecture_3-17-88	31.38	31.54	what	1
Ginsberg-Allen_Complete-Reading_WCW-Lecture_3-17-88	31.54	31.68	is	1
Ginsberg-Allen_Complete-Reading_WCW-Lecture_3-17-88	31.68	31.86	he	1
Ginsberg-Allen_Complete-Reading_WCW-Lecture_3-17-88	31.86	32.3	saying	1
Ginsberg-Allen_Complete-Reading_WCW-Lecture_3-17-88	32.3	32.42	the	1
Ginsberg-Allen_Complete-Reading_WCW-Lecture_3-17-88	32.42	32.64	move	1
Ginsberg-Allen_Complete-Reading_WCW-Lecture_3-17-88	32.64	32.96	was	1
Ginsberg-Allen_Complete-Reading_WCW-Lecture_3-17-88	32.96	33.24	never	1
Ginsberg-Allen_Complete-Reading_WCW-Lecture_3-17-88	33.24	33.48	made	1
Ginsberg-Allen_Complete-Reading_WCW-Lecture_3-17-88	33.48	33.9	command	1
Ginsberg-Allen_Complete-Reading_WCW-Lecture_3-17-88	33.9	34.0	a	1
Ginsberg-Allen_Complete-Reading_WCW-Lecture_3-17-88	34.0	34.3	woman	1
Ginsberg-Allen_Complete-Reading_WCW-Lecture_3-17-88	34.3	34.46	to	1
Ginsberg-Allen_Complete-Reading_WCW-Lecture_3-17-88	34.46	34.84	practice	1
Ginsberg-Allen_Complete-Reading_WCW-Lecture_3-17-88	34.84	35.78	freedom	1
Ginsberg-Allen_Complete-Reading_WCW-Lecture_3-17-88	35.78	35.92	and	1
Ginsberg-Allen_Complete-Reading_WCW-Lecture_3-17-88	35.92	36.26	somebody	1
Ginsberg-Allen_Complete-Reading_WCW-Lecture_3-17-88	36.26	36.52	loves	1
Ginsberg-Allen_Complete-Reading_WCW-Lecture_3-17-88	36.52	36.66	it	1
Ginsberg-Allen_Complete-Reading_WCW-Lecture_3-17-88	36.66	37.1	most	1
Ginsberg-Allen_Complete-Reading_WCW-Lecture_3-17-88	37.1	37.44	sons	1
Ginsberg-Allen_Complete-Reading_WCW-Lecture_3-17-88	37.44	37.58	and	1
Ginsberg-Allen_Complete-Reading_WCW-Lecture_3-17-88	37.58	38.2	most	1
Ginsberg-Allen_Complete-Reading_WCW-Lecture_3-17-88	38.2	38.72	places	1
Ginsberg-Allen_Complete-Reading_WCW-Lecture_3-17-88	38.72	38.9	but	1
Ginsberg-Allen_Complete-Reading_WCW-Lecture_3-17-88	38.9	39.2	there's	1
Ginsberg-Allen_Complete-Reading_WCW-Lecture_3-17-88	39.2	39.32	a	1
Ginsberg-Allen_Complete-Reading_WCW-Lecture_3-17-88	39.32	39.64	great	1
Ginsberg-Allen_Complete-Reading_WCW-Lecture_3-17-88	39.64	40.0	law	1
Ginsberg-Allen_Complete-Reading_WCW-Lecture_3-17-88	40.0	40.34	over	1
Ginsberg-Allen_Complete-Reading_WCW-Lecture_3-17-88	40.34	40.52	in	1
Ginsberg-Allen_Complete-Reading_WCW-Lecture_3-17-88	40.52	41.44	which	1
Ginsberg-Allen_Complete-Reading_WCW-Lecture_3-17-88	41.44	41.9	that	1
Ginsberg-Allen_Complete-Reading_WCW-Lecture_3-17-88	41.9	42.1	is	1
Ginsberg-Allen_Complete-Reading_WCW-Lecture_3-17-88	42.1	42.3	as	1
Ginsberg-Allen_Complete-Reading_WCW-Lecture_3-17-88	42.3	42.46	it	1
Ginsberg-Allen_Complete-Reading_WCW-Lecture_3-17-88	42.46	42.78	is	1
Ginsberg-Allen_Complete-Reading_WCW-Lecture_3-17-88	42.78	42.96	but	1
Ginsberg-Allen_Complete-Reading_WCW-Lecture_3-17-88	42.96	43.26	when	1
Ginsberg-Allen_Complete-Reading_WCW-Lecture_3-17-88	43.26	43.68	flowing	1
Ginsberg-Allen_Complete-Reading_WCW-Lecture_3-17-88	43.68	43.8	the	1
Ginsberg-Allen_Complete-Reading_WCW-Lecture_3-17-88	43.8	44.08	bud	1
Ginsberg-Allen_Complete-Reading_WCW-Lecture_3-17-88	44.08	44.44	spots	1
Ginsberg-Allen_Complete-Reading_WCW-Lecture_3-17-88	44.44	44.54	on	1
Ginsberg-Allen_Complete-Reading_WCW-Lecture_3-17-88	44.54	44.7	the	1
Ginsberg-Allen_Complete-Reading_WCW-Lecture_3-17-88	44.7	45.1	for	1
Ginsberg-Allen_Complete-Reading_WCW-Lecture_3-17-88	45.1	45.94	service	1
Ginsberg-Allen_Complete-Reading_WCW-Lecture_3-17-88	45.94	46.1	the	1
Ginsberg-Allen_Complete-Reading_WCW-Lecture_3-17-88	46.1	46.42	face	1
Ginsberg-Allen_Complete-Reading_WCW-Lecture_3-17-88	46.42	46.9	reflected	1
Ginsberg-Allen_Complete-Reading_WCW-Lecture_3-17-88	46.9	47.04	in	1
Ginsberg-Allen_Complete-Reading_WCW-Lecture_3-17-88	47.04	47.18	the	1
Ginsberg-Allen_Complete-Reading_WCW-Lecture_3-17-88	47.18	47.54	glass	1
Ginsberg-Allen_Complete-Reading_WCW-Lecture_3-17-88	47.54	48.0	which	1
Ginsberg-Allen_Complete-Reading_WCW-Lecture_3-17-88	48.0	48.18	as	1
Ginsberg-Allen_Complete-Reading_WCW-Lecture_3-17-88	48.18	48.42	you	1
Ginsberg-Allen_Complete-Reading_WCW-Lecture_3-17-88	48.42	49.04	advance	1
Ginsberg-Allen_Complete-Reading_WCW-Lecture_3-17-88	49.04	49.22	the	1
Ginsberg-Allen_Complete-Reading_WCW-Lecture_3-17-88	49.22	49.76	features	1
Ginsberg-Allen_Complete-Reading_WCW-Lecture_3-17-88	49.76	50.82	disappear	1
Ginsberg-Allen_Complete-Reading_WCW-Lecture_3-17-88	50.82	51.16	moving	1
Ginsberg-Allen_Complete-Reading_WCW-Lecture_3-17-88	51.16	51.46	over	1
Ginsberg-Allen_Complete-Reading_WCW-Lecture_3-17-88	51.46	51.68	the	1
Ginsberg-Allen_Complete-Reading_WCW-Lecture_3-17-88	51.68	52.52	past	1
Ginsberg-Allen_Complete-Reading_WCW-Lecture_3-17-88	52.58	53.24	drawback	1
Ginsberg-Allen_Complete-Reading_WCW-Lecture_3-17-88	53.24	53.42	to	1
Ginsberg-Allen_Complete-Reading_WCW-Lecture_3-17-88	53.42	53.9	teachers	1
Ginsberg-Allen_Complete-Reading_WCW-Lecture_3-17-88	53.9	54.6	return	1
Ginsberg-Allen_Complete-Reading_WCW-Lecture_3-17-88	55.0	55.22	tip	1
Ginsberg-Allen_Complete-Reading_WCW-Lecture_3-17-88	55.22	55.36	of	1
Ginsberg-Allen_Complete-Reading_WCW-Lecture_3-17-88	55.36	56.4	banos	1
Ginsberg-Allen_Complete-Reading_WCW-Lecture_3-17-88	56.4	56.94	projection	1
Ginsberg-Allen_Complete-Reading_WCW-Lecture_3-17-88	56.94	57.16	over	1
Ginsberg-Allen_Complete-Reading_WCW-Lecture_3-17-88	57.16	57.32	the	1
Ginsberg-Allen_Complete-Reading_WCW-Lecture_3-17-88	57.32	57.98	eyebrows	1
Ginsberg-Allen_Complete-Reading_WCW-Lecture_3-17-88	57.98	58.18	and	1
Ginsberg-Allen_Complete-Reading_WCW-Lecture_3-17-88	58.18	58.44	cheap	1
Ginsberg-Allen_Complete-Reading_WCW-Lecture_3-17-88	58.44	58.82	loans	1
Ginsberg-Allen_Complete-Reading_WCW-Lecture_3-17-88	58.82	58.96	and	1
Ginsberg-Allen_Complete-Reading_WCW-Lecture_3-17-88	58.96	59.08	the	1
Ginsberg-Allen_Complete-Reading_WCW-Lecture_3-17-88	59.08	59.4	balls	1
Ginsberg-Allen_Complete-Reading_WCW-Lecture_3-17-88	59.4	59.58	of	1
Ginsberg-Allen_Complete-Reading_WCW-Lecture_3-17-88	59.58	60.24	phillips	1
Ginsberg-Allen_Complete-Reading_WCW-Lecture_3-17-88	60.24	60.4	he	1
Ginsberg-Allen_Complete-Reading_WCW-Lecture_3-17-88	60.4	61.16	should	1
Ginsberg-Allen_Complete-Reading_WCW-Lecture_3-17-88	61.16	64.62	last	1
Ginsberg-Allen_Complete-Reading_WCW-Lecture_3-17-88	64.62	65.0	he's	0
Ginsberg-Allen_Complete-Reading_WCW-Lecture_3-17-88	65.0	65.18	he's	0
Ginsberg-Allen_Complete-Reading_WCW-Lecture_3-17-88	65.18	65.44	playing	0
Ginsberg-Allen_Complete-Reading_WCW-Lecture_3-17-88	65.44	65.68	tricks	0
Ginsberg-Allen_Complete-Reading_WCW-Lecture_3-17-88	65.68	65.84	with	0
Ginsberg-Allen_Complete-Reading_WCW-Lecture_3-17-88	65.84	66.02	his	0
Ginsberg-Allen_Complete-Reading_WCW-Lecture_3-17-88	66.02	66.28	mind	0
Ginsberg-Allen_Complete-Reading_WCW-Lecture_3-17-88	66.28	66.46	all	0
Ginsberg-Allen_Complete-Reading_WCW-Lecture_3-17-88	66.46	66.58	the	0
Ginsberg-Allen_Complete-Reading_WCW-Lecture_3-17-88	66.58	66.84	time	0
Ginsberg-Allen_Complete-Reading_WCW-Lecture_3-17-88	66.84	67.04	yeah	0
Ginsberg-Allen_Complete-Reading_WCW-Lecture_3-17-88	67.04	70.04	it's	0
Ginsberg-Allen_Complete-Reading_WCW-Lecture_3-17-88	70.04	70.14	you	0
Ginsberg-Allen_Complete-Reading_WCW-Lecture_3-17-88	70.14	70.36	know	0
Ginsberg-Allen_Complete-Reading_WCW-Lecture_3-17-88	70.36	70.6	really	0
Ginsberg-Allen_Complete-Reading_WCW-Lecture_3-17-88	70.6	70.9	put	0
Ginsberg-Allen_Complete-Reading_WCW-Lecture_3-17-88	70.9	71.16	tricks	0
Ginsberg-Allen_Complete-Reading_WCW-Lecture_3-17-88	71.16	71.64	out	0
Ginsberg-Allen_Complete-Reading_WCW-Lecture_3-17-88	71.64	71.88	with	0
Ginsberg-Allen_Complete-Reading_WCW-Lecture_3-17-88	71.88	72.68	perception	0
Ginsberg-Allen_Complete-Reading_WCW-Lecture_3-17-88	72.68	73.34	illness	0
Ginsberg-Allen_Complete-Reading_WCW-Lecture_3-17-88	74.3	74.54	and	0
Ginsberg-Allen_Complete-Reading_WCW-Lecture_3-17-88	74.54	74.88	so	0
Ginsberg-Allen_Complete-Reading_WCW-Lecture_3-17-88	74.88	75.04	that	0
Ginsberg-Allen_Complete-Reading_WCW-Lecture_3-17-88	75.04	75.26	would	0
Ginsberg-Allen_Complete-Reading_WCW-Lecture_3-17-88	75.26	75.42	give	0
Ginsberg-Allen_Complete-Reading_WCW-Lecture_3-17-88	75.42	75.6	him	0
Ginsberg-Allen_Complete-Reading_WCW-Lecture_3-17-88	75.6	76.1	tremendous	0
Ginsberg-Allen_Complete-Reading_WCW-Lecture_3-17-88	76.1	76.68	depth	0
Ginsberg-Allen_Complete-Reading_WCW-Lecture_3-17-88	76.68	77.16	uh	0
Ginsberg-Allen_Complete-Reading_WCW-Lecture_3-17-88	77.16	77.44	whereas	0
Ginsberg-Allen_Complete-Reading_WCW-Lecture_3-17-88	77.44	77.76	everybody	0
Ginsberg-Allen_Complete-Reading_WCW-Lecture_3-17-88	77.76	77.94	else	0
Ginsberg-Allen_Complete-Reading_WCW-Lecture_3-17-88	77.94	78.1	is	0
Ginsberg-Allen_Complete-Reading_WCW-Lecture_3-17-88	78.1	78.38	walking	0
Ginsberg-Allen_Complete-Reading_WCW-Lecture_3-17-88	78.38	78.62	around	0
Ginsberg-Allen_Complete-Reading_WCW-Lecture_3-17-88	78.62	78.72	in	0
Ginsberg-Allen_Complete-Reading_WCW-Lecture_3-17-88	78.72	78.84	the	0
Ginsberg-Allen_Complete-Reading_WCW-Lecture_3-17-88	78.84	79.1	world	0
Ginsberg-Allen_Complete-Reading_WCW-Lecture_3-17-88	79.1	79.48	already	0
Ginsberg-Allen_Complete-Reading_WCW-Lecture_3-17-88	79.48	80.14	solid	0
Ginsberg-Allen_Complete-Reading_WCW-Lecture_3-17-88	80.78	81.02	he's	1
Ginsberg-Allen_Complete-Reading_WCW-Lecture_3-17-88	81.02	81.66	dissolving	1
Ginsberg-Allen_Complete-Reading_WCW-Lecture_3-17-88	81.66	81.94	into	1
Ginsberg-Allen_Complete-Reading_WCW-Lecture_3-17-88	81.94	82.14	this	1
Ginsberg-Allen_Complete-Reading_WCW-Lecture_3-17-88	82.14	82.46	plan	1
Ginsberg-Allen_Complete-Reading_WCW-Lecture_3-17-88	82.46	84.0	conceptual	1
Ginsberg-Allen_Complete-Reading_WCW-Lecture_3-17-88	84.0	84.54	of	1
Ginsberg-Allen_Complete-Reading_WCW-Lecture_3-17-88	84.54	85.5	subtleties	1
Ginsberg-Allen_Complete-Reading_WCW-Lecture_3-17-88	85.86	86.26	yeah	0
Ginsberg-Allen_Complete-Reading_WCW-Lecture_3-17-88	86.26	86.4	and	0
Ginsberg-Allen_Complete-Reading_WCW-Lecture_3-17-88	86.4	86.6	then	0
Ginsberg-Allen_Complete-Reading_WCW-Lecture_3-17-88	86.6	86.78	trying	0
Ginsberg-Allen_Complete-Reading_WCW-Lecture_3-17-88	86.78	86.86	to	0
Ginsberg-Allen_Complete-Reading_WCW-Lecture_3-17-88	86.86	87.02	write	0
Ginsberg-Allen_Complete-Reading_WCW-Lecture_3-17-88	87.02	87.2	them	0
Ginsberg-Allen_Complete-Reading_WCW-Lecture_3-17-88	87.2	88.16	down	0
Ginsberg-Allen_Complete-Reading_WCW-Lecture_3-17-88	88.16	88.74	yeah	0
Ginsberg-Allen_Complete-Reading_WCW-Lecture_3-17-88	89.26	89.5	i'll	1
