file	beg	end	text	speaker
Yau-John_02_Complete-Reading_SUNY-Buffalo_2-4-98	0.22	0.54	wanted	0
Yau-John_02_Complete-Reading_SUNY-Buffalo_2-4-98	0.54	0.68	to	0
Yau-John_02_Complete-Reading_SUNY-Buffalo_2-4-98	0.68	1.0	grab	0
Yau-John_02_Complete-Reading_SUNY-Buffalo_2-4-98	1.0	1.26	my	0
Yau-John_02_Complete-Reading_SUNY-Buffalo_2-4-98	1.26	1.54	face	0
Yau-John_02_Complete-Reading_SUNY-Buffalo_2-4-98	1.54	1.76	with	0
Yau-John_02_Complete-Reading_SUNY-Buffalo_2-4-98	1.76	2.4	appliers	0
Yau-John_02_Complete-Reading_SUNY-Buffalo_2-4-98	2.4	2.56	of	0
Yau-John_02_Complete-Reading_SUNY-Buffalo_2-4-98	2.56	3.12	dirty	0
Yau-John_02_Complete-Reading_SUNY-Buffalo_2-4-98	3.12	3.32	of	0
Yau-John_02_Complete-Reading_SUNY-Buffalo_2-4-98	3.32	3.72	dirt	0
Yau-John_02_Complete-Reading_SUNY-Buffalo_2-4-98	3.72	4.2	trickling	0
Yau-John_02_Complete-Reading_SUNY-Buffalo_2-4-98	4.2	4.38	from	0
Yau-John_02_Complete-Reading_SUNY-Buffalo_2-4-98	4.38	4.62	their	0
Yau-John_02_Complete-Reading_SUNY-Buffalo_2-4-98	4.62	5.34	lips	0
Yau-John_02_Complete-Reading_SUNY-Buffalo_2-4-98	6.0	6.16	i	0
Yau-John_02_Complete-Reading_SUNY-Buffalo_2-4-98	6.16	6.34	want	0
Yau-John_02_Complete-Reading_SUNY-Buffalo_2-4-98	6.34	6.44	to	0
Yau-John_02_Complete-Reading_SUNY-Buffalo_2-4-98	6.44	6.56	be	0
Yau-John_02_Complete-Reading_SUNY-Buffalo_2-4-98	6.56	7.0	another	0
Yau-John_02_Complete-Reading_SUNY-Buffalo_2-4-98	7.0	7.4	stumble	0
Yau-John_02_Complete-Reading_SUNY-Buffalo_2-4-98	7.4	7.66	of	0
Yau-John_02_Complete-Reading_SUNY-Buffalo_2-4-98	7.66	8.64	flesh	0
Yau-John_02_Complete-Reading_SUNY-Buffalo_2-4-98	8.64	9.02	glimpsed	0
Yau-John_02_Complete-Reading_SUNY-Buffalo_2-4-98	9.02	9.22	from	0
Yau-John_02_Complete-Reading_SUNY-Buffalo_2-4-98	9.22	9.42	a	0
Yau-John_02_Complete-Reading_SUNY-Buffalo_2-4-98	9.42	9.76	crack	0
Yau-John_02_Complete-Reading_SUNY-Buffalo_2-4-98	9.76	9.9	in	0
Yau-John_02_Complete-Reading_SUNY-Buffalo_2-4-98	9.9	10.1	the	0
Yau-John_02_Complete-Reading_SUNY-Buffalo_2-4-98	10.1	10.84	arcades	0
Yau-John_02_Complete-Reading_SUNY-Buffalo_2-4-98	10.84	11.26	nuget	0
Yau-John_02_Complete-Reading_SUNY-Buffalo_2-4-98	11.26	12.26	fact	0
Yau-John_02_Complete-Reading_SUNY-Buffalo_2-4-98	12.26	12.44	can	0
Yau-John_02_Complete-Reading_SUNY-Buffalo_2-4-98	12.44	12.68	you	0
Yau-John_02_Complete-Reading_SUNY-Buffalo_2-4-98	12.68	12.88	see	0
Yau-John_02_Complete-Reading_SUNY-Buffalo_2-4-98	12.88	13.04	me	0
Yau-John_02_Complete-Reading_SUNY-Buffalo_2-4-98	13.04	13.38	without	0
Yau-John_02_Complete-Reading_SUNY-Buffalo_2-4-98	13.38	13.9	remembering	0
Yau-John_02_Complete-Reading_SUNY-Buffalo_2-4-98	13.9	14.2	my	0
Yau-John_02_Complete-Reading_SUNY-Buffalo_2-4-98	14.2	14.68	trim	0
Yau-John_02_Complete-Reading_SUNY-Buffalo_2-4-98	14.68	15.42	voice	0
Yau-John_02_Complete-Reading_SUNY-Buffalo_2-4-98	15.42	15.8	boiling	0
Yau-John_02_Complete-Reading_SUNY-Buffalo_2-4-98	15.8	15.96	in	0
Yau-John_02_Complete-Reading_SUNY-Buffalo_2-4-98	15.96	16.14	the	0
Yau-John_02_Complete-Reading_SUNY-Buffalo_2-4-98	16.14	16.7	cauldron	0
Yau-John_02_Complete-Reading_SUNY-Buffalo_2-4-98	16.7	16.9	of	0
Yau-John_02_Complete-Reading_SUNY-Buffalo_2-4-98	16.9	17.38	rural	0
Yau-John_02_Complete-Reading_SUNY-Buffalo_2-4-98	17.38	17.68	drive	0
Yau-John_02_Complete-Reading_SUNY-Buffalo_2-4-98	17.68	18.46	ins	0
Yau-John_02_Complete-Reading_SUNY-Buffalo_2-4-98	18.46	18.84	old	0
Yau-John_02_Complete-Reading_SUNY-Buffalo_2-4-98	18.84	19.36	cars	0
Yau-John_02_Complete-Reading_SUNY-Buffalo_2-4-98	19.36	19.84	quivering	0
Yau-John_02_Complete-Reading_SUNY-Buffalo_2-4-98	19.84	20.0	to	0
Yau-John_02_Complete-Reading_SUNY-Buffalo_2-4-98	20.0	20.14	a	0
Yau-John_02_Complete-Reading_SUNY-Buffalo_2-4-98	20.14	20.5	fresh	0
Yau-John_02_Complete-Reading_SUNY-Buffalo_2-4-98	20.5	20.76	line	0
Yau-John_02_Complete-Reading_SUNY-Buffalo_2-4-98	20.76	20.98	of	0
Yau-John_02_Complete-Reading_SUNY-Buffalo_2-4-98	20.98	22.06	mattresses	0
Yau-John_02_Complete-Reading_SUNY-Buffalo_2-4-98	22.06	22.42	ticking	0
Yau-John_02_Complete-Reading_SUNY-Buffalo_2-4-98	22.42	22.54	in	0
