file	beg	end	text
Antin-David_Complete_Seminar_University-Buffalo_3-27-03	0.0	0.32	You
Antin-David_Complete_Seminar_University-Buffalo_3-27-03	0.32	0.42	know,
Antin-David_Complete_Seminar_University-Buffalo_3-27-03	0.58	0.9	gallons
Antin-David_Complete_Seminar_University-Buffalo_3-27-03	0.9	1.08	and
Antin-David_Complete_Seminar_University-Buffalo_3-27-03	1.08	1.42	gallons
Antin-David_Complete_Seminar_University-Buffalo_3-27-03	1.42	1.64	of
Antin-David_Complete_Seminar_University-Buffalo_3-27-03	1.64	2.16	gasoline
Antin-David_Complete_Seminar_University-Buffalo_3-27-03	2.16	2.38	and
Antin-David_Complete_Seminar_University-Buffalo_3-27-03	2.38	2.7	huge
Antin-David_Complete_Seminar_University-Buffalo_3-27-03	2.7	3.18	tankers
Antin-David_Complete_Seminar_University-Buffalo_3-27-03	3.18	3.32	that
Antin-David_Complete_Seminar_University-Buffalo_3-27-03	3.32	3.44	are
Antin-David_Complete_Seminar_University-Buffalo_3-27-03	3.44	4.68	flying
Antin-David_Complete_Seminar_University-Buffalo_3-27-03	4.68	5.38	explosives.
Antin-David_Complete_Seminar_University-Buffalo_3-27-03	6.28	6.68	I
Antin-David_Complete_Seminar_University-Buffalo_3-27-03	6.68	6.78	mean,
Antin-David_Complete_Seminar_University-Buffalo_3-27-03	6.84	6.94	I
Antin-David_Complete_Seminar_University-Buffalo_3-27-03	6.94	7.1	don't
Antin-David_Complete_Seminar_University-Buffalo_3-27-03	7.1	7.32	know.
Antin-David_Complete_Seminar_University-Buffalo_3-27-03	7.48	7.52	I
Antin-David_Complete_Seminar_University-Buffalo_3-27-03	7.52	7.62	mean,
Antin-David_Complete_Seminar_University-Buffalo_3-27-03	7.78	8.22	you
Antin-David_Complete_Seminar_University-Buffalo_3-27-03	8.22	8.48	know,
Antin-David_Complete_Seminar_University-Buffalo_3-27-03	8.64	8.92	but
Antin-David_Complete_Seminar_University-Buffalo_3-27-03	8.92	9.04	they
Antin-David_Complete_Seminar_University-Buffalo_3-27-03	9.04	9.2	don't
Antin-David_Complete_Seminar_University-Buffalo_3-27-03	9.2	9.4	talk
Antin-David_Complete_Seminar_University-Buffalo_3-27-03	9.4	9.6	about
Antin-David_Complete_Seminar_University-Buffalo_3-27-03	9.6	9.92	that.
Antin-David_Complete_Seminar_University-Buffalo_3-27-03	10.14	10.54	You
Antin-David_Complete_Seminar_University-Buffalo_3-27-03	10.54	10.7	know,
Antin-David_Complete_Seminar_University-Buffalo_3-27-03	10.94	11.84	they
Antin-David_Complete_Seminar_University-Buffalo_3-27-03	11.84	12.08	say
Antin-David_Complete_Seminar_University-Buffalo_3-27-03	12.08	12.28	that
Antin-David_Complete_Seminar_University-Buffalo_3-27-03	12.28	12.9	the
Antin-David_Complete_Seminar_University-Buffalo_3-27-03	12.9	13.12	food
Antin-David_Complete_Seminar_University-Buffalo_3-27-03	13.12	13.44	nearly
Antin-David_Complete_Seminar_University-Buffalo_3-27-03	13.44	13.76	didn't
Antin-David_Complete_Seminar_University-Buffalo_3-27-03	13.76	13.98	reach
Antin-David_Complete_Seminar_University-Buffalo_3-27-03	13.98	14.14	the
Antin-David_Complete_Seminar_University-Buffalo_3-27-03	14.14	15.12	troops,
Antin-David_Complete_Seminar_University-Buffalo_3-27-03	15.28	15.42	let
Antin-David_Complete_Seminar_University-Buffalo_3-27-03	15.42	15.62	alone
Antin-David_Complete_Seminar_University-Buffalo_3-27-03	15.62	15.86	the
Antin-David_Complete_Seminar_University-Buffalo_3-27-03	15.86	16.4	humanitarian
Antin-David_Complete_Seminar_University-Buffalo_3-27-03	16.4	16.64	aid.
Antin-David_Complete_Seminar_University-Buffalo_3-27-03	16.72	16.76	The
Antin-David_Complete_Seminar_University-Buffalo_3-27-03	16.76	16.94	food
Antin-David_Complete_Seminar_University-Buffalo_3-27-03	16.94	17.22	nearly
Antin-David_Complete_Seminar_University-Buffalo_3-27-03	17.22	17.46	didn't
Antin-David_Complete_Seminar_University-Buffalo_3-27-03	17.46	17.7	reach
Antin-David_Complete_Seminar_University-Buffalo_3-27-03	17.7	17.84	them
Antin-David_Complete_Seminar_University-Buffalo_3-27-03	17.84	17.96	for
Antin-David_Complete_Seminar_University-Buffalo_3-27-03	17.96	18.06	the
Antin-David_Complete_Seminar_University-Buffalo_3-27-03	18.06	18.26	next
Antin-David_Complete_Seminar_University-Buffalo_3-27-03	18.26	18.42	two
Antin-David_Complete_Seminar_University-Buffalo_3-27-03	18.42	18.78	days.
Antin-David_Complete_Seminar_University-Buffalo_3-27-03	19.54	19.94	So
Antin-David_Complete_Seminar_University-Buffalo_3-27-03	19.94	20.1	what
Antin-David_Complete_Seminar_University-Buffalo_3-27-03	20.1	20.2	you
Antin-David_Complete_Seminar_University-Buffalo_3-27-03	20.2	20.38	have
Antin-David_Complete_Seminar_University-Buffalo_3-27-03	20.38	20.56	is
Antin-David_Complete_Seminar_University-Buffalo_3-27-03	20.56	20.72	all
Antin-David_Complete_Seminar_University-Buffalo_3-27-03	20.72	20.86	these
Antin-David_Complete_Seminar_University-Buffalo_3-27-03	20.86	21.32	supplies
Antin-David_Complete_Seminar_University-Buffalo_3-27-03	21.32	21.58	have
Antin-David_Complete_Seminar_University-Buffalo_3-27-03	21.58	21.68	to
Antin-David_Complete_Seminar_University-Buffalo_3-27-03	21.68	21.82	go
Antin-David_Complete_Seminar_University-Buffalo_3-27-03	21.82	22.0	into,
Antin-David_Complete_Seminar_University-Buffalo_3-27-03	22.14	22.22	you
Antin-David_Complete_Seminar_University-Buffalo_3-27-03	22.22	22.28	know,
Antin-David_Complete_Seminar_University-Buffalo_3-27-03	22.34	22.52	high
Antin-David_Complete_Seminar_University-Buffalo_3-27-03	22.52	23.0	-tech
Antin-David_Complete_Seminar_University-Buffalo_3-27-03	23.0	23.3	wars
Antin-David_Complete_Seminar_University-Buffalo_3-27-03	23.3	23.78	require
Antin-David_Complete_Seminar_University-Buffalo_3-27-03	23.78	25.36	freight.
Antin-David_Complete_Seminar_University-Buffalo_3-27-03	27.64	27.94	But
Antin-David_Complete_Seminar_University-Buffalo_3-27-03	27.94	28.2	you
Antin-David_Complete_Seminar_University-Buffalo_3-27-03	28.2	28.34	could
Antin-David_Complete_Seminar_University-Buffalo_3-27-03	28.34	28.46	have,
Antin-David_Complete_Seminar_University-Buffalo_3-27-03	28.54	28.64	I
Antin-David_Complete_Seminar_University-Buffalo_3-27-03	28.64	28.7	mean,
Antin-David_Complete_Seminar_University-Buffalo_3-27-03	28.82	28.88	I
Antin-David_Complete_Seminar_University-Buffalo_3-27-03	28.88	29.02	could
Antin-David_Complete_Seminar_University-Buffalo_3-27-03	29.02	29.1	have
Antin-David_Complete_Seminar_University-Buffalo_3-27-03	29.1	29.24	run
Antin-David_Complete_Seminar_University-Buffalo_3-27-03	29.24	29.36	a
Antin-David_Complete_Seminar_University-Buffalo_3-27-03	29.36	29.54	news
Antin-David_Complete_Seminar_University-Buffalo_3-27-03	29.54	29.9	program
Antin-David_Complete_Seminar_University-Buffalo_3-27-03	29.9	30.12	in
Antin-David_Complete_Seminar_University-Buffalo_3-27-03	30.12	30.26	here
Antin-David_Complete_Seminar_University-Buffalo_3-27-03	30.26	30.38	and
Antin-David_Complete_Seminar_University-Buffalo_3-27-03	30.38	30.48	in
Antin-David_Complete_Seminar_University-Buffalo_3-27-03	30.48	30.62	20
Antin-David_Complete_Seminar_University-Buffalo_3-27-03	30.62	30.9	minutes
Antin-David_Complete_Seminar_University-Buffalo_3-27-03	30.9	31.06	I
Antin-David_Complete_Seminar_University-Buffalo_3-27-03	31.06	31.2	could
Antin-David_Complete_Seminar_University-Buffalo_3-27-03	31.2	31.3	have
Antin-David_Complete_Seminar_University-Buffalo_3-27-03	31.3	31.62	produced
Antin-David_Complete_Seminar_University-Buffalo_3-27-03	31.62	31.82	an
Antin-David_Complete_Seminar_University-Buffalo_3-27-03	31.82	32.26	absolutely
Antin-David_Complete_Seminar_University-Buffalo_3-27-03	32.26	32.78	clear,
Antin-David_Complete_Seminar_University-Buffalo_3-27-03	32.96	33.36	articulate
Antin-David_Complete_Seminar_University-Buffalo_3-27-03	33.36	33.82	example
Antin-David_Complete_Seminar_University-Buffalo_3-27-03	33.82	34.02	of
Antin-David_Complete_Seminar_University-Buffalo_3-27-03	34.02	34.16	what
Antin-David_Complete_Seminar_University-Buffalo_3-27-03	34.16	34.3	we
Antin-David_Complete_Seminar_University-Buffalo_3-27-03	34.3	34.44	knew
Antin-David_Complete_Seminar_University-Buffalo_3-27-03	34.44	34.58	and
Antin-David_Complete_Seminar_University-Buffalo_3-27-03	34.58	34.7	what
Antin-David_Complete_Seminar_University-Buffalo_3-27-03	34.7	34.84	we
Antin-David_Complete_Seminar_University-Buffalo_3-27-03	34.84	35.1	didn't
Antin-David_Complete_Seminar_University-Buffalo_3-27-03	35.1	35.3	know
