file	beg	end	text	speaker	section
Moxley-Jennifer_Complete-Recording_Segue-Ear-Inn_NYC_4-27-96	0.275	2.036	She answered as ((though)) she was saying,	Subject	
Moxley-Jennifer_Complete-Recording_Segue-Ear-Inn_NYC_4-27-96	2.652	3.891	Is something the matter?	Subject	
Moxley-Jennifer_Complete-Recording_Segue-Ear-Inn_NYC_4-27-96	4.91	7.421	Of course, ((the last minute revisions said))	Subject	
Moxley-Jennifer_Complete-Recording_Segue-Ear-Inn_NYC_4-27-96	7.905	16.68	Of course if you ((~A if you have an)) imaginative memory= memory, I may be creating a clearer picture of ((Helena)) than I actually saw, or perhaps even overstating my first impression of her	Subject	
Moxley-Jennifer_Complete-Recording_Segue-Ear-Inn_NYC_4-27-96	17.008	26.324	That it means that over the course of my life, I've encountered certain faces that unlike the ever millions that pass by form a clear and permanent image in my mind	Subject	
Moxley-Jennifer_Complete-Recording_Segue-Ear-Inn_NYC_4-27-96	26.71	33.934	A few such faces blind the people who ((I)) only met once, others to strangers and then of course still others to ((my)) closest friends	Subject	
Moxley-Jennifer_Complete-Recording_Segue-Ear-Inn_NYC_4-27-96	34.526	41.391	I can still see ((Helena's)) face as though she were sitting right here in front of me questioning me with the look she wore so often	Subject	
Moxley-Jennifer_Complete-Recording_Segue-Ear-Inn_NYC_4-27-96	41.823	46.612	I never saw this look, nor the essence of her face captured successfully in a photograph	Subject	
Moxley-Jennifer_Complete-Recording_Segue-Ear-Inn_NYC_4-27-96	46.98	49.941	((so)) it was her movements and changes that made her remarkable	Subject	
Moxley-Jennifer_Complete-Recording_Segue-Ear-Inn_NYC_4-27-96	50.707	56.166	She was, it turned out, exquisitely dependent on the transient energy of inanimate life	Subject	
Moxley-Jennifer_Complete-Recording_Segue-Ear-Inn_NYC_4-27-96	56.539	58.695	whether I knew this the first afternoon #	Subject	
Moxley-Jennifer_Complete-Recording_Segue-Ear-Inn_NYC_4-27-96	59.275	65.102	whether I knew the first aft- # that first afternoon she would soon inspire me to great imaginary acts of life was unimportant	Subject	
Moxley-Jennifer_Complete-Recording_Segue-Ear-Inn_NYC_4-27-96	65.56	72.768	For in the realm of the possible ideas are unstable and the only comfort ((is finally you believe that they are)) true	Subject	
Moxley-Jennifer_Complete-Recording_Segue-Ear-Inn_NYC_4-27-96	76.316	81.694	Helena's faraway demeanor without is somewhat present even when the plums were under discussion	Subject	
Moxley-Jennifer_Complete-Recording_Segue-Ear-Inn_NYC_4-27-96	83.457	89.721	The ((bling)) she brought to class were complex enough to send the rest of us into an unusually lengthy if ((filled)) silence	Subject	
Moxley-Jennifer_Complete-Recording_Segue-Ear-Inn_NYC_4-27-96	91.059	97.419	She finds these poems, usually ten to fifteen lines long, looked clustered and smeared in their small Xeroxed typewriter face	Subject	
Moxley-Jennifer_Complete-Recording_Segue-Ear-Inn_NYC_4-27-96	97.923	101.896	She signed an ((~MPN)) as though she were a ship, ~H ~M Bennett.	Subject	
Moxley-Jennifer_Complete-Recording_Segue-Ear-Inn_NYC_4-27-96	102.614	110.589	She had a peculiar vocabulary and sense of poetic narrative, and as she read I thought I could hear each word weave and twist into the lines and stanzas	Subject	
Moxley-Jennifer_Complete-Recording_Segue-Ear-Inn_NYC_4-27-96	111.219	111.755	Quote	Subject	
Moxley-Jennifer_Complete-Recording_Segue-Ear-Inn_NYC_4-27-96	112.561	118.97	scratched ((meek)) spread in sullen ears and windowed, thy hands turned merely brittle and to bone	Subject	
Moxley-Jennifer_Complete-Recording_Segue-Ear-Inn_NYC_4-27-96	119.676	124.224	We ((glance)) in the poem Odin's ((wovens)) are the very ((fits)) that struck me	Subject	
Moxley-Jennifer_Complete-Recording_Segue-Ear-Inn_NYC_4-27-96	124.545	131.307	The hard sounds of the brutal beaks and bones mixed with the mythological illusion sent my mind into a whir	Subject	
Moxley-Jennifer_Complete-Recording_Segue-Ear-Inn_NYC_4-27-96	131.858	133.111	((When)) later I looked up	Subject	
Moxley-Jennifer_Complete-Recording_Segue-Ear-Inn_NYC_4-27-96	133.506	138.371	Odin comma ravens of, in my ~E ~S Hamilton, I found this	Subject	
Moxley-Jennifer_Complete-Recording_Segue-Ear-Inn_NYC_4-27-96	138.92	143.814	The Norse god Odin, unlike Zeus, is a strange and a sullen figure, always aloof	Subject	
Moxley-Jennifer_Complete-Recording_Segue-Ear-Inn_NYC_4-27-96	144.329	151.174	On his shoulders perched two ravens. Each day they fly through the world to bring back # bringing back the news of men	Subject	
Moxley-Jennifer_Complete-Recording_Segue-Ear-Inn_NYC_4-27-96	151.602	154.549	One raven is named Thought and the other Memory	Subject	
Moxley-Jennifer_Complete-Recording_Segue-Ear-Inn_NYC_4-27-96	155.666	163.554	The implications of such discoveries made a little wedge in my psyche, a tiny aperture through which uncharted thoughts had a new point of entry	Subject	
Moxley-Jennifer_Complete-Recording_Segue-Ear-Inn_NYC_4-27-96	164.045	173.948	On this recent threshold sat ((a)) memory, met up with ((the)) barely distinguishable ((mouths)) of desire and from then on worked together to perceive this new beauty of created forms	Subject	
Moxley-Jennifer_Complete-Recording_Segue-Ear-Inn_NYC_4-27-96	174.435	181.789	The possibility that poems could be much more than inner feelings began to unfold in my mind and I saw the poem as a ((made thing))	Subject	
Moxley-Jennifer_Complete-Recording_Segue-Ear-Inn_NYC_4-27-96	182.073	185.66	saw that and constructed no less than the pattern of intricate tapestry	Subject	
Moxley-Jennifer_Complete-Recording_Segue-Ear-Inn_NYC_4-27-96	186.263	189.095	As we ((hold in my vase)) this snowflake	Subject	
Moxley-Jennifer_Complete-Recording_Segue-Ear-Inn_NYC_4-27-96	189.864	196.547	I was stunned with disbelief to look down and see out of one frozen drop the most perfect crystalline form	Subject	
Moxley-Jennifer_Complete-Recording_Segue-Ear-Inn_NYC_4-27-96	197.349	208.659	So my new understanding gave me the clarity I needed to write a poem as Robert Duncan wrote so beautifully but ((of)) not ((mine,)) but of a ((made)) place that is mine, it is so near to the heart	Subject	
Moxley-Jennifer_Complete-Recording_Segue-Ear-Inn_NYC_4-27-96	210.547	211.018	{NSV}	Subject	
Moxley-Jennifer_Complete-Recording_Segue-Ear-Inn_NYC_4-27-96	211.849	214.612	Think I should skip just to the front? No, okay.	Subject	
Moxley-Jennifer_Complete-Recording_Segue-Ear-Inn_NYC_4-27-96	215.32	215.895	um	Subject	
Moxley-Jennifer_Complete-Recording_Segue-Ear-Inn_NYC_4-27-96	216.259	220.841	{lipsmack} You can tell I'm from California, that like I just had my first snowflake very recently in my life. {breath}	Subject	
Moxley-Jennifer_Complete-Recording_Segue-Ear-Inn_NYC_4-27-96	222.639	228.47	This is from the second chapter, it's called um Echo ((Ooh)) which is the secret of written intelligence.	Subject	
Moxley-Jennifer_Complete-Recording_Segue-Ear-Inn_NYC_4-27-96	230.711	233.288	In this I'm jumping back into um my past	Subject	
Moxley-Jennifer_Complete-Recording_Segue-Ear-Inn_NYC_4-27-96	234.29	241.686	I discovered the duplicitous nature of language quite late in my life, ((from in)) my family correct English was practically an ethical ideal	Subject	
Moxley-Jennifer_Complete-Recording_Segue-Ear-Inn_NYC_4-27-96	242.372	255.993	My mother in law to brother Robert had a fixed idea about words, which were either right or wrong, correctly used or unforgivably misused. Using a strict principle, they created elaborate vocabulary contests to try and catch each other in the middle of an unintentional malapropism	Subject	
Moxley-Jennifer_Complete-Recording_Segue-Ear-Inn_NYC_4-27-96	256.387	261.71	They ((spout)) out obscure words and used cleverly planned conversation topics to showcase these words	Subject	
Moxley-Jennifer_Complete-Recording_Segue-Ear-Inn_NYC_4-27-96	262.464	265.512	My mother would trap my brother, and then he would return the favor	Subject	
Moxley-Jennifer_Complete-Recording_Segue-Ear-Inn_NYC_4-27-96	265.841	272.0	As I watched from the sidelines, the two of them turned a large vocabulary into a finely honed tool of intimidation	Subject	
Moxley-Jennifer_Complete-Recording_Segue-Ear-Inn_NYC_4-27-96	272.402	281.836	This vocabulary weapon was compounded when my brother Robert obtained a ((two wrong and said)) the condensed Oxford English Dictionary through a mail order book club offer	Subject	
Moxley-Jennifer_Complete-Recording_Segue-Ear-Inn_NYC_4-27-96	282.785	287.55	It came in a blue cardboard casing with a magnifying glass ((in)) a long thin ((drawer)) at the top	Subject	
Moxley-Jennifer_Complete-Recording_Segue-Ear-Inn_NYC_4-27-96	288.0	295.465	He would sit at our dining room table underneath the wrought iron Mexican chandelier and scan slowly= slowly down its pages, chuckling to himself	Subject	
Moxley-Jennifer_Complete-Recording_Segue-Ear-Inn_NYC_4-27-96	296.788	300.181	{laugh} Then he'd get my attention by saying,	Subject	
Moxley-Jennifer_Complete-Recording_Segue-Ear-Inn_NYC_4-27-96	300.548	301.22	Hey Jenn,	Subject	
Moxley-Jennifer_Complete-Recording_Segue-Ear-Inn_NYC_4-27-96	301.689	304.979	A response to which would inevitably unleash a question such as,	Subject	
Moxley-Jennifer_Complete-Recording_Segue-Ear-Inn_NYC_4-27-96	305.4	307.339	Are you a nymphomaniac	Subject	
Moxley-Jennifer_Complete-Recording_Segue-Ear-Inn_NYC_4-27-96	307.973	315.326	It was a continuation of a relationship based on his knowledge and my lack of it that had begun on the day I was born five years younger than he	Subject	
Moxley-Jennifer_Complete-Recording_Segue-Ear-Inn_NYC_4-27-96	315.873	320.144	I was about nine when I finally caught on to the perils of this information imbalance	Subject	
Moxley-Jennifer_Complete-Recording_Segue-Ear-Inn_NYC_4-27-96	320.546	331.001	Robert had decided to tell me that an orgy was a party where little girls play jacks. I # {laugh} and I got into big trouble when I asked my mother if ((uh)) my friends and I could have an orgy on the kitchen floor.	Subject	
Moxley-Jennifer_Complete-Recording_Segue-Ear-Inn_NYC_4-27-96	332.559	335.576	Growing up thinking language was full of booby traps	Subject	
Moxley-Jennifer_Complete-Recording_Segue-Ear-Inn_NYC_4-27-96	336.068	344.311	set for the express purpose of revealing my ignorance, like a dress that could at any minute fall away. One would think it unlikely I would eventually become a poet	Subject	
Moxley-Jennifer_Complete-Recording_Segue-Ear-Inn_NYC_4-27-96	344.737	358.208	I suppose I must've become addicted to the unique humiliation and constant insecurity, actually going to love the unstable ground of lingual trap doors. Or at least I found the method of navigating through them sufficiently fascinating to outweigh the peril	Subject	
Moxley-Jennifer_Complete-Recording_Segue-Ear-Inn_NYC_4-27-96	359.275	364.767	In junior high school, my friend Katie and I cofounded a Good Word Club, of which we were the only members	Subject	
Moxley-Jennifer_Complete-Recording_Segue-Ear-Inn_NYC_4-27-96	365.199	378.712	We never clearly defined what quality made a word good, beyond our simple ((gubernatorally preference there how the word sounded was however a huge factor, and the word good was accepted into our pantheon and all the ensuing privileges of favored status.))	Subject	
