file	beg	end	text	speaker
Kyger-Creeley-Hewlett_Complete-Discussion_Location-Unknown_06-19-72	0.23	0.39	we'd	1
Kyger-Creeley-Hewlett_Complete-Discussion_Location-Unknown_06-19-72	0.83	1.23	love	1
Kyger-Creeley-Hewlett_Complete-Discussion_Location-Unknown_06-19-72	1.43	1.59	to	1
Kyger-Creeley-Hewlett_Complete-Discussion_Location-Unknown_06-19-72	2.47	2.71	get	1
Kyger-Creeley-Hewlett_Complete-Discussion_Location-Unknown_06-19-72	2.87	3.43	goldenberg	1
Kyger-Creeley-Hewlett_Complete-Discussion_Location-Unknown_06-19-72	3.43	3.59	to	1
Kyger-Creeley-Hewlett_Complete-Discussion_Location-Unknown_06-19-72	3.59	3.79	make	1
Kyger-Creeley-Hewlett_Complete-Discussion_Location-Unknown_06-19-72	3.79	4.03	this	1
Kyger-Creeley-Hewlett_Complete-Discussion_Location-Unknown_06-19-72	7.91	8.03	you	2
Kyger-Creeley-Hewlett_Complete-Discussion_Location-Unknown_06-19-72	8.03	8.23	know	2
Kyger-Creeley-Hewlett_Complete-Discussion_Location-Unknown_06-19-72	8.23	8.43	like	2
Kyger-Creeley-Hewlett_Complete-Discussion_Location-Unknown_06-19-72	8.43	8.71	we	2
Kyger-Creeley-Hewlett_Complete-Discussion_Location-Unknown_06-19-72	8.79	8.83	i	2
Kyger-Creeley-Hewlett_Complete-Discussion_Location-Unknown_06-19-72	8.87	9.23	hope	2
Kyger-Creeley-Hewlett_Complete-Discussion_Location-Unknown_06-19-72	9.23	9.63	somebody	2
Kyger-Creeley-Hewlett_Complete-Discussion_Location-Unknown_06-19-72	9.63	9.67	's	2
Kyger-Creeley-Hewlett_Complete-Discussion_Location-Unknown_06-19-72	9.67	9.87	going	2
Kyger-Creeley-Hewlett_Complete-Discussion_Location-Unknown_06-19-72	9.87	9.95	to	2
Kyger-Creeley-Hewlett_Complete-Discussion_Location-Unknown_06-19-72	9.95	10.23	really	2
Kyger-Creeley-Hewlett_Complete-Discussion_Location-Unknown_06-19-72	10.23	10.47	think	2
Kyger-Creeley-Hewlett_Complete-Discussion_Location-Unknown_06-19-72	10.47	10.67	about	2
Kyger-Creeley-Hewlett_Complete-Discussion_Location-Unknown_06-19-72	10.67	10.87	the	2
