file	beg	end	text	speaker
Howe-Susan_Complete-Reading_Segue-Series_Ear-Inn_4-12-86	0.81	1.389	Mother.	spk_0
Howe-Susan_Complete-Reading_Segue-Series_Ear-Inn_4-12-86	1.399	1.59	My	spk_0
Howe-Susan_Complete-Reading_Segue-Series_Ear-Inn_4-12-86	1.6	2.059	name,	spk_0
Howe-Susan_Complete-Reading_Segue-Series_Ear-Inn_4-12-86	3.13	3.549	pen	spk_0
Howe-Susan_Complete-Reading_Segue-Series_Ear-Inn_4-12-86	3.559	3.809	eyed	spk_0
Howe-Susan_Complete-Reading_Segue-Series_Ear-Inn_4-12-86	3.819	4.44	Children.	spk_0
Howe-Susan_Complete-Reading_Segue-Series_Ear-Inn_4-12-86	5.76	6.449	Sundial	spk_0
Howe-Susan_Complete-Reading_Segue-Series_Ear-Inn_4-12-86	6.55	7.329	lair	spk_0
Howe-Susan_Complete-Reading_Segue-Series_Ear-Inn_4-12-86	7.469	8.02	from	spk_0
Howe-Susan_Complete-Reading_Segue-Series_Ear-Inn_4-12-86	8.029	8.439	mortal	spk_0
Howe-Susan_Complete-Reading_Segue-Series_Ear-Inn_4-12-86	8.449	9.05	fear	spk_0
Howe-Susan_Complete-Reading_Segue-Series_Ear-Inn_4-12-86	10.89	11.609	hood,	spk_0
Howe-Susan_Complete-Reading_Segue-Series_Ear-Inn_4-12-86	11.619	12.479	Peru.	spk_0
Howe-Susan_Complete-Reading_Segue-Series_Ear-Inn_4-12-86	13.93	14.659	Prison	spk_0
Howe-Susan_Complete-Reading_Segue-Series_Ear-Inn_4-12-86	14.67	15.189	stone	spk_0
Howe-Susan_Complete-Reading_Segue-Series_Ear-Inn_4-12-86	15.199	15.909	guardian	spk_0
Howe-Susan_Complete-Reading_Segue-Series_Ear-Inn_4-12-86	17.02	17.329	burden	spk_0
Howe-Susan_Complete-Reading_Segue-Series_Ear-Inn_4-12-86	17.34	17.549	of	spk_0
Howe-Susan_Complete-Reading_Segue-Series_Ear-Inn_4-12-86	17.559	18.469	resurrection.	spk_0
Howe-Susan_Complete-Reading_Segue-Series_Ear-Inn_4-12-86	19.889	20.79	Fictitious	spk_0
Howe-Susan_Complete-Reading_Segue-Series_Ear-Inn_4-12-86	20.799	21.549	steeps	spk_0
Howe-Susan_Complete-Reading_Segue-Series_Ear-Inn_4-12-86	22.729	23.43	cries	spk_0
Howe-Susan_Complete-Reading_Segue-Series_Ear-Inn_4-12-86	23.44	23.829	open	spk_0
Howe-Susan_Complete-Reading_Segue-Series_Ear-Inn_4-12-86	23.84	23.94	to	spk_0
Howe-Susan_Complete-Reading_Segue-Series_Ear-Inn_4-12-86	23.95	24.03	the	spk_0
Howe-Susan_Complete-Reading_Segue-Series_Ear-Inn_4-12-86	24.04	24.559	words	spk_0
Howe-Susan_Complete-Reading_Segue-Series_Ear-Inn_4-12-86	24.569	25.319	inside	spk_0
Howe-Susan_Complete-Reading_Segue-Series_Ear-Inn_4-12-86	25.329	25.639	them	spk_0
Howe-Susan_Complete-Reading_Segue-Series_Ear-Inn_4-12-86	26.76	27.389	cries	spk_0
Howe-Susan_Complete-Reading_Segue-Series_Ear-Inn_4-12-86	27.399	27.84	hurled	spk_0
Howe-Susan_Complete-Reading_Segue-Series_Ear-Inn_4-12-86	27.85	27.979	through	spk_0
Howe-Susan_Complete-Reading_Segue-Series_Ear-Inn_4-12-86	27.989	28.11	the	spk_0
Howe-Susan_Complete-Reading_Segue-Series_Ear-Inn_4-12-86	28.12	28.889	woods.	spk_0
Howe-Susan_Complete-Reading_Segue-Series_Ear-Inn_4-12-86	29.84	29.87	Ok.	spk_0
Howe-Susan_Complete-Reading_Segue-Series_Ear-Inn_4-12-86	32.43	33.459	Threadbare.	spk_0
Howe-Susan_Complete-Reading_Segue-Series_Ear-Inn_4-12-86	33.47	34.189	Evergreen	spk_0
Howe-Susan_Complete-Reading_Segue-Series_Ear-Inn_4-12-86	34.2	34.86	season,	spk_0
