file	beg	end	text	speaker	section
Wisher-Yolanda_Complete-Recording_8-4-16	0.46	3.628	Cross Ludlow, past the mailbox on the corner,	Subject	
Wisher-Yolanda_Complete-Recording_8-4-16	4.15	7.551	Risque Video, Dino's Pizza and the Emerald Laundromat+.	Subject	
Wisher-Yolanda_Complete-Recording_8-4-16	8.302	11.196	The fruit trucks tucked into Forty Fourth street on the left,	Subject	
Wisher-Yolanda_Complete-Recording_8-4-16	11.82	15.072	house eyes shut with boards fringes of children.	Subject	
Wisher-Yolanda_Complete-Recording_8-4-16	16.836	19.181	Once we went into a store sunk into the street,	Subject	
Wisher-Yolanda_Complete-Recording_8-4-16	19.538	21.246	owned by a Cambodian woman.	Subject	
Wisher-Yolanda_Complete-Recording_8-4-16	21.753	25.427	She sold everything, from evening gowns to soup.	Subject	
Wisher-Yolanda_Complete-Recording_8-4-16	26.312	33.261	Over to Walnut and Forty Fifth, where the Muslim cat sells this chicken wrapped in pita, draped in cucumber sauce.	Subject	
Wisher-Yolanda_Complete-Recording_8-4-16	33.813	37.889	The pregnant woman behind the counter writes our order out in Arabic.	Subject	
Wisher-Yolanda_Complete-Recording_8-4-16	38.499	44.11	We grab a juice from the freezer, some chips, eye the bean and sweet potato pies	Subject	
Wisher-Yolanda_Complete-Recording_8-4-16	45.522	49.171	Back into the hot breath of West Philly, sun is setting.	Subject	
Wisher-Yolanda_Complete-Recording_8-4-16	49.981	53.744	The sky is smeared squash, tangerines in a glaze.	Subject	
Wisher-Yolanda_Complete-Recording_8-4-16	54.337	56.601	Three girls and one boy jump double dutch.	Subject	
Wisher-Yolanda_Complete-Recording_8-4-16	57.04	60.51	A white man hustles from the video store with a black plastic bag.	Subject	
Wisher-Yolanda_Complete-Recording_8-4-16	61.331	65.0	We look for money in the street, steal flowers from the church lawn.	Subject	
Wisher-Yolanda_Complete-Recording_8-4-16	65.665	68.093	The shit stain from the wino is still on our step.	Subject	
Wisher-Yolanda_Complete-Recording_8-4-16	68.599	70.89	Mister Jim is washing a car for cash.	Subject	
Wisher-Yolanda_Complete-Recording_8-4-16	71.371	73.84	John is cleaning his rims to Buju Banton.	Subject	
Wisher-Yolanda_Complete-Recording_8-4-16	74.376	77.682	Noel is talking sweetly to the big blue eyed woman.	Subject	
Wisher-Yolanda_Complete-Recording_8-4-16	78.37	80.366	Linda, on her way to the restaurant.	Subject	
Wisher-Yolanda_Complete-Recording_8-4-16	81.062	82.715	The sister in the wheelchair	Subject	
Wisher-Yolanda_Complete-Recording_8-4-16	83.12	84.999	buzzes by with her headphones on.	Subject	
Wisher-Yolanda_Complete-Recording_8-4-16	87.142	87.862	One night,	Subject	
Wisher-Yolanda_Complete-Recording_8-4-16	88.162	90.336	a man was shot and killed on this block,	Subject	
Wisher-Yolanda_Complete-Recording_8-4-16	90.809	92.805	right outside our thick wood door.	Subject	
Wisher-Yolanda_Complete-Recording_8-4-16	93.591	94.626	But not today.	Subject	
Wisher-Yolanda_Complete-Recording_8-4-16	95.491	98.886	Today is one of those days to come home from walking in the world,	Subject	
Wisher-Yolanda_Complete-Recording_8-4-16	99.503	100.999	leave the windows open	Subject	
Wisher-Yolanda_Complete-Recording_8-4-16	101.417	103.344	start a pot of black beans.	Subject	
Wisher-Yolanda_Complete-Recording_8-4-16	103.745	105.611	Smoke some Alice Coltraine.	Subject	
Wisher-Yolanda_Complete-Recording_8-4-16	106.372	107.504	Cut up some fruit,	Subject	
Wisher-Yolanda_Complete-Recording_8-4-16	107.902	109.068	toenails.	Subject	
Wisher-Yolanda_Complete-Recording_8-4-16	109.603	110.993	Hold on to the moment	Subject	
Wisher-Yolanda_Complete-Recording_8-4-16	111.466	112.536	as if time	Subject	
Wisher-Yolanda_Complete-Recording_8-4-16	112.913	114.555	is taking your blood pressure.	Subject	
Wisher-Yolanda_Complete-Recording_8-4-16	122.966	124.975	Lullaby at Seven Months	Subject	
Wisher-Yolanda_Complete-Recording_8-4-16	127.239	128.549	I have this feeling	Subject	
Wisher-Yolanda_Complete-Recording_8-4-16	129.115	132.119	that my heart will break from the knowing of you	Subject	
Wisher-Yolanda_Complete-Recording_8-4-16	133.114	137.036	so every day I will hold myself to the fire of love	Subject	
Wisher-Yolanda_Complete-Recording_8-4-16	137.776	140.376	and sing you the lullabies of my dreams	Subject	
Wisher-Yolanda_Complete-Recording_8-4-16	141.343	142.998	and even as I hold you	Subject	
Wisher-Yolanda_Complete-Recording_8-4-16	143.554	147.23	I will divine and fashion my heart for the letting go	Subject	
Wisher-Yolanda_Complete-Recording_8-4-16	148.043	150.272	imagining space without your scent	Subject	
Wisher-Yolanda_Complete-Recording_8-4-16	150.711	151.671	your newness	Subject	
Wisher-Yolanda_Complete-Recording_8-4-16	152.711	158.383	I will send the ashes of all the ghosts who threatened our feast to the winds that run counter	Subject	
Wisher-Yolanda_Complete-Recording_8-4-16	159.423	161.028	and I have this feeling	Subject	
Wisher-Yolanda_Complete-Recording_8-4-16	161.728	163.813	that the deepest cracks in my heart	Subject	
Wisher-Yolanda_Complete-Recording_8-4-16	164.519	166.083	will be cemented with joy	Subject	
Wisher-Yolanda_Complete-Recording_8-4-16	172.924	174.598	First Poem at Forty	Subject	
Wisher-Yolanda_Complete-Recording_8-4-16	176.854	178.199	Today, I'm forty	Subject	
Wisher-Yolanda_Complete-Recording_8-4-16	179.001	180.524	The years have added up	Subject	
Wisher-Yolanda_Complete-Recording_8-4-16	181.07	183.896	Virginia Slims sayings pepper the air	Subject	
Wisher-Yolanda_Complete-Recording_8-4-16	184.623	187.476	I wear my womanhood like a ((shearling)) on the subway	Subject	
Wisher-Yolanda_Complete-Recording_8-4-16	187.887	191.394	royal minks in the bathroom of Suburban Station	Subject	
Wisher-Yolanda_Complete-Recording_8-4-16	192.484	193.492	I am here	Subject	
Wisher-Yolanda_Complete-Recording_8-4-16	193.993	195.384	I am still here	Subject	
Wisher-Yolanda_Complete-Recording_8-4-16	195.898	198.306	I have not been broken beyond repair	Subject	
Wisher-Yolanda_Complete-Recording_8-4-16	199.013	203.803	I am purple onion, red lemon, lead paint on the windowsill 	Subject	
Wisher-Yolanda_Complete-Recording_8-4-16	204.221	205.963	The web between toes	Subject	
Wisher-Yolanda_Complete-Recording_8-4-16	206.518	212.133	I want to write ((bishop)) poems about fish for the next forty years, and who will stop me?	Subject	
Wisher-Yolanda_Complete-Recording_8-4-16	212.53	214.157	Who will stand in my way?	Subject	
Wisher-Yolanda_Complete-Recording_8-4-16	214.675	220.9	Certainly not the ghost who visit in my sleep. Certainly not some half formed girl of my nightmares.	Subject	
Wisher-Yolanda_Complete-Recording_8-4-16	221.32	222.178	Only me	Subject	
Wisher-Yolanda_Complete-Recording_8-4-16	222.974	230.417	I am the grind ((in)) the force. I am the turning wheel, the luminous walk of water along the river of a curb	Subject	
Wisher-Yolanda_Complete-Recording_8-4-16	230.98	235.321	I'm ((Yvonda's)) daughter, and better and cold for it	Subject	
Wisher-Yolanda_Complete-Recording_8-4-16	236.177	240.223	The grandfather clocks are chanting songs about my second handedness,	Subject	
