file	beg	end	text	speaker
Levy-Andrew_Complete-Recording_Segue-Ear-Inn_NYC_3-9-96	0.3	0.52	stay	0
Levy-Andrew_Complete-Recording_Segue-Ear-Inn_NYC_3-9-96	0.52	0.82	away	0
Levy-Andrew_Complete-Recording_Segue-Ear-Inn_NYC_3-9-96	0.82	1.0	from	0
Levy-Andrew_Complete-Recording_Segue-Ear-Inn_NYC_3-9-96	1.0	1.92	it	0
Levy-Andrew_Complete-Recording_Segue-Ear-Inn_NYC_3-9-96	1.92	2.12	it's	0
Levy-Andrew_Complete-Recording_Segue-Ear-Inn_NYC_3-9-96	2.12	2.36	name	0
Levy-Andrew_Complete-Recording_Segue-Ear-Inn_NYC_3-9-96	2.36	2.64	moves	0
Levy-Andrew_Complete-Recording_Segue-Ear-Inn_NYC_3-9-96	2.64	2.94	on	0
Levy-Andrew_Complete-Recording_Segue-Ear-Inn_NYC_3-9-96	2.94	4.3	untranslatable	0
Levy-Andrew_Complete-Recording_Segue-Ear-Inn_NYC_3-9-96	4.3	5.04	sensuous	0
Levy-Andrew_Complete-Recording_Segue-Ear-Inn_NYC_3-9-96	5.04	5.46	charm	0
Levy-Andrew_Complete-Recording_Segue-Ear-Inn_NYC_3-9-96	5.46	5.58	to	0
Levy-Andrew_Complete-Recording_Segue-Ear-Inn_NYC_3-9-96	5.58	5.7	be	0
Levy-Andrew_Complete-Recording_Segue-Ear-Inn_NYC_3-9-96	5.7	6.04	neither	0
Levy-Andrew_Complete-Recording_Segue-Ear-Inn_NYC_3-9-96	6.04	6.5	poor	0
Levy-Andrew_Complete-Recording_Segue-Ear-Inn_NYC_3-9-96	6.5	6.76	nor	0
Levy-Andrew_Complete-Recording_Segue-Ear-Inn_NYC_3-9-96	6.76	7.6	rich	0
Levy-Andrew_Complete-Recording_Segue-Ear-Inn_NYC_3-9-96	7.6	7.8	the	0
Levy-Andrew_Complete-Recording_Segue-Ear-Inn_NYC_3-9-96	7.8	8.24	outline	0
Levy-Andrew_Complete-Recording_Segue-Ear-Inn_NYC_3-9-96	8.24	8.34	of	0
Levy-Andrew_Complete-Recording_Segue-Ear-Inn_NYC_3-9-96	8.34	8.42	the	0
Levy-Andrew_Complete-Recording_Segue-Ear-Inn_NYC_3-9-96	8.5	8.9	lifted	0
Levy-Andrew_Complete-Recording_Segue-Ear-Inn_NYC_3-9-96	8.9	9.72	finger	0
Levy-Andrew_Complete-Recording_Segue-Ear-Inn_NYC_3-9-96	9.72	9.92	his	0
Levy-Andrew_Complete-Recording_Segue-Ear-Inn_NYC_3-9-96	9.92	10.2	most	0
Levy-Andrew_Complete-Recording_Segue-Ear-Inn_NYC_3-9-96	10.2	10.54	recent	0
Levy-Andrew_Complete-Recording_Segue-Ear-Inn_NYC_3-9-96	10.54	11.18	critics	0
Levy-Andrew_Complete-Recording_Segue-Ear-Inn_NYC_3-9-96	11.18	11.38	are	0
Levy-Andrew_Complete-Recording_Segue-Ear-Inn_NYC_3-9-96	11.38	12.66	tender	0
Levy-Andrew_Complete-Recording_Segue-Ear-Inn_NYC_3-9-96	12.66	12.88	no	0
Levy-Andrew_Complete-Recording_Segue-Ear-Inn_NYC_3-9-96	12.88	13.36	one	0
Levy-Andrew_Complete-Recording_Segue-Ear-Inn_NYC_3-9-96	13.36	13.62	will	0
Levy-Andrew_Complete-Recording_Segue-Ear-Inn_NYC_3-9-96	13.62	13.98	purchase	0
Levy-Andrew_Complete-Recording_Segue-Ear-Inn_NYC_3-9-96	13.98	18.4	it	0
Levy-Andrew_Complete-Recording_Segue-Ear-Inn_NYC_3-9-96	18.4	18.54	a	0
Levy-Andrew_Complete-Recording_Segue-Ear-Inn_NYC_3-9-96	18.54	18.84	pure	0
Levy-Andrew_Complete-Recording_Segue-Ear-Inn_NYC_3-9-96	18.84	21.1	land	0
Levy-Andrew_Complete-Recording_Segue-Ear-Inn_NYC_3-9-96	21.1	21.28	when	0
Levy-Andrew_Complete-Recording_Segue-Ear-Inn_NYC_3-9-96	21.28	21.42	the	0
Levy-Andrew_Complete-Recording_Segue-Ear-Inn_NYC_3-9-96	21.42	21.78	stars	0
Levy-Andrew_Complete-Recording_Segue-Ear-Inn_NYC_3-9-96	21.78	22.1	begin	0
Levy-Andrew_Complete-Recording_Segue-Ear-Inn_NYC_3-9-96	22.1	22.24	to	0
Levy-Andrew_Complete-Recording_Segue-Ear-Inn_NYC_3-9-96	22.24	23.64	fall	0
Levy-Andrew_Complete-Recording_Segue-Ear-Inn_NYC_3-9-96	23.64	23.92	down	0
Levy-Andrew_Complete-Recording_Segue-Ear-Inn_NYC_3-9-96	23.92	24.1	and	0
Levy-Andrew_Complete-Recording_Segue-Ear-Inn_NYC_3-9-96	24.1	24.6	confidence	0
Levy-Andrew_Complete-Recording_Segue-Ear-Inn_NYC_3-9-96	24.6	24.8	is	0
Levy-Andrew_Complete-Recording_Segue-Ear-Inn_NYC_3-9-96	24.8	25.02	bill	0
Levy-Andrew_Complete-Recording_Segue-Ear-Inn_NYC_3-9-96	25.02	25.96	out	0
Levy-Andrew_Complete-Recording_Segue-Ear-Inn_NYC_3-9-96	25.96	26.12	who	0
Levy-Andrew_Complete-Recording_Segue-Ear-Inn_NYC_3-9-96	26.12	26.32	will	0
Levy-Andrew_Complete-Recording_Segue-Ear-Inn_NYC_3-9-96	26.32	26.52	hear	0
Levy-Andrew_Complete-Recording_Segue-Ear-Inn_NYC_3-9-96	26.52	26.66	the	0
Levy-Andrew_Complete-Recording_Segue-Ear-Inn_NYC_3-9-96	26.66	27.06	short	0
Levy-Andrew_Complete-Recording_Segue-Ear-Inn_NYC_3-9-96	27.06	27.22	of	0
Levy-Andrew_Complete-Recording_Segue-Ear-Inn_NYC_3-9-96	27.22	28.7	victory	0
Levy-Andrew_Complete-Recording_Segue-Ear-Inn_NYC_3-9-96	28.7	29.06	pattern	0
Levy-Andrew_Complete-Recording_Segue-Ear-Inn_NYC_3-9-96	29.06	30.14	design	0
Levy-Andrew_Complete-Recording_Segue-Ear-Inn_NYC_3-9-96	30.14	30.28	a	0
Levy-Andrew_Complete-Recording_Segue-Ear-Inn_NYC_3-9-96	30.28	30.64	private	0
Levy-Andrew_Complete-Recording_Segue-Ear-Inn_NYC_3-9-96	30.64	31.06	person	0
Levy-Andrew_Complete-Recording_Segue-Ear-Inn_NYC_3-9-96	31.06	31.46	inside	0
Levy-Andrew_Complete-Recording_Segue-Ear-Inn_NYC_3-9-96	31.46	31.9	lateral	0
Levy-Andrew_Complete-Recording_Segue-Ear-Inn_NYC_3-9-96	31.9	32.74	speech	0
Levy-Andrew_Complete-Recording_Segue-Ear-Inn_NYC_3-9-96	32.74	33.3	immediate	0
Levy-Andrew_Complete-Recording_Segue-Ear-Inn_NYC_3-9-96	33.3	34.08	left	0
Levy-Andrew_Complete-Recording_Segue-Ear-Inn_NYC_3-9-96	34.08	34.32	take	0
Levy-Andrew_Complete-Recording_Segue-Ear-Inn_NYC_3-9-96	34.32	34.48	me	0
Levy-Andrew_Complete-Recording_Segue-Ear-Inn_NYC_3-9-96	34.48	34.68	with	0
Levy-Andrew_Complete-Recording_Segue-Ear-Inn_NYC_3-9-96	34.68	35.32	you	0
Levy-Andrew_Complete-Recording_Segue-Ear-Inn_NYC_3-9-96	35.32	35.6	who	0
