file	beg	end	text	speaker
Howe-Susan_Complete-Reading_Segue-Series_Ear-Inn_4-12-86	1.08	1.48	mother	0
Howe-Susan_Complete-Reading_Segue-Series_Ear-Inn_4-12-86	1.48	1.66	my	0
Howe-Susan_Complete-Reading_Segue-Series_Ear-Inn_4-12-86	1.66	3.34	name	0
Howe-Susan_Complete-Reading_Segue-Series_Ear-Inn_4-12-86	3.34	3.94	piney	0
Howe-Susan_Complete-Reading_Segue-Series_Ear-Inn_4-12-86	3.94	6.12	children	0
Howe-Susan_Complete-Reading_Segue-Series_Ear-Inn_4-12-86	6.12	6.76	sundi	1
Howe-Susan_Complete-Reading_Segue-Series_Ear-Inn_4-12-86	6.76	7.8	layer	1
Howe-Susan_Complete-Reading_Segue-Series_Ear-Inn_4-12-86	7.8	8.06	from	1
Howe-Susan_Complete-Reading_Segue-Series_Ear-Inn_4-12-86	8.06	8.52	mortal	1
Howe-Susan_Complete-Reading_Segue-Series_Ear-Inn_4-12-86	8.52	11.12	fear	1
Howe-Susan_Complete-Reading_Segue-Series_Ear-Inn_4-12-86	11.12	11.84	hood	0
Howe-Susan_Complete-Reading_Segue-Series_Ear-Inn_4-12-86	11.84	14.28	peru	0
Howe-Susan_Complete-Reading_Segue-Series_Ear-Inn_4-12-86	14.28	14.8	prison	1
Howe-Susan_Complete-Reading_Segue-Series_Ear-Inn_4-12-86	14.8	15.28	stone	1
Howe-Susan_Complete-Reading_Segue-Series_Ear-Inn_4-12-86	15.28	17.02	guardian	1
Howe-Susan_Complete-Reading_Segue-Series_Ear-Inn_4-12-86	17.02	17.44	garden	1
Howe-Susan_Complete-Reading_Segue-Series_Ear-Inn_4-12-86	17.44	17.64	of	0
Howe-Susan_Complete-Reading_Segue-Series_Ear-Inn_4-12-86	17.64	20.24	resurrection	0
Howe-Susan_Complete-Reading_Segue-Series_Ear-Inn_4-12-86	20.24	20.94	fictitious	0
Howe-Susan_Complete-Reading_Segue-Series_Ear-Inn_4-12-86	20.94	22.94	deeps	0
Howe-Susan_Complete-Reading_Segue-Series_Ear-Inn_4-12-86	22.94	23.54	cries	0
Howe-Susan_Complete-Reading_Segue-Series_Ear-Inn_4-12-86	23.54	23.88	open	0
Howe-Susan_Complete-Reading_Segue-Series_Ear-Inn_4-12-86	23.88	24.0	to	0
Howe-Susan_Complete-Reading_Segue-Series_Ear-Inn_4-12-86	24.0	24.16	the	1
Howe-Susan_Complete-Reading_Segue-Series_Ear-Inn_4-12-86	24.16	24.7	words	1
Howe-Susan_Complete-Reading_Segue-Series_Ear-Inn_4-12-86	24.7	25.36	inside	1
Howe-Susan_Complete-Reading_Segue-Series_Ear-Inn_4-12-86	25.36	27.0	the	1
Howe-Susan_Complete-Reading_Segue-Series_Ear-Inn_4-12-86	27.0	27.48	cries	0
Howe-Susan_Complete-Reading_Segue-Series_Ear-Inn_4-12-86	27.48	27.84	hurled	0
Howe-Susan_Complete-Reading_Segue-Series_Ear-Inn_4-12-86	27.84	28.08	through	0
Howe-Susan_Complete-Reading_Segue-Series_Ear-Inn_4-12-86	28.08	28.2	the	0
Howe-Susan_Complete-Reading_Segue-Series_Ear-Inn_4-12-86	28.2	32.72	woods	0
Howe-Susan_Complete-Reading_Segue-Series_Ear-Inn_4-12-86	32.72	33.06	thread	1
Howe-Susan_Complete-Reading_Segue-Series_Ear-Inn_4-12-86	33.06	33.68	bear	1
Howe-Susan_Complete-Reading_Segue-Series_Ear-Inn_4-12-86	33.68	34.38	evergreen	1
Howe-Susan_Complete-Reading_Segue-Series_Ear-Inn_4-12-86	34.38	36.68	season	1
Howe-Susan_Complete-Reading_Segue-Series_Ear-Inn_4-12-86	36.68	37.16	mother	1
Howe-Susan_Complete-Reading_Segue-Series_Ear-Inn_4-12-86	37.16	37.4	and	1
Howe-Susan_Complete-Reading_Segue-Series_Ear-Inn_4-12-86	37.48	38.44	maiden	1
Howe-Susan_Complete-Reading_Segue-Series_Ear-Inn_4-12-86	38.44	38.84	singing	1
Howe-Susan_Complete-Reading_Segue-Series_Ear-Inn_4-12-86	38.84	39.1	into	1
Howe-Susan_Complete-Reading_Segue-Series_Ear-Inn_4-12-86	39.1	39.28	the	1
Howe-Susan_Complete-Reading_Segue-Series_Ear-Inn_4-12-86	39.28	41.76	draft	1
Howe-Susan_Complete-Reading_Segue-Series_Ear-Inn_4-12-86	41.76	42.18	keen	1
Howe-Susan_Complete-Reading_Segue-Series_Ear-Inn_4-12-86	42.18	42.9	was	1
Howe-Susan_Complete-Reading_Segue-Series_Ear-Inn_4-12-86	42.9	43.88	centuries	1
Howe-Susan_Complete-Reading_Segue-Series_Ear-Inn_4-12-86	43.88	45.66	slacken	1
Howe-Susan_Complete-Reading_Segue-Series_Ear-Inn_4-12-86	45.66	45.94	wow	1
Howe-Susan_Complete-Reading_Segue-Series_Ear-Inn_4-12-86	45.94	46.3	long	1
Howe-Susan_Complete-Reading_Segue-Series_Ear-Inn_4-12-86	46.3	47.2	wars	1
Howe-Susan_Complete-Reading_Segue-Series_Ear-Inn_4-12-86	47.2	47.98	endurance	1
Howe-Susan_Complete-Reading_Segue-Series_Ear-Inn_4-12-86	47.98	50.72	fair	1
Howe-Susan_Complete-Reading_Segue-Series_Ear-Inn_4-12-86	50.72	51.02	in	1
Howe-Susan_Complete-Reading_Segue-Series_Ear-Inn_4-12-86	51.02	52.22	forest	1
Howe-Susan_Complete-Reading_Segue-Series_Ear-Inn_4-12-86	52.22	52.76	splinter	1
Howe-Susan_Complete-Reading_Segue-Series_Ear-Inn_4-12-86	52.76	54.94	companion	1
Howe-Susan_Complete-Reading_Segue-Series_Ear-Inn_4-12-86	54.94	55.62	essential	1
Howe-Susan_Complete-Reading_Segue-Series_Ear-Inn_4-12-86	55.62	56.36	simplicity	1
Howe-Susan_Complete-Reading_Segue-Series_Ear-Inn_4-12-86	56.36	56.58	of	1
Howe-Susan_Complete-Reading_Segue-Series_Ear-Inn_4-12-86	56.58	57.64	thought	1
Howe-Susan_Complete-Reading_Segue-Series_Ear-Inn_4-12-86	57.64	58.12	wedged	1
Howe-Susan_Complete-Reading_Segue-Series_Ear-Inn_4-12-86	58.12	58.48	back	0
Howe-Susan_Complete-Reading_Segue-Series_Ear-Inn_4-12-86	58.48	59.4	playmate	0
Howe-Susan_Complete-Reading_Segue-Series_Ear-Inn_4-12-86	59.4	59.6	of	0
Howe-Susan_Complete-Reading_Segue-Series_Ear-Inn_4-12-86	59.6	62.06	remote	0
Howe-Susan_Complete-Reading_Segue-Series_Ear-Inn_4-12-86	62.06	62.54	hair's	1
Howe-Susan_Complete-Reading_Segue-Series_Ear-Inn_4-12-86	62.54	63.08	colon	1
Howe-Susan_Complete-Reading_Segue-Series_Ear-Inn_4-12-86	63.08	64.22	pan	1
Howe-Susan_Complete-Reading_Segue-Series_Ear-Inn_4-12-86	64.22	64.42	to	1
Howe-Susan_Complete-Reading_Segue-Series_Ear-Inn_4-12-86	64.42	64.72	rhyme	1
Howe-Susan_Complete-Reading_Segue-Series_Ear-Inn_4-12-86	64.72	65.02	with	1
Howe-Susan_Complete-Reading_Segue-Series_Ear-Inn_4-12-86	65.02	65.82	reason	1
Howe-Susan_Complete-Reading_Segue-Series_Ear-Inn_4-12-86	65.82	66.38	rebels	0
Howe-Susan_Complete-Reading_Segue-Series_Ear-Inn_4-12-86	66.38	71.5	run	0
Howe-Susan_Complete-Reading_Segue-Series_Ear-Inn_4-12-86	71.5	72.34	untraceable	0
Howe-Susan_Complete-Reading_Segue-Series_Ear-Inn_4-12-86	72.34	74.76	wandering	0
Howe-Susan_Complete-Reading_Segue-Series_Ear-Inn_4-12-86	74.76	74.92	the	0
Howe-Susan_Complete-Reading_Segue-Series_Ear-Inn_4-12-86	74.92	75.4	meaning	0
Howe-Susan_Complete-Reading_Segue-Series_Ear-Inn_4-12-86	75.4	75.64	of	0
Howe-Susan_Complete-Reading_Segue-Series_Ear-Inn_4-12-86	75.64	78.06	knowing	0
Howe-Susan_Complete-Reading_Segue-Series_Ear-Inn_4-12-86	78.06	78.78	poetical	1
Howe-Susan_Complete-Reading_Segue-Series_Ear-Inn_4-12-86	78.78	79.4	s	1
Howe-Susan_Complete-Reading_Segue-Series_Ear-Inn_4-12-86	79.4	80.38	site	1
Howe-Susan_Complete-Reading_Segue-Series_Ear-Inn_4-12-86	80.38	82.02	state	1
Howe-Susan_Complete-Reading_Segue-Series_Ear-Inn_4-12-86	82.02	83.0	abstract	1
Howe-Susan_Complete-Reading_Segue-Series_Ear-Inn_4-12-86	83.0	83.54	alien	1
Howe-Susan_Complete-Reading_Segue-Series_Ear-Inn_4-12-86	83.54	85.02	point	1
Howe-Susan_Complete-Reading_Segue-Series_Ear-Inn_4-12-86	85.02	85.38	root	0
Howe-Susan_Complete-Reading_Segue-Series_Ear-Inn_4-12-86	85.38	86.16	casket	0
Howe-Susan_Complete-Reading_Segue-Series_Ear-Inn_4-12-86	86.16	86.72	tangled	0
Howe-Susan_Complete-Reading_Segue-Series_Ear-Inn_4-12-86	86.72	89.7	scroll	0
Howe-Susan_Complete-Reading_Segue-Series_Ear-Inn_4-12-86	89.7	90.08	missile	1
Howe-Susan_Complete-Reading_Segue-Series_Ear-Inn_4-12-86	90.08	90.42	to	1
Howe-Susan_Complete-Reading_Segue-Series_Ear-Inn_4-12-86	90.42	91.74	arrow	1
Howe-Susan_Complete-Reading_Segue-Series_Ear-Inn_4-12-86	91.74	92.12	asset	1
Howe-Susan_Complete-Reading_Segue-Series_Ear-Inn_4-12-86	92.12	92.28	a	1
Howe-Susan_Complete-Reading_Segue-Series_Ear-Inn_4-12-86	92.28	92.76	hero	1
Howe-Susan_Complete-Reading_Segue-Series_Ear-Inn_4-12-86	92.76	94.9	shadow	0
Howe-Susan_Complete-Reading_Segue-Series_Ear-Inn_4-12-86	94.9	95.44	shelter	0
Howe-Susan_Complete-Reading_Segue-Series_Ear-Inn_4-12-86	95.44	95.92	secret	0
Howe-Susan_Complete-Reading_Segue-Series_Ear-Inn_4-12-86	95.92	96.12	in	0
Howe-Susan_Complete-Reading_Segue-Series_Ear-Inn_4-12-86	96.12	96.94	heart	0
Howe-Susan_Complete-Reading_Segue-Series_Ear-Inn_4-12-86	96.94	97.22	were	0
Howe-Susan_Complete-Reading_Segue-Series_Ear-Inn_4-12-86	97.22	97.7	wound	0
Howe-Susan_Complete-Reading_Segue-Series_Ear-Inn_4-12-86	97.7	98.0	drawn	0
Howe-Susan_Complete-Reading_Segue-Series_Ear-Inn_4-12-86	98.0	100.28	out	0
Howe-Susan_Complete-Reading_Segue-Series_Ear-Inn_4-12-86	100.28	100.6	rhyme	1
Howe-Susan_Complete-Reading_Segue-Series_Ear-Inn_4-12-86	100.6	100.78	of	1
Howe-Susan_Complete-Reading_Segue-Series_Ear-Inn_4-12-86	100.78	101.26	heaven	1
Howe-Susan_Complete-Reading_Segue-Series_Ear-Inn_4-12-86	101.26	102.88	open	1
