file	beg	end	text
Berrigan-Ted-and-Schiff-Harris_Complete-recording_Public-access-poetry_8-4-77	0.0	0.56	There
Berrigan-Ted-and-Schiff-Harris_Complete-recording_Public-access-poetry_8-4-77	0.56	0.57	is
Berrigan-Ted-and-Schiff-Harris_Complete-recording_Public-access-poetry_8-4-77	0.57	0.64	a
Berrigan-Ted-and-Schiff-Harris_Complete-recording_Public-access-poetry_8-4-77	0.64	1.39	promise.
Berrigan-Ted-and-Schiff-Harris_Complete-recording_Public-access-poetry_8-4-77	1.39	2.13	There's
Berrigan-Ted-and-Schiff-Harris_Complete-recording_Public-access-poetry_8-4-77	2.13	2.61	a
Berrigan-Ted-and-Schiff-Harris_Complete-recording_Public-access-poetry_8-4-77	2.61	2.99	promised
Berrigan-Ted-and-Schiff-Harris_Complete-recording_Public-access-poetry_8-4-77	2.99	3.37	land
Berrigan-Ted-and-Schiff-Harris_Complete-recording_Public-access-poetry_8-4-77	3.37	3.91	right
Berrigan-Ted-and-Schiff-Harris_Complete-recording_Public-access-poetry_8-4-77	3.91	4.04	in
Berrigan-Ted-and-Schiff-Harris_Complete-recording_Public-access-poetry_8-4-77	4.04	4.33	the
Berrigan-Ted-and-Schiff-Harris_Complete-recording_Public-access-poetry_8-4-77	4.33	4.99	body,
Berrigan-Ted-and-Schiff-Harris_Complete-recording_Public-access-poetry_8-4-77	4.99	5.36	but
Berrigan-Ted-and-Schiff-Harris_Complete-recording_Public-access-poetry_8-4-77	5.36	5.88	the
Berrigan-Ted-and-Schiff-Harris_Complete-recording_Public-access-poetry_8-4-77	5.88	6.21	land
Berrigan-Ted-and-Schiff-Harris_Complete-recording_Public-access-poetry_8-4-77	6.21	6.48	is
Berrigan-Ted-and-Schiff-Harris_Complete-recording_Public-access-poetry_8-4-77	6.48	6.95	overrun
Berrigan-Ted-and-Schiff-Harris_Complete-recording_Public-access-poetry_8-4-77	6.95	7.08	by
Berrigan-Ted-and-Schiff-Harris_Complete-recording_Public-access-poetry_8-4-77	7.08	7.7	creatures
Berrigan-Ted-and-Schiff-Harris_Complete-recording_Public-access-poetry_8-4-77	7.7	7.89	who
Berrigan-Ted-and-Schiff-Harris_Complete-recording_Public-access-poetry_8-4-77	7.89	8.17	feel
Berrigan-Ted-and-Schiff-Harris_Complete-recording_Public-access-poetry_8-4-77	8.17	8.44	that
Berrigan-Ted-and-Schiff-Harris_Complete-recording_Public-access-poetry_8-4-77	8.44	8.92	someone
Berrigan-Ted-and-Schiff-Harris_Complete-recording_Public-access-poetry_8-4-77	8.92	9.19	must
Berrigan-Ted-and-Schiff-Harris_Complete-recording_Public-access-poetry_8-4-77	9.19	9.4	get
Berrigan-Ted-and-Schiff-Harris_Complete-recording_Public-access-poetry_8-4-77	9.4	9.6	the
Berrigan-Ted-and-Schiff-Harris_Complete-recording_Public-access-poetry_8-4-77	9.6	10.0	trains
Berrigan-Ted-and-Schiff-Harris_Complete-recording_Public-access-poetry_8-4-77	10.0	10.13	to
Berrigan-Ted-and-Schiff-Harris_Complete-recording_Public-access-poetry_8-4-77	10.13	10.33	run
Berrigan-Ted-and-Schiff-Harris_Complete-recording_Public-access-poetry_8-4-77	10.33	10.56	on
Berrigan-Ted-and-Schiff-Harris_Complete-recording_Public-access-poetry_8-4-77	10.56	17.84	time.
Berrigan-Ted-and-Schiff-Harris_Complete-recording_Public-access-poetry_8-4-77	17.84	18.59	What
Berrigan-Ted-and-Schiff-Harris_Complete-recording_Public-access-poetry_8-4-77	18.59	19.15	day
Berrigan-Ted-and-Schiff-Harris_Complete-recording_Public-access-poetry_8-4-77	19.15	19.57	is
Berrigan-Ted-and-Schiff-Harris_Complete-recording_Public-access-poetry_8-4-77	19.57	20.48	it?
Berrigan-Ted-and-Schiff-Harris_Complete-recording_Public-access-poetry_8-4-77	20.48	21.46	It's
Berrigan-Ted-and-Schiff-Harris_Complete-recording_Public-access-poetry_8-4-77	21.46	22.68	moon
Berrigan-Ted-and-Schiff-Harris_Complete-recording_Public-access-poetry_8-4-77	22.68	23.93	day.
Berrigan-Ted-and-Schiff-Harris_Complete-recording_Public-access-poetry_8-4-77	23.93	24.85	It's
Berrigan-Ted-and-Schiff-Harris_Complete-recording_Public-access-poetry_8-4-77	24.85	25.55	land
Berrigan-Ted-and-Schiff-Harris_Complete-recording_Public-access-poetry_8-4-77	25.55	26.8	day.
Berrigan-Ted-and-Schiff-Harris_Complete-recording_Public-access-poetry_8-4-77	26.8	27.92	It's
Berrigan-Ted-and-Schiff-Harris_Complete-recording_Public-access-poetry_8-4-77	27.92	28.34	sun.
Berrigan-Ted-and-Schiff-Harris_Complete-recording_Public-access-poetry_8-4-77	28.34	28.78	I
Berrigan-Ted-and-Schiff-Harris_Complete-recording_Public-access-poetry_8-4-77	28.78	30.48	don't
Berrigan-Ted-and-Schiff-Harris_Complete-recording_Public-access-poetry_8-4-77	30.48	30.6	even
Berrigan-Ted-and-Schiff-Harris_Complete-recording_Public-access-poetry_8-4-77	30.6	30.84	know
Berrigan-Ted-and-Schiff-Harris_Complete-recording_Public-access-poetry_8-4-77	30.84	31.08	what
Berrigan-Ted-and-Schiff-Harris_Complete-recording_Public-access-poetry_8-4-77	31.08	31.32	day
Berrigan-Ted-and-Schiff-Harris_Complete-recording_Public-access-poetry_8-4-77	31.32	31.5	it
Berrigan-Ted-and-Schiff-Harris_Complete-recording_Public-access-poetry_8-4-77	31.5	31.61	is
Berrigan-Ted-and-Schiff-Harris_Complete-recording_Public-access-poetry_8-4-77	31.61	32.64	and
Berrigan-Ted-and-Schiff-Harris_Complete-recording_Public-access-poetry_8-4-77	32.64	32.82	I
Berrigan-Ted-and-Schiff-Harris_Complete-recording_Public-access-poetry_8-4-77	32.82	33.0	don't
