file	unintelligible
AndrewsEx1	122
AntinEx1	37
Ashbery1Ex1	3
Ashbery2Ex1	8
Ashbery3Ex1	11
Ashbery4Ex1	42
Ashbery5Ex1	8
Ashbery6Ex1	1
Ashbery7Ex1	17
Ashbery8Ex1	5
AusterEx1	2
BeaulieuEx1	11
BellamyEx1	5
Benson1Ex1	31
Benson2Ex1	55
Berkson1Ex1	23
Berkson2Ex1	9
BerriganEx1	30
Berssenbrugge1Ex1	3
Berssenbrugge2Ex1	2
BervinEx1	33
BlochEx1	10
BonvicinoEx1	19
Bromige1Ex1	5
Bromige2Ex1	6
Bromige3Ex1	1
Bromige4Ex1	10
BrownEx1	11
BrowneEx1	24
ClayEx1	39
ConradEx1	10
CoolidgeEx1	6
CorriganEx1	18
DarraghEx1	14
DaviesEx1	4
DiPalmaEx1	19
DonovanEx1	6
DornEx1	2
Drucker1Ex1	8
Drucker2Ex1	3
DuPlessis1Ex1	2
DuPlessis2Ex1	2
DuPlessis3Ex1	9
Duncan1Ex1	30
Duncan2Ex1	28
Duncan3Ex1	168
DworkinEx1	16
FiedlerEx1	5
FosterEx1	9
FuchsEx1	7
GarrisonEx1	13
GinsbergEx1	167
GladmanEx1	2
GreenwaldEx1	7
HalpernEx1	2
HalseyEx1	26
HawkinsEx1	4
Howe1Ex1	8
Howe2Ex1	14
Howe3Ex1	118
JarnotEx1	13
JorisEx1	120
KimmelmanEx1	7
KinsellaEx1	18
KygerEx1	173
Lauterbach2Ex1	10
Lauterbach1Ex1	9
LevyEx1	22
MirakoveEx1	13
MooreEx1	7
MoxleyEx1	33
OppenEx1	73
PhillyTalks10Ex1	9
PhillyTalks1Ex1	24
PhillyTalks3Ex1	32
PhillyTalks5Ex1	19
PiombinoEx1	6
PoemTalkEx1	38
RaworthEx1	64
RetalackEx1	61
ReznikoffEx1	19
RichardsEx1	10
Robinson1Ex1	9
Robinson2Ex1	6
Robinson3Ex1	8
RothenbergEx1	16
Scalapino1Ex1	16
Scalapino2Ex1	53
SherlockEx1	9
Silliman1Ex1	5
Silliman2Ex1	19
Silliman3Ex1	14
SmithEx1	22
SpahrEx1	2
SzeEx1	15
TempletonEx1	73
TorresEx1	107
TowleEx1	12
WisherEx1	6
YauEx1	7
