file	beg	end	text
Silliman-Ron_Complete-Reading_Birkbeck-Poetics-Centre_05-05-09	0.0	0.36	It's
Silliman-Ron_Complete-Reading_Birkbeck-Poetics-Centre_05-05-09	0.36	0.45	a
Silliman-Ron_Complete-Reading_Birkbeck-Poetics-Centre_05-05-09	0.45	1.0	ghetto
Silliman-Ron_Complete-Reading_Birkbeck-Poetics-Centre_05-05-09	1.0	1.83	mall,
Silliman-Ron_Complete-Reading_Birkbeck-Poetics-Centre_05-05-09	1.83	1.85	with
Silliman-Ron_Complete-Reading_Birkbeck-Poetics-Centre_05-05-09	1.85	2.26	anchor
Silliman-Ron_Complete-Reading_Birkbeck-Poetics-Centre_05-05-09	2.26	2.76	tenants
Silliman-Ron_Complete-Reading_Birkbeck-Poetics-Centre_05-05-09	2.76	3.05	like
Silliman-Ron_Complete-Reading_Birkbeck-Poetics-Centre_05-05-09	3.05	4.05	Woolworths,
Silliman-Ron_Complete-Reading_Birkbeck-Poetics-Centre_05-05-09	4.05	4.46	security
Silliman-Ron_Complete-Reading_Birkbeck-Poetics-Centre_05-05-09	4.46	4.88	guards
Silliman-Ron_Complete-Reading_Birkbeck-Poetics-Centre_05-05-09	4.88	5.37	wearing
Silliman-Ron_Complete-Reading_Birkbeck-Poetics-Centre_05-05-09	5.37	6.15	guns,
Silliman-Ron_Complete-Reading_Birkbeck-Poetics-Centre_05-05-09	6.15	6.38	with
Silliman-Ron_Complete-Reading_Birkbeck-Poetics-Centre_05-05-09	6.38	6.69	seven
Silliman-Ron_Complete-Reading_Birkbeck-Poetics-Centre_05-05-09	6.69	6.84	or
Silliman-Ron_Complete-Reading_Birkbeck-Poetics-Centre_05-05-09	6.84	7.21	eight
Silliman-Ron_Complete-Reading_Birkbeck-Poetics-Centre_05-05-09	7.21	7.6	cheap
Silliman-Ron_Complete-Reading_Birkbeck-Poetics-Centre_05-05-09	7.6	7.88	shoe
Silliman-Ron_Complete-Reading_Birkbeck-Poetics-Centre_05-05-09	7.88	8.5	stores,
Silliman-Ron_Complete-Reading_Birkbeck-Poetics-Centre_05-05-09	8.5	8.82	white
Silliman-Ron_Complete-Reading_Birkbeck-Poetics-Centre_05-05-09	8.82	9.46	mannequins
Silliman-Ron_Complete-Reading_Birkbeck-Poetics-Centre_05-05-09	9.46	9.65	and
Silliman-Ron_Complete-Reading_Birkbeck-Poetics-Centre_05-05-09	9.65	10.1	pennies
Silliman-Ron_Complete-Reading_Birkbeck-Poetics-Centre_05-05-09	10.1	10.84	surrounded
Silliman-Ron_Complete-Reading_Birkbeck-Poetics-Centre_05-05-09	10.84	10.88	by
Silliman-Ron_Complete-Reading_Birkbeck-Poetics-Centre_05-05-09	10.88	11.27	clerks
Silliman-Ron_Complete-Reading_Birkbeck-Poetics-Centre_05-05-09	11.27	11.46	and
Silliman-Ron_Complete-Reading_Birkbeck-Poetics-Centre_05-05-09	11.46	11.97	shoppers
Silliman-Ron_Complete-Reading_Birkbeck-Poetics-Centre_05-05-09	11.97	12.21	who
Silliman-Ron_Complete-Reading_Birkbeck-Poetics-Centre_05-05-09	12.21	12.36	are
Silliman-Ron_Complete-Reading_Birkbeck-Poetics-Centre_05-05-09	12.36	12.8	not.
Silliman-Ron_Complete-Reading_Birkbeck-Poetics-Centre_05-05-09	12.8	13.45	Ah,
Silliman-Ron_Complete-Reading_Birkbeck-Poetics-Centre_05-05-09	13.45	14.21	swoony,
Silliman-Ron_Complete-Reading_Birkbeck-Poetics-Centre_05-05-09	14.21	14.6	queasy
Silliman-Ron_Complete-Reading_Birkbeck-Poetics-Centre_05-05-09	14.6	15.21	feel,
Silliman-Ron_Complete-Reading_Birkbeck-Poetics-Centre_05-05-09	15.21	15.41	as
Silliman-Ron_Complete-Reading_Birkbeck-Poetics-Centre_05-05-09	15.41	15.71	you
Silliman-Ron_Complete-Reading_Birkbeck-Poetics-Centre_05-05-09	15.71	16.62	squeeze,
