file	beg	end	text	speaker
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	0.5	0.9	keeping	0
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	0.9	1.34	in	0
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	1.34	1.52	the	0
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	1.52	2.06	sheep	0
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	2.06	2.32	or	0
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	2.32	2.76	keeping	0
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	2.76	2.92	the	0
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	2.92	3.42	sheep	0
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	3.42	3.66	out	0
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	3.66	3.8	of	0
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	3.8	3.96	the	0
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	3.96	4.38	field	0
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	4.38	4.64	that	0
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	4.64	4.9	was	0
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	4.9	5.74	not	0
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	5.74	5.92	the	0
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	5.92	6.48	appointed	0
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	6.48	7.78	pasture	0
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	9.32	9.46	the	0
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	9.46	10.28	deliberate	0
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	10.28	10.86	spacing	0
