file	beg	end	text
Bromige-David_Complete-Recording_With-Ron-Loewinsohn_SF_1-29-64	0.03	0.5	At
Bromige-David_Complete-Recording_With-Ron-Loewinsohn_SF_1-29-64	0.5	1.76	other
Bromige-David_Complete-Recording_With-Ron-Loewinsohn_SF_1-29-64	1.76	3.04	times
Bromige-David_Complete-Recording_With-Ron-Loewinsohn_SF_1-29-64	3.04	3.31	the
Bromige-David_Complete-Recording_With-Ron-Loewinsohn_SF_1-29-64	3.31	3.68	fans
Bromige-David_Complete-Recording_With-Ron-Loewinsohn_SF_1-29-64	3.68	3.81	in
Bromige-David_Complete-Recording_With-Ron-Loewinsohn_SF_1-29-64	3.81	4.01	the
Bromige-David_Complete-Recording_With-Ron-Loewinsohn_SF_1-29-64	4.01	4.42	stands
Bromige-David_Complete-Recording_With-Ron-Loewinsohn_SF_1-29-64	4.42	4.73	get
Bromige-David_Complete-Recording_With-Ron-Loewinsohn_SF_1-29-64	4.73	4.88	a
Bromige-David_Complete-Recording_With-Ron-Loewinsohn_SF_1-29-64	4.88	5.55	souvenir,
Bromige-David_Complete-Recording_With-Ron-Loewinsohn_SF_1-29-64	5.55	6.28	arguing
Bromige-David_Complete-Recording_With-Ron-Loewinsohn_SF_1-29-64	6.28	6.46	as
Bromige-David_Complete-Recording_With-Ron-Loewinsohn_SF_1-29-64	6.46	6.84	they
Bromige-David_Complete-Recording_With-Ron-Loewinsohn_SF_1-29-64	6.84	7.12	were
Bromige-David_Complete-Recording_With-Ron-Loewinsohn_SF_1-29-64	7.12	7.2	a
Bromige-David_Complete-Recording_With-Ron-Loewinsohn_SF_1-29-64	7.2	7.44	minute
Bromige-David_Complete-Recording_With-Ron-Loewinsohn_SF_1-29-64	7.44	8.02	previous
Bromige-David_Complete-Recording_With-Ron-Loewinsohn_SF_1-29-64	8.02	8.32	among
Bromige-David_Complete-Recording_With-Ron-Loewinsohn_SF_1-29-64	8.32	9.0	themselves,
Bromige-David_Complete-Recording_With-Ron-Loewinsohn_SF_1-29-64	9.0	9.75	putting
Bromige-David_Complete-Recording_With-Ron-Loewinsohn_SF_1-29-64	9.75	9.93	money
Bromige-David_Complete-Recording_With-Ron-Loewinsohn_SF_1-29-64	9.93	10.08	on
Bromige-David_Complete-Recording_With-Ron-Loewinsohn_SF_1-29-64	10.08	10.31	the
Bromige-David_Complete-Recording_With-Ron-Loewinsohn_SF_1-29-64	10.31	10.62	next
Bromige-David_Complete-Recording_With-Ron-Loewinsohn_SF_1-29-64	10.62	11.0	pitch
Bromige-David_Complete-Recording_With-Ron-Loewinsohn_SF_1-29-64	11.0	11.15	at
Bromige-David_Complete-Recording_With-Ron-Loewinsohn_SF_1-29-64	11.15	11.38	8
Bromige-David_Complete-Recording_With-Ron-Loewinsohn_SF_1-29-64	11.38	11.54	to
Bromige-David_Complete-Recording_With-Ron-Loewinsohn_SF_1-29-64	11.54	11.96	5,
Bromige-David_Complete-Recording_With-Ron-Loewinsohn_SF_1-29-64	11.96	12.48	turning
Bromige-David_Complete-Recording_With-Ron-Loewinsohn_SF_1-29-64	12.48	13.08	suddenly
Bromige-David_Complete-Recording_With-Ron-Loewinsohn_SF_1-29-64	13.08	13.3	and
