file	beg	end	text	speaker
Antin-David_Complete_Seminar_University-Buffalo_3-27-03	0.0	0.32	you	
Antin-David_Complete_Seminar_University-Buffalo_3-27-03	0.32	0.48	know,	
Antin-David_Complete_Seminar_University-Buffalo_3-27-03	0.48	1.0	gallons	
Antin-David_Complete_Seminar_University-Buffalo_3-27-03	1.0	1.12	and	
Antin-David_Complete_Seminar_University-Buffalo_3-27-03	1.12	1.52	gallons	
Antin-David_Complete_Seminar_University-Buffalo_3-27-03	1.52	1.64	of	
Antin-David_Complete_Seminar_University-Buffalo_3-27-03	1.64	2.28	gasoline	
Antin-David_Complete_Seminar_University-Buffalo_3-27-03	2.28	2.44	and	
Antin-David_Complete_Seminar_University-Buffalo_3-27-03	2.44	2.76	huge	
Antin-David_Complete_Seminar_University-Buffalo_3-27-03	2.76	3.2	tankers	
Antin-David_Complete_Seminar_University-Buffalo_3-27-03	3.2	3.36	that	
Antin-David_Complete_Seminar_University-Buffalo_3-27-03	3.36	3.44	are	
Antin-David_Complete_Seminar_University-Buffalo_3-27-03	3.44	4.04	explosive	
Antin-David_Complete_Seminar_University-Buffalo_3-27-03	4.04	4.16	that	
Antin-David_Complete_Seminar_University-Buffalo_3-27-03	4.16	4.24	are	
Antin-David_Complete_Seminar_University-Buffalo_3-27-03	4.48	4.84	flying	
Antin-David_Complete_Seminar_University-Buffalo_3-27-03	4.84	5.68	explosives.	
Antin-David_Complete_Seminar_University-Buffalo_3-27-03	6.6	6.64	I	
Antin-David_Complete_Seminar_University-Buffalo_3-27-03	6.64	6.84	mean,	
Antin-David_Complete_Seminar_University-Buffalo_3-27-03	6.84	6.92	I	
Antin-David_Complete_Seminar_University-Buffalo_3-27-03	6.92	7.12	don't	
Antin-David_Complete_Seminar_University-Buffalo_3-27-03	7.12	7.4	know.	
Antin-David_Complete_Seminar_University-Buffalo_3-27-03	7.44	7.48	I	
Antin-David_Complete_Seminar_University-Buffalo_3-27-03	7.48	7.68	mean,	
Antin-David_Complete_Seminar_University-Buffalo_3-27-03	7.68	7.8	I	
Antin-David_Complete_Seminar_University-Buffalo_3-27-03	7.8	8.08	I	
Antin-David_Complete_Seminar_University-Buffalo_3-27-03	8.24	8.36	you	
Antin-David_Complete_Seminar_University-Buffalo_3-27-03	8.36	8.56	know,	
Antin-David_Complete_Seminar_University-Buffalo_3-27-03	8.8	8.92	but	
Antin-David_Complete_Seminar_University-Buffalo_3-27-03	8.92	9.04	they	
Antin-David_Complete_Seminar_University-Buffalo_3-27-03	9.04	9.2	don't	
Antin-David_Complete_Seminar_University-Buffalo_3-27-03	9.2	9.4	talk	
Antin-David_Complete_Seminar_University-Buffalo_3-27-03	9.4	9.68	about	
Antin-David_Complete_Seminar_University-Buffalo_3-27-03	9.68	10.04	that	
Antin-David_Complete_Seminar_University-Buffalo_3-27-03	10.08	10.44	that,	
Antin-David_Complete_Seminar_University-Buffalo_3-27-03	10.48	10.56	you	
Antin-David_Complete_Seminar_University-Buffalo_3-27-03	10.56	10.8	know,	
Antin-David_Complete_Seminar_University-Buffalo_3-27-03	11.52	11.6	you	
Antin-David_Complete_Seminar_University-Buffalo_3-27-03	11.6	11.72	know,	
Antin-David_Complete_Seminar_University-Buffalo_3-27-03	11.72	11.88	they	
Antin-David_Complete_Seminar_University-Buffalo_3-27-03	11.88	12.08	say	
Antin-David_Complete_Seminar_University-Buffalo_3-27-03	12.08	12.28	that	
Antin-David_Complete_Seminar_University-Buffalo_3-27-03	12.8	12.92	the	
Antin-David_Complete_Seminar_University-Buffalo_3-27-03	12.92	13.16	food	
Antin-David_Complete_Seminar_University-Buffalo_3-27-03	13.16	13.48	nearly	
Antin-David_Complete_Seminar_University-Buffalo_3-27-03	13.48	13.8	didn't	
Antin-David_Complete_Seminar_University-Buffalo_3-27-03	13.8	14.04	reach	
Antin-David_Complete_Seminar_University-Buffalo_3-27-03	14.04	14.12	the	
Antin-David_Complete_Seminar_University-Buffalo_3-27-03	14.76	14.88	the	
Antin-David_Complete_Seminar_University-Buffalo_3-27-03	14.88	15.24	troops.	
Antin-David_Complete_Seminar_University-Buffalo_3-27-03	15.24	15.4	Let	
Antin-David_Complete_Seminar_University-Buffalo_3-27-03	15.4	15.68	alone	
Antin-David_Complete_Seminar_University-Buffalo_3-27-03	15.68	15.88	the	
Antin-David_Complete_Seminar_University-Buffalo_3-27-03	15.88	16.56	humanitarian	
Antin-David_Complete_Seminar_University-Buffalo_3-27-03	16.56	16.68	aid,	
Antin-David_Complete_Seminar_University-Buffalo_3-27-03	16.68	16.76	the	
Antin-David_Complete_Seminar_University-Buffalo_3-27-03	16.76	17.0	food	
Antin-David_Complete_Seminar_University-Buffalo_3-27-03	17.0	17.28	nearly	
Antin-David_Complete_Seminar_University-Buffalo_3-27-03	17.28	17.52	didn't	
Antin-David_Complete_Seminar_University-Buffalo_3-27-03	17.52	17.72	reach	
