file	beg	end	text
Duncan-Robert_Complete-Recording_Albuquerque_02-29-64	0.0	0.64	Teaching
Duncan-Robert_Complete-Recording_Albuquerque_02-29-64	0.64	0.84	the
Duncan-Robert_Complete-Recording_Albuquerque_02-29-64	0.84	1.16	mind
Duncan-Robert_Complete-Recording_Albuquerque_02-29-64	1.16	1.74	not
Duncan-Robert_Complete-Recording_Albuquerque_02-29-64	1.74	2.02	to
Duncan-Robert_Complete-Recording_Albuquerque_02-29-64	2.02	2.26	find
Duncan-Robert_Complete-Recording_Albuquerque_02-29-64	2.26	2.42	the
Duncan-Robert_Complete-Recording_Albuquerque_02-29-64	2.42	2.86	sun's
Duncan-Robert_Complete-Recording_Albuquerque_02-29-64	2.86	3.16	rhyme,
Duncan-Robert_Complete-Recording_Albuquerque_02-29-64	3.52	4.0	setting
Duncan-Robert_Complete-Recording_Albuquerque_02-29-64	4.0	4.16	the
Duncan-Robert_Complete-Recording_Albuquerque_02-29-64	4.16	4.3	whole
Duncan-Robert_Complete-Recording_Albuquerque_02-29-64	4.3	4.58	house
Duncan-Robert_Complete-Recording_Albuquerque_02-29-64	4.58	4.76	into
Duncan-Robert_Complete-Recording_Albuquerque_02-29-64	4.76	4.92	an
Duncan-Robert_Complete-Recording_Albuquerque_02-29-64	4.92	5.32	uproar.
Duncan-Robert_Complete-Recording_Albuquerque_02-29-64	5.46	5.66	Is
Duncan-Robert_Complete-Recording_Albuquerque_02-29-64	5.66	5.78	it
Duncan-Robert_Complete-Recording_Albuquerque_02-29-64	5.78	6.14	one?
Duncan-Robert_Complete-Recording_Albuquerque_02-29-64	6.3	6.72	Is
Duncan-Robert_Complete-Recording_Albuquerque_02-29-64	6.72	6.84	it
Duncan-Robert_Complete-Recording_Albuquerque_02-29-64	6.84	7.26	tone?
Duncan-Robert_Complete-Recording_Albuquerque_02-29-64	7.5	7.74	Is
Duncan-Robert_Complete-Recording_Albuquerque_02-29-64	7.74	7.84	it
Duncan-Robert_Complete-Recording_Albuquerque_02-29-64	7.84	8.32	imagination?
Duncan-Robert_Complete-Recording_Albuquerque_02-29-64	8.82	9.24	What
Duncan-Robert_Complete-Recording_Albuquerque_02-29-64	9.24	9.66	word
Duncan-Robert_Complete-Recording_Albuquerque_02-29-64	9.66	9.96	are
Duncan-Robert_Complete-Recording_Albuquerque_02-29-64	9.96	10.08	you
Duncan-Robert_Complete-Recording_Albuquerque_02-29-64	10.08	10.42	looking
Duncan-Robert_Complete-Recording_Albuquerque_02-29-64	10.42	10.86	for?
Duncan-Robert_Complete-Recording_Albuquerque_02-29-64	11.780000000000001	12.36	In
