file	beg	end	text
Howe-Susan_Complete-Reading_Segue-Series_Ear-Inn_4-12-86	0.0	1.32	Mother
Howe-Susan_Complete-Reading_Segue-Series_Ear-Inn_4-12-86	1.32	1.58	my
Howe-Susan_Complete-Reading_Segue-Series_Ear-Inn_4-12-86	1.58	1.92	name,
Howe-Susan_Complete-Reading_Segue-Series_Ear-Inn_4-12-86	2.14	3.52	pin
Howe-Susan_Complete-Reading_Segue-Series_Ear-Inn_4-12-86	3.52	3.74	-eyed
Howe-Susan_Complete-Reading_Segue-Series_Ear-Inn_4-12-86	3.74	4.28	children,
Howe-Susan_Complete-Reading_Segue-Series_Ear-Inn_4-12-86	6.08	6.64	sundial
Howe-Susan_Complete-Reading_Segue-Series_Ear-Inn_4-12-86	6.64	7.12	lair
Howe-Susan_Complete-Reading_Segue-Series_Ear-Inn_4-12-86	7.12	7.9	from
Howe-Susan_Complete-Reading_Segue-Series_Ear-Inn_4-12-86	7.9	8.28	mortal
Howe-Susan_Complete-Reading_Segue-Series_Ear-Inn_4-12-86	8.28	8.82	fear,
Howe-Susan_Complete-Reading_Segue-Series_Ear-Inn_4-12-86	11.12	11.48	hood,
Howe-Susan_Complete-Reading_Segue-Series_Ear-Inn_4-12-86	11.84	12.12	Peru,
Howe-Susan_Complete-Reading_Segue-Series_Ear-Inn_4-12-86	14.28	14.58	prison
Howe-Susan_Complete-Reading_Segue-Series_Ear-Inn_4-12-86	14.58	15.04	stone
Howe-Susan_Complete-Reading_Segue-Series_Ear-Inn_4-12-86	15.04	15.7	guardian,
Howe-Susan_Complete-Reading_Segue-Series_Ear-Inn_4-12-86	17.02	17.34	guerdon
Howe-Susan_Complete-Reading_Segue-Series_Ear-Inn_4-12-86	17.34	17.54	of
Howe-Susan_Complete-Reading_Segue-Series_Ear-Inn_4-12-86	17.54	18.22	resurrection,
Howe-Susan_Complete-Reading_Segue-Series_Ear-Inn_4-12-86	20.04	20.82	fictitious
Howe-Susan_Complete-Reading_Segue-Series_Ear-Inn_4-12-86	20.82	21.5	deeps,
Howe-Susan_Complete-Reading_Segue-Series_Ear-Inn_4-12-86	22.62	23.32	cries
Howe-Susan_Complete-Reading_Segue-Series_Ear-Inn_4-12-86	23.32	23.74	open
Howe-Susan_Complete-Reading_Segue-Series_Ear-Inn_4-12-86	23.74	23.94	to
Howe-Susan_Complete-Reading_Segue-Series_Ear-Inn_4-12-86	23.94	24.04	the
Howe-Susan_Complete-Reading_Segue-Series_Ear-Inn_4-12-86	24.04	24.46	words
Howe-Susan_Complete-Reading_Segue-Series_Ear-Inn_4-12-86	24.46	25.14	inside
Howe-Susan_Complete-Reading_Segue-Series_Ear-Inn_4-12-86	25.14	25.56	them,
Howe-Susan_Complete-Reading_Segue-Series_Ear-Inn_4-12-86	25.78	27.36	cries
Howe-Susan_Complete-Reading_Segue-Series_Ear-Inn_4-12-86	27.36	27.78	hurled
Howe-Susan_Complete-Reading_Segue-Series_Ear-Inn_4-12-86	27.78	27.96	through
Howe-Susan_Complete-Reading_Segue-Series_Ear-Inn_4-12-86	27.96	28.12	the
Howe-Susan_Complete-Reading_Segue-Series_Ear-Inn_4-12-86	28.12	28.56	woods,
Howe-Susan_Complete-Reading_Segue-Series_Ear-Inn_4-12-86	28.62	33.26	threadbare
Howe-Susan_Complete-Reading_Segue-Series_Ear-Inn_4-12-86	33.26	34.16	evergreen
Howe-Susan_Complete-Reading_Segue-Series_Ear-Inn_4-12-86	34.16	34.7	season,
Howe-Susan_Complete-Reading_Segue-Series_Ear-Inn_4-12-86	35.2	36.9	mother
Howe-Susan_Complete-Reading_Segue-Series_Ear-Inn_4-12-86	36.9	37.32	and
Howe-Susan_Complete-Reading_Segue-Series_Ear-Inn_4-12-86	37.32	37.78	maiden
Howe-Susan_Complete-Reading_Segue-Series_Ear-Inn_4-12-86	37.78	38.64	singing
Howe-Susan_Complete-Reading_Segue-Series_Ear-Inn_4-12-86	38.64	39.0	into
Howe-Susan_Complete-Reading_Segue-Series_Ear-Inn_4-12-86	39.0	39.16	the
Howe-Susan_Complete-Reading_Segue-Series_Ear-Inn_4-12-86	39.16	39.64	draft,
Howe-Susan_Complete-Reading_Segue-Series_Ear-Inn_4-12-86	41.74	42.0	keen
Howe-Susan_Complete-Reading_Segue-Series_Ear-Inn_4-12-86	42.0	42.58	woes
Howe-Susan_Complete-Reading_Segue-Series_Ear-Inn_4-12-86	42.58	43.3	centuries
Howe-Susan_Complete-Reading_Segue-Series_Ear-Inn_4-12-86	43.3	44.42	slacken,
Howe-Susan_Complete-Reading_Segue-Series_Ear-Inn_4-12-86	45.64	45.94	woe
Howe-Susan_Complete-Reading_Segue-Series_Ear-Inn_4-12-86	45.94	46.12	long
Howe-Susan_Complete-Reading_Segue-Series_Ear-Inn_4-12-86	46.12	46.72	wars
Howe-Susan_Complete-Reading_Segue-Series_Ear-Inn_4-12-86	46.72	47.62	endurance
Howe-Susan_Complete-Reading_Segue-Series_Ear-Inn_4-12-86	47.62	48.22	bear,
Howe-Susan_Complete-Reading_Segue-Series_Ear-Inn_4-12-86	49.82	50.82	in
Howe-Susan_Complete-Reading_Segue-Series_Ear-Inn_4-12-86	50.82	51.46	forest,
Howe-Susan_Complete-Reading_Segue-Series_Ear-Inn_4-12-86	52.22	52.6	splinter
Howe-Susan_Complete-Reading_Segue-Series_Ear-Inn_4-12-86	52.6	53.24	companion,
Howe-Susan_Complete-Reading_Segue-Series_Ear-Inn_4-12-86	53.62	55.36	essential
Howe-Susan_Complete-Reading_Segue-Series_Ear-Inn_4-12-86	55.36	56.08	simplicity
Howe-Susan_Complete-Reading_Segue-Series_Ear-Inn_4-12-86	56.08	56.44	of
Howe-Susan_Complete-Reading_Segue-Series_Ear-Inn_4-12-86	56.44	56.94	thought,
Howe-Susan_Complete-Reading_Segue-Series_Ear-Inn_4-12-86	57.2	57.98	wedged
Howe-Susan_Complete-Reading_Segue-Series_Ear-Inn_4-12-86	57.98	58.28	back
Howe-Susan_Complete-Reading_Segue-Series_Ear-Inn_4-12-86	58.28	58.98	playmate
Howe-Susan_Complete-Reading_Segue-Series_Ear-Inn_4-12-86	58.98	59.52	of
Howe-Susan_Complete-Reading_Segue-Series_Ear-Inn_4-12-86	59.52	59.94	remote
Howe-Susan_Complete-Reading_Segue-Series_Ear-Inn_4-12-86	61.4	62.28	hairs
Howe-Susan_Complete-Reading_Segue-Series_Ear-Inn_4-12-86	62.28	62.7	call
Howe-Susan_Complete-Reading_Segue-Series_Ear-Inn_4-12-86	62.7	62.94	on
Howe-Susan_Complete-Reading_Segue-Series_Ear-Inn_4-12-86	62.94	63.38	pan,
Howe-Susan_Complete-Reading_Segue-Series_Ear-Inn_4-12-86	64.24	64.3	to
Howe-Susan_Complete-Reading_Segue-Series_Ear-Inn_4-12-86	64.3	64.58	rhyme
Howe-Susan_Complete-Reading_Segue-Series_Ear-Inn_4-12-86	64.58	64.84	with
Howe-Susan_Complete-Reading_Segue-Series_Ear-Inn_4-12-86	64.84	65.4	reason,
Howe-Susan_Complete-Reading_Segue-Series_Ear-Inn_4-12-86	65.66	66.26	revels
Howe-Susan_Complete-Reading_Segue-Series_Ear-Inn_4-12-86	66.26	66.58	run
Howe-Susan_Complete-Reading_Segue-Series_Ear-Inn_4-12-86	71.12	72.2	untraceable
Howe-Susan_Complete-Reading_Segue-Series_Ear-Inn_4-12-86	72.2	72.74	wandering,
Howe-Susan_Complete-Reading_Segue-Series_Ear-Inn_4-12-86	73.1	74.8	the
Howe-Susan_Complete-Reading_Segue-Series_Ear-Inn_4-12-86	74.8	75.16	meaning
Howe-Susan_Complete-Reading_Segue-Series_Ear-Inn_4-12-86	75.16	75.5	of
Howe-Susan_Complete-Reading_Segue-Series_Ear-Inn_4-12-86	75.5	75.94	knowing,
Howe-Susan_Complete-Reading_Segue-Series_Ear-Inn_4-12-86	77.44	78.6	poetical
Howe-Susan_Complete-Reading_Segue-Series_Ear-Inn_4-12-86	78.6	79.06	sea,
Howe-Susan_Complete-Reading_Segue-Series_Ear-Inn_4-12-86	79.22	79.66	sight,
Howe-Susan_Complete-Reading_Segue-Series_Ear-Inn_4-12-86	80.2	80.62	state,
Howe-Susan_Complete-Reading_Segue-Series_Ear-Inn_4-12-86	81.92	82.42	abstract
Howe-Susan_Complete-Reading_Segue-Series_Ear-Inn_4-12-86	82.42	83.3	alien
Howe-Susan_Complete-Reading_Segue-Series_Ear-Inn_4-12-86	83.3	83.86	point,
Howe-Susan_Complete-Reading_Segue-Series_Ear-Inn_4-12-86	83.86	85.18	root
Howe-Susan_Complete-Reading_Segue-Series_Ear-Inn_4-12-86	85.18	85.82	casket,
Howe-Susan_Complete-Reading_Segue-Series_Ear-Inn_4-12-86	85.98	86.48	tangled
Howe-Susan_Complete-Reading_Segue-Series_Ear-Inn_4-12-86	86.48	88.72	scrawl,
Howe-Susan_Complete-Reading_Segue-Series_Ear-Inn_4-12-86	88.72	90.26	mistletoe
Howe-Susan_Complete-Reading_Segue-Series_Ear-Inn_4-12-86	90.26	90.74	arrow,
Howe-Susan_Complete-Reading_Segue-Series_Ear-Inn_4-12-86	91.7	92.22	ascetic
Howe-Susan_Complete-Reading_Segue-Series_Ear-Inn_4-12-86	92.22	92.54	hero
Howe-Susan_Complete-Reading_Segue-Series_Ear-Inn_4-12-86	92.54	93.06	shadow,
Howe-Susan_Complete-Reading_Segue-Series_Ear-Inn_4-12-86	94.18	95.18	shelter
Howe-Susan_Complete-Reading_Segue-Series_Ear-Inn_4-12-86	95.18	95.7	secret
Howe-Susan_Complete-Reading_Segue-Series_Ear-Inn_4-12-86	95.7	96.02	in
Howe-Susan_Complete-Reading_Segue-Series_Ear-Inn_4-12-86	96.02	96.44	heart,
Howe-Susan_Complete-Reading_Segue-Series_Ear-Inn_4-12-86	96.44	97.1	were
Howe-Susan_Complete-Reading_Segue-Series_Ear-Inn_4-12-86	97.1	97.5	wound
Howe-Susan_Complete-Reading_Segue-Series_Ear-Inn_4-12-86	97.5	97.82	drawn
Howe-Susan_Complete-Reading_Segue-Series_Ear-Inn_4-12-86	97.82	98.3	out,
Howe-Susan_Complete-Reading_Segue-Series_Ear-Inn_4-12-86	98.44	100.48	rhyme
Howe-Susan_Complete-Reading_Segue-Series_Ear-Inn_4-12-86	100.48	100.7	of
Howe-Susan_Complete-Reading_Segue-Series_Ear-Inn_4-12-86	100.7	101.04	heaven
