file	beg	end	text
Halpern-Rob_Complete-BPC-Segue_3-3-07	0.0	0.19	A
Halpern-Rob_Complete-BPC-Segue_3-3-07	0.19	0.8	bloodless
Halpern-Rob_Complete-BPC-Segue_3-3-07	0.8	1.48	thing,
Halpern-Rob_Complete-BPC-Segue_3-3-07	1.48	1.78	my
Halpern-Rob_Complete-BPC-Segue_3-3-07	1.78	2.39	dildo
Halpern-Rob_Complete-BPC-Segue_3-3-07	2.39	3.61	stalks
Halpern-Rob_Complete-BPC-Segue_3-3-07	3.61	3.66	the
Halpern-Rob_Complete-BPC-Segue_3-3-07	3.66	4.0	new
Halpern-Rob_Complete-BPC-Segue_3-3-07	4.0	4.58	foe
Halpern-Rob_Complete-BPC-Segue_3-3-07	4.58	5.6	nation.
Halpern-Rob_Complete-BPC-Segue_3-3-07	5.6	10.65	Elections
Halpern-Rob_Complete-BPC-Segue_3-3-07	10.65	11.92	coming,
Halpern-Rob_Complete-BPC-Segue_3-3-07	11.92	12.92	democracy
Halpern-Rob_Complete-BPC-Segue_3-3-07	12.92	13.47	won't
Halpern-Rob_Complete-BPC-Segue_3-3-07	13.47	14.04	occur
Halpern-Rob_Complete-BPC-Segue_3-3-07	14.04	14.56	before
Halpern-Rob_Complete-BPC-Segue_3-3-07	14.56	14.85	the
Halpern-Rob_Complete-BPC-Segue_3-3-07	14.85	15.6	curfew
Halpern-Rob_Complete-BPC-Segue_3-3-07	15.6	16.54	blackens.
Halpern-Rob_Complete-BPC-Segue_3-3-07	16.54	16.94	Whose
Halpern-Rob_Complete-BPC-Segue_3-3-07	16.94	17.82	diminishing
Halpern-Rob_Complete-BPC-Segue_3-3-07	17.82	18.38	force,
Halpern-Rob_Complete-BPC-Segue_3-3-07	18.38	19.1	elemental
Halpern-Rob_Complete-BPC-Segue_3-3-07	19.1	19.68	skins,
Halpern-Rob_Complete-BPC-Segue_3-3-07	19.68	20.26	organs
Halpern-Rob_Complete-BPC-Segue_3-3-07	20.26	20.94	craving
Halpern-Rob_Complete-BPC-Segue_3-3-07	20.94	21.33	your
Halpern-Rob_Complete-BPC-Segue_3-3-07	21.33	22.1	forsworn
Halpern-Rob_Complete-BPC-Segue_3-3-07	22.1	22.78	illegal
Halpern-Rob_Complete-BPC-Segue_3-3-07	22.78	23.58	touch?
Halpern-Rob_Complete-BPC-Segue_3-3-07	23.68	24.2	They've
Halpern-Rob_Complete-BPC-Segue_3-3-07	24.2	24.67	traced
Halpern-Rob_Complete-BPC-Segue_3-3-07	24.67	25.19	powder
Halpern-Rob_Complete-BPC-Segue_3-3-07	25.19	25.29	in
Halpern-Rob_Complete-BPC-Segue_3-3-07	25.29	25.51	our
Halpern-Rob_Complete-BPC-Segue_3-3-07	25.51	25.98	stools
Halpern-Rob_Complete-BPC-Segue_3-3-07	25.98	26.21	and
Halpern-Rob_Complete-BPC-Segue_3-3-07	26.21	26.92	therein
Halpern-Rob_Complete-BPC-Segue_3-3-07	26.92	27.06	lies
Halpern-Rob_Complete-BPC-Segue_3-3-07	27.06	27.29	the
Halpern-Rob_Complete-BPC-Segue_3-3-07	27.29	27.96	nation's
Halpern-Rob_Complete-BPC-Segue_3-3-07	27.96	29.22	intelligence.
Halpern-Rob_Complete-BPC-Segue_3-3-07	29.22	29.32	A
Halpern-Rob_Complete-BPC-Segue_3-3-07	29.32	29.7	gap
Halpern-Rob_Complete-BPC-Segue_3-3-07	29.7	30.46	instills
Halpern-Rob_Complete-BPC-Segue_3-3-07	30.46	30.88	more
Halpern-Rob_Complete-BPC-Segue_3-3-07	30.88	31.82	fortified
Halpern-Rob_Complete-BPC-Segue_3-3-07	31.82	32.34	lands
Halpern-Rob_Complete-BPC-Segue_3-3-07	32.34	32.97	remain
Halpern-Rob_Complete-BPC-Segue_3-3-07	32.97	33.17	to
Halpern-Rob_Complete-BPC-Segue_3-3-07	33.17	33.39	be
Halpern-Rob_Complete-BPC-Segue_3-3-07	33.39	34.41	cracked,
Halpern-Rob_Complete-BPC-Segue_3-3-07	34.41	35.15	opened,
Halpern-Rob_Complete-BPC-Segue_3-3-07	35.15	36.57	pillaged,
Halpern-Rob_Complete-BPC-Segue_3-3-07	36.57	37.14	traversing
Halpern-Rob_Complete-BPC-Segue_3-3-07	37.14	37.77	starved,
Halpern-Rob_Complete-BPC-Segue_3-3-07	37.77	38.26	ignoble
Halpern-Rob_Complete-BPC-Segue_3-3-07	38.26	38.9	nature.
Halpern-Rob_Complete-BPC-Segue_3-3-07	38.9	39.44	Remind
Halpern-Rob_Complete-BPC-Segue_3-3-07	39.44	39.62	me
Halpern-Rob_Complete-BPC-Segue_3-3-07	39.62	39.89	now
Halpern-Rob_Complete-BPC-Segue_3-3-07	39.89	40.35	which
Halpern-Rob_Complete-BPC-Segue_3-3-07	40.35	41.33	headscarves
Halpern-Rob_Complete-BPC-Segue_3-3-07	41.33	41.52	to
Halpern-Rob_Complete-BPC-Segue_3-3-07	41.52	42.15	avoid,
Halpern-Rob_Complete-BPC-Segue_3-3-07	42.15	42.52	what
Halpern-Rob_Complete-BPC-Segue_3-3-07	42.52	43.15	mongrel
Halpern-Rob_Complete-BPC-Segue_3-3-07	43.15	43.61	forms
Halpern-Rob_Complete-BPC-Segue_3-3-07	43.61	43.79	to
Halpern-Rob_Complete-BPC-Segue_3-3-07	43.79	44.1	put
Halpern-Rob_Complete-BPC-Segue_3-3-07	44.1	44.35	to
Halpern-Rob_Complete-BPC-Segue_3-3-07	44.35	44.95	sleep,
Halpern-Rob_Complete-BPC-Segue_3-3-07	44.95	46.01	exchanging
Halpern-Rob_Complete-BPC-Segue_3-3-07	46.01	46.31	sex
Halpern-Rob_Complete-BPC-Segue_3-3-07	46.31	46.63	for
Halpern-Rob_Complete-BPC-Segue_3-3-07	46.63	47.46	chattels
Halpern-Rob_Complete-BPC-Segue_3-3-07	47.46	47.67	at
Halpern-Rob_Complete-BPC-Segue_3-3-07	47.67	47.98	the
Halpern-Rob_Complete-BPC-Segue_3-3-07	47.98	48.6	county
Halpern-Rob_Complete-BPC-Segue_3-3-07	48.6	49.38	seat.
Halpern-Rob_Complete-BPC-Segue_3-3-07	49.74	50.26	Waving
Halpern-Rob_Complete-BPC-Segue_3-3-07	50.26	50.71	facts
Halpern-Rob_Complete-BPC-Segue_3-3-07	50.71	50.96	and
Halpern-Rob_Complete-BPC-Segue_3-3-07	50.96	51.66	titles,
Halpern-Rob_Complete-BPC-Segue_3-3-07	51.66	52.1	these
Halpern-Rob_Complete-BPC-Segue_3-3-07	52.1	52.44	airs
Halpern-Rob_Complete-BPC-Segue_3-3-07	52.44	52.61	go
Halpern-Rob_Complete-BPC-Segue_3-3-07	52.61	53.23	passing
Halpern-Rob_Complete-BPC-Segue_3-3-07	53.23	53.49	for
Halpern-Rob_Complete-BPC-Segue_3-3-07	53.49	53.75	our
Halpern-Rob_Complete-BPC-Segue_3-3-07	53.75	54.61	deeds,
Halpern-Rob_Complete-BPC-Segue_3-3-07	54.61	55.39	exterminate
Halpern-Rob_Complete-BPC-Segue_3-3-07	55.39	55.67	the
Halpern-Rob_Complete-BPC-Segue_3-3-07	55.67	56.22	promise
Halpern-Rob_Complete-BPC-Segue_3-3-07	56.22	56.38	of
Halpern-Rob_Complete-BPC-Segue_3-3-07	56.38	56.82	their
Halpern-Rob_Complete-BPC-Segue_3-3-07	56.82	57.68	thing.
Halpern-Rob_Complete-BPC-Segue_3-3-07	64.34	64.57	But
Halpern-Rob_Complete-BPC-Segue_3-3-07	64.57	64.79	it
Halpern-Rob_Complete-BPC-Segue_3-3-07	64.79	64.95	all
Halpern-Rob_Complete-BPC-Segue_3-3-07	64.95	65.26	gets
Halpern-Rob_Complete-BPC-Segue_3-3-07	65.26	65.57	even
Halpern-Rob_Complete-BPC-Segue_3-3-07	65.57	66.19	creepier
Halpern-Rob_Complete-BPC-Segue_3-3-07	66.19	66.84	still.
Halpern-Rob_Complete-BPC-Segue_3-3-07	66.84	67.43	Pumping
Halpern-Rob_Complete-BPC-Segue_3-3-07	67.43	68.2	my
Halpern-Rob_Complete-BPC-Segue_3-3-07	68.2	68.55	disturbance
Halpern-Rob_Complete-BPC-Segue_3-3-07	68.55	68.89	with
Halpern-Rob_Complete-BPC-Segue_3-3-07	68.89	69.95	phonation,
Halpern-Rob_Complete-BPC-Segue_3-3-07	69.95	70.17	days
