file	beg	end	text	speaker
Foster-Tonya_Complete-Reading_Segue-Zinc-Bar_2-23-13	0.54	1.06	unmet	1
Foster-Tonya_Complete-Reading_Segue-Zinc-Bar_2-23-13	1.06	2.0	desire	1
Foster-Tonya_Complete-Reading_Segue-Zinc-Bar_2-23-13	2.0	2.44	stocks	1
Foster-Tonya_Complete-Reading_Segue-Zinc-Bar_2-23-13	2.44	2.64	the	1
Foster-Tonya_Complete-Reading_Segue-Zinc-Bar_2-23-13	2.64	3.06	bed	1
Foster-Tonya_Complete-Reading_Segue-Zinc-Bar_2-23-13	3.06	3.32	and	1
Foster-Tonya_Complete-Reading_Segue-Zinc-Bar_2-23-13	3.32	4.68	cupboard	1
Foster-Tonya_Complete-Reading_Segue-Zinc-Bar_2-23-13	4.68	5.66	desire	0
Foster-Tonya_Complete-Reading_Segue-Zinc-Bar_2-23-13	5.66	6.06	thick	0
Foster-Tonya_Complete-Reading_Segue-Zinc-Bar_2-23-13	6.06	7.06	brambles	0
Foster-Tonya_Complete-Reading_Segue-Zinc-Bar_2-23-13	8.54	8.82	she	1
Foster-Tonya_Complete-Reading_Segue-Zinc-Bar_2-23-13	8.82	9.4	stares	1
Foster-Tonya_Complete-Reading_Segue-Zinc-Bar_2-23-13	9.4	9.72	into	1
Foster-Tonya_Complete-Reading_Segue-Zinc-Bar_2-23-13	9.72	9.96	her	1
Foster-Tonya_Complete-Reading_Segue-Zinc-Bar_2-23-13	9.96	11.18	tv's	1
Foster-Tonya_Complete-Reading_Segue-Zinc-Bar_2-23-13	11.18	11.42	two	1
Foster-Tonya_Complete-Reading_Segue-Zinc-Bar_2-23-13	11.42	11.92	am	1
Foster-Tonya_Complete-Reading_Segue-Zinc-Bar_2-23-13	11.92	13.1	glares	1
Foster-Tonya_Complete-Reading_Segue-Zinc-Bar_2-23-13	13.1	13.6	watches	1
Foster-Tonya_Complete-Reading_Segue-Zinc-Bar_2-23-13	13.6	13.72	the	1
Foster-Tonya_Complete-Reading_Segue-Zinc-Bar_2-23-13	13.72	14.04	way	1
Foster-Tonya_Complete-Reading_Segue-Zinc-Bar_2-23-13	14.04	14.28	she	1
Foster-Tonya_Complete-Reading_Segue-Zinc-Bar_2-23-13	14.28	14.56	once	1
Foster-Tonya_Complete-Reading_Segue-Zinc-Bar_2-23-13	14.56	14.88	watched	1
