file	beg	end	text	speaker
Halpern-Rob_Complete-BPC-Segue_3-3-07	0.23	0.27	a	1
Halpern-Rob_Complete-BPC-Segue_3-3-07	0.27	0.95	bloodless	1
Halpern-Rob_Complete-BPC-Segue_3-3-07	0.95	1.35	thing	1
Halpern-Rob_Complete-BPC-Segue_3-3-07	1.35	1.75	my	1
Halpern-Rob_Complete-BPC-Segue_3-3-07	1.75	2.39	dildo	1
Halpern-Rob_Complete-BPC-Segue_3-3-07	2.39	3.39	stalks	1
Halpern-Rob_Complete-BPC-Segue_3-3-07	3.59	3.79	the	1
Halpern-Rob_Complete-BPC-Segue_3-3-07	3.79	4.27	new	1
Halpern-Rob_Complete-BPC-Segue_3-3-07	4.43	4.91	faux	1
Halpern-Rob_Complete-BPC-Segue_3-3-07	5.15	5.83	nation	1
Halpern-Rob_Complete-BPC-Segue_3-3-07	10.7	11.58	elections	1
Halpern-Rob_Complete-BPC-Segue_3-3-07	11.58	12.26	coming	1
Halpern-Rob_Complete-BPC-Segue_3-3-07	12.78	13.42	democracy	1
Halpern-Rob_Complete-BPC-Segue_3-3-07	13.42	13.78	won't	1
Halpern-Rob_Complete-BPC-Segue_3-3-07	13.78	14.14	occur	1
Halpern-Rob_Complete-BPC-Segue_3-3-07	14.14	14.74	before	1
Halpern-Rob_Complete-BPC-Segue_3-3-07	14.74	15.18	the	1
Halpern-Rob_Complete-BPC-Segue_3-3-07	15.18	15.82	curfew	1
Halpern-Rob_Complete-BPC-Segue_3-3-07	15.82	16.78	blackens	1
Halpern-Rob_Complete-BPC-Segue_3-3-07	16.9	17.26	whose	1
Halpern-Rob_Complete-BPC-Segue_3-3-07	17.26	17.94	diminishing	1
Halpern-Rob_Complete-BPC-Segue_3-3-07	17.94	18.58	force	1
Halpern-Rob_Complete-BPC-Segue_3-3-07	18.62	19.18	elemental	1
Halpern-Rob_Complete-BPC-Segue_3-3-07	19.18	19.98	skins	1
Halpern-Rob_Complete-BPC-Segue_3-3-07	20.06	20.66	organs	1
Halpern-Rob_Complete-BPC-Segue_3-3-07	20.66	21.22	craving	1
Halpern-Rob_Complete-BPC-Segue_3-3-07	21.22	21.42	your	1
Halpern-Rob_Complete-BPC-Segue_3-3-07	21.42	22.42	forsworn	1
Halpern-Rob_Complete-BPC-Segue_3-3-07	22.62	23.22	illegal	1
Halpern-Rob_Complete-BPC-Segue_3-3-07	23.22	23.66	touch	1
Halpern-Rob_Complete-BPC-Segue_3-3-07	23.66	24.1	they've	1
Halpern-Rob_Complete-BPC-Segue_3-3-07	24.1	24.62	traced	1
Halpern-Rob_Complete-BPC-Segue_3-3-07	24.62	25.18	powder	1
Halpern-Rob_Complete-BPC-Segue_3-3-07	25.18	25.38	in	1
Halpern-Rob_Complete-BPC-Segue_3-3-07	25.38	25.5	our	1
Halpern-Rob_Complete-BPC-Segue_3-3-07	25.5	26.3	stools	1
