file	beg	end	text	speaker
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	0.44	0.88	Keeping	
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	0.88	1.24	in	
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	1.24	1.4	the	
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	1.4	2.04	sheep	
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	2.04	2.24	or	
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	2.24	2.68	keeping	
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	2.68	2.8	the	
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	2.8	3.32	sheep	
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	3.32	3.64	out	
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	3.64	3.72	of	
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	3.72	3.88	the	
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	3.88	4.4	field	
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	4.4	4.6	that	
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	4.6	4.84	was	
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	4.84	5.32	not	
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	5.64	5.8	the	
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	5.8	6.4	appointed	
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	6.4	7.24	pasture.	
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	9.12	9.24	The	
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	9.24	10.08	deliberate	
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	10.08	10.72	spacing	
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	10.72	10.84	of	
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	10.84	11.0	the	
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	11.0	11.48	fence	
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	11.48	12.12	posts	
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	12.12	12.4	was	
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	12.4	12.52	as	
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	12.52	12.96	plain	
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	12.96	13.2	as	
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	13.2	13.44	the	
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	13.44	14.12	apparently	
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	14.12	15.08	undeliberate	
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	15.08	15.68	spacing	
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	15.68	15.8	of	
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	15.8	15.96	the	
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	15.96	16.6	clumped	
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	16.6	17.08	wild	
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	17.08	17.72	iris,	
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	18.08	18.28	the	
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	18.28	18.84	iris	
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	18.84	19.0	in	
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	19.0	19.12	the	
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	19.12	19.64	field	
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	19.64	20.0	that	
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	20.0	20.16	the	
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	20.16	20.56	fence	
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	20.56	20.92	kept	
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	20.92	21.0	the	
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	21.0	21.4	sheep	
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	21.4	21.96	from.	
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	23.2	23.36	But	
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	23.36	23.64	this	
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	23.64	23.84	was	
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	23.84	24.08	when	
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	24.08	24.16	the	
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	24.16	24.6	fence	
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	24.6	24.76	was	
