file	beg	end	text	speaker	section
Bromige-David_Complete-Recording_New-Poems_Unknown-Reel	0.122	3.098	When the bunk shook so hard stuff fell from the ceiling	Subject	
Bromige-David_Complete-Recording_New-Poems_Unknown-Reel	3.714	5.319	he saw whose hand it was.	Subject	
Bromige-David_Complete-Recording_New-Poems_Unknown-Reel	6.191	12.181	But the woman had pulled him so strongly into her front that a button of her dress had dug in his cheek above the bone	Subject	
Bromige-David_Complete-Recording_New-Poems_Unknown-Reel	12.489	13.902	and that pain took over.	Subject	
Bromige-David_Complete-Recording_New-Poems_Unknown-Reel	16.196	17.09	But= after= that=	Subject	
Bromige-David_Complete-Recording_New-Poems_Unknown-Reel	19.013	19.944	but after that,	Subject	
Bromige-David_Complete-Recording_New-Poems_Unknown-Reel	21.074	22.471	he saw the hand often,	Subject	
Bromige-David_Complete-Recording_New-Poems_Unknown-Reel	23.113	25.093	looking where it was cut through	Subject	
Bromige-David_Complete-Recording_New-Poems_Unknown-Reel	26.404	28.553	just like the meat in the butcher's.	Subject	
Bromige-David_Complete-Recording_New-Poems_Unknown-Reel	30.081	32.013	There was something he wanted to do with it.	Subject	
Bromige-David_Complete-Recording_New-Poems_Unknown-Reel	32.697	35.556	He picked it up and felt it from outside and then from in	Subject	
Bromige-David_Complete-Recording_New-Poems_Unknown-Reel	36.078	37.189	as though he wore it	Subject	
Bromige-David_Complete-Recording_New-Poems_Unknown-Reel	37.482	38.593	on his wrist	Subject	
Bromige-David_Complete-Recording_New-Poems_Unknown-Reel	39.05	40.479	like his own hands.	Subject	
Bromige-David_Complete-Recording_New-Poems_Unknown-Reel	42.931	46.77	He still searched for the jagged metals, but now his father had told him	Subject	
Bromige-David_Complete-Recording_New-Poems_Unknown-Reel	47.258	48.327	where it came from.	Subject	
Bromige-David_Complete-Recording_New-Poems_Unknown-Reel	48.969	52.512	He treasured particularly those pieces molded like a screw.	Subject	
Bromige-David_Complete-Recording_New-Poems_Unknown-Reel	53.196	54.106	You save them up,	Subject	
Bromige-David_Complete-Recording_New-Poems_Unknown-Reel	54.425	54.969	hoping	Subject	
Bromige-David_Complete-Recording_New-Poems_Unknown-Reel	55.151	58.846	he'd one day have all the pieces and be able to put them together	Subject	
Bromige-David_Complete-Recording_New-Poems_Unknown-Reel	59.069	60.398	like a jigsaw puzzle	Subject	
Bromige-David_Complete-Recording_New-Poems_Unknown-Reel	60.817	62.235	and build a shell of his own.	Subject	
Bromige-David_Complete-Recording_New-Poems_Unknown-Reel	63.661	64.72	Would it be mine?	Subject	
Bromige-David_Complete-Recording_New-Poems_Unknown-Reel	65.334	66.371	He asked the father,	Subject	
Bromige-David_Complete-Recording_New-Poems_Unknown-Reel	66.879	67.97	or the governments?	Subject	
Bromige-David_Complete-Recording_New-Poems_Unknown-Reel	68.83	69.978	His father told him	Subject	
Bromige-David_Complete-Recording_New-Poems_Unknown-Reel	70.349	70.962	his,	Subject	
Bromige-David_Complete-Recording_New-Poems_Unknown-Reel	71.291	72.439	if he kept it hidden.	Subject	
Bromige-David_Complete-Recording_New-Poems_Unknown-Reel	73.505	75.082	So there was that to think about.	Subject	
Bromige-David_Complete-Recording_New-Poems_Unknown-Reel	75.628	78.709	He could go out looking in the gutters when the sounds came	Subject	
Bromige-David_Complete-Recording_New-Poems_Unknown-Reel	79.161	79.997	late at night.	Subject	
Bromige-David_Complete-Recording_New-Poems_Unknown-Reel	83.544	85.529	I want to start with a book with	Subject	
Bromige-David_Complete-Recording_New-Poems_Unknown-Reel	85.98	86.567	((poems)).	Subject	
Bromige-David_Complete-Recording_New-Poems_Unknown-Reel	87.728	91.129	My first book which came out in nineteen sixty five	Subject	
Bromige-David_Complete-Recording_New-Poems_Unknown-Reel	91.925	93.009	called The Gathering.	Subject	
Bromige-David_Complete-Recording_New-Poems_Unknown-Reel	101.754	104.68	That's the name of the book. The poem is called we could get a drink.	Subject	
Bromige-David_Complete-Recording_New-Poems_Unknown-Reel	112.099	113.809	Sunday morning, lying in,	Subject	
Bromige-David_Complete-Recording_New-Poems_Unknown-Reel	114.764	116.24	complacencies	Subject	
Bromige-David_Complete-Recording_New-Poems_Unknown-Reel	116.919	118.29	of the newly wed.	Subject	
Bromige-David_Complete-Recording_New-Poems_Unknown-Reel	119.91	121.661	Out the window the slender,	Subject	
Bromige-David_Complete-Recording_New-Poems_Unknown-Reel	122.994	124.409	sun silver trees	Subject	
Bromige-David_Complete-Recording_New-Poems_Unknown-Reel	126.122	128.129	lead me back to Hampstead Heath	Subject	
Bromige-David_Complete-Recording_New-Poems_Unknown-Reel	129.777	131.029	where I run again	Subject	
Bromige-David_Complete-Recording_New-Poems_Unknown-Reel	132.139	135.957	Down sparse grass banks by clumps of gorse.	Subject	
Bromige-David_Complete-Recording_New-Poems_Unknown-Reel	136.948	139.76	Below silver trees I try to tell you	Subject	
