file	beg	end	text	speaker
Howe-Susan_04_Complete-Reading_SUNY-Buffalo_11-6-94	0.28	0.64	cries	0
Howe-Susan_04_Complete-Reading_SUNY-Buffalo_11-6-94	0.64	0.8	of	0
Howe-Susan_04_Complete-Reading_SUNY-Buffalo_11-6-94	0.8	0.98	love	0
Howe-Susan_04_Complete-Reading_SUNY-Buffalo_11-6-94	0.98	1.14	and	0
Howe-Susan_04_Complete-Reading_SUNY-Buffalo_11-6-94	1.14	1.54	alarm	0
Howe-Susan_04_Complete-Reading_SUNY-Buffalo_11-6-94	1.54	1.68	on	0
Howe-Susan_04_Complete-Reading_SUNY-Buffalo_11-6-94	1.68	1.84	the	0
Howe-Susan_04_Complete-Reading_SUNY-Buffalo_11-6-94	1.84	2.82	soundtrack	0
Howe-Susan_04_Complete-Reading_SUNY-Buffalo_11-6-94	2.82	3.2	fade	0
Howe-Susan_04_Complete-Reading_SUNY-Buffalo_11-6-94	3.2	3.48	into	0
Howe-Susan_04_Complete-Reading_SUNY-Buffalo_11-6-94	3.48	3.68	an	0
Howe-Susan_04_Complete-Reading_SUNY-Buffalo_11-6-94	3.68	3.9	air	0
Howe-Susan_04_Complete-Reading_SUNY-Buffalo_11-6-94	3.9	4.22	raid	0
Howe-Susan_04_Complete-Reading_SUNY-Buffalo_11-6-94	4.22	4.9	siren	0
Howe-Susan_04_Complete-Reading_SUNY-Buffalo_11-6-94	4.9	5.38	factory	0
Howe-Susan_04_Complete-Reading_SUNY-Buffalo_11-6-94	5.38	6.0	whistle	0
Howe-Susan_04_Complete-Reading_SUNY-Buffalo_11-6-94	6.0	6.16	or	0
Howe-Susan_04_Complete-Reading_SUNY-Buffalo_11-6-94	6.16	6.28	is	0
Howe-Susan_04_Complete-Reading_SUNY-Buffalo_11-6-94	6.28	6.42	it	0
Howe-Susan_04_Complete-Reading_SUNY-Buffalo_11-6-94	6.42	6.54	the	0
Howe-Susan_04_Complete-Reading_SUNY-Buffalo_11-6-94	6.54	6.88	whistle	0
Howe-Susan_04_Complete-Reading_SUNY-Buffalo_11-6-94	6.88	7.02	of	0
Howe-Susan_04_Complete-Reading_SUNY-Buffalo_11-6-94	7.02	7.16	a	0
Howe-Susan_04_Complete-Reading_SUNY-Buffalo_11-6-94	7.16	7.48	train	0
Howe-Susan_04_Complete-Reading_SUNY-Buffalo_11-6-94	7.48	8.54	approaching	0
Howe-Susan_04_Complete-Reading_SUNY-Buffalo_11-6-94	8.54	8.86	we	0
Howe-Susan_04_Complete-Reading_SUNY-Buffalo_11-6-94	8.86	9.18	are	0
Howe-Susan_04_Complete-Reading_SUNY-Buffalo_11-6-94	9.18	9.5	as	0
Howe-Susan_04_Complete-Reading_SUNY-Buffalo_11-6-94	9.5	10.1	real	0
Howe-Susan_04_Complete-Reading_SUNY-Buffalo_11-6-94	10.1	10.38	and	0
Howe-Susan_04_Complete-Reading_SUNY-Buffalo_11-6-94	10.38	11.06	near	0
Howe-Susan_04_Complete-Reading_SUNY-Buffalo_11-6-94	11.06	11.32	as	0
Howe-Susan_04_Complete-Reading_SUNY-Buffalo_11-6-94	11.32	12.1	cinema	0
Howe-Susan_04_Complete-Reading_SUNY-Buffalo_11-6-94	13.16	13.28	a	0
Howe-Susan_04_Complete-Reading_SUNY-Buffalo_11-6-94	13.28	13.56	little	0
Howe-Susan_04_Complete-Reading_SUNY-Buffalo_11-6-94	13.56	13.94	girl	0
Howe-Susan_04_Complete-Reading_SUNY-Buffalo_11-6-94	13.94	14.2	half	0
Howe-Susan_04_Complete-Reading_SUNY-Buffalo_11-6-94	14.2	14.52	turned	0
Howe-Susan_04_Complete-Reading_SUNY-Buffalo_11-6-94	14.52	15.12	away	0
Howe-Susan_04_Complete-Reading_SUNY-Buffalo_11-6-94	15.12	15.5	holding	0
Howe-Susan_04_Complete-Reading_SUNY-Buffalo_11-6-94	15.5	15.68	her	0
Howe-Susan_04_Complete-Reading_SUNY-Buffalo_11-6-94	15.68	16.1	doll	0
Howe-Susan_04_Complete-Reading_SUNY-Buffalo_11-6-94	16.1	16.5	smiles	0
Howe-Susan_04_Complete-Reading_SUNY-Buffalo_11-6-94	16.5	17.36	charley	0
Howe-Susan_04_Complete-Reading_SUNY-Buffalo_11-6-94	17.36	17.56	when	0
Howe-Susan_04_Complete-Reading_SUNY-Buffalo_11-6-94	17.56	17.64	the	0
Howe-Susan_04_Complete-Reading_SUNY-Buffalo_11-6-94	17.72	18.38	ambiguous	0
Howe-Susan_04_Complete-Reading_SUNY-Buffalo_11-6-94	18.38	18.86	siren	0
Howe-Susan_04_Complete-Reading_SUNY-Buffalo_11-6-94	18.86	19.1	or	0
Howe-Susan_04_Complete-Reading_SUNY-Buffalo_11-6-94	19.1	19.56	engine	0
Howe-Susan_04_Complete-Reading_SUNY-Buffalo_11-6-94	19.56	19.94	wheels	0
Howe-Susan_04_Complete-Reading_SUNY-Buffalo_11-6-94	19.94	20.18	its	0
Howe-Susan_04_Complete-Reading_SUNY-Buffalo_11-6-94	20.18	20.86	warning	0
Howe-Susan_04_Complete-Reading_SUNY-Buffalo_11-6-94	20.86	21.06	she	0
Howe-Susan_04_Complete-Reading_SUNY-Buffalo_11-6-94	21.06	21.46	turns	0
Howe-Susan_04_Complete-Reading_SUNY-Buffalo_11-6-94	21.46	22.28	directly	0
Howe-Susan_04_Complete-Reading_SUNY-Buffalo_11-6-94	22.28	22.7	towards	0
Howe-Susan_04_Complete-Reading_SUNY-Buffalo_11-6-94	22.7	22.86	the	0
Howe-Susan_04_Complete-Reading_SUNY-Buffalo_11-6-94	22.86	23.8	camera	0
Howe-Susan_04_Complete-Reading_SUNY-Buffalo_11-6-94	23.8	24.3	medium	0
Howe-Susan_04_Complete-Reading_SUNY-Buffalo_11-6-94	24.3	24.6	close	0
Howe-Susan_04_Complete-Reading_SUNY-Buffalo_11-6-94	24.6	25.06	up	0
Howe-Susan_04_Complete-Reading_SUNY-Buffalo_11-6-94	25.06	25.28	her	0
Howe-Susan_04_Complete-Reading_SUNY-Buffalo_11-6-94	25.28	25.96	expression	0
Howe-Susan_04_Complete-Reading_SUNY-Buffalo_11-6-94	25.96	26.4	changing	0
Howe-Susan_04_Complete-Reading_SUNY-Buffalo_11-6-94	26.4	26.54	to	0
Howe-Susan_04_Complete-Reading_SUNY-Buffalo_11-6-94	26.54	26.66	a	0
Howe-Susan_04_Complete-Reading_SUNY-Buffalo_11-6-94	26.66	27.08	mixture	0
Howe-Susan_04_Complete-Reading_SUNY-Buffalo_11-6-94	27.08	27.26	of	0
Howe-Susan_04_Complete-Reading_SUNY-Buffalo_11-6-94	27.26	28.1	astonishment	0
Howe-Susan_04_Complete-Reading_SUNY-Buffalo_11-6-94	28.1	28.34	or	0
Howe-Susan_04_Complete-Reading_SUNY-Buffalo_11-6-94	28.34	29.04	terror	0
Howe-Susan_04_Complete-Reading_SUNY-Buffalo_11-6-94	29.04	29.38	this	0
Howe-Susan_04_Complete-Reading_SUNY-Buffalo_11-6-94	29.38	30.02	child	0
Howe-Susan_04_Complete-Reading_SUNY-Buffalo_11-6-94	30.02	30.46	isn't	0
Howe-Susan_04_Complete-Reading_SUNY-Buffalo_11-6-94	30.46	31.46	acting	0
Howe-Susan_04_Complete-Reading_SUNY-Buffalo_11-6-94	31.46	31.92	perhaps	0
Howe-Susan_04_Complete-Reading_SUNY-Buffalo_11-6-94	31.92	32.14	she	0
Howe-Susan_04_Complete-Reading_SUNY-Buffalo_11-6-94	32.14	32.68	knows	0
Howe-Susan_04_Complete-Reading_SUNY-Buffalo_11-6-94	32.68	32.92	what	0
Howe-Susan_04_Complete-Reading_SUNY-Buffalo_11-6-94	32.92	33.06	the	0
Howe-Susan_04_Complete-Reading_SUNY-Buffalo_11-6-94	33.06	33.36	young	0
Howe-Susan_04_Complete-Reading_SUNY-Buffalo_11-6-94	33.36	33.86	actor	0
Howe-Susan_04_Complete-Reading_SUNY-Buffalo_11-6-94	33.86	34.06	in	0
Howe-Susan_04_Complete-Reading_SUNY-Buffalo_11-6-94	34.06	34.52	ivan's	0
Howe-Susan_04_Complete-Reading_SUNY-Buffalo_11-6-94	34.52	35.28	childhood	0
Howe-Susan_04_Complete-Reading_SUNY-Buffalo_11-6-94	35.28	36.06	pretends	0
Howe-Susan_04_Complete-Reading_SUNY-Buffalo_11-6-94	36.06	36.24	he	0
Howe-Susan_04_Complete-Reading_SUNY-Buffalo_11-6-94	36.24	36.98	knows	0
Howe-Susan_04_Complete-Reading_SUNY-Buffalo_11-6-94	36.98	37.22	her	0
Howe-Susan_04_Complete-Reading_SUNY-Buffalo_11-6-94	37.22	37.8	look	0
Howe-Susan_04_Complete-Reading_SUNY-Buffalo_11-6-94	37.8	38.36	pierces	0
Howe-Susan_04_Complete-Reading_SUNY-Buffalo_11-6-94	38.36	38.54	the	0
Howe-Susan_04_Complete-Reading_SUNY-Buffalo_11-6-94	38.54	39.2	mask	0
Howe-Susan_04_Complete-Reading_SUNY-Buffalo_11-6-94	39.2	39.46	of	0
Howe-Susan_04_Complete-Reading_SUNY-Buffalo_11-6-94	39.46	40.0	western	0
Howe-Susan_04_Complete-Reading_SUNY-Buffalo_11-6-94	40.0	41.56	culture	0
Howe-Susan_04_Complete-Reading_SUNY-Buffalo_11-6-94	41.56	42.0	almost	0
Howe-Susan_04_Complete-Reading_SUNY-Buffalo_11-6-94	42.0	42.36	forty	0
Howe-Susan_04_Complete-Reading_SUNY-Buffalo_11-6-94	42.36	42.62	years	0
Howe-Susan_04_Complete-Reading_SUNY-Buffalo_11-6-94	42.62	43.2	later	0
Howe-Susan_04_Complete-Reading_SUNY-Buffalo_11-6-94	43.2	43.42	in	0
Howe-Susan_04_Complete-Reading_SUNY-Buffalo_11-6-94	43.42	43.76	june	0
Howe-Susan_04_Complete-Reading_SUNY-Buffalo_11-6-94	43.76	44.26	nineteen	0
Howe-Susan_04_Complete-Reading_SUNY-Buffalo_11-6-94	44.26	44.72	seventy	0
Howe-Susan_04_Complete-Reading_SUNY-Buffalo_11-6-94	44.72	45.28	two	0
Howe-Susan_04_Complete-Reading_SUNY-Buffalo_11-6-94	45.3	45.5	a	0
Howe-Susan_04_Complete-Reading_SUNY-Buffalo_11-6-94	45.5	46.44	terrified	0
Howe-Susan_04_Complete-Reading_SUNY-Buffalo_11-6-94	46.44	47.18	fonte	0
Howe-Susan_04_Complete-Reading_SUNY-Buffalo_11-6-94	47.18	47.82	canna	0
Howe-Susan_04_Complete-Reading_SUNY-Buffalo_11-6-94	47.82	48.16	pomd	0
Howe-Susan_04_Complete-Reading_SUNY-Buffalo_11-6-94	48.16	48.38	an	0
Howe-Susan_04_Complete-Reading_SUNY-Buffalo_11-6-94	48.38	48.74	era	0
Howe-Susan_04_Complete-Reading_SUNY-Buffalo_11-6-94	48.74	48.92	by	0
Howe-Susan_04_Complete-Reading_SUNY-Buffalo_11-6-94	48.92	49.06	a	0
Howe-Susan_04_Complete-Reading_SUNY-Buffalo_11-6-94	49.06	49.4	south	0
Howe-Susan_04_Complete-Reading_SUNY-Buffalo_11-6-94	49.4	50.1	vietnamese	0
Howe-Susan_04_Complete-Reading_SUNY-Buffalo_11-6-94	50.1	50.82	bomber	0
Howe-Susan_04_Complete-Reading_SUNY-Buffalo_11-6-94	50.82	51.08	will	0
Howe-Susan_04_Complete-Reading_SUNY-Buffalo_11-6-94	51.08	51.32	come	0
Howe-Susan_04_Complete-Reading_SUNY-Buffalo_11-6-94	51.32	51.74	running	0
Howe-Susan_04_Complete-Reading_SUNY-Buffalo_11-6-94	51.74	52.14	naked	0
Howe-Susan_04_Complete-Reading_SUNY-Buffalo_11-6-94	52.14	52.36	down	0
Howe-Susan_04_Complete-Reading_SUNY-Buffalo_11-6-94	52.36	52.5	the	0
Howe-Susan_04_Complete-Reading_SUNY-Buffalo_11-6-94	52.5	53.06	road	0
Howe-Susan_04_Complete-Reading_SUNY-Buffalo_11-6-94	53.06	53.46	having	0
Howe-Susan_04_Complete-Reading_SUNY-Buffalo_11-6-94	53.46	53.84	torn	0
Howe-Susan_04_Complete-Reading_SUNY-Buffalo_11-6-94	53.84	54.08	off	0
Howe-Susan_04_Complete-Reading_SUNY-Buffalo_11-6-94	54.08	54.26	her	0
Howe-Susan_04_Complete-Reading_SUNY-Buffalo_11-6-94	54.26	54.74	burning	0
Howe-Susan_04_Complete-Reading_SUNY-Buffalo_11-6-94	54.74	55.52	clothing	0
Howe-Susan_04_Complete-Reading_SUNY-Buffalo_11-6-94	55.52	55.72	she	0
Howe-Susan_04_Complete-Reading_SUNY-Buffalo_11-6-94	55.72	55.98	is	0
Howe-Susan_04_Complete-Reading_SUNY-Buffalo_11-6-94	55.98	56.64	running	0
Howe-Susan_04_Complete-Reading_SUNY-Buffalo_11-6-94	56.64	57.04	towards	0
Howe-Susan_04_Complete-Reading_SUNY-Buffalo_11-6-94	57.04	57.22	the	0
Howe-Susan_04_Complete-Reading_SUNY-Buffalo_11-6-94	57.22	58.08	camera's	0
Howe-Susan_04_Complete-Reading_SUNY-Buffalo_11-6-94	58.08	58.64	single	0
Howe-Susan_04_Complete-Reading_SUNY-Buffalo_11-6-94	58.64	59.46	eye	0
Howe-Susan_04_Complete-Reading_SUNY-Buffalo_11-6-94	61.0	61.16	a	0
Howe-Susan_04_Complete-Reading_SUNY-Buffalo_11-6-94	61.16	61.46	man	0
Howe-Susan_04_Complete-Reading_SUNY-Buffalo_11-6-94	61.46	61.94	without	0
Howe-Susan_04_Complete-Reading_SUNY-Buffalo_11-6-94	61.94	62.66	wings	0
Howe-Susan_04_Complete-Reading_SUNY-Buffalo_11-6-94	62.66	63.08	swings	0
Howe-Susan_04_Complete-Reading_SUNY-Buffalo_11-6-94	63.08	63.6	slanting	0
Howe-Susan_04_Complete-Reading_SUNY-Buffalo_11-6-94	63.6	63.78	ly	0
Howe-Susan_04_Complete-Reading_SUNY-Buffalo_11-6-94	63.78	64.7	interview	0
Howe-Susan_04_Complete-Reading_SUNY-Buffalo_11-6-94	64.7	65.08	through	0
Howe-Susan_04_Complete-Reading_SUNY-Buffalo_11-6-94	65.08	65.76	free	0
Howe-Susan_04_Complete-Reading_SUNY-Buffalo_11-6-94	65.76	66.52	space	0
Howe-Susan_04_Complete-Reading_SUNY-Buffalo_11-6-94	66.52	67.16	mute	0
Howe-Susan_04_Complete-Reading_SUNY-Buffalo_11-6-94	67.16	68.04	sky	0
Howe-Susan_04_Complete-Reading_SUNY-Buffalo_11-6-94	68.04	68.66	one	0
Howe-Susan_04_Complete-Reading_SUNY-Buffalo_11-6-94	68.66	69.24	two	0
Howe-Susan_04_Complete-Reading_SUNY-Buffalo_11-6-94	69.24	69.94	three	0
Howe-Susan_04_Complete-Reading_SUNY-Buffalo_11-6-94	69.94	70.64	four	0
Howe-Susan_04_Complete-Reading_SUNY-Buffalo_11-6-94	70.64	71.36	five	0
Howe-Susan_04_Complete-Reading_SUNY-Buffalo_11-6-94	71.36	72.0	six	0
Howe-Susan_04_Complete-Reading_SUNY-Buffalo_11-6-94	72.0	72.78	seconds	0
Howe-Susan_04_Complete-Reading_SUNY-Buffalo_11-6-94	72.78	73.04	of	0
Howe-Susan_04_Complete-Reading_SUNY-Buffalo_11-6-94	73.04	73.56	silent	0
Howe-Susan_04_Complete-Reading_SUNY-Buffalo_11-6-94	73.56	74.5	soundtrack	0
Howe-Susan_04_Complete-Reading_SUNY-Buffalo_11-6-94	74.5	74.86	before	0
Howe-Susan_04_Complete-Reading_SUNY-Buffalo_11-6-94	74.86	75.66	liturgical	0
Howe-Susan_04_Complete-Reading_SUNY-Buffalo_11-6-94	75.66	76.4	music	0
Howe-Susan_04_Complete-Reading_SUNY-Buffalo_11-6-94	76.4	76.72	through	0
Howe-Susan_04_Complete-Reading_SUNY-Buffalo_11-6-94	76.72	77.0	fade	0
Howe-Susan_04_Complete-Reading_SUNY-Buffalo_11-6-94	77.0	77.48	in	0
Howe-Susan_04_Complete-Reading_SUNY-Buffalo_11-6-94	77.48	77.64	to	0
Howe-Susan_04_Complete-Reading_SUNY-Buffalo_11-6-94	77.64	77.8	a	0
Howe-Susan_04_Complete-Reading_SUNY-Buffalo_11-6-94	77.8	78.22	certain	0
Howe-Susan_04_Complete-Reading_SUNY-Buffalo_11-6-94	78.22	78.76	point	0
Howe-Susan_04_Complete-Reading_SUNY-Buffalo_11-6-94	78.76	79.1	then	0
Howe-Susan_04_Complete-Reading_SUNY-Buffalo_11-6-94	79.1	79.86	tapering	0
Howe-Susan_04_Complete-Reading_SUNY-Buffalo_11-6-94	79.86	80.36	admitting	0
Howe-Susan_04_Complete-Reading_SUNY-Buffalo_11-6-94	80.36	80.72	wave	0
Howe-Susan_04_Complete-Reading_SUNY-Buffalo_11-6-94	80.72	81.16	notes	0
Howe-Susan_04_Complete-Reading_SUNY-Buffalo_11-6-94	81.16	81.62	risen	0
Howe-Susan_04_Complete-Reading_SUNY-Buffalo_11-6-94	81.62	81.96	from	0
Howe-Susan_04_Complete-Reading_SUNY-Buffalo_11-6-94	81.96	82.64	years	0
Howe-Susan_04_Complete-Reading_SUNY-Buffalo_11-6-94	82.64	82.9	of	0
Howe-Susan_04_Complete-Reading_SUNY-Buffalo_11-6-94	82.9	83.26	other	0
Howe-Susan_04_Complete-Reading_SUNY-Buffalo_11-6-94	83.26	84.18	powers	0
Howe-Susan_04_Complete-Reading_SUNY-Buffalo_11-6-94	85.26	85.92	balancing	0
Howe-Susan_04_Complete-Reading_SUNY-Buffalo_11-6-94	85.92	86.14	and	0
Howe-Susan_04_Complete-Reading_SUNY-Buffalo_11-6-94	86.14	86.92	covering	0
Howe-Susan_04_Complete-Reading_SUNY-Buffalo_11-6-94	86.92	87.06	he	0
Howe-Susan_04_Complete-Reading_SUNY-Buffalo_11-6-94	87.06	87.28	is	0
Howe-Susan_04_Complete-Reading_SUNY-Buffalo_11-6-94	87.28	87.66	swinging	0
Howe-Susan_04_Complete-Reading_SUNY-Buffalo_11-6-94	87.66	87.8	in	0
Howe-Susan_04_Complete-Reading_SUNY-Buffalo_11-6-94	87.8	87.96	a	0
Howe-Susan_04_Complete-Reading_SUNY-Buffalo_11-6-94	87.96	88.78	basket	0
Howe-Susan_04_Complete-Reading_SUNY-Buffalo_11-6-94	88.78	89.0	as	0
Howe-Susan_04_Complete-Reading_SUNY-Buffalo_11-6-94	89.0	89.24	if	0
Howe-Susan_04_Complete-Reading_SUNY-Buffalo_11-6-94	89.24	89.48	re	0
Howe-Susan_04_Complete-Reading_SUNY-Buffalo_11-6-94	89.48	90.24	entrance	0
Howe-Susan_04_Complete-Reading_SUNY-Buffalo_11-6-94	90.24	90.5	is	0
Howe-Susan_04_Complete-Reading_SUNY-Buffalo_11-6-94	90.5	91.26	easy	0
Howe-Susan_04_Complete-Reading_SUNY-Buffalo_11-6-94	91.92	92.34	swings	0
Howe-Susan_04_Complete-Reading_SUNY-Buffalo_11-6-94	92.34	92.5	in	0
Howe-Susan_04_Complete-Reading_SUNY-Buffalo_11-6-94	92.5	92.92	again	0
Howe-Susan_04_Complete-Reading_SUNY-Buffalo_11-6-94	92.92	93.32	coming	0
Howe-Susan_04_Complete-Reading_SUNY-Buffalo_11-6-94	93.32	93.88	home	0
Howe-Susan_04_Complete-Reading_SUNY-Buffalo_11-6-94	93.88	94.06	so	0
Howe-Susan_04_Complete-Reading_SUNY-Buffalo_11-6-94	94.06	94.24	it's	0
