file	beg	end	text
Gladman-Renee_Complete-Reading_Drawing-Room_Tuscon_AZ_02-21-09	0.0	0.42	feels
Gladman-Renee_Complete-Reading_Drawing-Room_Tuscon_AZ_02-21-09	0.42	0.9	good.
Gladman-Renee_Complete-Reading_Drawing-Room_Tuscon_AZ_02-21-09	1.24	1.78	That
Gladman-Renee_Complete-Reading_Drawing-Room_Tuscon_AZ_02-21-09	1.78	2.1	joy
Gladman-Renee_Complete-Reading_Drawing-Room_Tuscon_AZ_02-21-09	2.1	2.6	lasts
Gladman-Renee_Complete-Reading_Drawing-Room_Tuscon_AZ_02-21-09	2.6	3.06	as
Gladman-Renee_Complete-Reading_Drawing-Room_Tuscon_AZ_02-21-09	3.06	3.28	long
Gladman-Renee_Complete-Reading_Drawing-Room_Tuscon_AZ_02-21-09	3.28	3.48	as
Gladman-Renee_Complete-Reading_Drawing-Room_Tuscon_AZ_02-21-09	3.48	3.62	your
Gladman-Renee_Complete-Reading_Drawing-Room_Tuscon_AZ_02-21-09	3.62	3.96	walk
Gladman-Renee_Complete-Reading_Drawing-Room_Tuscon_AZ_02-21-09	3.96	4.16	through
Gladman-Renee_Complete-Reading_Drawing-Room_Tuscon_AZ_02-21-09	4.16	4.34	the
Gladman-Renee_Complete-Reading_Drawing-Room_Tuscon_AZ_02-21-09	4.34	4.7	city
Gladman-Renee_Complete-Reading_Drawing-Room_Tuscon_AZ_02-21-09	4.7	5.28	and
Gladman-Renee_Complete-Reading_Drawing-Room_Tuscon_AZ_02-21-09	5.28	5.8	dissolves
Gladman-Renee_Complete-Reading_Drawing-Room_Tuscon_AZ_02-21-09	5.8	5.98	when
Gladman-Renee_Complete-Reading_Drawing-Room_Tuscon_AZ_02-21-09	5.98	6.12	you
Gladman-Renee_Complete-Reading_Drawing-Room_Tuscon_AZ_02-21-09	6.12	6.5	return
Gladman-Renee_Complete-Reading_Drawing-Room_Tuscon_AZ_02-21-09	6.5	6.84	home
Gladman-Renee_Complete-Reading_Drawing-Room_Tuscon_AZ_02-21-09	6.84	7.04	to
Gladman-Renee_Complete-Reading_Drawing-Room_Tuscon_AZ_02-21-09	7.04	7.22	your
Gladman-Renee_Complete-Reading_Drawing-Room_Tuscon_AZ_02-21-09	7.22	7.6	work
Gladman-Renee_Complete-Reading_Drawing-Room_Tuscon_AZ_02-21-09	7.6	8.06	to
Gladman-Renee_Complete-Reading_Drawing-Room_Tuscon_AZ_02-21-09	8.06	8.32	how
Gladman-Renee_Complete-Reading_Drawing-Room_Tuscon_AZ_02-21-09	8.32	8.96	far
Gladman-Renee_Complete-Reading_Drawing-Room_Tuscon_AZ_02-21-09	8.96	9.16	there
Gladman-Renee_Complete-Reading_Drawing-Room_Tuscon_AZ_02-21-09	9.16	9.32	is
Gladman-Renee_Complete-Reading_Drawing-Room_Tuscon_AZ_02-21-09	9.32	9.54	left
Gladman-Renee_Complete-Reading_Drawing-Room_Tuscon_AZ_02-21-09	9.54	9.72	to
Gladman-Renee_Complete-Reading_Drawing-Room_Tuscon_AZ_02-21-09	9.72	9.94	go
Gladman-Renee_Complete-Reading_Drawing-Room_Tuscon_AZ_02-21-09	9.94	10.16	with
Gladman-Renee_Complete-Reading_Drawing-Room_Tuscon_AZ_02-21-09	10.16	10.42	it.
Gladman-Renee_Complete-Reading_Drawing-Room_Tuscon_AZ_02-21-09	14.68	15.22	In
Gladman-Renee_Complete-Reading_Drawing-Room_Tuscon_AZ_02-21-09	15.22	15.34	the
Gladman-Renee_Complete-Reading_Drawing-Room_Tuscon_AZ_02-21-09	15.34	15.6	fall
Gladman-Renee_Complete-Reading_Drawing-Room_Tuscon_AZ_02-21-09	15.6	15.74	of
Gladman-Renee_Complete-Reading_Drawing-Room_Tuscon_AZ_02-21-09	15.74	16.36	1997,
Gladman-Renee_Complete-Reading_Drawing-Room_Tuscon_AZ_02-21-09	16.36	17.04	I
Gladman-Renee_Complete-Reading_Drawing-Room_Tuscon_AZ_02-21-09	17.04	17.32	moved
Gladman-Renee_Complete-Reading_Drawing-Room_Tuscon_AZ_02-21-09	17.32	17.52	into
Gladman-Renee_Complete-Reading_Drawing-Room_Tuscon_AZ_02-21-09	17.52	17.64	a
Gladman-Renee_Complete-Reading_Drawing-Room_Tuscon_AZ_02-21-09	17.64	17.8	two
Gladman-Renee_Complete-Reading_Drawing-Room_Tuscon_AZ_02-21-09	17.8	18.22	-bedroom
