file	beg	end	text
Bromige-David_Complete-Reading_Albany-CA_Fall-1968	9.78	10.24	I
Bromige-David_Complete-Reading_Albany-CA_Fall-1968	10.24	10.42	think
Bromige-David_Complete-Reading_Albany-CA_Fall-1968	10.42	10.66	I'll
Bromige-David_Complete-Reading_Albany-CA_Fall-1968	10.66	10.88	close
Bromige-David_Complete-Reading_Albany-CA_Fall-1968	10.88	11.1	this
Bromige-David_Complete-Reading_Albany-CA_Fall-1968	11.1	11.44	first
Bromige-David_Complete-Reading_Albany-CA_Fall-1968	11.44	12.8	group
Bromige-David_Complete-Reading_Albany-CA_Fall-1968	12.8	15.26	with
Bromige-David_Complete-Reading_Albany-CA_Fall-1968	15.26	15.34	a
Bromige-David_Complete-Reading_Albany-CA_Fall-1968	15.34	15.6	poem
Bromige-David_Complete-Reading_Albany-CA_Fall-1968	15.6	15.82	that's
Bromige-David_Complete-Reading_Albany-CA_Fall-1968	15.82	16.08	also
Bromige-David_Complete-Reading_Albany-CA_Fall-1968	16.08	16.38	here,
Bromige-David_Complete-Reading_Albany-CA_Fall-1968	17.38	17.42	In
Bromige-David_Complete-Reading_Albany-CA_Fall-1968	17.42	17.52	the
Bromige-David_Complete-Reading_Albany-CA_Fall-1968	17.52	17.78	Ends
Bromige-David_Complete-Reading_Albany-CA_Fall-1968	17.78	17.82	of
Bromige-David_Complete-Reading_Albany-CA_Fall-1968	17.82	17.98	the
Bromige-David_Complete-Reading_Albany-CA_Fall-1968	17.98	18.16	Earth.
Bromige-David_Complete-Reading_Albany-CA_Fall-1968	22.4	22.86	It's
Bromige-David_Complete-Reading_Albany-CA_Fall-1968	22.86	23.28	called
Bromige-David_Complete-Reading_Albany-CA_Fall-1968	23.28	23.48	Wait
Bromige-David_Complete-Reading_Albany-CA_Fall-1968	23.48	23.74	Less
Bromige-David_Complete-Reading_Albany-CA_Fall-1968	23.74	23.88	Than
Bromige-David_Complete-Reading_Albany-CA_Fall-1968	23.88	24.02	the
Bromige-David_Complete-Reading_Albany-CA_Fall-1968	24.02	24.26	Shadow,
Bromige-David_Complete-Reading_Albany-CA_Fall-1968	24.36	24.54	which
Bromige-David_Complete-Reading_Albany-CA_Fall-1968	24.54	24.74	is
Bromige-David_Complete-Reading_Albany-CA_Fall-1968	24.74	24.86	a
Bromige-David_Complete-Reading_Albany-CA_Fall-1968	24.86	25.04	line
Bromige-David_Complete-Reading_Albany-CA_Fall-1968	25.04	25.16	I
Bromige-David_Complete-Reading_Albany-CA_Fall-1968	25.16	25.44	take
Bromige-David_Complete-Reading_Albany-CA_Fall-1968	25.44	25.76	from
Bromige-David_Complete-Reading_Albany-CA_Fall-1968	25.76	26.42	Pam's
Bromige-David_Complete-Reading_Albany-CA_Fall-1968	26.42	27.12	47th
Bromige-David_Complete-Reading_Albany-CA_Fall-1968	27.12	27.44	Canto.
Bromige-David_Complete-Reading_Albany-CA_Fall-1968	30.64	31.16	Who,
Bromige-David_Complete-Reading_Albany-CA_Fall-1968	31.16	31.68	who
Bromige-David_Complete-Reading_Albany-CA_Fall-1968	31.68	31.92	even
Bromige-David_Complete-Reading_Albany-CA_Fall-1968	31.92	32.16	is
Bromige-David_Complete-Reading_Albany-CA_Fall-1968	32.16	32.32	dead
Bromige-David_Complete-Reading_Albany-CA_Fall-1968	32.32	32.58	yet
Bromige-David_Complete-Reading_Albany-CA_Fall-1968	32.58	32.82	hath
Bromige-David_Complete-Reading_Albany-CA_Fall-1968	32.82	32.96	his
Bromige-David_Complete-Reading_Albany-CA_Fall-1968	32.96	33.22	mind
Bromige-David_Complete-Reading_Albany-CA_Fall-1968	33.22	33.64	entire,
Bromige-David_Complete-Reading_Albany-CA_Fall-1968	33.9	40.46	Wait
Bromige-David_Complete-Reading_Albany-CA_Fall-1968	40.46	40.72	Less
Bromige-David_Complete-Reading_Albany-CA_Fall-1968	40.72	40.86	Than
Bromige-David_Complete-Reading_Albany-CA_Fall-1968	40.86	40.98	the
Bromige-David_Complete-Reading_Albany-CA_Fall-1968	40.98	41.24	Shadow.
Bromige-David_Complete-Reading_Albany-CA_Fall-1968	46.94	47.459999999999994	We
Bromige-David_Complete-Reading_Albany-CA_Fall-1968	47.459999999999994	47.98	encounter
Bromige-David_Complete-Reading_Albany-CA_Fall-1968	47.98	48.18	in
Bromige-David_Complete-Reading_Albany-CA_Fall-1968	48.18	48.26	the
Bromige-David_Complete-Reading_Albany-CA_Fall-1968	48.26	48.6	lateral
