file	beg	end	text	speaker
Auster-Paul_Complete-Reading_UB_4-26-95	0.239	0.46	Do	spk_0
Auster-Paul_Complete-Reading_UB_4-26-95	0.469	0.569	you	spk_0
Auster-Paul_Complete-Reading_UB_4-26-95	0.579	0.629	know	spk_0
Auster-Paul_Complete-Reading_UB_4-26-95	0.639	0.819	where	spk_0
Auster-Paul_Complete-Reading_UB_4-26-95	0.829	0.839	I	spk_0
Auster-Paul_Complete-Reading_UB_4-26-95	0.85	1.049	could	spk_0
Auster-Paul_Complete-Reading_UB_4-26-95	1.059	1.309	find	spk_0
Auster-Paul_Complete-Reading_UB_4-26-95	1.32	1.639	another	spk_0
Auster-Paul_Complete-Reading_UB_4-26-95	1.649	2.19	copy?	spk_0
Auster-Paul_Complete-Reading_UB_4-26-95	2.25	2.349	Or	spk_0
Auster-Paul_Complete-Reading_UB_4-26-95	2.359	2.63	as	spk_0
Auster-Paul_Complete-Reading_UB_4-26-95	2.64	2.67	I	spk_0
Auster-Paul_Complete-Reading_UB_4-26-95	2.68	2.95	can't	spk_0
Auster-Paul_Complete-Reading_UB_4-26-95	2.96	3.23	tell	spk_0
Auster-Paul_Complete-Reading_UB_4-26-95	3.24	3.38	you	spk_0
Auster-Paul_Complete-Reading_UB_4-26-95	3.39	3.529	how	spk_0
Auster-Paul_Complete-Reading_UB_4-26-95	3.539	3.789	much	spk_0
Auster-Paul_Complete-Reading_UB_4-26-95	3.799	3.849	it	spk_0
Auster-Paul_Complete-Reading_UB_4-26-95	3.859	3.99	would	spk_0
Auster-Paul_Complete-Reading_UB_4-26-95	4.0	4.25	mean	spk_0
Auster-Paul_Complete-Reading_UB_4-26-95	4.26	4.349	to	spk_0
Auster-Paul_Complete-Reading_UB_4-26-95	4.36	4.599	me,	spk_0
Auster-Paul_Complete-Reading_UB_4-26-95	5.59	5.88	this	spk_0
Auster-Paul_Complete-Reading_UB_4-26-95	5.889	6.039	one	spk_0
Auster-Paul_Complete-Reading_UB_4-26-95	6.05	6.179	is	spk_0
Auster-Paul_Complete-Reading_UB_4-26-95	6.19	6.42	for	spk_0
Auster-Paul_Complete-Reading_UB_4-26-95	6.429	6.73	you.	spk_0
Auster-Paul_Complete-Reading_UB_4-26-95	6.739	6.849	The	spk_0
Auster-Paul_Complete-Reading_UB_4-26-95	6.86	7.28	woman	spk_0
Auster-Paul_Complete-Reading_UB_4-26-95	7.289	7.88	answered,	spk_0
Auster-Paul_Complete-Reading_UB_4-26-95	8.39	8.569	but	spk_0
Auster-Paul_Complete-Reading_UB_4-26-95	8.579	8.71	it's	spk_0
Auster-Paul_Complete-Reading_UB_4-26-95	8.72	9.189	yours.	spk_0
Auster-Paul_Complete-Reading_UB_4-26-95	9.199	9.369	Ours	spk_0
Auster-Paul_Complete-Reading_UB_4-26-95	9.38	9.77	said	spk_0
Auster-Paul_Complete-Reading_UB_4-26-95	10.5	10.72	it	spk_0
Auster-Paul_Complete-Reading_UB_4-26-95	10.729	11.0	was	spk_0
Auster-Paul_Complete-Reading_UB_4-26-95	11.01	11.289	mine.	spk_0
Auster-Paul_Complete-Reading_UB_4-26-95	11.3	11.42	The	spk_0
Auster-Paul_Complete-Reading_UB_4-26-95	11.43	11.779	woman	spk_0
Auster-Paul_Complete-Reading_UB_4-26-95	11.789	12.039	said,	spk_0
Auster-Paul_Complete-Reading_UB_4-26-95	12.05	12.22	but	spk_0
Auster-Paul_Complete-Reading_UB_4-26-95	12.229	12.409	now	spk_0
Auster-Paul_Complete-Reading_UB_4-26-95	12.42	12.52	I'm	spk_0
Auster-Paul_Complete-Reading_UB_4-26-95	12.529	12.92	finished	spk_0
Auster-Paul_Complete-Reading_UB_4-26-95	12.93	13.189	with	spk_0
Auster-Paul_Complete-Reading_UB_4-26-95	13.199	13.449	it.	spk_0
Auster-Paul_Complete-Reading_UB_4-26-95	13.619	13.67	I	spk_0
Auster-Paul_Complete-Reading_UB_4-26-95	13.68	14.109	came	spk_0
Auster-Paul_Complete-Reading_UB_4-26-95	14.119	14.279	here	spk_0
Auster-Paul_Complete-Reading_UB_4-26-95	14.289	14.88	today	spk_0
Auster-Paul_Complete-Reading_UB_4-26-95	14.96	15.199	to	spk_0
Auster-Paul_Complete-Reading_UB_4-26-95	15.21	15.47	give	spk_0
Auster-Paul_Complete-Reading_UB_4-26-95	15.479	15.579	it	spk_0
Auster-Paul_Complete-Reading_UB_4-26-95	15.59	15.72	to	spk_0
Auster-Paul_Complete-Reading_UB_4-26-95	15.729	16.04	you.	spk_0
Auster-Paul_Complete-Reading_UB_4-26-95	18.319	18.989	Seven,	spk_0
Auster-Paul_Complete-Reading_UB_4-26-95	19.959	20.5	12	spk_0
Auster-Paul_Complete-Reading_UB_4-26-95	20.51	20.76	years	spk_0
Auster-Paul_Complete-Reading_UB_4-26-95	20.77	21.19	ago,	spk_0
Auster-Paul_Complete-Reading_UB_4-26-95	21.2	21.409	my	spk_0
Auster-Paul_Complete-Reading_UB_4-26-95	21.42	21.829	wife's	spk_0
Auster-Paul_Complete-Reading_UB_4-26-95	21.84	22.19	sister	spk_0
Auster-Paul_Complete-Reading_UB_4-26-95	22.2	22.36	went	spk_0
Auster-Paul_Complete-Reading_UB_4-26-95	22.37	22.54	off	spk_0
Auster-Paul_Complete-Reading_UB_4-26-95	22.549	22.659	to	spk_0
Auster-Paul_Complete-Reading_UB_4-26-95	22.67	22.87	live	spk_0
Auster-Paul_Complete-Reading_UB_4-26-95	22.879	22.989	in	spk_0
Auster-Paul_Complete-Reading_UB_4-26-95	23.0	23.79	Taiwan.	spk_0
Auster-Paul_Complete-Reading_UB_4-26-95	24.409	24.709	Her	spk_0
Auster-Paul_Complete-Reading_UB_4-26-95	24.719	25.19	intention	spk_0
