file	beg	end	text	speaker
Dworkin-Craig_Complete-Reading_Segue-Series_12-14-2013	0.0	1.48	144	
Dworkin-Craig_Complete-Reading_Segue-Series_12-14-2013	1.48	2.16	permanence	
Dworkin-Craig_Complete-Reading_Segue-Series_12-14-2013	2.16	2.56	absence	
Dworkin-Craig_Complete-Reading_Segue-Series_12-14-2013	2.56	2.68	of	
Dworkin-Craig_Complete-Reading_Segue-Series_12-14-2013	2.68	3.08	change	
Dworkin-Craig_Complete-Reading_Segue-Series_12-14-2013	3.08	3.44	noun	
Dworkin-Craig_Complete-Reading_Segue-Series_12-14-2013	3.44	4.0	permanence	
Dworkin-Craig_Complete-Reading_Segue-Series_12-14-2013	4.0	4.6	permanency	
Dworkin-Craig_Complete-Reading_Segue-Series_12-14-2013	4.6	4.76	no	
Dworkin-Craig_Complete-Reading_Segue-Series_12-14-2013	4.76	5.12	change	
Dworkin-Craig_Complete-Reading_Segue-Series_12-14-2013	5.12	5.52	status	
Dworkin-Craig_Complete-Reading_Segue-Series_12-14-2013	5.52	5.76	quo	
Dworkin-Craig_Complete-Reading_Segue-Series_12-14-2013	5.76	6.56	invariability	
Dworkin-Craig_Complete-Reading_Segue-Series_12-14-2013	6.56	7.32	unchangeability	
Dworkin-Craig_Complete-Reading_Segue-Series_12-14-2013	7.32	8.2	immutability	
Dworkin-Craig_Complete-Reading_Segue-Series_12-14-2013	8.2	9.16	153	
Dworkin-Craig_Complete-Reading_Segue-Series_12-14-2013	9.16	10.0	stability	
Dworkin-Craig_Complete-Reading_Segue-Series_12-14-2013	10.12	10.6	lasting	
Dworkin-Craig_Complete-Reading_Segue-Series_12-14-2013	10.6	10.96	quality	
Dworkin-Craig_Complete-Reading_Segue-Series_12-14-2013	10.96	11.68	persistence	
Dworkin-Craig_Complete-Reading_Segue-Series_12-14-2013	11.68	12.4	600	
Dworkin-Craig_Complete-Reading_Segue-Series_12-14-2013	12.4	12.96	noun	
Dworkin-Craig_Complete-Reading_Segue-Series_12-14-2013	12.96	13.6	600	
