file	beg	end	text
Templeton-Fiona_Complete-Reading_Ear-Inn_01-14-89	0.0	0.44	You're
Templeton-Fiona_Complete-Reading_Ear-Inn_01-14-89	0.44	0.88	scared.
Templeton-Fiona_Complete-Reading_Ear-Inn_01-14-89	1.24	1.76	They
Templeton-Fiona_Complete-Reading_Ear-Inn_01-14-89	1.76	2.02	break
Templeton-Fiona_Complete-Reading_Ear-Inn_01-14-89	2.02	2.16	your
Templeton-Fiona_Complete-Reading_Ear-Inn_01-14-89	2.16	2.58	heart.
Templeton-Fiona_Complete-Reading_Ear-Inn_01-14-89	2.98	3.54	They
Templeton-Fiona_Complete-Reading_Ear-Inn_01-14-89	3.54	3.88	examine
Templeton-Fiona_Complete-Reading_Ear-Inn_01-14-89	3.88	4.1	where
Templeton-Fiona_Complete-Reading_Ear-Inn_01-14-89	4.1	4.34	you've
Templeton-Fiona_Complete-Reading_Ear-Inn_01-14-89	4.34	4.58	been.
Templeton-Fiona_Complete-Reading_Ear-Inn_01-14-89	5.18	5.74	The
Templeton-Fiona_Complete-Reading_Ear-Inn_01-14-89	5.74	5.96	boy
Templeton-Fiona_Complete-Reading_Ear-Inn_01-14-89	5.96	6.26	drank
Templeton-Fiona_Complete-Reading_Ear-Inn_01-14-89	6.26	6.4	the
Templeton-Fiona_Complete-Reading_Ear-Inn_01-14-89	6.4	6.62	bottle
Templeton-Fiona_Complete-Reading_Ear-Inn_01-14-89	6.62	6.74	of
Templeton-Fiona_Complete-Reading_Ear-Inn_01-14-89	6.74	7.0	milk
Templeton-Fiona_Complete-Reading_Ear-Inn_01-14-89	7.0	7.18	at
Templeton-Fiona_Complete-Reading_Ear-Inn_01-14-89	7.18	7.52	Harry.
Templeton-Fiona_Complete-Reading_Ear-Inn_01-14-89	8.1	8.66	They
Templeton-Fiona_Complete-Reading_Ear-Inn_01-14-89	8.66	8.92	find
Templeton-Fiona_Complete-Reading_Ear-Inn_01-14-89	8.92	9.04	the
Templeton-Fiona_Complete-Reading_Ear-Inn_01-14-89	9.04	9.3	memory
Templeton-Fiona_Complete-Reading_Ear-Inn_01-14-89	9.3	9.46	of
Templeton-Fiona_Complete-Reading_Ear-Inn_01-14-89	9.46	9.6	your
Templeton-Fiona_Complete-Reading_Ear-Inn_01-14-89	9.6	10.04	voice.
Templeton-Fiona_Complete-Reading_Ear-Inn_01-14-89	10.5	11.06	It
Templeton-Fiona_Complete-Reading_Ear-Inn_01-14-89	11.06	11.38	talks
Templeton-Fiona_Complete-Reading_Ear-Inn_01-14-89	11.38	11.62	to,
Templeton-Fiona_Complete-Reading_Ear-Inn_01-14-89	11.84	12.24	say,
Templeton-Fiona_Complete-Reading_Ear-Inn_01-14-89	12.5	12.7	your
Templeton-Fiona_Complete-Reading_Ear-Inn_01-14-89	12.7	13.12	hand.
Templeton-Fiona_Complete-Reading_Ear-Inn_01-14-89	13.58	14.12	The
Templeton-Fiona_Complete-Reading_Ear-Inn_01-14-89	14.12	14.36	hand
Templeton-Fiona_Complete-Reading_Ear-Inn_01-14-89	14.36	14.72	touches
Templeton-Fiona_Complete-Reading_Ear-Inn_01-14-89	14.72	14.9	the
Templeton-Fiona_Complete-Reading_Ear-Inn_01-14-89	14.9	15.24	word's
Templeton-Fiona_Complete-Reading_Ear-Inn_01-14-89	15.24	15.56	body.
Templeton-Fiona_Complete-Reading_Ear-Inn_01-14-89	16.12	16.64	They're
Templeton-Fiona_Complete-Reading_Ear-Inn_01-14-89	16.64	16.78	all
Templeton-Fiona_Complete-Reading_Ear-Inn_01-14-89	16.78	17.04	beating
Templeton-Fiona_Complete-Reading_Ear-Inn_01-14-89	17.04	17.28	the
Templeton-Fiona_Complete-Reading_Ear-Inn_01-14-89	17.28	17.54	air,
Templeton-Fiona_Complete-Reading_Ear-Inn_01-14-89	17.76	18.0	saying,
Templeton-Fiona_Complete-Reading_Ear-Inn_01-14-89	18.24	18.46	who
Templeton-Fiona_Complete-Reading_Ear-Inn_01-14-89	18.46	18.62	the
Templeton-Fiona_Complete-Reading_Ear-Inn_01-14-89	18.62	19.12	capital,
Templeton-Fiona_Complete-Reading_Ear-Inn_01-14-89	19.42	19.98	expired
Templeton-Fiona_Complete-Reading_Ear-Inn_01-14-89	19.98	20.4	IDs,
Templeton-Fiona_Complete-Reading_Ear-Inn_01-14-89	20.94	21.02	the
Templeton-Fiona_Complete-Reading_Ear-Inn_01-14-89	21.02	21.32	word
