file	beg	end	text	speaker
Fuchs-Greg_Complete-Recording_Segue-DH_NYC_4-22-00	0.239	0.379	The	spk_0
Fuchs-Greg_Complete-Recording_Segue-DH_NYC_4-22-00	0.389	0.62	low	spk_0
Fuchs-Greg_Complete-Recording_Segue-DH_NYC_4-22-00	0.629	0.99	rumble	spk_0
Fuchs-Greg_Complete-Recording_Segue-DH_NYC_4-22-00	1.0	1.11	of	spk_0
Fuchs-Greg_Complete-Recording_Segue-DH_NYC_4-22-00	1.12	1.23	an	spk_0
Fuchs-Greg_Complete-Recording_Segue-DH_NYC_4-22-00	1.24	1.769	oncoming	spk_0
Fuchs-Greg_Complete-Recording_Segue-DH_NYC_4-22-00	1.779	2.23	train	spk_0
Fuchs-Greg_Complete-Recording_Segue-DH_NYC_4-22-00	2.24	2.75	traffic	spk_0
Fuchs-Greg_Complete-Recording_Segue-DH_NYC_4-22-00	2.759	3.549	overhead.	spk_0
Fuchs-Greg_Complete-Recording_Segue-DH_NYC_4-22-00	3.92	4.28	Three	spk_0
Fuchs-Greg_Complete-Recording_Segue-DH_NYC_4-22-00	4.289	4.65	people	spk_0
Fuchs-Greg_Complete-Recording_Segue-DH_NYC_4-22-00	4.659	5.349	sniffling	spk_0
Fuchs-Greg_Complete-Recording_Segue-DH_NYC_4-22-00	5.599	5.869	who	spk_0
Fuchs-Greg_Complete-Recording_Segue-DH_NYC_4-22-00	5.88	5.96	was	spk_0
Fuchs-Greg_Complete-Recording_Segue-DH_NYC_4-22-00	5.969	6.07	the	spk_0
Fuchs-Greg_Complete-Recording_Segue-DH_NYC_4-22-00	6.079	6.449	male	spk_0
Fuchs-Greg_Complete-Recording_Segue-DH_NYC_4-22-00	6.46	6.739	half	spk_0
Fuchs-Greg_Complete-Recording_Segue-DH_NYC_4-22-00	6.75	6.829	of	spk_0
Fuchs-Greg_Complete-Recording_Segue-DH_NYC_4-22-00	6.84	7.289	people's	spk_0
Fuchs-Greg_Complete-Recording_Segue-DH_NYC_4-22-00	7.3	7.67	couple	spk_0
Fuchs-Greg_Complete-Recording_Segue-DH_NYC_4-22-00	7.679	7.75	of	spk_0
Fuchs-Greg_Complete-Recording_Segue-DH_NYC_4-22-00	7.76	7.829	the	spk_0
Fuchs-Greg_Complete-Recording_Segue-DH_NYC_4-22-00	7.84	8.449	year	spk_0
Fuchs-Greg_Complete-Recording_Segue-DH_NYC_4-22-00	8.46	9.05	twins,	spk_0
Fuchs-Greg_Complete-Recording_Segue-DH_NYC_4-22-00	9.22	9.85	twins	spk_0
