file	beg	end	text	speaker	section
Howe-Susan_Complete-Reading_Segue-Series_Ear-Inn_4-12-86	0.947	2.111	Mother my name	Subject	
Howe-Susan_Complete-Reading_Segue-Series_Ear-Inn_4-12-86	3.181	4.534	Pin eyed children	Subject	
Howe-Susan_Complete-Reading_Segue-Series_Ear-Inn_4-12-86	5.842	7.289	Sundial lair	Subject	
Howe-Susan_Complete-Reading_Segue-Series_Ear-Inn_4-12-86	7.664	9.038	from mortal fear	Subject	
Howe-Susan_Complete-Reading_Segue-Series_Ear-Inn_4-12-86	10.943	12.54	((Who'd)) Peru	Subject	
Howe-Susan_Complete-Reading_Segue-Series_Ear-Inn_4-12-86	14.166	16.022	Prison stone guardian	Subject	
Howe-Susan_Complete-Reading_Segue-Series_Ear-Inn_4-12-86	16.9	18.588	((Garden)) of resurrection	Subject	
Howe-Susan_Complete-Reading_Segue-Series_Ear-Inn_4-12-86	20.106	21.653	Fictitious steeps	Subject	
Howe-Susan_Complete-Reading_Segue-Series_Ear-Inn_4-12-86	22.773	25.727	Cries open to the words inside them	Subject	
Howe-Susan_Complete-Reading_Segue-Series_Ear-Inn_4-12-86	26.832	28.889	Cries hurled through the woods	Subject	
Howe-Susan_Complete-Reading_Segue-Series_Ear-Inn_4-12-86	32.522	34.967	Threadbare evergreen season	Subject	
Howe-Susan_Complete-Reading_Segue-Series_Ear-Inn_4-12-86	36.506	39.915	Mother and maiden singing into the draft	Subject	
Howe-Susan_Complete-Reading_Segue-Series_Ear-Inn_4-12-86	41.604	44.631	Keen woes sentries slacken	Subject	
Howe-Susan_Complete-Reading_Segue-Series_Ear-Inn_4-12-86	45.482	48.523	Woe long wars, endurance bear	Subject	
Howe-Susan_Complete-Reading_Segue-Series_Ear-Inn_4-12-86	50.573	53.553	In forest, splinter companion	Subject	
Howe-Susan_Complete-Reading_Segue-Series_Ear-Inn_4-12-86	54.759	60.123	Essential simplicity of thought wedged back playmate of remote	Subject	
Howe-Susan_Complete-Reading_Segue-Series_Ear-Inn_4-12-86	61.938	63.659	((Here is colon pan))	Subject	
Howe-Susan_Complete-Reading_Segue-Series_Ear-Inn_4-12-86	64.121	66.914	To rhyme with reason, revels run	Subject	
Howe-Susan_Complete-Reading_Segue-Series_Ear-Inn_4-12-86	71.346	73.07	Untraceable wandering	Subject	
Howe-Susan_Complete-Reading_Segue-Series_Ear-Inn_4-12-86	74.628	76.188	The meaning of knowing	Subject	
Howe-Susan_Complete-Reading_Segue-Series_Ear-Inn_4-12-86	77.866	80.88	Poetical sea sight state	Subject	
Howe-Susan_Complete-Reading_Segue-Series_Ear-Inn_4-12-86	81.845	84.082	Abstract alien point	Subject	
Howe-Susan_Complete-Reading_Segue-Series_Ear-Inn_4-12-86	84.904	87.383	Root casket tangled scrawl	Subject	
Howe-Susan_Complete-Reading_Segue-Series_Ear-Inn_4-12-86	89.547	91.034	Mistletoe arrow	Subject	
Howe-Susan_Complete-Reading_Segue-Series_Ear-Inn_4-12-86	91.57	93.338	Ascetic hero shadow	Subject	
Howe-Susan_Complete-Reading_Segue-Series_Ear-Inn_4-12-86	94.697	98.441	Shelter secret in heart or wound drawn out	Subject	
Howe-Susan_Complete-Reading_Segue-Series_Ear-Inn_4-12-86	99.996	101.798	Rhyme of heaven open	Subject	
Howe-Susan_Complete-Reading_Segue-Series_Ear-Inn_4-12-86	102.79	105.362	Collision with human protection	Subject	
Howe-Susan_Complete-Reading_Segue-Series_Ear-Inn_4-12-86	109.568	111.276	Home in a human knowing	Subject	
Howe-Susan_Complete-Reading_Segue-Series_Ear-Inn_4-12-86	112.498	115.492	Stretched out at the thresh of beginning	Subject	
Howe-Susan_Complete-Reading_Segue-Series_Ear-Inn_4-12-86	117.099	118.546	Sphere of sound	Subject	
Howe-Susan_Complete-Reading_Segue-Series_Ear-Inn_4-12-86	119.764	122.161	Body of articulation, chattering	Subject	
Howe-Susan_Complete-Reading_Segue-Series_Ear-Inn_4-12-86	123.925	125.124	An assassin	Subject	
Howe-Susan_Complete-Reading_Segue-Series_Ear-Inn_4-12-86	126.035	127.91	Shabby halo helmet	Subject	
Howe-Susan_Complete-Reading_Segue-Series_Ear-Inn_4-12-86	128.746	132.169	Hideout haystack hunter chamois	Subject	
Howe-Susan_Complete-Reading_Segue-Series_Ear-Inn_4-12-86	133.79	136.208	History of seedling and seduction	Subject	
Howe-Susan_Complete-Reading_Segue-Series_Ear-Inn_4-12-86	136.676	139.135	Kinship of infinite separation	Subject	
Howe-Susan_Complete-Reading_Segue-Series_Ear-Inn_4-12-86	141.105	142.478	Sight of thought	Subject	
Howe-Susan_Complete-Reading_Segue-Series_Ear-Inn_4-12-86	144.21	149.869	Crooked erratic perception ((shoal)) ruin ((abasol)) veil veiling	Subject	
Howe-Susan_Complete-Reading_Segue-Series_Ear-Inn_4-12-86	151.513	152.89	Braggart expert	Subject	
Howe-Susan_Complete-Reading_Segue-Series_Ear-Inn_4-12-86	154.098	156.262	Discourse on dice	Subject	
Howe-Susan_Complete-Reading_Segue-Series_Ear-Inn_4-12-86	157.553	161.07	Face to visible sense gathers moss	Subject	
Howe-Susan_Complete-Reading_Segue-Series_Ear-Inn_4-12-86	164.963	167.053	Left home to seek lost	Subject	
Howe-Susan_Complete-Reading_Segue-Series_Ear-Inn_4-12-86	168.54	170.067	Pitchfork origin	Subject	
Howe-Susan_Complete-Reading_Segue-Series_Ear-Inn_4-12-86	171.448	177.237	Tribunal of eternal revolution tribunal of rigorous reevaluation	Subject	
Howe-Susan_Complete-Reading_Segue-Series_Ear-Inn_4-12-86	178.262	185.73	Captive crowned, tyrant deposed, ego as captive thought, conscience in ears, too late	Subject	
Howe-Susan_Complete-Reading_Segue-Series_Ear-Inn_4-12-86	187.756	189.25	Father, the law	Subject	
Howe-Susan_Complete-Reading_Segue-Series_Ear-Inn_4-12-86	190.227	194.322	((Stamp hero)) partner, pledge of creditor to debtor	Subject	
Howe-Susan_Complete-Reading_Segue-Series_Ear-Inn_4-12-86	196.199	201.544	Destiny of calamitous silence, mouth condemning me to absence	Subject	
Howe-Susan_Complete-Reading_Segue-Series_Ear-Inn_4-12-86	203.062	205.406	Uneasy antic alibi	Subject	
Howe-Susan_Complete-Reading_Segue-Series_Ear-Inn_4-12-86	206.561	208.369	Dimmed dimmest world	Subject	
Howe-Susan_Complete-Reading_Segue-Series_Ear-Inn_4-12-86	209.511	212.09	Final fertile mantle of family	Subject	
Howe-Susan_Complete-Reading_Segue-Series_Ear-Inn_4-12-86	213.349	214.965	Leap from scratch	Subject	
Howe-Susan_Complete-Reading_Segue-Series_Ear-Inn_4-12-86	215.44	216.646	to ward off	Subject	
Howe-Susan_Complete-Reading_Segue-Series_Ear-Inn_4-12-86	221.572	223.166	The now that is night	Subject	
Howe-Susan_Complete-Reading_Segue-Series_Ear-Inn_4-12-86	224.773	227.037	Time comprehended in thought	Subject	
Howe-Susan_Complete-Reading_Segue-Series_Ear-Inn_4-12-86	229.146	230.941	Sullen chill uncertain	Subject	
Howe-Susan_Complete-Reading_Segue-Series_Ear-Inn_4-12-86	231.653	232.698	Solitude	Subject	
Howe-Susan_Complete-Reading_Segue-Series_Ear-Inn_4-12-86	233.086	234.533	and chill uncertain	Subject	
Howe-Susan_Complete-Reading_Segue-Series_Ear-Inn_4-12-86	236.199	237.947	Glacier cloud drifting	Subject	
Howe-Susan_Complete-Reading_Segue-Series_Ear-Inn_4-12-86	239.682	244.383	Nimbus of extinction, mimic tracery, mimic swaddling	Subject	
Howe-Susan_Complete-Reading_Segue-Series_Ear-Inn_4-12-86	245.006	246.399	Week of dull day	Subject	
