file	beg	end	text
Piombino-Nick_Complete-Recording_Ear-Inn_NY_4-22-89	0.51	0.72	science
Piombino-Nick_Complete-Recording_Ear-Inn_NY_4-22-89	0.72	0.92	is
Piombino-Nick_Complete-Recording_Ear-Inn_NY_4-22-89	0.92	1.66	keeping
Piombino-Nick_Complete-Recording_Ear-Inn_NY_4-22-89	1.66	3.17	work
Piombino-Nick_Complete-Recording_Ear-Inn_NY_4-22-89	3.17	3.35	is
Piombino-Nick_Complete-Recording_Ear-Inn_NY_4-22-89	3.35	3.93	reaping
Piombino-Nick_Complete-Recording_Ear-Inn_NY_4-22-89	3.93	5.51	to
Piombino-Nick_Complete-Recording_Ear-Inn_NY_4-22-89	5.51	5.77	be
Piombino-Nick_Complete-Recording_Ear-Inn_NY_4-22-89	5.77	6.31	decorous
Piombino-Nick_Complete-Recording_Ear-Inn_NY_4-22-89	6.31	6.46	is
Piombino-Nick_Complete-Recording_Ear-Inn_NY_4-22-89	6.46	6.68	not
Piombino-Nick_Complete-Recording_Ear-Inn_NY_4-22-89	6.68	6.81	to
Piombino-Nick_Complete-Recording_Ear-Inn_NY_4-22-89	6.81	6.96	be
Piombino-Nick_Complete-Recording_Ear-Inn_NY_4-22-89	6.96	7.8	formalistic
Piombino-Nick_Complete-Recording_Ear-Inn_NY_4-22-89	7.8	8.73	the
Piombino-Nick_Complete-Recording_Ear-Inn_NY_4-22-89	8.73	9.0	first
Piombino-Nick_Complete-Recording_Ear-Inn_NY_4-22-89	9.0	9.18	may
Piombino-Nick_Complete-Recording_Ear-Inn_NY_4-22-89	9.18	9.56	simply
Piombino-Nick_Complete-Recording_Ear-Inn_NY_4-22-89	9.56	9.78	be
Piombino-Nick_Complete-Recording_Ear-Inn_NY_4-22-89	9.78	10.45	showing
Piombino-Nick_Complete-Recording_Ear-Inn_NY_4-22-89	10.45	11.51	sensitivity
Piombino-Nick_Complete-Recording_Ear-Inn_NY_4-22-89	11.51	11.7	to
Piombino-Nick_Complete-Recording_Ear-Inn_NY_4-22-89	11.7	11.79	a
Piombino-Nick_Complete-Recording_Ear-Inn_NY_4-22-89	11.79	12.68	formal
Piombino-Nick_Complete-Recording_Ear-Inn_NY_4-22-89	12.68	13.03	context
Piombino-Nick_Complete-Recording_Ear-Inn_NY_4-22-89	13.03	13.67	the
Piombino-Nick_Complete-Recording_Ear-Inn_NY_4-22-89	13.67	13.89	second
Piombino-Nick_Complete-Recording_Ear-Inn_NY_4-22-89	13.89	14.55	creates
Piombino-Nick_Complete-Recording_Ear-Inn_NY_4-22-89	14.55	14.65	a
